10	N05CA06	SECOBARBITAL	28:24.0	BARBITURATES
1021	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
10212	R05FA02	OPIUM DERIVATIVES AND EXPECTORANTS	48:08.0	ANTITUSSIVES
10213	D08AC02	CHLORHEXIDINE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
10214	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
10215	A11JC	"VITAMINS, OTHER COMBINATIONS"	28:20.0	VITAMIN E
10215	A11JC	"VITAMINS, OTHER COMBINATIONS"	88:30.00*	OTHER NUTRITIONAL AGENTS
10218	V08BA01	BARIUM SULPHATE WITH SUSPENDING AGENTS	37:08.0	ROENTGENOGRAPHY
1022	D07AC04	FLUOCINOLONE ACETONIDE	24:06.0	ANTI-INFLAMMATORY AGENTS
10220	QA07BC30	COMBINATIONS		
10227			92:02.00*	HOMEOPATHIC PRODUCTS
10228			92:02.00*	HOMEOPATHIC PRODUCTS
10229			92:02.00*	HOMEOPATHIC PRODUCTS
10230			92:02.00*	HOMEOPATHIC PRODUCTS
10231			92:02.00*	HOMEOPATHIC PRODUCTS
10232			92:02.00*	HOMEOPATHIC PRODUCTS
10233			92:02.00*	HOMEOPATHIC PRODUCTS
10234			92:02.00*	HOMEOPATHIC PRODUCTS
10235			92:02.00*	HOMEOPATHIC PRODUCTS
10236			92:02.00*	HOMEOPATHIC PRODUCTS
10237			92:02.00*	HOMEOPATHIC PRODUCTS
10238			92:02.00*	HOMEOPATHIC PRODUCTS
10239			92:02.00*	HOMEOPATHIC PRODUCTS
1024	D04AB01	LIDOCAINE	24:08.0	ANTIPRURITICS AND LOCAL ANESTHETICS
10240			92:02.00*	HOMEOPATHIC PRODUCTS
10241			92:02.00*	HOMEOPATHIC PRODUCTS
10242			92:02.00*	HOMEOPATHIC PRODUCTS
10243			92:02.00*	HOMEOPATHIC PRODUCTS
10244			92:02.00*	HOMEOPATHIC PRODUCTS
10245			92:02.00*	HOMEOPATHIC PRODUCTS
10246			92:02.00*	HOMEOPATHIC PRODUCTS
10247			92:02.00*	HOMEOPATHIC PRODUCTS
10248			92:02.00*	HOMEOPATHIC PRODUCTS
10249			92:02.00*	HOMEOPATHIC PRODUCTS
10250			92:02.00*	HOMEOPATHIC PRODUCTS
10251			92:02.00*	HOMEOPATHIC PRODUCTS
10252			92:02.00*	HOMEOPATHIC PRODUCTS
10253			92:02.00*	HOMEOPATHIC PRODUCTS
10254			92:02.00*	HOMEOPATHIC PRODUCTS
10255			92:02.00*	HOMEOPATHIC PRODUCTS
10256			92:02.00*	HOMEOPATHIC PRODUCTS
10257			92:02.00*	HOMEOPATHIC PRODUCTS
10258			92:02.00*	HOMEOPATHIC PRODUCTS
10259			92:02.00*	HOMEOPATHIC PRODUCTS
1026	N02BA71	"ACETYLSALICYLIC ACID, COMB WITH PSYCHOLEPTICS"	28:08.04.24	SALICYLATES
10260			92:02.00*	HOMEOPATHIC PRODUCTS
10261			92:02.00*	HOMEOPATHIC PRODUCTS
10262			92:02.00*	HOMEOPATHIC PRODUCTS
10263			92:02.00*	HOMEOPATHIC PRODUCTS
10264			92:02.00*	HOMEOPATHIC PRODUCTS
10265			92:02.00*	HOMEOPATHIC PRODUCTS
10266			92:02.00*	HOMEOPATHIC PRODUCTS
10267			92:02.00*	HOMEOPATHIC PRODUCTS
10268			92:02.00*	HOMEOPATHIC PRODUCTS
10269			92:02.00*	HOMEOPATHIC PRODUCTS
10270			92:02.00*	HOMEOPATHIC PRODUCTS
10271			92:02.00*	HOMEOPATHIC PRODUCTS
10272			92:02.00*	HOMEOPATHIC PRODUCTS
10273			92:02.00*	HOMEOPATHIC PRODUCTS
10274			92:02.00*	HOMEOPATHIC PRODUCTS
10275			92:02.00*	HOMEOPATHIC PRODUCTS
10276			92:02.00*	HOMEOPATHIC PRODUCTS
10277			92:02.00*	HOMEOPATHIC PRODUCTS
10278			92:02.00*	HOMEOPATHIC PRODUCTS
10279			92:02.00*	HOMEOPATHIC PRODUCTS
10280			92:02.00*	HOMEOPATHIC PRODUCTS
10281			92:02.00*	HOMEOPATHIC PRODUCTS
10282			92:02.00*	HOMEOPATHIC PRODUCTS
10283			92:02.00*	HOMEOPATHIC PRODUCTS
10284			92:02.00*	HOMEOPATHIC PRODUCTS
10285			92:02.00*	HOMEOPATHIC PRODUCTS
10286			92:02.00*	HOMEOPATHIC PRODUCTS
10287			92:02.00*	HOMEOPATHIC PRODUCTS
10288			92:02.00*	HOMEOPATHIC PRODUCTS
10289			92:02.00*	HOMEOPATHIC PRODUCTS
1029	D03BA	PROTEOLYTIC ENZYMES	84:92.00	MISC. SKIN AND MUCOUS MEMBRANE AGENTS
10290			92:02.00*	HOMEOPATHIC PRODUCTS
10291			92:02.00*	HOMEOPATHIC PRODUCTS
10292	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
10296	R03BB01	IPRATROPIUM BROMIDE	12:08.1	ANTIMUSCARINICS ANTISPASMODICS
10297	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
10298	R01AX30	COMBINATIONS	53:32.0	"EENT DRUGS, MISCELLANEOUS"
10299	R01AX30	COMBINATIONS	53:32.0	"EENT DRUGS, MISCELLANEOUS"
10301	A03FA02	CISAPRIDE	56:32.0	PROKINETIC AGENTS
10302	N05BA12	ALPRAZOLAM	28:24.1	BENZODIAZEPINES
10303	N05BA12	ALPRAZOLAM	28:24.1	BENZODIAZEPINES
10304	L01BA01	METHOTREXATE	10:00.0	ANTINEOPLASTIC AGENTS
10307	A07CA	ORAL REHYDRATION SALT FORMULATIONS	40:12.0	REPLACEMENT PREPARATIONS
10311	M01CB04	AUROTHIOGLUCOSE	00:00.0	GOLD COMPOUNDS
10315	J05AB06	GANCICLOVIR	08:18.3	NUCLEOSIDES AND NUCLEOTIDES
10317	D02AB	ZINC PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
10319	A11JA	COMBINATIONS OF VITAMINS	28:28.0	MULTIVITAMIN PREPARATIONS
10320			92:02.00*	HOMEOPATHIC PRODUCTS
10321			92:02.00*	HOMEOPATHIC PRODUCTS
10322			92:02.00*	HOMEOPATHIC PRODUCTS
10323			92:02.00*	HOMEOPATHIC PRODUCTS
10324			92:02.00*	HOMEOPATHIC PRODUCTS
10325			92:02.00*	HOMEOPATHIC PRODUCTS
10326			92:02.00*	HOMEOPATHIC PRODUCTS
10327			92:02.00*	HOMEOPATHIC PRODUCTS
10328			92:02.00*	HOMEOPATHIC PRODUCTS
10329			92:02.00*	HOMEOPATHIC PRODUCTS
10330			92:02.00*	HOMEOPATHIC PRODUCTS
10331			92:02.00*	HOMEOPATHIC PRODUCTS
10332			92:02.00*	HOMEOPATHIC PRODUCTS
10333			92:02.00*	HOMEOPATHIC PRODUCTS
10334			92:02.00*	HOMEOPATHIC PRODUCTS
10335			92:02.00*	HOMEOPATHIC PRODUCTS
10336			92:02.00*	HOMEOPATHIC PRODUCTS
10337			92:02.00*	HOMEOPATHIC PRODUCTS
10338			92:02.00*	HOMEOPATHIC PRODUCTS
10339			92:02.00*	HOMEOPATHIC PRODUCTS
1034	A11EB	VITAMIN B-COMPLEX WITH VITAMIN C	28:08.0	VITAMIN B COMPLEX
1034	A11EB	VITAMIN B-COMPLEX WITH VITAMIN C	28:12.0	VITAMIN C
10340			92:02.00*	HOMEOPATHIC PRODUCTS
10341			92:02.00*	HOMEOPATHIC PRODUCTS
10342			92:02.00*	HOMEOPATHIC PRODUCTS
10343			92:02.00*	HOMEOPATHIC PRODUCTS
10344			92:02.00*	HOMEOPATHIC PRODUCTS
10345			92:02.00*	HOMEOPATHIC PRODUCTS
10346			92:02.00*	HOMEOPATHIC PRODUCTS
10347			92:02.00*	HOMEOPATHIC PRODUCTS
10348			92:02.00*	HOMEOPATHIC PRODUCTS
10349			92:02.00*	HOMEOPATHIC PRODUCTS
1035	J04BA02	DAPSONE	08:16.9	MISCELLANEOUS ANTIMYCOBACTERIALS
10350			92:02.00*	HOMEOPATHIC PRODUCTS
10351			92:02.00*	HOMEOPATHIC PRODUCTS
10352			92:02.00*	HOMEOPATHIC PRODUCTS
10353			92:02.00*	HOMEOPATHIC PRODUCTS
10354			92:02.00*	HOMEOPATHIC PRODUCTS
10355			92:02.00*	HOMEOPATHIC PRODUCTS
10356			92:02.00*	HOMEOPATHIC PRODUCTS
10357			92:02.00*	HOMEOPATHIC PRODUCTS
10358			92:02.00*	HOMEOPATHIC PRODUCTS
10359			92:02.00*	HOMEOPATHIC PRODUCTS
10360			92:02.00*	HOMEOPATHIC PRODUCTS
10361			92:02.00*	HOMEOPATHIC PRODUCTS
10362			92:02.00*	HOMEOPATHIC PRODUCTS
10363			92:02.00*	HOMEOPATHIC PRODUCTS
10364			92:02.00*	HOMEOPATHIC PRODUCTS
10365			92:02.00*	HOMEOPATHIC PRODUCTS
10366			92:02.00*	HOMEOPATHIC PRODUCTS
10367			92:02.00*	HOMEOPATHIC PRODUCTS
10368			92:02.00*	HOMEOPATHIC PRODUCTS
10369			92:02.00*	HOMEOPATHIC PRODUCTS
10370			92:02.00*	HOMEOPATHIC PRODUCTS
10371			92:02.00*	HOMEOPATHIC PRODUCTS
10372			92:02.00*	HOMEOPATHIC PRODUCTS
10373			92:02.00*	HOMEOPATHIC PRODUCTS
10374			92:02.00*	HOMEOPATHIC PRODUCTS
10375			92:02.00*	HOMEOPATHIC PRODUCTS
10376			92:02.00*	HOMEOPATHIC PRODUCTS
10377			92:02.00*	HOMEOPATHIC PRODUCTS
10378			92:02.00*	HOMEOPATHIC PRODUCTS
10379			92:02.00*	HOMEOPATHIC PRODUCTS
1038	C01BA01	QUINIDINE	24:04.04.04	CLASS IA ANTIARRYTHMICS
10380	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
10381	QS03CA04	HYDROCORTISONE AND ANTIINFECTIVES		
10384	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
10385	L01AA01	CYCLOPHOSPHAMIDE	10:00.0	ANTINEOPLASTIC AGENTS
10386	L01AA01	CYCLOPHOSPHAMIDE	10:00.0	ANTINEOPLASTIC AGENTS
10388	A11CA02	BETA-CAROTENE	28:04.0	VITAMIN A
10389	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
1039			92:01.00*	HERBS AND NATURAL PRODUCTS
10390	A02BA02	RANITIDINE	56:28.1	HISTAMINE H2-ANTAGONISTS
10396	N05CD05	TRIAZOLAM	28:24.1	BENZODIAZEPINES
10397	N05CD05	TRIAZOLAM	28:24.1	BENZODIAZEPINES
104	C10AX01	DEXTROTHYROXINE	24:06.0	ANTILIPEMIC AGENTS
1040			92:01.00*	HERBS AND NATURAL PRODUCTS
10400	A06AC03	STERCULIA	56:12.0	CATHARTICS AND LAXATIVES
10401	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
1041			92:01.00*	HERBS AND NATURAL PRODUCTS
1042			92:01.00*	HERBS AND NATURAL PRODUCTS
10427	A02BA02	RANITIDINE	56:28.1	HISTAMINE H2-ANTAGONISTS
10428	A02BA02	RANITIDINE	56:28.1	HISTAMINE H2-ANTAGONISTS
1043			92:01.00*	HERBS AND NATURAL PRODUCTS
10430	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
10431	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
10432	A11CA02	BETA-CAROTENE	28:04.0	VITAMIN A
10436			92:02.00*	HOMEOPATHIC PRODUCTS
10437	B03BA51	"CYANOCOBALAMIN, COMBINATIONS"	28:08.0	VITAMIN B COMPLEX
1044			92:01.00*	HERBS AND NATURAL PRODUCTS
10445	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
10446	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
10447	A11EX	"VITAMIN B-COMPLEX, OTHER COMBINATIONS"	88:28.01*	VITAMINS & MINERALS
10448	D11AF	WART AND ANTI-CORN PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
10449	A07BA01	MEDICINAL CHARCOAL	56:04.0	ANTACIDS AND ADSORBENTS
1045			92:01.00*	HERBS AND NATURAL PRODUCTS
10454			92:02.00*	HOMEOPATHIC PRODUCTS
10458	N04BD01	SELEGILINE	28:36.3	MONOAMINE OXIDASE B INHIBITORS
10459	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
1046	B02BC06	THROMBIN	20:28.2	HEMOSTATICS
10460	D08AC52	"CHLORHEXIDINE, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
10461			92:02.00*	HOMEOPATHIC PRODUCTS
10462			92:02.00*	HOMEOPATHIC PRODUCTS
10463			92:02.00*	HOMEOPATHIC PRODUCTS
10465	D08AC52	"CHLORHEXIDINE, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
10466	D08AE55	"CHLOROXYLENOL, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
10467	D08AC52	"CHLORHEXIDINE, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
10468	D08AG03	IODINE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
1047	B02BC06	THROMBIN	20:28.2	HEMOSTATICS
10472	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
10473	D05AA	TARS	24:28.0	KERATOLYTIC AGENTS
10473	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
10474			88:29.00*	MINERALS
10475	J01DD04	CEFTRIAXONE	08:12.06.12	THIRD GENERATION CEPHALOSPORINS
10476	A06AC01	ISPAGHULA (PSYLLA SEEDS)	56:12.0	CATHARTICS AND LAXATIVES
10479	A12CC03	MAGNESIUM GLUCONATE	88:29.00*	MINERALS
1048	B02BC06	THROMBIN	20:28.2	HEMOSTATICS
10480	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.04.24	SALICYLATES
10482	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
10483	A02BX02	SUCRALFATE	56:28.3	PROTECTANTS
