"Site recode"	"Site Description"	"Histology"	"Histology Description"	"Histology/Behavior"	"Histology/Behavior Description"
"C000-C006,C008-C009"	"LIP"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8031/3"	"Giant cell carcinoma"
"C000-C006,C008-C009"	"LIP"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8032/3"	"Spindle cell carcinoma"
"C000-C006,C008-C009"	"LIP"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8033/3"	"Pseudosarcomatous carcinoma"
"C000-C006,C008-C009"	"LIP"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8034/3"	"Polygonal cell carcinoma"
"C000-C006,C008-C009"	"LIP"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8035/3"	"Carcinoma with osteoclast-like giant cells"
"C000-C006,C008-C009"	"LIP"	"805"	"PAPILLARY CARCINOMA, NOS"	"8050/2"	"Papillary carcinoma in situ"
"C000-C006,C008-C009"	"LIP"	"805"	"PAPILLARY CARCINOMA, NOS"	"8050/3"	"Papillary carcinoma, NOS"
"C000-C006,C008-C009"	"LIP"	"805"	"PAPILLARY CARCINOMA, NOS"	"8051/3"	"Verrucous carcinoma, NOS"
"C000-C006,C008-C009"	"LIP"	"805"	"PAPILLARY CARCINOMA, NOS"	"8052/2"	"Papillary squamous cell carcinoma, non-invasive"
"C000-C006,C008-C009"	"LIP"	"805"	"PAPILLARY CARCINOMA, NOS"	"8052/3"	"Papillary squamous cell carcinoma"
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8070/2"	"Squamous cell carcinoma in situ, NOS"
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8070/3"	"Squamous cell carcinoma, NOS"
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8071/3"	"Sq. cell carcinoma, keratinizing, NOS"
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8072/3"	"Sq. cell carcinoma, lg. cell, non-ker."
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8073/3"	"Sq. cell carcinoma, sm. cell, non-ker."
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8074/3"	"Sq. cell carcinoma, spindle cell"
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8075/3"	"Squamous cell carcinoma, adenoid"
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8076/2"	"Sq. cell carc. in situ with question. stromal invas."
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8076/3"	"Sq. cell carcinoma, micro-invasive"
"C000-C006,C008-C009"	"LIP"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8078/3"	"Squamous cell carcinoma with horn formation"
"C000-C006,C008-C009"	"LIP"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8081/2"	"Bowen disease"
"C000-C006,C008-C009"	"LIP"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8082/3"	"Lymphoepithelial carcinoma"
"C000-C006,C008-C009"	"LIP"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8083/3"	"Basaloid squamous cell carcinoma"
"C000-C006,C008-C009"	"LIP"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8084/3"	"Squamous cell carcinoma, clear cell type"
"C000-C006,C008-C009"	"LIP"	"814"	"ADENOCARCINOMA, NOS"	"8140/2"	"Adenocarcinoma in situ"
"C000-C006,C008-C009"	"LIP"	"814"	"ADENOCARCINOMA, NOS"	"8140/3"	"Adenocarcinoma, NOS"
"C000-C006,C008-C009"	"LIP"	"814"	"ADENOCARCINOMA, NOS"	"8141/3"	"Scirrhous adenocarcinoma"
"C000-C006,C008-C009"	"LIP"	"814"	"ADENOCARCINOMA, NOS"	"8143/3"	"Superficial spreading adenocarcinoma"
"C000-C006,C008-C009"	"LIP"	"814"	"ADENOCARCINOMA, NOS"	"8147/3"	"Basal cell adenocarcinoma"
"C000-C006,C008-C009"	"LIP"	"820"	"ADENOID CYSTIC & CRIBRIFORM CA."	"8200/3"	"Adenoid cystic carcinoma"
"C000-C006,C008-C009"	"LIP"	"820"	"ADENOID CYSTIC & CRIBRIFORM CA."	"8201/2"	"Cribriform carcinoma in situ"
"C000-C006,C008-C009"	"LIP"	"820"	"ADENOID CYSTIC & CRIBRIFORM CA."	"8201/3"	"Cribriform carcinoma"
"C000-C006,C008-C009"	"LIP"	"825"	"BRONCHIOLO-ALVEOLAR ADENOCA."	"8255/3"	"Adenocarcinoma with mixed subtypes"
"C000-C006,C008-C009"	"LIP"	"826"	"PAPILLARY ADENOCARCINOMA, NOS"	"8260/3"	"Papillary adenocarcinoma, NOS"
"C000-C006,C008-C009"	"LIP"	"826"	"PAPILLARY ADENOCARCINOMA, NOS"	"8261/2"	"Adenocarcinoma in situ in villous adenoma"
"C000-C006,C008-C009"	"LIP"	"826"	"PAPILLARY ADENOCARCINOMA, NOS"	"8261/3"	"Adenocarcinoma in villous adenoma"
"C000-C006,C008-C009"	"LIP"	"826"	"PAPILLARY ADENOCARCINOMA, NOS"	"8262/3"	"Villous adenocarcinoma"
"C000-C006,C008-C009"	"LIP"	"826"	"PAPILLARY ADENOCARCINOMA, NOS"	"8263/2"	"Adenocarcinoma in situ in tubulovillous adenoma"
"C000-C006,C008-C009"	"LIP"	"826"	"PAPILLARY ADENOCARCINOMA, NOS"	"8263/3"	"Adenocarcinoma in tubulovillous adenoma"
"C000-C006,C008-C009"	"LIP"	"843"	"MUCOEPIDERMOID CARCINOMA"	"8430/3"	"Mucoepidermoid carcinoma"
"C000-C006,C008-C009"	"LIP"	"848"	"MUCINOUS ADENOCARCINOMA"	"8480/3"	"Mucinous adenocarcinoma"
"C000-C006,C008-C009"	"LIP"	"848"	"MUCINOUS ADENOCARCINOMA"	"8481/3"	"Mucin-producing adenocarcinoma"
"C000-C006,C008-C009"	"LIP"	"872"	"NEVI & MELANOMAS"	"8720/2"	"Melanoma in situ"
"C000-C006,C008-C009"	"LIP"	"872"	"NEVI & MELANOMAS"	"8720/3"	"Malignant melanoma, NOS"
"C000-C006,C008-C009"	"LIP"	"872"	"NEVI & MELANOMAS"	"8721/3"	"Nodular melanoma"
"C000-C006,C008-C009"	"LIP"	"872"	"NEVI & MELANOMAS"	"8722/3"	"Balloon cell melanoma"
"C000-C006,C008-C009"	"LIP"	"872"	"NEVI & MELANOMAS"	"8723/3"	"Malignant melanoma, regressing"
"C000-C006,C008-C009"	"LIP"	"873"	"AMELANOTIC MELANOMA"	"8730/3"	"Amelanotic melanoma"
"C000-C006,C008-C009"	"LIP"	"874"	"MAL. MEL. IN JUNCT. NEVUS"	"8743/3"	"Superficial spreading melanoma"
"C000-C006,C008-C009"	"LIP"	"874"	"MAL. MEL. IN JUNCT. NEVUS"	"8745/3"	"Desmoplastic melanoma, malignant"
"C000-C006,C008-C009"	"LIP"	"874"	"MAL. MEL. IN JUNCT. NEVUS"	"8746/3"	"Mucosal lentiginous melanoma"
"C000-C006,C008-C009"	"LIP"	"877"	"EPITHELIOID CELL MELANOMA"	"8770/3"	"Mixed epithel. & spindle cell melanoma"
"C000-C006,C008-C009"	"LIP"	"877"	"EPITHELIOID CELL MELANOMA"	"8771/3"	"Epithelioid cell melanoma"
"C000-C006,C008-C009"	"LIP"	"877"	"EPITHELIOID CELL MELANOMA"	"8772/3"	"Spindle cell melanoma, NOS"
"C000-C006,C008-C009"	"LIP"	"894"	"MIXED TUMOR, MALIGNANT, NOS"	"8940/3"	"Mixed tumor, malignant, NOS"
"C000-C006,C008-C009"	"LIP"	"894"	"MIXED TUMOR, MALIGNANT, NOS"	"8941/3"	"Carcinoma in pleomorphic adenoma"
"C000-C006,C008-C009"	"LIP"	"914"	"KAPOSI SARCOMA"	"9140/3"	"Kaposi sarcoma"
"C000-C006,C008-C009"	"LIP"	"969"	"FOLLIC. & MARGINAL LYMPH, NOS"	"9699/3"	"Marginal zone B-cell lymphoma, NOS"
"C000-C006,C008-C009"	"LIP"	"982"	"LYMPHOID LEUKEMIA, NOS"	"9823/3"	"Chronic lymphocytic leukemia/small lymphocytic lymphoma"
"C019"	"BASE OF TONGUE"	"800"	"NEOPLASM"	"8000/3"	"Neoplasm, malignant"
"C019"	"BASE OF TONGUE"	"800"	"NEOPLASM"	"8001/3"	"Tumor cells, malignant"
"C019"	"BASE OF TONGUE"	"800"	"NEOPLASM"	"8002/3"	"Malignant tumor, small cell type"
"C019"	"BASE OF TONGUE"	"800"	"NEOPLASM"	"8003/3"	"Malignant tumor, giant cell type"
"C019"	"BASE OF TONGUE"	"800"	"NEOPLASM"	"8004/3"	"Malignant tumor, spindle cell type"
"C019"	"BASE OF TONGUE"	"800"	"NEOPLASM"	"8005/3"	"Malignant tumor, clear cell type"
"C019"	"BASE OF TONGUE"	"801"	"CARCINOMA, NOS"	"8010/2"	"Carcinoma in situ, NOS"
"C019"	"BASE OF TONGUE"	"801"	"CARCINOMA, NOS"	"8010/3"	"Carcinoma, NOS"
"C019"	"BASE OF TONGUE"	"801"	"CARCINOMA, NOS"	"8011/3"	"Epithelioma, malignant"
"C019"	"BASE OF TONGUE"	"801"	"CARCINOMA, NOS"	"8012/3"	"Large cell carcinoma, NOS"
"C019"	"BASE OF TONGUE"	"801"	"CARCINOMA, NOS"	"8013/3"	"Large cell neuroendocrine carcinoma"
"C019"	"BASE OF TONGUE"	"801"	"CARCINOMA, NOS"	"8014/3"	"Large cell carcinoma with rhabdoid phenotype"
"C019"	"BASE OF TONGUE"	"801"	"CARCINOMA, NOS"	"8015/3"	"Glassy cell carcinoma"
"C019"	"BASE OF TONGUE"	"802"	"CARCINOMA, UNDIFF., NOS"	"8020/3"	"Carcinoma, undifferentiated type, NOS"
"C019"	"BASE OF TONGUE"	"802"	"CARCINOMA, UNDIFF., NOS"	"8021/3"	"Carcinoma, anaplastic type, NOS"
"C019"	"BASE OF TONGUE"	"802"	"CARCINOMA, UNDIFF., NOS"	"8022/3"	"Pleomorphic carcinoma"
"C019"	"BASE OF TONGUE"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8030/3"	"Giant cell and spindle cell carcinoma"
"C019"	"BASE OF TONGUE"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8031/3"	"Giant cell carcinoma"
"C019"	"BASE OF TONGUE"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8032/3"	"Spindle cell carcinoma"
"C019"	"BASE OF TONGUE"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8033/3"	"Pseudosarcomatous carcinoma"
"C019"	"BASE OF TONGUE"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8034/3"	"Polygonal cell carcinoma"
"C019"	"BASE OF TONGUE"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8035/3"	"Carcinoma with osteoclast-like giant cells"
"C019"	"BASE OF TONGUE"	"805"	"PAPILLARY CARCINOMA, NOS"	"8050/2"	"Papillary carcinoma in situ"
"C019"	"BASE OF TONGUE"	"805"	"PAPILLARY CARCINOMA, NOS"	"8050/3"	"Papillary carcinoma, NOS"
"C019"	"BASE OF TONGUE"	"805"	"PAPILLARY CARCINOMA, NOS"	"8051/3"	"Verrucous carcinoma, NOS"
"C019"	"BASE OF TONGUE"	"805"	"PAPILLARY CARCINOMA, NOS"	"8052/2"	"Papillary squamous cell carcinoma, non-invasive"
"C019"	"BASE OF TONGUE"	"805"	"PAPILLARY CARCINOMA, NOS"	"8052/3"	"Papillary squamous cell carcinoma"
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8070/2"	"Squamous cell carcinoma in situ, NOS"
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8070/3"	"Squamous cell carcinoma, NOS"
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8071/3"	"Sq. cell carcinoma, keratinizing, NOS"
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8072/3"	"Sq. cell carcinoma, lg. cell, non-ker."
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8073/3"	"Sq. cell carcinoma, sm. cell, non-ker."
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8074/3"	"Sq. cell carcinoma, spindle cell"
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8075/3"	"Squamous cell carcinoma, adenoid"
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8076/2"	"Sq. cell carc. in situ with question. stromal invas."
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8076/3"	"Sq. cell carcinoma, micro-invasive"
"C019"	"BASE OF TONGUE"	"807"	"SQUAMOUS CELL CARCINOMA, NOS"	"8078/3"	"Squamous cell carcinoma with horn formation"
"C019"	"BASE OF TONGUE"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8081/2"	"Bowen disease"
"C019"	"BASE OF TONGUE"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8082/3"	"Lymphoepithelial carcinoma"
"C019"	"BASE OF TONGUE"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8083/3"	"Basaloid squamous cell carcinoma"
"C019"	"BASE OF TONGUE"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8084/3"	"Squamous cell carcinoma, clear cell type"
"C019"	"BASE OF TONGUE"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8085/3"	"Squamous cell carcinoma, HPV-positive"
"C019"	"BASE OF TONGUE"	"808"	"LYMPHOEPITHELIAL CARCINOMA"	"8086/3"	"Squamous cell carcinoma, HPV-negative"
"C019"	"BASE OF TONGUE"	"814"	"ADENOCARCINOMA, NOS"	"8140/2"	"Adenocarcinoma in situ"
"C019"	"BASE OF TONGUE"	"814"	"ADENOCARCINOMA, NOS"	"8140/3"	"Adenocarcinoma, NOS"
"C019"	"BASE OF TONGUE"	"814"	"ADENOCARCINOMA, NOS"	"8141/3"	"Scirrhous adenocarcinoma"
"C019"	"BASE OF TONGUE"	"814"	"ADENOCARCINOMA, NOS"	"8143/3"	"Superficial spreading adenocarcinoma"
"C019"	"BASE OF TONGUE"	"814"	"ADENOCARCINOMA, NOS"	"8147/3"	"Basal cell adenocarcinoma"
"C019"	"BASE OF TONGUE"	"820"	"ADENOID CYSTIC & CRIBRIFORM CA."	"8200/3"	"Adenoid cystic carcinoma"
"C019"	"BASE OF TONGUE"	"820"	"ADENOID CYSTIC & CRIBRIFORM CA."	"8201/2"	"Cribriform carcinoma in situ"
"C019"	"BASE OF TONGUE"	"820"	"ADENOID CYSTIC & CRIBRIFORM CA."	"8201/3"	"Cribriform carcinoma"
"C019"	"BASE OF TONGUE"	"825"	"BRONCHIOLO-ALVEOLAR ADENOCA."	"8255/3"	"Adenocarcinoma with mixed subtypes"
"C019"	"BASE OF TONGUE"	"843"	"MUCOEPIDERMOID CARCINOMA"	"8430/3"	"Mucoepidermoid carcinoma"
"C019"	"BASE OF TONGUE"	"848"	"MUCINOUS ADENOCARCINOMA"	"8480/3"	"Mucinous adenocarcinoma"
"C019"	"BASE OF TONGUE"	"848"	"MUCINOUS ADENOCARCINOMA"	"8481/3"	"Mucin-producing adenocarcinoma"
"C019"	"BASE OF TONGUE"	"856"	"ADENOSQUAMOUS CARCINOMA"	"8560/3"	"Adenosquamous carcinoma"
"C019"	"BASE OF TONGUE"	"856"	"ADENOSQUAMOUS CARCINOMA"	"8562/3"	"Epithelial-myoepithelial carcinoma"
"C019"	"BASE OF TONGUE"	"857"	"ADENOCA. WITH METAPLASIA"	"8570/3"	"Adenocarcinoma with squamous metaplasia"
"C019"	"BASE OF TONGUE"	"857"	"ADENOCA. WITH METAPLASIA"	"8571/3"	"Adenocarcinoma w cartilag. & oss. metaplas."
"C019"	"BASE OF TONGUE"	"857"	"ADENOCA. WITH METAPLASIA"	"8572/3"	"Adenocarcinoma with spindle cell mataplasia"
"C019"	"BASE OF TONGUE"	"857"	"ADENOCA. WITH METAPLASIA"	"8573/3"	"Adenocarcinoma with apocrine metaplasia"
"C019"	"BASE OF TONGUE"	"857"	"ADENOCA. WITH METAPLASIA"	"8574/3"	"Adenocarcinoma with neuroendocrine differen."
"C019"	"BASE OF TONGUE"	"857"	"ADENOCA. WITH METAPLASIA"	"8575/3"	"Metaplastic carcinoma, NOS"
"C019"	"BASE OF TONGUE"	"872"	"NEVI & MELANOMAS"	"8720/2"	"Melanoma in situ"
"C019"	"BASE OF TONGUE"	"872"	"NEVI & MELANOMAS"	"8720/3"	"Malignant melanoma, NOS"
"C019"	"BASE OF TONGUE"	"872"	"NEVI & MELANOMAS"	"8721/3"	"Nodular melanoma"
"C019"	"BASE OF TONGUE"	"872"	"NEVI & MELANOMAS"	"8722/3"	"Balloon cell melanoma"
"C019"	"BASE OF TONGUE"	"872"	"NEVI & MELANOMAS"	"8723/3"	"Malignant melanoma, regressing"
"C019"	"BASE OF TONGUE"	"882"	"SARCOMA, NOS"	"8825/3"	"Myofibroblastic sarcoma"
"C019"	"BASE OF TONGUE"	"890"	"RHABDOMYOSARCOMA, NOS"	"8900/3"	"Rhabdomyosarcoma, NOS"
"C019"	"BASE OF TONGUE"	"890"	"RHABDOMYOSARCOMA, NOS"	"8901/3"	"Pleomorphic rhabdomyosarcoma, adult type"
"C019"	"BASE OF TONGUE"	"890"	"RHABDOMYOSARCOMA, NOS"	"8902/3"	"Mixed type rhabdomyosarcoma"
"C019"	"BASE OF TONGUE"	"891"	"EMBRYONAL RHABDOMYOSARCOMA"	"8910/3"	"Embryonal rhabdomyosarcoma"
"C019"	"BASE OF TONGUE"	"891"	"EMBRYONAL RHABDOMYOSARCOMA"	"8912/3"	"Spindle cell rhabdomyosarcoma"
"C019"	"BASE OF TONGUE"	"894"	"MIXED TUMOR, MALIGNANT, NOS"	"8940/3"	"Mixed tumor, malignant, NOS"
"C019"	"BASE OF TONGUE"	"894"	"MIXED TUMOR, MALIGNANT, NOS"	"8941/3"	"Carcinoma in pleomorphic adenoma"
"C019"	"BASE OF TONGUE"	"914"	"KAPOSI SARCOMA"	"9140/3"	"Kaposi sarcoma"
"C019"	"BASE OF TONGUE"	"959"	"MALIGNANT LYMPHOMA, NOS"	"9590/3"	"Malignant lymphoma, NOS"
"C019"	"BASE OF TONGUE"	"959"	"MALIGNANT LYMPHOMA, NOS"	"9591/3"	"Malignant lymphoma, non-Hodgkin"
"C019"	"BASE OF TONGUE"	"959"	"MALIGNANT LYMPHOMA, NOS"	"9596/3"	"Composite Hodgkin and non-Hodgkin lymphoma"
"C019"	"BASE OF TONGUE"	"965"	"HODGKIN LYMPHOMA"	"9650/3"	"Hodgkin lymphoma, NOS"
"C019"	"BASE OF TONGUE"	"965"	"HODGKIN LYMPHOMA"	"9651/3"	"Hodgkin lymphoma, lymphocyte-rich"
"C019"	"BASE OF TONGUE"	"965"	"HODGKIN LYMPHOMA"	"9652/3"	"Hodgkin lymphoma, mixed cellularity, NOS"
"C019"	"BASE OF TONGUE"	"965"	"HODGKIN LYMPHOMA"	"9653/3"	"Hodgkin lymphoma, lymphocytic deplet., NOS"
"C019"	"BASE OF TONGUE"	"965"	"HODGKIN LYMPHOMA"	"9654/3"	"Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis"
"C019"	"BASE OF TONGUE"	"965"	"HODGKIN LYMPHOMA"	"9655/3"	"Hodgkin lymphoma, lymphocyt. deplet., reticular"
"C019"	"BASE OF TONGUE"	"965"	"HODGKIN LYMPHOMA"	"9659/3"	"Hodgkin lymph., nodular lymphocyte predom."
"C019"	"BASE OF TONGUE"	"966"	"HODGKIN LYMPHOMA, NOD. SCLER."	"9661/3"	"Hodgkin granuloma [obs]"
"C019"	"BASE OF TONGUE"	"966"	"HODGKIN LYMPHOMA, NOD. SCLER."	"9662/3"	"Hodgkin sarcoma [obs]"
"C019"	"BASE OF TONGUE"	"966"	"HODGKIN LYMPHOMA, NOD. SCLER."	"9663/3"	"Hodgkin lymphoma, nodular sclerosis, NOS"
"C019"	"BASE OF TONGUE"	"966"	"HODGKIN LYMPHOMA, NOD. SCLER."	"9664/3"	"Hodgkin lymphoma, nod. scler., cellular phase"
"C019"	"BASE OF TONGUE"	"966"	"HODGKIN LYMPHOMA, NOD. SCLER."	"9665/3"	"Hodgkin lymphoma, nod. scler., grade 1"
"C019"	"BASE OF TONGUE"	"966"	"HODGKIN LYMPHOMA, NOD. SCLER."	"9667/3"	"Hodgkin lymphoma, nod. scler., grade 2"
"C019"	"BASE OF TONGUE"	"967"	"ML, SMALL B-CELL LYMPHOCYTIC"	"9670/3"	"ML, small B lymphocytic, NOS"
"C019"	"BASE OF TONGUE"	"967"	"ML, SMALL B-CELL LYMPHOCYTIC"	"9671/3"	"ML, lymphoplasmacytic"
"C019"	"BASE OF TONGUE"	"967"	"ML, SMALL B-CELL LYMPHOCYTIC"	"9673/3"	"Mantle cell lymphoma"
"C019"	"BASE OF TONGUE"	"967"	"ML, SMALL B-CELL LYMPHOCYTIC"	"9675/3"	"ML, mixed sm. and lg. cell, diffuse"
"C019"	"BASE OF TONGUE"	"968"	"ML, LARGE B-CELL, DIFFUSE"	"9680/3"	"ML, large B-cell, diffuse"
"C019"	"BASE OF TONGUE"	"968"	"ML, LARGE B-CELL, DIFFUSE"	"9684/3"	"ML, large B-cell, diffuse, immunoblastic, NOS"
"C019"	"BASE OF TONGUE"	"968"	"ML, LARGE B-CELL, DIFFUSE"	"9687/3"	"Burkitt lymphoma, NOS"
"C019"	"BASE OF TONGUE"	"968"	"ML, LARGE B-CELL, DIFFUSE"	"9688/3"	"T-cell histiocyte rich large B-cell lymphoma"
"C019"	"BASE OF TONGUE"	"969"	"FOLLIC. & MARGINAL LYMPH, NOS"	"9690/3"	"Follicular lymphoma, NOS"
"C019"	"BASE OF TONGUE"	"969"	"FOLLIC. & MARGINAL LYMPH, NOS"	"9691/3"	"Follicular lymphoma, grade 2"
"C019"	"BASE OF TONGUE"	"969"	"FOLLIC. & MARGINAL LYMPH, NOS"	"9695/3"	"Follicular lymphoma, grade 1"
"C019"	"BASE OF TONGUE"	"969"	"FOLLIC. & MARGINAL LYMPH, NOS"	"9698/3"	"Follicular lymphoma, grade 3"
"C019"	"BASE OF TONGUE"	"969"	"FOLLIC. & MARGINAL LYMPH, NOS"	"9699/3"	"Marginal zone B-cell lymphoma, NOS"
"C019"	"BASE OF TONGUE"	"970"	"T-CELL LYMPHOMAS"	"9701/3"	"Sezary syndrome"
"C019"	"BASE OF TONGUE"	"970"	"T-CELL LYMPHOMAS"	"9702/3"	"Mature T-cell lymphoma, NOS"
"C019"	"BASE OF TONGUE"	"970"	"T-CELL LYMPHOMAS"	"9705/3"	"Angioimmunoblastic T-cell lymphoma"
"C019"	"BASE OF TONGUE"	"971"	"OTHER SPEC. NON-HODGKIN LYMPHOMA"	"9712/3"	"Intravascular large B-cell lymphoma"
"C019"	"BASE OF TONGUE"	"971"	"OTHER SPEC. NON-HODGKIN LYMPHOMA"	"9714/3"	"Anaplastic large cell lymphoma, T-cell and Null cell type"
"C019"	"BASE OF TONGUE"	"971"	"OTHER SPEC. NON-HODGKIN LYMPHOMA"	"9719/3"	"NK/T-cell lymphoma, nasal and nasal-type"
"C019"	"BASE OF TONGUE"	"972"	"PRECURS. CELL LYMPHOBLASTIC LYMPH."	"9724/3"	"SystemicEBV pos. T-cell lymphoproliferative disease of childhood"
"C019"	"BASE OF TONGUE"	"972"	"PRECURS. CELL LYMPHOBLASTIC LYMPH."	"9727/3"	"Precursor cell lymphoblastic lymphoma, NOS"
"C019"	"BASE OF TONGUE"	"972"	"PRECURS. CELL LYMPHOBLASTIC LYMPH."	"9728/3"	"Precursor B-cell lymphoblastic lymphoma"
"C019"	"BASE OF TONGUE"	"972"	"PRECURS. CELL LYMPHOBLASTIC LYMPH."	"9729/3"	"Precursor T-cell lymphoblastic lymphoma"
"C019"	"BASE OF TONGUE"	"973"	"PLASMA CELL TUMORS"	"9731/3"	"Plasmacytoma, NOS"
"C019"	"BASE OF TONGUE"	"973"	"PLASMA CELL TUMORS"	"9734/3"	"Plasmacytoma, extramedullary"
"C019"	"BASE OF TONGUE"	"973"	"PLASMA CELL TUMORS"	"9735/3"	"Plasmablastic lymphoma"
"C019"	"BASE OF TONGUE"	"973"	"PLASMA CELL TUMORS"	"9737/3"	"ALK positive large B-cell lymphoma"
"C019"	"BASE OF TONGUE"	"973"	"PLASMA CELL TUMORS"	"9738/3"	"Lrg B-cell lymphoma in HHV8-assoc. multicentric Castleman DZ"
"C019"	"BASE OF TONGUE"	"974"	"MAST CELL TUMORS"	"9740/3"	"Mast cell sarcoma"
"C019"	"BASE OF TONGUE"	"974"	"MAST CELL TUMORS"	"9741/3"	"Malignant mastocytosis"
"C019"	"BASE OF TONGUE"	"975"	"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS"	"9750/3"	"Malignant histiocytosis"
