"code"	"str"	"relationship_id"	"snomed_id"	"snomed_code"	"snomed_name"	"precedence"
"8982/0"	"Myoepithelioma"	"Maps to"	"4239519"	"69291002"	"Myoepithelioma"	
"8903/0"	"Fetal rhabdomyoma"	"Maps to"	"4222443"	"40123003"	"Fetal rhabdomyoma"	
"8502/3"	"Secretory carcinoma of breast"	"Maps to"	"4224593"	"41919003"	"Juvenile carcinoma of the breast"	
"8500/3"	"Infiltrating duct carcinoma, NOS"	"Maps to"	"4221403"	"82711006"	"Infiltrating duct carcinoma"	
"9740/1"	"Mastocytoma, NOS"	"Maps to"	"4232798"	"89796001"	"Mastocytoma"	
"8322/3"	"Water-clear cell adenocarcinoma"	"Maps to"	"4216347"	"80727009"	"Water-clear cell adenocarcinoma"	
"8541/3"	"Paget disease and infiltrating duct carcinoma of breast"	"Maps to"	"4220365"	"82591005"	"Paget's disease and infiltrating duct carcinoma of breast"	
"8743/3"	"Superficial spreading melanoma"	"Maps to"	"4207824"	"55320002"	"Superficial spreading melanoma"	
"9401/3"	"Astrocytoma, anaplastic"	"Maps to"	"4206182"	"55353007"	"Astrocytoma, anaplastic"	
"8332/3"	"Follicular adenocarcinoma, trabecular"	"Maps to"	"4217518"	"72174007"	"Follicular adenocarcinoma, trabecular"	
"9000/3"	"Brenner tumor, malignant"	"Maps to"	"4173156"	"42194009"	"Brenner tumor, malignant"	
"8420/0"	"Ceruminous adenoma"	"Maps to"	"4199617"	"52707009"	"Ceruminous adenoma"	
"9695/3"	"Follicular lymphoma, grade 1"	"Maps to"	"4188203"	"46744002"	"Follicular lymphoma, grade 1"	
"8120/0"	"Transitional cell papilloma, benign"	"Maps to"	"4195789"	"44342003"	"Transitional cell papilloma, benign"	
"9691/3"	"Follicular lymphoma, grade 2"	"Maps to"	"4204524"	"55020008"	"Follicular lymphoma, grade 2"	
"8261/2"	"Adenocarcinoma in situ in villous adenoma"	"Maps to"	"4171344"	"4935000"	"Adenocarcinoma in situ in villous adenoma"	
"8241/3"	"Enterochromaffin cell carcinoid"	"Maps to"	"4174980"	"48554007"	"Enterochromaffin cell carcinoid"	
"9765/1"	"Monoclonal gammopathy of undetermined significance"	"Maps to"	"4149022"	"35601003"	"Monoclonal gammopathy of undetermined significance"	
"9080/1"	"Teratoma, NOS"	"Maps to"	"4185523"	"55818009"	"Teratoma"	
"8441/0"	"Serous cystadenoma, NOS"	"Maps to"	"4197571"	"51608009"	"Serous cystadenoma"	
"8470/3"	"Mucinous cystadenocarcinoma, NOS"	"Maps to"	"4193751"	"79143006"	"Mucinous cystadenocarcinoma"	
"8403/0"	"Eccrine spiradenoma"	"Maps to"	"4171693"	"4977000"	"Eccrine spiradenoma"	
"8480/0"	"Mucinous adenoma"	"Maps to"	"4141460"	"33170000"	"Mucinous adenoma"	
"8740/0"	"Junctional nevus, NOS"	"Maps to"	"4147980"	"30494009"	"Junctional nevus"	
"9561/3"	"Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation"	"Maps to"	"4146961"	"354002"	"Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation"	
"8550/3"	"Acinar cell carcinoma"	"Maps to"	"4164740"	"45410002"	"Acinar cell carcinoma"	
"8822/1"	"Abdominal fibromatosis"	"Maps to"	4266648	399991002	"Fibromatous neoplasm of borderline malignancy"	
"8140/0"	"Adenoma, NOS"	"Maps to"	"4138073"	"32048006"	"Adenoma"	
"8693/3"	"Extra-adrenal paraganglioma, malignant"	"Maps to"	"4137596"	"32512003"	"Extra-adrenal paraganglioma, malignant"	
"8933/3"	"Adenosarcoma"	"Maps to"	"4135215"	"31470003"	"Adenosarcoma"	
"8631/0"	"Sertoli-Leydig cell tumor, well differentiated"	"Maps to"	"4143601"	"34110004"	"Sertoli-Leydig cell tumor, well differentiated"	
"8310/3"	"Clear cell adenocarcinoma, NOS"	"Maps to"	"4148292"	"30546008"	"Clear cell adenocarcinoma"	
"8852/3"	"Myxoid liposarcoma"	"Maps to"	"4101123"	"27849002"	"Myxoid liposarcoma"	
"8800/3"	"Sarcoma, NOS"	"Maps to"	"4084784"	"2424003"	"Sarcoma"	
"9381/3"	"Gliomatosis cerebri"	"Maps to"	"4094384"	"26138003"	"Gliomatosis cerebri"	
"9013/0"	"Adenofibroma, NOS"	"Maps to"	"4106411"	"2962009"	"Adenofibroma"	
"8110/3"	"Pilomatrix carcinoma"	"Maps to"	"4085504"	"24762001"	"Pilomatrix carcinoma"	
"8022/3"	"Pleomorphic carcinoma"	"Maps to"	"4055959"	"16741004"	"Pleomorphic carcinoma"	
"8941/3"	"Carcinoma in pleomorphic adenoma"	"Maps to"	"4066512"	"17264009"	"Carcinoma ex pleomorphic adenoma"	
"8153/3"	"Gastrinoma, malignant"	"Maps to"	"4059440"	"19756007"	"Gastrinoma, malignant"	
"8744/3"	"Acral lentiginous melanoma, malignant"	"Maps to"	"4061266"	"16974005"	"Acral lentiginous melanoma, malignant"	
"8860/0"	"Angiomyolipoma"	"Maps to"	"4063049"	"19929002"	"Angiomyolipoma"	
"8440/3"	"Cystadenocarcinoma, NOS"	"Maps to"	"4050978"	"21008007"	"Cystadenocarcinoma"	
"8904/0"	"Adult rhabdomyoma"	"Maps to"	"4052327"	"16107003"	"Adult rhabdomyoma"	
"9100/1"	"Invasive hydatidiform mole"	"Maps to"	"4077588"	"18799007"	"Invasive hydatidiform mole"	
"9273/0"	"Cementoblastoma, benign"	"Maps to"	"4051627"	"23255001"	"Cementoblastoma, benign"	
"8077/2"	"Squamous intraepithelial neoplasia, high grade"	"Maps to"	"4069557"	"20365006"	"Squamous intraepithelial neoplasia, high grade"	
"8453/2"	"Intraductal papillary-mucinous carcinoma, non-invasive"	"Maps to"	"4030115"	"128691004"	"Intraductal papillary-mucinous carcinoma, non-invasive"	
"8454/0"	"Cystic tumor of atrio-ventricular node"	"Maps to"	"4030116"	"128693001"	"Cystic tumor of atrio-ventricular node"	
"8583/1"	"Thymoma, type B1, NOS"	"Maps to"	"4030125"	"128711009"	"Thymoma, type B1"	
"8317/3"	"Renal cell carcinoma, chromophobe type"	"Maps to"	"4028883"	"128667008"	"Renal cell carcinoma, chromophobe cell"	
"8335/3"	"Follicular carcinoma, minimally invasive"	"Maps to"	"4028885"	"128671006"	"Follicular carcinoma, minimally invasive"	
"9840/3"	"Acute myeloid leukemia, M6 type"	"Maps to"	"4031360"	"14317002"	"Acute myeloid leukemia, M6 type"	
"9538/3"	"Papillary meningioma"	"Maps to"	"4030268"	"128840000"	"Papillary meningioma"	
"8150/1"	"Pancreatic endocrine tumor, NOS"	"Maps to"	"4030276"	"128878003"	"Pancreatic endocrine tumor"	
"8631/3"	"Sertoli-Leydig cell tumor, poorly differentiated"	"Maps to"	"4030283"	"128906004"	"Sertoli-Leydig cell tumor, poorly differentiated"	
"8345/3"	"Medullary carcinoma with amyloid stroma"	"Maps to"	"4030286"	"128916007"	"Medullary carcinoma with amyloid stroma"	
"8005/3"	"Malignant tumor, clear cell type"	"Maps to"	"4029970"	"128627007"	"Malignant tumor, clear cell type"	
"8013/3"	"Large cell neuroendocrine carcinoma"	"Maps to"	"4029971"	"128628002"	"Large cell neuroendocrine carcinoma"	
"8173/3"	"Hepatocellular carcinoma, spindle cell variant"	"Maps to"	"4029980"	"128648009"	"Hepatocellular carcinoma, spindle cell variant"	
"8337/3"	"Insular carcinoma"	"Maps to"	"4029989"	"128673009"	"Insular carcinoma"	
"9195/3"	"Intracortical osteosarcoma"	"Maps to"	"4029654"	"128774006"	"Intracortical osteosarcoma"	
"9054/0"	"Adenomatoid tumor, NOS"	"Maps to"	"4053032"	"2348006"	"Adenomatoid tumor"	
"8711/3"	"Glomus tumor, malignant"	"Maps to"	"4028856"	"128908003"	"Glomus tumor, malignant"	
"8174/3"	"Hepatocellular carcinoma, clear cell type"	"Maps to"	"4029506"	"128649001"	"Hepatocellular carcinoma, clear cell type"	
"8507/2"	"Intraductal micropapillary carcinoma"	"Maps to"	"4029513"	"128696009"	"Intraductal micropapillary carcinoma"	
"8806/3"	"Desmoplastic small round cell tumor"	"Maps to"	"4029522"	"128735004"	"Desmoplastic small round cell tumor"	
"8827/1"	"Myofibroblastic tumor, peribronchial"	"Maps to"	"4029524"	"128740007"	"Myofibroblastic tumor, peribronchial"	
"8862/0"	"Chondroid lipoma"	"Maps to"	"4029022"	"128746001"	"Chondroid lipoma"	
"8921/3"	"Rhabdomyosarcoma with ganglionic differentiation"	"Maps to"	"4029024"	"128750008"	"Rhabdomyosarcoma with ganglionic differentiation"	
"9373/0"	"Parachordoma"	"Maps to"	"4029034"	"128786009"	"Parachordoma"	
"8391/0"	"Follicular fibroma"	"Maps to"	"4029009"	"128683008"	"Follicular fibroma"	
"8524/3"	"Infiltrating lobular mixed with other types of carcinoma"	"Maps to"	"4029014"	"128701002"	"Infiltrating lobular mixed with other types of carcinoma"	
"9897/3"	"Acute myeloid leukemia, 11q23 abnormalities"	"Maps to"	"4029663"	"128829008"	"Acute myeloid leukemia, 11q23 abnormalities"	
"9948/3"	"Aggressive NK-cell leukemia"	"Maps to"	"4029664"	"128833001"	"Aggressive NK-cell leukemia"	
"8451/1"	"Papillary cystadenoma, borderline malignancy"	"Maps to"	"4029671"	"128850004"	"Papillary cystadenoma, borderline malignancy"	
"8640/1"	"Sertoli cell tumor, NOS"	"Maps to"	"4029673"	"128857001"	"Sertoli cell tumor"	
"8040/0"	"Tumorlet, benign"	"Maps to"	"4029677"	"128876004"	"Tumorlet, benign"	
"8408/1"	"Aggressive digital papillary adenoma"	"Maps to"	"4029686"	"128897003"	"Aggressive digital papillary adenoma"	
"8102/3"	"Trichilemmocarcinoma"	"Maps to"	"4029501"	"128624000"	"Trichilemmocarcinoma"	
"8967/0"	"Ossifying renal tumor"	"Maps to"	"4029534"	"128762007"	"Ossifying renal tumor"	
"8245/1"	"Tubular carcinoid"	"Maps to"	"4028852"	"128889005"	"Tubular carcinoid"	
"9699/3"	"Marginal zone B-cell lymphoma, NOS"	"Maps to"	"4028704"	"128803008"	"Marginal zone B-cell lymphoma"	
"9754/3"	"Langerhans cell histiocytosis, disseminated"	"Maps to"	"4028708"	"128812005"	"Langerhans cell histiocytosis, disseminated"	
"9831/1"	"T-cell large granular lymphocytic leukemia"	"Maps to"	"4028712"	"128819001"	"T-cell large granular lymphocytic leukemia"	
"9980/3"	"Refractory anemia"	"Maps to"	"4028717"	"128845005"	"Refractory anemia"	
"9015/3"	"Mucinous adenocarcinofibroma"	"Maps to"	"4028728"	"128888002"	"Mucinous adenocarcinofibroma"	
"8213/0"	"Serrated adenoma"	"Maps to"	"4028538"	"128653004"	"Serrated adenoma"	
"8582/3"	"Thymoma, type AB, malignant"	"Maps to"	"4028551"	"128710005"	"Thymoma, type AB, malignant"	
"9015/0"	"Mucinous adenofibroma, NOS"	"Maps to"	"4028095"	"10705005"	"Mucinous adenofibroma"	
"8560/0"	"Mixed squamous cell and glandular papilloma"	"Maps to"	"4027399"	"107692003"	"Mixed squamous cell and glandular papilloma"	
"8593/1"	"Stromal tumor with minor sex cord elements"	"Maps to"	"4030127"	"128723003"	"Stromal tumor with minor sex cord elements"	
"8642/1"	"Large cell calcifying Sertoli cell tumor"	"Maps to"	"4030128"	"128728007"	"Large cell calcifying Sertoli cell tumor"	
"8834/1"	"Giant cell fibroblastoma"	"Maps to"	"4030132"	"128742004"	"Giant cell fibroblastoma"	
"8959/0"	"Benign cystic nephroma"	"Maps to"	"4030135"	"128757006"	"Benign cystic nephroma"	
"9987/3"	"Therapy-related myelodysplastic syndrome, NOS"	"Maps to"	"4030267"	"128838005"	"Therapy-related myelodysplastic syndrome"	
"8981/3"	"Carcinosarcoma, embryonal"	"Maps to"	"4012802"	"112685006"	"Carcinosarcoma, embryonal"	
"8730/0"	"Nonpigmented nevus"	"Maps to"	"4010102"	"112680001"	"Nonpigmented nevus"	
"9725/3"	"Hydroa vacciniforme-like lymphoma"	"Maps to"	"42872912"	"450907007"	"Hydroa vacciniforme-like lymphoma"	
"9807/3"	"Mixed phenotype acute leukemia with t(v;11q23); MLL rearranged"	"Maps to"	"42872920"	"450915005"	"Mixed phenotype acute leukemia with t(v;11q23); MLL rearranged"	
"9965/3"	"Myeloid and lymphoid neoplasms with PDGFRA rearrangement"	"Maps to"	"42872945"	"450940003"	"Myeloid or lymphoid neoplasm with alpha-type platelet-derived growth factor receptor gene rearrangement"	
"9991/3"	"Refractory neutropenia"	"Maps to"	"42872951"	"450946009"	"Refractory neutropenia"	
"9815/3"	"B lymphoblastic leukemia/lymphoma with hyperdiploidy"	"Maps to"	"42872958"	"450953000"	"B lymphoblastic leukemia lymphoma with hyperdiploidy"	
"8163/0"	"Pancreatobiliary neoplasm, non-invasive"	"Maps to"	"42872897"	"450892008"	"Non-invasive pancreatobiliary neoplasm"	
"8163/2"	"Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia"	"Maps to"	"42872898"	"450893003"	"Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia"	
