CONCEPT_NAME_1	CONCEPT_CLASS_ID_1	CONCEPT_ID_2	CONCEPT_NAME_2	INVALID_REASON_2	PRECEDENCE	CONVERSION_FACTOR
INTRATHECAL SUSPENSION	Dose Form	19082104	Injectable Suspension		2	
Intrathoracic Liquid	Dose Form	19082103	Injectable Solution		1	
Intrathoracic Liquid	Dose Form	19082104	Injectable Suspension		2	
INTRATRACHEAL LIQUID	Dose Form	19082110	Mucous Membrane Topical Solution		1	
INTRATRACHEAL POWDER FOR SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
INTRATRACHEAL SUSPENSION	Dose Form	35606051	Intratracheal Suspension		1	
INTRAUTERINE INSERT (EXTENDED-RELEASE)	Dose Form	19124968	Drug Implant		1	
INTRAUTERINE LIQUID	Dose Form	19082103	Injectable Solution		1	
Intrauterine Powder For Suspension	Dose Form	19082104	Injectable Suspension		1	
INTRAVASCULAR LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRAVASCULAR LIQUID	Dose Form	19082104	Injectable Suspension		2	
INTRAVASCULAR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRAVASCULAR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRAVENOUS EMULSION	Dose Form	19082103	Injectable Solution		2	
INTRAVENOUS EMULSION	Dose Form	19082104	Injectable Suspension		1	
INTRAVENOUS FOAM	Dose Form	19082103	Injectable Solution		1	
INTRAVENOUS FOAM	Dose Form	19082104	Injectable Suspension		2	
INTRAVENOUS KIT	Dose Form	19082103	Injectable Solution		1	
INTRAVENOUS KIT	Dose Form	19082104	Injectable Suspension		2	
INTRAVENOUS LIPOSOMES	Dose Form	19082104	Injectable Suspension		1	
INTRAVENOUS LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRAVENOUS LIQUID	Dose Form	19082104	Injectable Suspension		2	
INTRAVENOUS POWDER	Dose Form	19082103	Injectable Solution		1	
INTRAVENOUS POWDER	Dose Form	19082104	Injectable Suspension		2	
INTRAVENOUS POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRAVENOUS POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRAVENOUS POWDER FOR SUSPENSION	Dose Form	19082103	Injectable Solution		2	
INTRAVENOUS POWDER FOR SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
INTRAVENOUS SOLUTION	Dose Form	19082106	Intravenous Solution		1	
INTRAVENOUS SUSPENSION	Dose Form	19082104	Injectable Suspension		2	
INTRAVENOUS SUSPENSION	Dose Form	19095915	Intravenous Suspension		1	
Intravesical Kit	Dose Form	19082228	Topical Solution		1	
INTRAVESICAL POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRAVESICAL POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRAVESICAL POWDER FOR SUSPENSION	Dose Form	19082103	Injectable Solution		2	
INTRAVESICAL POWDER FOR SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
INTRAVESICAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRAVESICAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRAVESICULAR LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRAVESICULAR LIQUID	Dose Form	19082104	Injectable Suspension		2	
INTRAVESICULAR POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRAVESICULAR POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRAVITREAL IMPLANT	Dose Form	19124968	Drug Implant		1	
INTRAVITREAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRAVITREAL SOLUTION	Dose Form	46234469	Injection		2	
INTRAVITREAL SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
IRRIGATION LIQUID	Dose Form	19016586	Irrigation Solution		1	
IRRIGATION POWDER FOR SOLUTION	Dose Form	19016586	Irrigation Solution		1	
IRRIGATION SOLUTION	Dose Form	19016586	Irrigation Solution		1	
IRRIGATION TABLET	Dose Form	19016586	Irrigation Solution		1	
Liquid	Dose Form	19082103	Injectable Solution		1	
Liquid	Dose Form	19082170	Oral Solution		2	
Liquid	Dose Form	19082228	Topical Solution		3	
Miscellaneous Syrup	Dose Form	19082170	Oral Solution		1	
Miscellaneous Syrup	Dose Form	19082191	Oral Suspension		2	
"NASAL AEROSOL, METERED DOSE"	Dose Form	19126919	Nasal Inhaler		1	
"NASAL AEROSOL, METERED DOSE"	Dose Form	19011167	Nasal Spray		2	
NASAL DROPS	Dose Form	19082165	Nasal Solution		1	
NASAL GEL	Dose Form	19082163	Nasal Gel		1	
NASAL JELLY	Dose Form	19082163	Nasal Gel		1	
NASAL LIQUID	Dose Form	19082165	Nasal Solution		1	
NASAL METERED-DOSE AEROSOL	Dose Form	19126919	Nasal Inhaler		1	
NASAL METERED-DOSE AEROSOL	Dose Form	19011167	Nasal Spray		2	
NASAL METERED-DOSE PUMP	Dose Form	19126919	Nasal Inhaler		1	
NASAL METERED-DOSE PUMP	Dose Form	19011167	Nasal Spray		2	
NASAL OINTMENT	Dose Form	19082164	Nasal Ointment		1	
Nasal Powder	Dose Form	19126919	Nasal Inhaler		1	
NASAL SOLUTION	Dose Form	19082165	Nasal Solution		1	
NASAL SPRAY	Dose Form	19011167	Nasal Spray		1	
"NASAL SPRAY, METERED DOSE"	Dose Form	19011167	Nasal Spray		1	
NASAL SUSPENSION	Dose Form	19095977	Nasal Suspension		1	
Nasogastric Capsule (Delayed Release)	Dose Form	19082255	Delayed Release Oral Capsule		1	
Nasogastric Powder For Solution	Dose Form	19095976	Oral Powder		1	
Nasogastric Powder For Solution	Dose Form	19082170	Oral Solution		2	
OPHTHALMIC DROPS	Dose Form	19129634	Ophthalmic Solution		1	
OPHTHALMIC EMULSION	Dose Form	19082167	Ophthalmic Suspension		1	
OPHTHALMIC GEL	Dose Form	19082166	Ophthalmic Gel		1	
OPHTHALMIC INSERT	Dose Form	19124968	Drug Implant		1	
Ophthalmic Kit	Dose Form	19129634	Ophthalmic Solution		1	
OPHTHALMIC LIQUID	Dose Form	19129634	Ophthalmic Solution		1	
OPHTHALMIC LOTION	Dose Form	19082167	Ophthalmic Suspension		1	
OPHTHALMIC OINTMENT	Dose Form	19135925	Ophthalmic Ointment		1	
OPHTHALMIC POWDER FOR SOLUTION	Dose Form	19129634	Ophthalmic Solution		1	
OPHTHALMIC SOLUTION	Dose Form	19129634	Ophthalmic Solution		1	
OPHTHALMIC SOLUTION (LONG-ACTING)	Dose Form	19129634	Ophthalmic Solution		1	
OPHTHALMIC STRIP	Dose Form	19124968	Drug Implant		1	
OPHTHALMIC SUSPENSION	Dose Form	19082167	Ophthalmic Suspension		1	
ORAL AEROSOL	Dose Form	19095911	Oral Spray		1	
ORAL BAR (CHEWABLE)	Dose Form	19082075	Chewable Bar		1	
ORAL CAPSULE	Dose Form	19082168	Oral Capsule		1	
ORAL CAPSULE (CONTROLLED-DELIVERY)	Dose Form	19082077	Extended Release Oral Capsule		1	
ORAL CAPSULE (DELAYED RELEASE)	Dose Form	19082255	Delayed Release Oral Capsule		1	
ORAL CAPSULE (ENTERIC-COATED)	Dose Form	19082255	Delayed Release Oral Capsule		1	
ORAL CAPSULE (EXTENDED RELEASE)	Dose Form	19082077	Extended Release Oral Capsule		1	
ORAL CAPSULE (IMMEDIATE AND DELAYED RELEASE)	Dose Form	19082077	Extended Release Oral Capsule		1	
ORAL CAPSULE (IMMEDIATE AND DELAYED RELEASE)	Dose Form	19082255	Delayed Release Oral Capsule		2	
ORAL CAPSULE (IMMEDIATE AND EXTENDED RELEASE)	Dose Form	19082077	Extended Release Oral Capsule		1	
ORAL CAPSULE (IMMEDIATE AND EXTENDED RELEASE)	Dose Form	19082255	Delayed Release Oral Capsule		2	
ORAL CAPSULE (IMMEDIATE RELEASE)	Dose Form	19082077	Extended Release Oral Capsule		1	
ORAL CAPSULE (SUSTAINED-RELEASE)	Dose Form	19082077	Extended Release Oral Capsule		1	
ORAL CAPSULE (SUSTAINED-RELEASE)	Dose Form	19082255	Delayed Release Oral Capsule		2	
ORAL CREAM	Dose Form	19082169	Oral Cream		1	
ORAL DROPS	Dose Form	19082170	Oral Solution		1	
ORAL ELIXIR	Dose Form	19082191	Oral Suspension		1	
ORAL EMULSION	Dose Form	19082191	Oral Suspension		1	
"ORAL FILM, SOLUBLE"	Dose Form	19082076	Disintegrating Oral Tablet		1	
Oral Gas	Dose Form	19082258	Gas for Inhalation			
ORAL GEL	Dose Form	19095916	Oral Gel		1	
ORAL GLOBULES	Dose Form	19082573	Oral Tablet		1	
ORAL GRANULES	Dose Form	19082651	Oral Granules		1	
Oral Granules (Effervescents)	Dose Form	19082651	Oral Granules			
ORAL GRANULES FOR SOLUTION	Dose Form	19082170	Oral Solution		2	
ORAL GRANULES FOR SOLUTION	Dose Form	19082651	Oral Granules		1	
ORAL GRANULES FOR SUSPENSION	Dose Form	19082191	Oral Suspension		2	
ORAL GRANULES FOR SUSPENSION	Dose Form	19082651	Oral Granules		1	
"ORAL GRANULES FOR SUSPENSION, DELAYED RELEASE"	Dose Form	19082191	Oral Suspension		2	
"ORAL GRANULES FOR SUSPENSION, DELAYED RELEASE"	Dose Form	19082651	Oral Granules		1	
"ORAL GRANULES FOR SUSPENSION,EXTENDED RELEASE"	Dose Form	19082191	Oral Suspension		2	
"ORAL GRANULES FOR SUSPENSION,EXTENDED RELEASE"	Dose Form	19082651	Oral Granules		1	
ORAL GUM	Dose Form	19102296	Chewing Gum		1	
ORAL JAM	Dose Form	19095916	Oral Gel		1	
ORAL JAM	Dose Form	19095918	Oral Paste		2	
ORAL KIT	Dose Form	19082168	Oral Capsule		1	
ORAL KIT	Dose Form	19082170	Oral Solution		2	
ORAL KIT	Dose Form	19082573	Oral Tablet		3	
ORAL LEAF	Dose Form	19082651	Oral Granules		1	
ORAL LIQUID	Dose Form	19082170	Oral Solution		1	
ORAL LIQUID	Dose Form	19082191	Oral Suspension		2	
ORAL LOTION	Dose Form	19082169	Oral Cream		2	
ORAL LOTION	Dose Form	19082191	Oral Suspension		1	
ORAL LOZENGE	Dose Form	19082253	Oral Lozenge		1	
ORAL LOZENGE	Dose Form	19082573	Oral Tablet		2	
ORAL METERED-DOSE AEROSOL	Dose Form	19126918	Metered Dose Inhaler		1	
ORAL MOUTHWASH/GARGLE	Dose Form	19126590	Mouthwash		1	
ORAL PACKAGE	Dose Form	19082168	Oral Capsule		1	
ORAL PACKAGE	Dose Form	19082170	Oral Solution		3	
ORAL PACKAGE	Dose Form	19082573	Oral Tablet		2	
ORAL PAINT	Dose Form	19082253	Oral Lozenge		1	
ORAL PASTE	Dose Form	19082169	Oral Cream		2	
ORAL PASTE	Dose Form	19095918	Oral Paste		1	
ORAL PELLET	Dose Form	19082573	Oral Tablet		2	
ORAL PELLET	Dose Form	19082652	Oral Pellet		1	
ORAL PIECE (CHEWABLE)	Dose Form	19135866	Chewable Tablet		1	
ORAL PIECE (CHEWABLE)	Dose Form	19082573	Oral Tablet		2	
ORAL POWDER	Dose Form	19095976	Oral Powder		1	
ORAL POWDER (EFFERVESCENT)	Dose Form	19095976	Oral Powder		1	
ORAL POWDER (EFFERVESCENT)	Dose Form	19082170	Oral Solution		2	
ORAL POWDER (ENTERIC-COATED)	Dose Form	19095976	Oral Powder		1	
ORAL POWDER FOR SOLUTION	Dose Form	19095976	Oral Powder		1	
ORAL POWDER FOR SOLUTION	Dose Form	19082170	Oral Solution		2	
ORAL POWDER FOR SUSPENSION	Dose Form	19095976	Oral Powder		1	
ORAL POWDER FOR SUSPENSION	Dose Form	19082191	Oral Suspension		2	
ORAL SEED	Dose Form	19082651	Oral Granules		1	
ORAL SOLUTION	Dose Form	19082170	Oral Solution		1	
ORAL SPRAY	Dose Form	19095911	Oral Spray		1	
ORAL STRIP	Dose Form	19126316	Oral Strip		1	
Oral Suppository	Dose Form	19082573	Oral Tablet		1	
ORAL SUSPENSION	Dose Form	19082191	Oral Suspension		1	
ORAL SWAB	Dose Form	19130307	Medicated Pad		1	
ORAL SYRUP	Dose Form	19082170	Oral Solution		1	
ORAL SYRUP	Dose Form	19082191	Oral Suspension		2	
ORAL SYRUP (EXTENDED-RELEASE)	Dose Form	19082170	Oral Solution		1	
ORAL SYRUP (EXTENDED-RELEASE)	Dose Form	19082191	Oral Suspension		2	
ORAL TABLET	Dose Form	19082573	Oral Tablet		1	
ORAL TABLET (CHEWABLE)	Dose Form	19135866	Chewable Tablet		1	
ORAL TABLET (CHEWABLE)	Dose Form	19082573	Oral Tablet		2	
ORAL TABLET (COMBINED RELEASE)	Dose Form	19082079	Extended Release Oral Tablet		2	
ORAL TABLET (COMBINED RELEASE)	Dose Form	19001949	Delayed Release Oral Tablet		1	
ORAL TABLET (DELAYED AND EXTENDED RELEASE)	Dose Form	19082080	Extended Release Suspension		2	
ORAL TABLET (DELAYED AND EXTENDED RELEASE)	Dose Form	19001949	Delayed Release Oral Tablet		1	
ORAL TABLET (DELAYED-RELEASE)	Dose Form	19001949	Delayed Release Oral Tablet		1	
ORAL TABLET (EFFERVESCENT)	Dose Form	19082076	Disintegrating Oral Tablet		1	
ORAL TABLET (EFFERVESCENT)	Dose Form	19082573	Oral Tablet		2	
ORAL TABLET (ENTERIC-COATED)	Dose Form	19001949	Delayed Release Oral Tablet		1	
ORAL TABLET (EXTENDED-RELEASE)	Dose Form	19082079	Extended Release Oral Tablet		1	
ORAL TABLET (IMMEDIATE AND DELAYED-RELEASE)	Dose Form	19082079	Extended Release Oral Tablet		1	
ORAL TABLET (IMMEDIATE AND DELAYED-RELEASE)	Dose Form	19001949	Delayed Release Oral Tablet		2	
ORAL TABLET (IMMEDIATE AND EXTENDED RELEASE)	Dose Form	19082079	Extended Release Oral Tablet		1	
ORAL TABLET (IMMEDIATE AND EXTENDED RELEASE)	Dose Form	19001949	Delayed Release Oral Tablet		2	
ORAL TABLET (IMMEDIATE RELEASE)	Dose Form	19082079	Extended Release Oral Tablet		1	
ORAL TABLET (ORALLY DISINTEGRATING)	Dose Form	19082076	Disintegrating Oral Tablet		1	
ORAL TABLET (ORALLY DISINTEGRATING)	Dose Form	19082573	Oral Tablet		2	
