CONCEPT_NAME_1	CONCEPT_CLASS_ID_1	CONCEPT_ID_2	CONCEPT_NAME_2	PRECEDENCE	CONVERSION_FACTOR
ALUMINUM HYDROXIDE	Ingredient	985247	Aluminum Hydroxide	1	
ALUMINUM OXIDE	Ingredient	19123348	Aluminum Oxide	1	
ALUMINUM POTASSIUM SULFATE	Ingredient	19115033	aluminum potassium sulfate	1	
ALUMINUM SULFATE	Ingredient	19030692	aluminum sulfate	1	
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY	Ingredient	42898269	ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY	1	
ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLYCINE	Ingredient	42898269	ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY	1	
AMANTADINE HYDROCHLORIDE	Ingredient	19087090	Amantadine	1	
AMBER	Ingredient	42898385	Amber	1	
AMBRISENTAN	Ingredient	1337068	ambrisentan	1	
AMCINONIDE	Ingredient	930747	amcinonide	1	
AMIFOSTINE	Ingredient	1350040	Amifostine	1	
AMIKACIN SULFATE	Ingredient	1790868	Amikacin	1	
AMILORIDE HYDROCHLORIDE	Ingredient	991382	Amiloride	1	
AMINOBENZOIC ACID	Ingredient	19018384	4-Aminobenzoic Acid	1	
AMINOGLUTETHIMIDE	Ingredient	1503057	Aminoglutethimide	1	
AMINOHIPPURATE SODIUM	Ingredient	19053177	p-Aminohippurate	1	
AMINOLEVULINIC ACID HYDROCHLORIDE	Ingredient	904351	Aminolevulinic Acid	1	
AMINOPHYLLINE	Ingredient	1105775	Aminophylline	1	
AMIODARONE HYDROCHLORIDE	Ingredient	1309944	Amiodarone	1	
AMITRIPTYLINE HYDROCHLORIDE	Ingredient	710062	Amitriptyline	1	
AMITRIPTYLINE PAMOATE	Ingredient	710062	Amitriptyline	1	
AMLEXANOX	Ingredient	957623	amlexanox	1	
AMLODIPINE BESYLATE	Ingredient	1332418	Amlodipine	1	
AMMONIA	Ingredient	42800417	Ammonia	1	
AMMONIACUM	Ingredient	19126894	Ammonium	2	
AMMONIACUM	Ingredient	42903733	Ammoniac	1	
AMMONIUM ACETATE	Ingredient	43012226	ammonium acetate	1	
AMMONIUM BICARBONATE	Ingredient	42900380	ammonium carbonate	1	
AMMONIUM BROMIDE	Ingredient	42903613	ammonium bromide	1	
AMMONIUM CARBONATE	Ingredient	42900380	ammonium carbonate	1	
AMMONIUM CHLORIDE	Ingredient	912362	Ammonium Chloride	1	
AMMONIUM HYDROXIDE	Ingredient	43012227	ammonium hydroxide	1	
AMMONIUM IODIDE	Ingredient	35603103	ammonium iodide	1	
AMMONIUM LAURYL SULFATE IODINE COMPLEX	Ingredient	43531864	AMMONIUM LAURYL SULFATE	1	
AMMONIUM PHOSPHATE	Ingredient	19032612	ammonium phosphate	1	
AMMONIUM PHOSPHATE DIBASIC	Ingredient	19032612	ammonium phosphate	1	
AMMONIUM VALERATE	Ingredient	44507572	AMMONIUM VALERATE	1	
AMOBARBITAL SODIUM	Ingredient	712757	Amobarbital	1	
AMOXAPINE	Ingredient	713109	Amoxapine	1	
AMOXICILLIN	Ingredient	1713332	Amoxicillin	1	
AMOXICILLIN TRIHYDRATE	Ingredient	1713332	Amoxicillin	1	
AMPELOPSIS QUINQUEFOLIA	Ingredient	43126059	Ampelopsis Quinquefolia for homeopathic preparations	1	
AMPHETAMINE ASPARTATE MONOHYDRATE	Ingredient	714785	Amphetamine	1	
AMPHETAMINE SULFATE	Ingredient	714785	Amphetamine	1	
AMPHOTERICIN B	Ingredient	1717240	Amphotericin B	1	
AMPICILLIN	Ingredient	1717327	Ampicillin	1	
AMPICILLIN SODIUM	Ingredient	1717327	Ampicillin	1	
AMPRENAVIR	Ingredient	1789428	Amprenavir	1	
AMRINONE LACTATE	Ingredient	19017805	Inamrinone	1	
AMSACRINE	Ingredient	19017810	Amsacrine	1	
AMYL CINNAMAL	Ingredient	42898276	AMYL CINNAMAL	1	
AMYL NITRITE	Ingredient	1319051	Amyl Nitrite	1	
AMYLASE	Ingredient	919204	Amylases	1	
AMYLMETACRESOL	Ingredient	19055907	amylmetacresol	1	
AMYLOCAINE HYDROCHLORIDE	Ingredient	19048016	amylocaine	1	
AMYLOPSIN	Ingredient	919204	Amylases	1	
ANACARDIUM OCCIDENTALE	Ingredient	42904262	Anacardium occidentale fruit extract	1	
ANAGALLIS ARVENSIS	Ingredient	42904032	Anagallis arvensis extract	1	
ANAGRELIDE HYDROCHLORIDE	Ingredient	1381253	anagrelide	1	
ANAGRELIDE HYDROCHLORIDE MONOHYDRATE	Ingredient	1381253	anagrelide	1	
ANAKINRA	Ingredient	1114375	anakinra	1	
ANASTROZOLE	Ingredient	1348265	anastrozole	1	
ANCESTIM	Ingredient	19018070	ancestim	1	
ANCROD	Ingredient	19024544	Ancrod	1	
ANEMARRHENA RHIZOME	Ingredient	35603463	Anemarrhena asphodeloides root extract	1	
ANEMONE NEMOROSA	Ingredient	42898324	Anemone nemorosa extract	1	
ANETHOLE	Ingredient	19032630	anethole	1	
ANETHOLE TRITHIONE	Ingredient	19041226	Anethole Trithione	1	
ANGELICA	Ingredient	42898278	ANGELICA ROOT OIL	2	
ANGELICA	Ingredient	1319232	Angelica sinensis preparation	1	
ANGELICA	Ingredient	46221714	Angelica seed extract	3	
ANGELICA ROOT	Ingredient	42898327	Angelica archangelica root extract	1	
ANGUSTURA VERA	Ingredient	43126068	Angustura Vera for homeopathic preparations	1	
ANIDULAFUNGIN	Ingredient	19026450	anidulafungin	1	
ANILERIDINE HYDROCHLORIDE	Ingredient	19032662	anileridine	1	
ANILERIDINE PHOSPHATE	Ingredient	19032662	anileridine	1	
ANILINE	Ingredient	44507464	Aniline	1	
ANISE	Ingredient	42900113	Star anise fruit extract	2	
ANISE	Ingredient	42904099	Star anise extract	1	
ANISE	Ingredient	42899764	STAR ANISE OIL	3	
ANISE	Ingredient	46275921	star anise whole extract	4	
ANISTREPLASE	Ingredient	19044890	Anistreplase	1	
ANTAZOLINE PHOSPHATE	Ingredient	951237	Antazoline	1	
ANTAZOLINE SULFATE	Ingredient	951237	Antazoline	1	
ANTIHEMOPHILIC FACTOR (HUMAN)	Ingredient	1352213	Factor VIII	1	
Antihemophilic Factor (Recombinant BDD), FC Fusion Protein	Ingredient	44785020	factor VII	1	
ANTIHEMOPHILIC FACTOR (RECOMBINANT)	Ingredient	1352213	Factor VIII	1	
ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE	Ingredient	44785020	factor VII	1	
ANTI-INHIBITOR COAGULANT COMPLEX	Ingredient	19080406	ANTI-INHIBITOR COAGULANT COMPLEX	1	
ANTIMONY	Ingredient	42898339	Antimony	1	
ANTIMONY PENTASULFIDE	Ingredient	42904041	antimony pentasulfide	1	
ANTIMONY POTASSIUM TARTRATE	Ingredient	19067810	Antimony Potassium Tartrate	1	
ANTIMONY TRIIODIDE	Ingredient	43526567	Antimony Triiodide	1	
ANTIMONY TRISULFIDE	Ingredient	42903940	antimony trisulfide	1	
ANTIPYRINE	Ingredient	1036059	Antipyrine	1	
ANTITHROMBIN III (HUMAN)	Ingredient	1436169	Antithrombin III	1	
ANTI-THYMOCYTE GLOBULIN (RABBIT)	Ingredient	19003472	Rabbit anti-human T-lymphocyte globulin	1	
APIOL	Ingredient	19013727	apiole	1	
APIS MELLIFERA VENOM PROTEIN EXTRACT	Ingredient	19066609	APIS MELLIFERA VEN PROTEIN	1	
APIS MELLIFICA	Ingredient	19066609	APIS MELLIFERA VEN PROTEIN	1	
Apixaban	Ingredient	43013024	apixaban	1	
APOCYNUM ANDROSAEMIFOLIUM	Ingredient	42898340	Apocynum androsaemifolium root extract	1	
APOCYNUM CANNABINUM	Ingredient	42898341	Apocynum cannabinum root extract	1	
APOMORPHINE	Ingredient	837027	Apomorphine	1	
APRACLONIDINE HYDROCHLORIDE	Ingredient	919986	apraclonidine	1	
APREMILAST	Ingredient	44816294	apremilast	1	
APREPITANT	Ingredient	936748	aprepitant	1	
APROTININ	Ingredient	19000729	Aprotinin	1	
APROTININ (BOVINE)	Ingredient	19000729	Aprotinin	1	
APROTININ (SYNTHETIC)	Ingredient	19035100	fibrinolysis inhibitor	2	
APROTININ (SYNTHETIC)	Ingredient	19000729	Aprotinin	1	
AQUILEGIA VULGARIS	Ingredient	42903969	Aquilegia vulgaris extract	1	
ARALIA RACEMOSA	Ingredient	42898348	Aralia racemosa root extract	1	
ARBUTIN	Ingredient	43012506	Arbutin	1	
ARGATROBAN	Ingredient	1322207	argatroban	1	
ARGENTUM IODATUM	Ingredient	43527219	silver iodide	1	
ARGENTUM MURIATICUM	Ingredient	19136043	Silver preparation	1	
ARGENTUM OXYDATUM	Ingredient	19136043	Silver preparation	1	
ARGININE	Ingredient	19006410	Arginine	1	
ARGININE HYDROCHLORIDE	Ingredient	19006410	Arginine	1	
ARGININE VASOPRESSIN	Ingredient	1507835	Vasopressin (USP)	1	
ARIPIPRAZOLE	Ingredient	757688	aripiprazole	1	
ARISTOLOCHIA SERPENTARIA	Ingredient	44507468	Aristolochia serpentaria root extract	1	
ARNICA	Ingredient	19071094	ARNICA FLOWERS EXTRACT	2	
ARNICA	Ingredient	919839	Arnica extract	1	
ARNICA MONTANA	Ingredient	19071833	Arnica montana Extract	1	
ARSENIC TRIOXIDE	Ingredient	1333379	arsenic trioxide	1	
ARTEMISIA ABROTANUM	Ingredient	42903563	Artemisia abrotanum whole extract	1	
ARTICAINE HYDROCHLORIDE	Ingredient	19080512	Articaine	1	
ARUM DRACONTIUM	Ingredient	43125890	Arum Dracunculus for homeopathic preparations	1	
