CONCEPT_NAME_1	CONCEPT_NAME_2	AMOUNT	BOX_SIZE
CANESTEN COMBI-PAK 1 DAY THERAPY	CLOTRIMAZOLE CREAM[CANESTEN COMBI-PAK] CANESTEN COMBI-PAK 1 DAY THERAPY	1	
CANESTEN COMBI-PAK 1 DAY THERAPY	CLOTRIMAZOLE SUPPOSITORY[CANESTEN COMBI-PAK] CANESTEN COMBI-PAK 1 DAY THERAPY	1	
CANESTEN COMBI-PAK COMFORTAB 1	CLOTRIMAZOLE CREAM[CANESTEN COMFORTAB] CANESTEN COMBI-PAK COMFORTAB 1	1	
CANESTEN COMBI-PAK COMFORTAB 1	CLOTRIMAZOLE VAGINAL TABLET[CANESTEN COMFORTAB] CANESTEN COMBI-PAK COMFORTAB 1	1	
CANESTEN COMBI-PAK COMFORTAB 3	CLOTRIMAZOLE VAGINAL TABLET[CANESTEN COMFORTAB] CANESTEN COMBI-PAK COMFORTAB 3	3	
CANESTEN COMBI-PAK COMFORTAB 3	CLOTRIMAZOLE CREAM[CANESTEN COMFORTAB] CANESTEN COMBI-PAK COMFORTAB 3	1	
CANESTEN COMBI-PAK CREAM 1	CLOTRIMAZOLE 1% TOPICAL CREAM CANESTEN COMBI-PAK CREAM 1	1	
CANESTEN COMBI-PAK CREAM 1	CLOTRIMAZOLE 1% VAGINAL CREAM CANESTEN COMBI-PAK CREAM 1	1	
CENTRISA 21	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET CENTRISA 21		
CENTRISA 21	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET CENTRISA 21		
CENTRISA 21	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET CENTRISA 21		
CENTRISA 28	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET CENTRISA 28		
CENTRISA 28	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET CENTRISA 28		
CENTRISA 28	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET CENTRISA 28		
CENTRISA LO 21	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET CENTRISA LO 21		
CENTRISA LO 21	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET CENTRISA LO 21		
CENTRISA LO 21	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET CENTRISA LO 21		
CENTRISA LO 28	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET CENTRISA LO 28		
CENTRISA LO 28	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET CENTRISA LO 28		
CENTRISA LO 28	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET CENTRISA LO 28		
CHLOR-TRIPOLON DAY AND NIGHT	CHLORPHENIRAMINE MALEATE 4MG ORAL TABLET CHLOR-TRIPOLON DAY AND NIGHT	24	
CHLOR-TRIPOLON DAY AND NIGHT	CHLORPHENIRAMINE MALEATE 12MG ORAL TABLET CHLOR-TRIPOLON DAY AND NIGHT	24	
DAY & NIGHT COMBO PACK	ACETAMINOPHEN/CHLORPHENIRAMINE MALEATE/DEXTROMETHORPHAN HYDROBROMIDE/PSEUDOEPHEDRINE HYDROCHLORIDE ORAL POWDER FOR SOLUTION	5	
DAY & NIGHT COMBO PACK	PHENYLEPHRINE HYDROCHLORIDE DAYTIME ORAL POWDER FOR SOLUTION	10	
DRIXORAL DAY/NIGHT - SRT/TABS	PSEUDOEPHEDRINE SULFATE 60MG/DEXBROMPHENIRAMINE MALEATE 2MG ORAL TABLET (EXTENDED-RELEASE) DRIXORAL DAY/NIGHT - SRT/TABS	10	
DRIXORAL DAY/NIGHT - SRT/TABS	PSEUDOEPHEDRINE SULFATE 120MG ORAL TABLET (EXTENDED-RELEASE) DRIXORAL DAY/NIGHT - SRT/TABS	10	
ECHOVIST	GALACTOSE 13.5ML ECHOVIST	1	
ECHOVIST	GALACTOSE 3G ECHOVIST	1	
EMEND TRI-PACK	APREPITANT 80MG ORAL CAPSULE EMEND TRI-PACK	80	
EMEND TRI-PACK	APREPITANT 125MG ORAL CAPSULE EMEND TRI-PACK	1	
ESTALIS SEQUI	ESTRADIOL 0.51 /NORETHINDRONE ACETATE [ECTALIS] ESTALIS SEQUI	8	
ESTALIS SEQUI	ESTRADIOL [VIVELLE] ESTALIS SEQUI	8	
ESTALIS SEQUI	ESTRADIOL 0.62 /NORETHINDRONE ACETATE [ECTALIS] ESTALIS SEQUI	8	
ESTRACOMB	ESTRADIOL [ESTRADERM] ESTRACOMB	8	
ESTRACOMB	ESTRADIOL/NORETHINDRONE ACETATE [ESTRAGEST] ESTRACOMB	8	
ESTROGEL PROPAK	ESTRADIOL HEMIHYDRATE PUMP[ESTROGEL PROPAK] ESTROGEL PROPAK	1	
ESTROGEL PROPAK	PROGESTERONE CAPSULE[ESTROGEL PROPAK] ESTROGEL PROPAK	30	
GD-VARENICLINE	VARENICLINE TARTRATE 0.5MG GD-VARENICLINE	11	
GD-VARENICLINE	VARENICLINE TARTRATE 1MG GD-VARENICLINE	11	
GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	TIOCONAZOLE 1% VAGINAL CREAM GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	1	
GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	TIOCONAZOLE 6.5% VAGINAL CREAM GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	1	
GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	TIOCONAZOLE SUPPOSITORY[GYNECURE] GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	1	
GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	TIOCONAZOLE CREAM[GYNECURE] GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	1	
GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	TIOCONAZOLE 1% VAGINAL CREAM GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	1	
GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	TIOCONAZOLE 6.5% VAGINAL CREAM GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	1	
GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	TIOCONAZOLE CREAM[GYNECURE] GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	1	
GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	TIOCONAZOLE SUPPOSITORY[GYNECURE] GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	1	
HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	TERAZOSIN HYDROCHLORIDE 2MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	1	
HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	TERAZOSIN HYDROCHLORIDE 5MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	1	
HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	TERAZOSIN HYDROCHLORIDE 1MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	1	
JINARC	Tolvaptan 30 MG JINARC	7	
JINARC	Tolvaptan 90 MG JINARC	7	
JINARC	Tolvaptan 60 MG JINARC	7	
JINARC	Tolvaptan 15 MG JINARC	7	
JINARC	Tolvaptan 45 MG JINARC	7	
LINESSA 21	ETHINYL ESTRADIOL 0.025MG / DESOGESTREL 0.125MG ORAL TABLET LINESSA 21		
LINESSA 21	ETHINYL ESTRADIOL 0.025MG / DESOGESTREL 0.1MG ORAL TABLET LINESSA 21		
LINESSA 21	ETHINYL ESTRADIOL 0.025MG / DESOGESTREL 0.15MG ORAL TABLET LINESSA 21		
LINESSA 28	ETHINYL ESTRADIOL 0.025 MG / DESOGESTREL 0.15 LINESSA 28		
LINESSA 28	ETHINYL ESTRADIOL 0.025 MG / DESOGESTREL 0.1 LINESSA 28		
LINESSA 28	ETHINYL ESTRADIOL 0.025 MG / DESOGESTREL 0.125 LINESSA 28		
MEGA PLEX III - PCK	ZINC HVP CHELATE 10MG ORAL TABLET MEGA PLEX III - PCK	10	
MEGA PLEX III - PCK	ZINC HVP CHELATE 5MG ORAL TABLET MEGA PLEX III - PCK	10	
MEGA PLEX III - PCK	IRON HVP CHELATE 12.5MG ORAL TABLET MEGA PLEX III - PCK	15	
MEGA PLEX III - PCK	IRON HVP CHELATE 5MG ORAL TABLET MEGA PLEX III - PCK	15	
MEGA PLEX III - PCK	ZINC HVP CHELATE 25MG ORAL TABLET MEGA PLEX III - PCK	10	
MONISTAT 1 COMBINATION PACK	MICONAZOLE NITRATE SUPPOSITORY[MONISTAT] MONISTAT 1 COMBINATION PACK	1	
MONISTAT 1 COMBINATION PACK	MICONAZOLE NITRATE CREAM[MONISTAT] MONISTAT 1 COMBINATION PACK	1	
MONISTAT 3 DUAL-PAK	MICONAZOLE NITRATE CREAM[MONISTAT] MONISTAT 3 DUAL-PAK	1	
MONISTAT 3 DUAL-PAK	MICONAZOLE NITRATE OVULE 400MG [MONISTAT] MONISTAT 3 DUAL-PAK	3	
MONISTAT 7 DUAL-PAK	MICONAZOLE NITRATE OVULE 100MG [MONISTAT] MONISTAT 7 DUAL-PAK	7	
MONISTAT 7 DUAL-PAK	MICONAZOLE NITRATE CREAM[MONISTAT] MONISTAT 7 DUAL-PAK	1	
NATAZIA	Estradiol Valerate 2 MG /Dienogest 3 MG ORAL TABLET NATAZIA		
NATAZIA	Estradiol Valerate 1 MG ORAL TABLET NATAZIA		
NATAZIA	Estradiol Valerate 2 MG /Dienogest 2 MG ORAL TABLET NATAZIA		
NATAZIA	Estradiol Valerate 3 MG ORAL TABLET NATAZIA		
NORETHINDRONE/ETHINYL ESTRADIOL PHASIC(21-D)	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET NORETHINDRONE/ETHINYL ESTRADIOL PHASIC(21-D)		
NORETHINDRONE/ETHINYL ESTRADIOL PHASIC(21-D)	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET NORETHINDRONE/ETHINYL ESTRADIOL PHASIC(21-D)		
ORTHO 10/11 TABLETS (21 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 10/11 TABLETS (21 DAY)	12	
ORTHO 10/11 TABLETS (21 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 10/11 TABLETS (21 DAY)	12	
ORTHO 10/11 TABLETS (28 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 10/11 TABLETS (28 DAY)	10	
ORTHO 10/11 TABLETS (28 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 10/11 TABLETS (28 DAY)	10	
ORTHO 7/7/7 TABLETS (21 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 7/7/7 TABLETS (21 DAY)	12	
ORTHO 7/7/7 TABLETS (21 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 7/7/7 TABLETS (21 DAY)	12	
ORTHO 7/7/7 TABLETS (21 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.75MG ORTHO 7/7/7 TABLETS (21 DAY)	12	
ORTHO 7/7/7 TABLETS (28 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.75MG ORTHO 7/7/7 TABLETS (28 DAY)	12	
ORTHO 7/7/7 TABLETS (28 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 7/7/7 TABLETS (28 DAY)	12	
ORTHO 7/7/7 TABLETS (28 DAY)	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 7/7/7 TABLETS (28 DAY)	12	
OTEZLA	APREMILAST 20MG OTEZLA	4	
OTEZLA	APREMILAST 10MG OTEZLA	4	
OTEZLA	APREMILAST 30MG OTEZLA	5	
PEGASYS RBV	PEGINTERFERON ALFA-2A SOLUTION[PEGASYS RBV] PEGASYS RBV	1	
PEGASYS RBV	RIBAVIRIN TABLET[PEGASYS RBV] PEGASYS RBV	28	
PEGETRON	RIBAVIRIN CAPSULE PEGETRON	56		
PEGETRON	PEGINTERFERON ALFA-2B SOLUTION 80MCG/0.5ML [PEGETRON] PEGETRON	2	
PEGETRON	PEGINTERFERON ALFA-2B SOLUTION 150MCG/0.5ML [PEGETRON] PEGETRON	2	
PEGETRON	PEGINTERFERON ALFA-2B SOLUTION 50MCG/0.5ML [PEGETRON] PEGETRON	2			
PEGETRON	PEGINTERFERON ALFA-2B SOLUTION 120MCG/0.5ML [PEGETRON] PEGETRON	2	
PEGETRON	PEGINTERFERON ALFA-2B SOLUTION 100MCG/0.5ML [PEGETRON] PEGETRON	2	
PLEGRIDY	PEGINTERFERON BETA-1A 94MCG/0.5ML PLEGRIDY	1	
PLEGRIDY	PEGINTERFERON BETA-1A 63MCG/0.5ML PLEGRIDY	1	
PRO BIOSAN KIT	PROBENECID TABLET[PRO BIOSAN KIT] PRO BIOSAN KIT		
PRO BIOSAN KIT	AMPICILLIN CAPSULE[PRO BIOSAN KIT] PRO BIOSAN KIT		
REBIF	INTERFERON BETA-1A 8.8MCG/0.2ML SUBCUTANEOUS SOLUTION REBIF	6	
REBIF	INTERFERON BETA-1A 22MCG/0.5ML SUBCUTANEOUS SOLUTION REBIF	6	
REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA)	SODIUM CARBOXYMETHYL CELLULOSE 0.5% REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA)	1	
REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA)	SODIUM CARBOXYMETHYL CELLULOSE 1% REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA)	1	
SYNPHASIC 21 TABLETS	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET SYNPHASIC 21 TABLETS		
SYNPHASIC 21 TABLETS	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG SYNPHASIC 21 TABLETS		
SYNPHASIC 21 TABLETS	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET SYNPHASIC 21 TABLETS		
SYNPHASIC 21 TABLETS	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG SYNPHASIC 21 TABLETS		
SYNPHASIC 28 TABLETS	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET SYNPHASIC 28 TABLETS		
SYNPHASIC 28 TABLETS	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET SYNPHASIC 28 TABLETS		
SYNPHASIC-28 TABLETS	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG SYNPHASIC-28 TABLETS		
SYNPHASIC-28 TABLETS	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG SYNPHASIC-28 TABLETS		
T-STAT PAD-LOT	ALCOHOL ANHYDROUS PAD[T-STAT] T-STAT PAD-LOT	60	
T-STAT PAD-LOT	ERYTHROMYCIN PAD[T-STAT] T-STAT PAD-LOT	10	
TERAZOL 3 DUAL PAK	TERCONAZOLE CREAM[TERAZOL 3 DUAL PAK] TERAZOL 3 DUAL PAK	1	
TERAZOL 3 DUAL PAK	TERCONAZOLE OVULE[TERAZOL 3 DUAL PAK] TERAZOL 3 DUAL PAK	3	
TISSEEL	TISSEEL POWDER [TISSEEL] TISSEEL	1	
TISSEEL	TISSEEL SOLUTION [TISSEEL] TISSEEL	1	
TISSEEL	THROMBIN POWDER [TISSEEL] TISSEEL	1	
TISSEEL	THROMBIN SOLUTION [TISSEEL] TISSEEL	1	
TISSEEL KIT VH	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH	1	
TISSEEL KIT VH	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH	1	
TISSEEL KIT VH	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH	1	
TISSEEL KIT VH	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH	1	
TISSEEL KIT VH 0.5	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	1	
TISSEEL KIT VH 0.5	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 0.5	1	
TISSEEL KIT VH 0.5	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 0.5	1	
TISSEEL KIT VH 0.5	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	1	
TISSEEL KIT VH 1.0	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 1.0	1	
TISSEEL KIT VH 1.0	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	1	
TISSEEL KIT VH 1.0	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	1	
TISSEEL KIT VH 1.0	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 1.0	1	
TISSEEL KIT VH 2.0	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	1	
TISSEEL KIT VH 2.0	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	1	
TISSEEL KIT VH 2.0	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 2.0	1	
TISSEEL KIT VH 2.0	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 2.0	1	
TISSEEL KIT VH 5.0	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	1	
TISSEEL KIT VH 5.0	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 5.0	1	
TISSEEL KIT VH 5.0	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 5.0	1	
TISSEEL KIT VH 5.0	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	1	
TRI-CYCLEN LO (-21 DAY)	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN LO (-21 DAY)		
TRI-CYCLEN LO (-21 DAY)	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN LO (-21 DAY)		
TRI-CYCLEN LO (-21 DAY)	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN LO (-21 DAY)		
TRI-CYCLEN LO (28 DAY)	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN LO (28 DAY)		
TRI-CYCLEN LO (28 DAY)	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN LO (28 DAY)		
TRI-CYCLEN LO (28 DAY)	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN LO (28 DAY)		
TRI-CYCLEN TABLETS - 21-DAY	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY		
TRI-CYCLEN TABLETS - 21-DAY	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY		
TRI-CYCLEN TABLETS - 21-DAY	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY		
TRI-CYCLEN TABLETS - 28-DAY	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY		
TRI-CYCLEN TABLETS - 28-DAY	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY		
TRI-CYCLEN TABLETS - 28-DAY	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY		
TRI-LENA 21	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-LENA 21		
TRI-LENA 21	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-LENA 21		
TRI-LENA 21	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-LENA 21		
TRI-LENA 28	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-LENA 28		
TRI-LENA 28	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-LENA 28		
TRI-LENA 28	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-LENA 28		
TRI-PREVIFEM (21 DAY)	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-PREVIFEM (21 DAY)		
TRI-PREVIFEM (21 DAY)	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-PREVIFEM (21 DAY)		
TRI-PREVIFEM (21 DAY)	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-PREVIFEM (21 DAY)		
TRI-PREVIFEM (28 DAY)	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-PREVIFEM (28 DAY)		
TRI-PREVIFEM (28 DAY)	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-PREVIFEM (28 DAY)		
TRI-PREVIFEM (28 DAY)	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-PREVIFEM (28 DAY)		
TRICIRA LO	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET TRICIRA LO		
TRICIRA LO	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET TRICIRA LO		
TRICIRA LO	ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET TRICIRA LO		
TRIPHASIL 21	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21		
TRIPHASIL 21	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 21		
TRIPHASIL 21	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 21		
TRIPHASIL 21 TAB	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21 TAB		
TRIPHASIL 21 TAB	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 21 TAB		
TRIPHASIL 21 TAB	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 21 TAB		
TRIPHASIL 28	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 28		
TRIPHASIL 28	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28		
TRIPHASIL 28	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 28		
TRIPHASIL 28 TAB	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28 TAB		
TRIPHASIL 28 TAB	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 28 TAB		
TRIPHASIL 28 TAB	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 28 TAB		
TRIQUILAR 21	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 125MCG TRIQUILAR 21		
TRIQUILAR 21	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 50 MCG TRIQUILAR 21		
TRIQUILAR 21	ETHINYL ESTRADIOL 40MCG/ LEVONORGESTREL 75MCG TRIQUILAR 21		
TRIQUILAR 28	ETHINYL ESTRADIOL 40MCG/ LEVONORGESTREL 75MCG TRIQUILAR 28		
