CONCEPT_CODE	AIC	CONCEPT_NAME	INGREDIENT	AMOUNT_VALUE	AMOUNT_UNIT	DENOMINATOR_VALUE	DENOMINATOR_UNIT	NUMERATOR_VALUE	NUMERATOR_UNIT	NOTES	DRUG_CODE	BRAND_NAME	NUMBER_OF_AIS	INVALID_REASON
677558	11567	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH	APROTININ (BOVINE)	3000000	UNIT					HISTORIC FREEFORM TEXT: APROTININ ((BOVINE SOL)).	677558	TISSEEL KIT VH	9	D
677558	7867	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH	ALBUMIN (HUMAN)	50	MG					HISTORIC FREEFORM TEXT: HUMAN ALBUMIN ((AS BOTTLE))	677558	TISSEEL KIT VH	9	D
707503	7490	ETHINYL ESTRADIOL 40MCG/ LEVONORGESTREL 75MCG TRIQUILAR 28	LEVONORGESTREL	75	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((WHITE TAB))	707503	TRIQUILAR 28	6	
707503	7490	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 50 MCG TRIQUILAR 28	LEVONORGESTREL	50	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((LIGHT BRN))	707503	TRIQUILAR 28	6	
707503	7490	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 125MCG TRIQUILAR 28	LEVONORGESTREL	125	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((OCHREOUS))	707503	TRIQUILAR 28	6	
707503	7426	ETHINYL ESTRADIOL 40MCG/ LEVONORGESTREL 75MCG TRIQUILAR 28	ETHINYL ESTRADIOL	40	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((WHITE TAB))	707503	TRIQUILAR 28	6	
707503	7426	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 125MCG TRIQUILAR 28	ETHINYL ESTRADIOL	30	MCG					Historic Freeform Text: ETHINYL ESTRADIOL ((OCHREOUS))	707503	TRIQUILAR 28	6	
707503	7426	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 50 MCG TRIQUILAR 28	ETHINYL ESTRADIOL	30	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((LIGHT BRN))	707503	TRIQUILAR 28	6	
707600	7490	ETHINYL ESTRADIOL 40MCG/ LEVONORGESTREL 75MCG TRIQUILAR 21	LEVONORGESTREL	75	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((WHITE TAB))	707600	TRIQUILAR 21	6	
707600	7490	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 50 MCG TRIQUILAR 21	LEVONORGESTREL	50	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((LIGHT BRN))	707600	TRIQUILAR 21	6	
707600	7490	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 125MCG TRIQUILAR 21	LEVONORGESTREL	125	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((OCHREOUS))	707600	TRIQUILAR 21	6	
707600	7426	ETHINYL ESTRADIOL 40MCG/ LEVONORGESTREL 75MCG TRIQUILAR 21	ETHINYL ESTRADIOL	40	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((WHITE TAB))	707600	TRIQUILAR 21	6	
707600	7426	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 125MCG TRIQUILAR 21	ETHINYL ESTRADIOL	30	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((OCHREOUS))	707600	TRIQUILAR 21	6	
707600	7426	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 50 MCG TRIQUILAR 21	ETHINYL ESTRADIOL	30	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((LIGHT BRN))	707600	TRIQUILAR 21	6	
782424	7490	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28 TAB	LEVONORGESTREL	125	MCG					Historic Freeform Text: LEVONORGESTREL ((YELLOW))	782424	TRIPHASIL 28 TAB	6	D
782424	7490	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28 TAB	LEVONORGESTREL	75	MCG					Historic Freeform Text: LEVONORGESTREL ((WHITE))	782424	TRIPHASIL 28 TAB	6	D
782424	7490	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 28 TAB	LEVONORGESTREL	50	MCG					Historic Freeform Text: LEVONORGESTREL ((PALE BROWN))	782424	TRIPHASIL 28 TAB	6	D
782424	7426	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28 TAB	ETHINYL ESTRADIOL	30	MCG					Historic Freeform Text: ETHINYL ESTRADIOL ((YELLOW))	782424	TRIPHASIL 28 TAB	6	D
782424	7426	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 28 TAB	ETHINYL ESTRADIOL	40	MCG					Historic Freeform Text: ETHINYL ESTRADIOL ((WHITE))	782424	TRIPHASIL 28 TAB	6	D
782424	7426	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 28 TAB	ETHINYL ESTRADIOL	30	MCG					Historic Freeform Text: ETHINYL ESTRADIOL ((PALE BROWN))	782424	TRIPHASIL 28 TAB	6	D
782416	7490	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 21 TAB	LEVONORGESTREL	75	MCG					Historic Freeform Text: LEVONORGESTREL ((WHITE))	782416	TRIPHASIL 21 TAB	6	D
782416	7490	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21 TAB	LEVONORGESTREL	50	MCG					Historic Freeform Text: LEVONORGESTREL ((PALE BROWN))	782416	TRIPHASIL 21 TAB	6	D
782416	7490	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21 TAB	LEVONORGESTREL	125	MCG					Historic Freeform Text: LEVONOGESTREL ((YELLOW))	782416	TRIPHASIL 21 TAB	6	D
782416	7426	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 21 TAB	ETHINYL ESTRADIOL	30	MCG					Historic Freeform Text: ETHINYL ESTRADIOL ((YELLOW))	782416	TRIPHASIL 21 TAB	6	D
782416	7426	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 21 TAB	ETHINYL ESTRADIOL	40	MCG					Historic Freeform Text: ETHINYL ESTRADIOL ((WHITE))	782416	TRIPHASIL 21 TAB	6	D
782416	7426	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21 TAB	ETHINYL ESTRADIOL	30	MCG					Historic Freeform Text: ETHINYL ESTRADIOL ((PALE BROWN))	782416	TRIPHASIL 21 TAB	6	D
1949020	11435	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	THROMBIN (BOVINE)			1	ML	504	UNIT	HISTORIC FREEFORM TEXT: THROMBIN-500 ((FREEZE DRIED BOVINE))	1949020	TISSEEL KIT VH 1.0	9	D
1949020	3205	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	PROTEIN			1	ML	130	MG	HISTORIC FREEFORM TEXT: PROTEIN ((TOTAL))	1949020	TISSEEL KIT VH 1.0	9	D
1949020	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	PLASMINOGEN			1	ML	120	MCG	Historic Freeform Text: PLASMINOGEN ((HUMAN))	1949020	TISSEEL KIT VH 1.0	9	D
1949020	11566	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	PLASMAFIBRONECTIN			1	ML	9	MG	Historic Freeform Text: PLASMAFIBRONECTIN ((CIG))	1949020	TISSEEL KIT VH 1.0	9	D
1949020	17119	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	FIBRINOGEN (HUMAN)			1	ML	110	MG	Historic Freeform Text: FIBRINOGEN	1949020	TISSEEL KIT VH 1.0	9	D
1949020	51	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 1.0	CALCIUM CHLORIDE			1	ML	0.04	MMOL	Historic Freeform Text: CALCIUM CHLORIDE	1949020	TISSEEL KIT VH 1.0	9	D
1949020	11567	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 1.0	APROTININ (BOVINE)			1	ML	300	UNIT	HISTORIC FREEFORM TEXT: APROTININ ((BOVINE SOL))	1949020	TISSEEL KIT VH 1.0	9	D
1949020	9847	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	ANTIHEMOPHILIC FACTOR (HUMAN)			1	ML	50	UNIT	Historic Freeform Text: ANTIHAEMOPHILIC ((FACTOR))	1949020	TISSEEL KIT VH 1.0	9	D
1974327	11435	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	THROMBIN (BOVINE)			1	ML	504	UNIT	HISTORIC FREEFORM TEXT: THROMBIN-500 ((FREEZE DRIED BOVINE))	1974327	TISSEEL KIT VH 5.0	9	D
1974327	3205	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	PROTEIN			1	ML	130	MG	HISTORIC FREEFORM TEXT: PROTEIN ((TOTAL))	1974327	TISSEEL KIT VH 5.0	9	D
1974327	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	PLASMINOGEN			1	ML	120	MCG	HISTORIC FREEFORM TEXT: PLASMINOGEN ((HUMAN))	1974327	TISSEEL KIT VH 5.0	9	D
1974327	11566	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	PLASMAFIBRONECTIN			1	ML	9	MG	HISTORIC FREEFORM TEXT: PLASMAFIBRONECTIN ((CIG))	1974327	TISSEEL KIT VH 5.0	9	D
1974327	17119	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	FIBRINOGEN (HUMAN)			1	ML	110	MG	HISTORIC FREEFORM TEXT: FIBRINOGEN	1974327	TISSEEL KIT VH 5.0	9	D
1974327	51	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 5.0	CALCIUM CHLORIDE			1	ML	0.04	MMOL	Historic Freeform Text: CALCIUM CHLORIDE	1974327	TISSEEL KIT VH 5.0	9	D
1974327	11567	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 5.0	APROTININ (BOVINE)			1	ML	3000	UNIT	HISTORIC FREEFORM TEXT: APROTININ ((BOVINE SOL))	1974327	TISSEEL KIT VH 5.0	9	D
1974327	9847	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	ANTIHEMOPHILIC FACTOR (HUMAN)			1	ML	50	UNIT	HISTORIC FREEFORM TEXT: ANTIHAEMOPHILIC ((FACTOR))	1974327	TISSEEL KIT VH 5.0	9	D
2017229	11435	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	THROMBIN (BOVINE)			1	ML	504	UNIT	HISTORIC FREEFORM TEXT: THROMBIN-500 ((FREEZE DRIED BOVINE))	2017229	TISSEEL KIT VH 0.5	9	D
2017229	3205	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	PROTEIN			1	ML	130	MG	Historic Freeform Text: PROTEIN ((TOTAL))	2017229	TISSEEL KIT VH 0.5	9	D
2017229	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	PLASMINOGEN			1	ML	120	MCG	Historic Freeform Text: PLASMINOGEN ((HUMAN))	2017229	TISSEEL KIT VH 0.5	9	D
2017229	11566	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	PLASMAFIBRONECTIN			1	ML	9	MG	Historic Freeform Text: PLASMAFIBRONECTIN ((CIG))	2017229	TISSEEL KIT VH 0.5	9	D
2017229	17119	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	FIBRINOGEN (HUMAN)			1	ML	110	MG	HISTORIC FREEFORM TEXT: FIBRINOGEN	2017229	TISSEEL KIT VH 0.5	9	D
2017229	51	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 0.5	CALCIUM CHLORIDE			1	ML	0.04	MMOL	HISTORIC FREEFORM TEXT: CALCIUM CHLORIDE	2017229	TISSEEL KIT VH 0.5	9	D
2017229	2430	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 0.5	APROTININ			1	ML	3000	UNIT	HISTORIC FREEFORM TEXT: APROTININ ((BOVINE SOL))	2017229	TISSEEL KIT VH 0.5	9	D
2017229	9847	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	ANTIHEMOPHILIC FACTOR (HUMAN)			1	ML	50	UNIT	HISTORIC FREEFORM TEXT: ANTIHAEMOPHILIC ((FACTOR))	2017229	TISSEEL KIT VH 0.5	9	D
2028700	7492	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	NORGESTIMATE	0.25	MG					HISTORIC FREEFORM TEXT: NORGESTIMATE ((BLUE TAB))	2028700	TRI-CYCLEN TABLETS - 21-DAY	6	
2028700	7492	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	NORGESTIMATE	0.215	MG					HISTORIC FREEFORM TEXT: NORGESTIMATE ((LIGHT BLUE TAB))	2028700	TRI-CYCLEN TABLETS - 21-DAY	6	
2028700	7492	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	NORGESTIMATE	0.18	MG					HISTORIC FREEFORM TEXT: NORGESTIMATE ((WHITE TAB))	2028700	TRI-CYCLEN TABLETS - 21-DAY	6	
2028700	7426	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((WHITE TAB))	2028700	TRI-CYCLEN TABLETS - 21-DAY	6	
2028700	7426	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((LIGHT BLUE TAB))	2028700	TRI-CYCLEN TABLETS - 21-DAY	6	
2028700	7426	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((BLUE TAB))	2028700	TRI-CYCLEN TABLETS - 21-DAY	6	
2029421	7492	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	NORGESTIMATE	0.25	MG					HISTORIC FREEFORM TEXT: NORGESTIMATE ((BLUE TAB))	2029421	TRI-CYCLEN TABLETS - 28-DAY	6	
2029421	7492	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	NORGESTIMATE	0.215	MG					HISTORIC FREEFORM TEXT: NORGESTIMATE ((LIGHT BLUE TAB))	2029421	TRI-CYCLEN TABLETS - 28-DAY	6	
2029421	7492	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	NORGESTIMATE	0.18	MG					HISTORIC FREEFORM TEXT: NORGESTIMATE ((WHITE TAB))	2029421	TRI-CYCLEN TABLETS - 28-DAY	6	
