CONCEPT_CODE_1	CONCEPT_NAME_1	CONCEPT_CLASS_ID_1	CONCEPT_CODE_2	CONCEPT_NAME_2	CONCEPT_CLASS_ID_2	CONCEPT_ID_2	INVALID_REASON_2	PRECEDENCE	CONVERSION_FACTOR
OMOP127045	WHITE PINE	Ingredient	1309309	Pinus strobus bark extract	Ingredient	42899899		1	
OMOP110498	INULA HELENIUM	Ingredient	1309723	Inula helenium root extract	Ingredient	42899451		1	
OMOP127057	WILD LETTUCE	Ingredient	1311289	Lactuca virosa extract	Ingredient	42899461		1	
OMOP111918	LETTUCE	Ingredient	1311289	Lactuca virosa extract	Ingredient	42899461		1	
OMOP110786	JACARANDA CAROBA	Ingredient	1310056	Jacaranda caroba flower extract	Ingredient	42899467		1	
OMOP124769	THALLIUM METALLICUM	Ingredient	1311633	Thallium	Ingredient	42900536		1	
OMOP124770	THALLIUM SULFATE	Ingredient	1309339	thallium sulfate	Ingredient	42900537		1	
OMOP127042	WHITE MULBERRY	Ingredient	1307721	white mulberry extract	Ingredient	42900543		1	
OMOP127064	WINE	Ingredient	1307718	wine grape extract	Ingredient	42900550		2	
OMOP122507	SODIUM HYPOPHOSPHITE	Ingredient	1311313	sodium hypophosphite	Ingredient	42900555		1	
OMOP123624	SULISOBENZONE	Ingredient	1311567	sulisobenzone	Ingredient	42900563		1	
OMOP121232	SAFFLOWER	Ingredient	1309390	safflower extract	Ingredient	42900567		1	
OMOP125795	Teriflunomide	Ingredient	1310520	teriflunomide	Ingredient	42900584		1	
OMOP102058	CALUMBA	Ingredient	1310157	Jateorhiza calumba root extract	Ingredient	42899474		1	
OMOP111724	LANTHANUM CARBONATE HYDRATE	Ingredient	1311070	Lanthanum	Ingredient	42899476		1	
OMOP111015	JUGLANS CINEREA	Ingredient	1309750	Juglans cinerea branch bark-root bark extract	Ingredient	42899478		1	
OMOP121210	SABINA	Ingredient	1310161	JUNIPERUS SABINA LEAF	Ingredient	42899483		1	
OMOP115064	NEW JERSEY TEA	Ingredient	1358475	Ceanothus americanus whole extract	Ingredient	42904219		1	
OMOP106433	ENZACAMENE	Ingredient	1311507	enzacamene	Ingredient	42899026		1	
OMOP106226	ELATERIUM	Ingredient	1310229	Ecballium elaterium fruit extract	Ingredient	42899030		1	
OMOP106527	EQUISETUM ARVENSE	Ingredient	1307596	Equisetum arvense branch extract	Ingredient	42899032		1	
OMOP106527	EQUISETUM ARVENSE	Ingredient	1306235	Equisetum arvense top extract	Ingredient	42899033		2	
OMOP109309	HEMLOCK SPRUCE	Ingredient	1310036	Tsuga canadensis bark extract	Ingredient	42899984		1	
OMOP126475	VERONICA OFFICINALIS	Ingredient	1309952	Veronica officinalis flowering top extract	Ingredient	42899993		1	
OMOP105404	DIOSCOREA VILLOSA	Ingredient	1309690	Dioscorea villosa tuber extract	Ingredient	42899038		1	
OMOP106562	ERIOBOTRYA JAPONICA	Ingredient	1310088	Eriobotrya japonica leaf extract	Ingredient	42899042		1	
OMOP104153	COUCH GRASS	Ingredient	1310134	Elymus repens root extract	Ingredient	42899045		1	
OMOP106441	EOSINE YELLOWISH	Ingredient	1310593	Eosine Yellowish	Ingredient	42899052		1	
OMOP97450	ACHILLEA MILLEFOLIUM L.	Ingredient	1372250	Achillea millefolium extract	Ingredient	43525846		1	
OMOP113257	MELILOT	Ingredient	1372253	Melilotus extract	Ingredient	43525849		1	
OMOP113258	MELILOTUS ALBA	Ingredient	1372253	Melilotus extract	Ingredient	43525849		1	
OMOP126403	VAXIGRIP	Brand Name	OMOP433515	VAXIGRIP	Brand Name	43129444		1	
OMOP119025	PRIMENE	Brand Name	OMOP438579	PRIMENE	Brand Name	43129399		1	
OMOP98499	AMINOACIDS	Ingredient	658	Amino Acids	Ingredient	19124969	D	1	
OMOP118765	POTASSIUM ASPARTATE	Ingredient	8589	Potassium Aspartate	Ingredient	19049059		1	
OMOP119599	Pertuzumab	Ingredient	1298944	pertuzumab	Ingredient	42801287		1	
OMOP116958	OXPRENOLOL HYDROCHLORIDE	Ingredient	7801	Oxprenolol	Ingredient	19024904		1	
OMOP110538	IOPROMIDE	Ingredient	27781	iopromide	Ingredient	19003206		1	
OMOP113332	MEPERIDINE HYDROCHLORIDE	Ingredient	6754	Meperidine	Ingredient	1102527		1	
OMOP113381	MESALAZINE	Ingredient	52582	mesalamine	Ingredient	968426		1	
OMOP113691	MINOXIDIL	Ingredient	6984	Minoxidil	Ingredient	1309068		1	
OMOP117012	OXYMORPHONE HYDROCHLORIDE	Ingredient	7814	Oxymorphone	Ingredient	1125765		1	
OMOP117015	OXYPHENBUTAZONE	Ingredient	7816	Oxyphenbutazone	Ingredient	19025925		1	
OMOP118663	POLYSACCHARIDE-IRON COMPLEX	Ingredient	105669	Polysaccharide iron complex	Ingredient	1300751		1	
OMOP105414	DIOXYBENZONE	Ingredient	23350	dioxybenzone	Ingredient	989957		1	
OMOP110402	INTERFERON BETA 1A	Ingredient	75917	Interferon beta-1a	Ingredient	722424		1	
OMOP110403	INTERFERON BETA-1A	Ingredient	75917	Interferon beta-1a	Ingredient	722424		1	
OMOP113507	METOCURINE IODIDE	Ingredient	29950	metocurine	Ingredient	19009961		1	
OMOP113496	METHYLPARABEN	Ingredient	29903	methylparaben	Ingredient	19009877		1	
OMOP118696	POLYVINYL ALCOHOL	Ingredient	8570	Polyvinyl Alcohol	Ingredient	948856		1	
OMOP117140	PANCURONIUM BROMIDE	Ingredient	7883	Pancuronium	Ingredient	19026674		1	
OMOP116553	OPIUM	Ingredient	7676	Opium	Ingredient	923829		1	
OMOP106010	DYCLONINE HYDROCHLORIDE	Ingredient	23744	dyclonine	Ingredient	992308		1	
OMOP113615	MIGLUSTAT	Ingredient	402316	Miglustat	Ingredient	19045272		1	
OMOP117801	PHENAZOPYRIDINE HYDROCHLORIDE	Ingredient	8120	Phenazopyridine	Ingredient	933724		1	
OMOP111452	L-ISOLEUCINE	Ingredient	6033	Isoleucine	Ingredient	19082306		1	
OMOP110683	ISOLEUCINE	Ingredient	6033	Isoleucine	Ingredient	19082306		1	
OMOP106885	ETONOGESTREL	Ingredient	14584	Etonogestrel	Ingredient	1519936		1	
OMOP106886	ETOPOSIDE	Ingredient	4179	Etoposide	Ingredient	1350504		1	
OMOP105568	DOLOMITE	Ingredient	23622	dolomite	Ingredient	19055901		1	
OMOP105742	DOMIPHEN BROMIDE	Ingredient	23623	domiphen	Ingredient	19091239		1	
OMOP106894	EUCALYPTUS	Ingredient	319781	Eucalyptus extract	Ingredient	1115588		2	
OMOP110694	ISOPROTERENOL HYDROCHLORIDE	Ingredient	6054	Isoproterenol	Ingredient	1183554		1	
OMOP112662	MAGNESIUM CHLORIDE	Ingredient	6579	Magnesium Chloride	Ingredient	19092849		1	
OMOP113339	MEPROBAMATE	Ingredient	6760	Meprobamate	Ingredient	702865		1	
OMOP111922	LEUPROLIDE ACETATE	Ingredient	42375	Leuprolide	Ingredient	1351541		1	
OMOP119565	PYRANTEL PAMOATE	Ingredient	8984	Pyrantel	Ingredient	1759270		1	
OMOP117688	PETROLEUM	Ingredient	90737	Petroleum distillate	Ingredient	19060797		1	
OMOP117815	PHENOBARBITAL	Ingredient	8134	Phenobarbital	Ingredient	734275		1	
OMOP117816	PHENOBARBITAL SODIUM	Ingredient	8134	Phenobarbital	Ingredient	734275		1	
OMOP110069	ICODEXTRIN	Ingredient	140480	icodextrin	Ingredient	19011437		1	
OMOP109378	HEPATITIS B IMMUNE GLOBULIN HUMAN	Ingredient	26744	hepatitis B immune globulin	Ingredient	501343		1	
OMOP113368	MEROPENEM	Ingredient	29561	meropenem	Ingredient	1709170		1	
OMOP113370	MEROPENEM TRIHYDRATE	Ingredient	29561	meropenem	Ingredient	1709170		1	
OMOP108179	GADOVERSETAMIDE	Ingredient	228833	gadoversetamide	Ingredient	19089496		1	
OMOP114173	MUROMONAB-CD3	Ingredient	42405	Muromonab-CD3	Ingredient	19051865		1	
OMOP113254	MELANOMA LYSATE	Ingredient	6711	Melatonin	Ingredient	1301152		1	
OMOP113774	MISTLETOE	Ingredient	350489	Viscum album preparation	Ingredient	1330974		1	
OMOP111456	L-LYSINE	Ingredient	6536	Lysine	Ingredient	19092377		1	
OMOP111457	L-LYSINE ACETATE	Ingredient	6536	Lysine	Ingredient	19092377		1	
OMOP112496	LYSINE MONOHYDROCHLORIDE	Ingredient	6536	Lysine	Ingredient	19092377		1	
OMOP111458	L-LYSINE HYDROCHLORIDE	Ingredient	6536	Lysine	Ingredient	19092377		1	
OMOP112495	LYSINE ACETATE	Ingredient	6536	Lysine	Ingredient	19092377		1	
OMOP112494	LYSINE	Ingredient	6536	Lysine	Ingredient	19092377		1	
OMOP113645	MILRINONE LACTATE	Ingredient	52769	Milrinone	Ingredient	1368671		1	
OMOP116948	OXAZEPAM	Ingredient	7781	Oxazepam	Ingredient	724816		1	
OMOP104664	DARBEPOETIN ALFA	Ingredient	283838	darbepoetin alfa	Ingredient	1304643		1	
OMOP114231	MYCOPHENOLATE MOFETIL HYDROCHLORIDE	Ingredient	68149	mycophenolate mofetil	Ingredient	19003999		1	
OMOP114230	MYCOPHENOLATE MOFETIL	Ingredient	68149	mycophenolate mofetil	Ingredient	19003999		1	
OMOP106240	ELETRIPTAN HYDROBROMIDE	Ingredient	231049	eletriptan	Ingredient	1189697		1	
OMOP113342	MEQUINOL	Ingredient	15080	mequinol	Ingredient	920113		1	
OMOP105216	DICHLOROBENZYL ALCOHOL	Ingredient	22906	dichlorobenzyl alcohol	Ingredient	19054875		1	
OMOP105217	DICHLORODIFLUOROMETHANE	Ingredient	50110	dichlorodifluoromethane	Ingredient	963747		1	
OMOP101847	CABERGOLINE	Ingredient	47579	cabergoline	Ingredient	1558471		1	
OMOP103530	COBAMAMIDE	Ingredient	21373	cobamamide	Ingredient	19048026		1	
OMOP125177	TOLBUTAMIDE	Ingredient	10635	Tolbutamide	Ingredient	1502855		1	
OMOP117383	PEGFILGRASTIM	Ingredient	338036	pegfilgrastim	Ingredient	1325608		1	
OMOP117384	PEGINTERFERON ALFA-2A	Ingredient	120608	peginterferon alfa-2a	Ingredient	1714165		1	
OMOP125009	THYROID	Ingredient	10582	levothyroxine	Ingredient	1501700		2	
OMOP111950	LEVOTHYROXINE	Ingredient	10582	levothyroxine	Ingredient	1501700		1	
OMOP111951	LEVOTHYROXINE SODIUM	Ingredient	10582	levothyroxine	Ingredient	1501700		1	
OMOP121268	SALMETEROL XINAFOATE	Ingredient	36117	salmeterol	Ingredient	1137529		1	
OMOP101940	CALCITONIN (SALMON SYNTHETIC)	Ingredient	36118	salmon calcitonin	Ingredient	1537655		1	
OMOP127415	ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE	Ingredient	115698	ziprasidone	Ingredient	712615		1	
OMOP127505	Zoledronic acid monohydrate	Ingredient	77655	zoledronic acid	Ingredient	1524674		1	
OMOP127504	Zoledronic Acid Hemipentahydrate	Ingredient	77655	zoledronic acid	Ingredient	1524674		1	
OMOP127437	ZOLMITRIPTAN	Ingredient	135775	zolmitriptan	Ingredient	1116031		1	
OMOP116981	OXYBENZONE	Ingredient	32673	oxybenzone	Ingredient	918881		1	
OMOP105498	DL-ALPHA TOCOPHERYL ACETATE	Ingredient	11256	Vitamin E	Ingredient	19009540		1	
OMOP126796	VITAMIN E	Ingredient	11256	Vitamin E	Ingredient	19009540		1	
OMOP105497	DL-ALPHA TOCOPHEROL	Ingredient	11256	Vitamin E	Ingredient	19009540		1	
OMOP125190	TOLTERODINE TARTRATE	Ingredient	119565	tolterodine	Ingredient	913782		1	
OMOP100279	BACAMPICILLIN HYDROCHLORIDE	Ingredient	18687	bacampicillin	Ingredient	1734205		1	
OMOP118832	PRAMOXINE	Ingredient	34347	pramoxine	Ingredient	927478		1	
OMOP118833	PRAMOXINE HYDROCHLORIDE	Ingredient	34347	pramoxine	Ingredient	927478		1	
OMOP125652	TROVAFLOXACIN MESYLATE	Ingredient	115552	trovafloxacin	Ingredient	1712549		1	
OMOP100902	BENZYL PARABEN	Ingredient	19075	benzylparaben	Ingredient	19018603		1	
OMOP99673	ATOVAQUONE	Ingredient	60212	Atovaquone	Ingredient	1781733		1	
OMOP126350	VARDENAFIL HYDROCHLORIDE	Ingredient	306674	vardenafil	Ingredient	1311276		1	
OMOP126355	VARICELLA ZOSTER IMMUNE GLOBULIN HUMAN	Ingredient	39385	varicella-zoster immune globulin	Ingredient	543291		1	
OMOP126424	VENLAFAXINE HYDROCHLORIDE	Ingredient	39786	venlafaxine	Ingredient	743670		1	
OMOP126423	VENLAFAXINE HCL	Ingredient	39786	venlafaxine	Ingredient	743670		1	
OMOP126449	VERAPAMIL	Ingredient	11170	Verapamil	Ingredient	1307863		1	
OMOP126451	VERAPAMIL HYDROCHLORIDE	Ingredient	11170	Verapamil	Ingredient	1307863		1	
OMOP126450	VERAPAMIL HCL	Ingredient	11170	Verapamil	Ingredient	1307863		1	
OMOP126608	VINDESINE SULFATE	Ingredient	11204	Vindesine	Ingredient	19008336		1	
OMOP126103	UREA	Ingredient	11002	Urea	Ingredient	906914		1	
OMOP126104	UREA HYDROGEN PEROXIDE	Ingredient	11002	Urea	Ingredient	906914		1	
OMOP120954	ROCURONIUM BROMIDE	Ingredient	68139	Rocuronium	Ingredient	19003953		1	
OMOP127351	ZINC ACETATE	Ingredient	58295	Zinc Acetate	Ingredient	979096		1	
OMOP106380	ENFUVIRTIDE	Ingredient	139896	enfuvirtide	Ingredient	1717002		1	
OMOP127441	ZOLPIDEM TARTRATE	Ingredient	39993	zolpidem	Ingredient	744740		1	
OMOP115367	NORGESTIMATE	Ingredient	31994	norgestimate	Ingredient	1515774		1	
OMOP100759	BENAZEPRIL HYDROCHLORIDE	Ingredient	18867	benazepril	Ingredient	1335471		1	
OMOP100893	BENZOPHENONE	Ingredient	18997	benzophenone	Ingredient	19018546		1	
OMOP124905	THIOPROPERAZINE MESYLATE	Ingredient	10498	thioproperazine	Ingredient	19000305		1	
OMOP125184	TOLNAFTATE	Ingredient	10637	Tolnaftate	Ingredient	902950		1	
OMOP124835	THENYLDIAMINE HYDROCHLORIDE	Ingredient	38025	thenyldiamine	Ingredient	19041786		1	
OMOP125323	TORSEMIDE	Ingredient	38413	torsemide	Ingredient	942350		1	
OMOP122778	SORBITOL	Ingredient	9945	Sorbitol	Ingredient	970011		1	
OMOP115379	NORMETHADONE HYDROCHLORIDE	Ingredient	32009	normethadone	Ingredient	19015787		1	
OMOP117833	PHENYLBUTAZONE	Ingredient	8160	Phenylbutazone	Ingredient	1135710		1	
OMOP118591	PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	106467	Pneumococcal vaccine	Ingredient	19008972	D	1	
OMOP120746	RITUXIMAB	Ingredient	121191	rituximab	Ingredient	1314273		1	
OMOP120871	RIVASTIGMINE	Ingredient	183379	rivastigmine	Ingredient	733523		1	
OMOP120872	RIVASTIGMINE HYDROGEN TARTRATE	Ingredient	183379	rivastigmine	Ingredient	733523		1	
OMOP116795	ORMETOPRIM	Ingredient	32533	ormetoprim	Ingredient	40170786		1	
OMOP125536	TRICHOPHYTON MENTAGROPHYTES ANTIGEN	Ingredient	465062	Trichophyton mentagrophytes antigen	Ingredient	40168848		1	
OMOP104858	DENOSUMAB	Ingredient	993449	denosumab	Ingredient	40222444		1	
OMOP101989	CALCIUM PROTEINATE	Ingredient	994438	CALCIUM AMINO ACID CHELATE	Ingredient	40222115		1	
OMOP101968	CALCIUM HVP CHELATE	Ingredient	994438	CALCIUM AMINO ACID CHELATE	Ingredient	40222115		1	
OMOP101949	CALCIUM AMINO ACID CHELATE	Ingredient	994438	CALCIUM AMINO ACID CHELATE	Ingredient	40222115		1	
OMOP108722	GOLDENROD	Ingredient	995743	Canada goldenrod pollen extract	Ingredient	40222116		1	
OMOP121127	RYE	Ingredient	1014774	cultivated rye grass pollen extract	Ingredient	40228147		1	
OMOP104566	DABIGATRAN ETEXILATE MESILATE	Ingredient	1037042	dabigatran etexilate	Ingredient	40228152		1	
OMOP110733	ITALIAN RYE GRASS	Ingredient	1014340	Italian rye grass pollen extract	Ingredient	40228445		1	
OMOP116363	OLMESARTAN MEDOXOMIL	Ingredient	321064	olmesartan	Ingredient	40226742		1	
OMOP109976	HYOSCINE BUTYLBROMIDE	Ingredient	1085787	butylscopolamine	Ingredient	40234201		1	
OMOP123202	STANDARDIZED SWEET VERNAL GRASS POLLEN	Ingredient	851898	sweet vernal grass pollen extract	Ingredient	40162087		1	
OMOP124055	SWEET VERNAL GRASS	Ingredient	851898	sweet vernal grass pollen extract	Ingredient	40162087		1	
OMOP112514	Linagliptin	Ingredient	1100699	Linagliptin	Ingredient	40239216		1	
OMOP125796	Tesamorelin acetate	Ingredient	1044584	tesamorelin	Ingredient	40231628		1	
OMOP111595	LACTIC ACID BACTERIA	Ingredient	1150094	Bifidobacterium lactis	Ingredient	40242566		1	
OMOP101027	BIFIDOBACTERIUM LONGUM	Ingredient	1150096	Bifidobacterium longum	Ingredient	40242573		1	
OMOP112516	Lurasidone Hydrochloride	Ingredient	1040028	lurasidone	Ingredient	40230761		1	
OMOP101382	BOCEPREVIR	Ingredient	1102129	boceprevir	Ingredient	40238770		1	
OMOP110767	Ipilimumab	Ingredient	1094833	ipilimumab	Ingredient	40238188		1	
OMOP118613	POISON SUMAC	Ingredient	1098274	smooth sumac pollen extract	Ingredient	40238501		1	
OMOP103563	COFFEE	Ingredient	1009451	coffee fruit preparation	Ingredient	40226473		1	
OMOP103562	COFFEA TOSTA	Ingredient	1009451	coffee fruit preparation	Ingredient	40226473		1	
OMOP112208	LIRAGLUTIDE	Ingredient	475968	liraglutide	Ingredient	40170911		1	
OMOP109610	HOMARUS	Ingredient	892561	lobster allergenic extract	Ingredient	40170916		1	
OMOP100199	Azilsartan Medoxomil Potassium	Ingredient	1091643	azilsartan	Ingredient	40235485		1	
OMOP113287	MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE	Ingredient	901511	Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine	Ingredient	40173209		1	
OMOP98105	ALDER	Ingredient	851902	tag alder pollen extract	Ingredient	40162097		3	
OMOP127037	WHEAT	Ingredient	852311	wheat rust extract	Ingredient	40162108		4	
OMOP110060	ICATIBANT ACETATE	Ingredient	1148138	icatibant	Ingredient	40242044		1	
OMOP116508	ONION	Ingredient	899466	onion allergenic extract	Ingredient	40172684		1	
OMOP125794	Telaprevir	Ingredient	1102261	telaprevir	Ingredient	40239330		1	
OMOP100716	BELIMUMAB	Ingredient	1092437	belimumab	Ingredient	40236987		1	
OMOP101628	BRONOPOL	Ingredient	1114345	bronopol	Ingredient	40241252		1	
OMOP118773	POTASSIUM CITRATE	Ingredient	54993	potassium citrate	Ingredient	976545		1	
OMOP125183	TOLMETIN SODIUM	Ingredient	10636	Tolmetin	Ingredient	1102917		1	
OMOP117118	PAMABROM	Ingredient	54365	pamabrom	Ingredient	1172206		1	
OMOP120981	ROFECOXIB	Ingredient	232158	rofecoxib	Ingredient	1189754		1	
OMOP118104	PIRBUTEROL ACETATE	Ingredient	33767	pirbuterol	Ingredient	1125449		1	
OMOP101134	BIOALLETHRIN	Ingredient	19338	bioallethrin	Ingredient	19037621		1	
OMOP117831	PHENYL SALICYLATE	Ingredient	36122	phenyl salicylate	Ingredient	937712		1	
OMOP126238	VALDECOXIB	Ingredient	278567	valdecoxib	Ingredient	1103374		1	
OMOP126255	VALGANCICLOVIR HYDROCHLORIDE	Ingredient	275891	valganciclovir	Ingredient	1703063		1	
OMOP120654	RIBAVIRIN	Ingredient	9344	Ribavirin	Ingredient	1762711		1	
OMOP123513	SUCRALFATE	Ingredient	10156	Sucralfate	Ingredient	1036228		1	
OMOP121118	RUTA GRAVEOLENS	Ingredient	285162	Ruta graveolens preparation	Ingredient	19071805		1	
OMOP121122	RUTOSIDE	Ingredient	9500	Rutin	Ingredient	19063981		1	
OMOP121604	SAW PALMETTO	Ingredient	236344	Saw palmetto extract	Ingredient	1391307		1	
OMOP118794	POTASSIUM PHOSPHATE MONOBASIC	Ingredient	34322	potassium phosphate	Ingredient	19027362		1	
OMOP118792	POTASSIUM PHOSPHATE	Ingredient	34322	potassium phosphate	Ingredient	19027362		1	
OMOP123595	SULFATHIAZOLE	Ingredient	10193	sulfathiazole	Ingredient	1036487		1	
OMOP117071	PADIMATE O	Ingredient	32786	padimate-O	Ingredient	19082898		1	
OMOP126783	VITAMIN B COMPLEX	Ingredient	11251	Vitamin B Complex	Ingredient	19010970		1	
OMOP126788	VITAMIN B6	Ingredient	42954	Vitamin B6	Ingredient	1353228		1	
OMOP125173	TOCOPHERSOLAN	Ingredient	159151	tocophersolan	Ingredient	19018322		1	
OMOP125178	TOLCAPONE	Ingredient	72937	tolcapone	Ingredient	715727		1	
OMOP104549	D-ALPHA TOCOPHERYL	Ingredient	314875	TOCOPHERYL ACID SUCCINATE,D-ALPHA	Ingredient	19014220		1	
OMOP104550	D-ALPHA TOCOPHERYL ACETATE	Ingredient	314875	TOCOPHERYL ACID SUCCINATE,D-ALPHA	Ingredient	19014220		1	
OMOP104551	D-ALPHA TOCOPHERYL ACID SUCCINATE	Ingredient	314875	TOCOPHERYL ACID SUCCINATE,D-ALPHA	Ingredient	19014220		1	
OMOP105499	DL-ALPHA TOCOPHERYL ACID SUCCINATE	Ingredient	314875	TOCOPHERYL ACID SUCCINATE,D-ALPHA	Ingredient	19014220		1	
OMOP125311	TORMENTILLA	Ingredient	237060	TORMENTIL	Ingredient	19056779		1	
OMOP125550	TRIETHANOLAMINE POLYPEPTIDE OLEATE CONDENSATE	Ingredient	38624	TRIETHANOLAMINE POLYPEPTIDE OLEATE CONDENSATE	Ingredient	942765		1	
OMOP119313	PROPAFENONE HYDROCHLORIDE	Ingredient	8754	Propafenone	Ingredient	1353256		1	
OMOP119312	PROPAFENONE HCL	Ingredient	8754	Propafenone	Ingredient	1353256		1	
OMOP121646	SCARLET RED	Ingredient	36224	Scarlet Red	Ingredient	19037768		1	
