CONCEPT_NAME_1	CONCEPT_NAME_2
ERYTHROMYCIN PAD[T-STAT] T-STAT PAD-LOT	TOPICAL PAD
ESTRADIOL 0.51 /NORETHINDRONE ACETATE [ECTALIS] ESTALIS SEQUI	TRANSDERMAL PATCH
ESTRADIOL 0.62 /NORETHINDRONE ACETATE [ECTALIS] ESTALIS SEQUI	TRANSDERMAL PATCH
ESTRADIOL HEMIHYDRATE PUMP[ESTROGEL PROPAK] ESTROGEL PROPAK	TRANSDERMAL METERED-DOSE PUMP
ESTRADIOL [ESTRADERM] ESTRACOMB	TRANSDERMAL PATCH
ESTRADIOL [VIVELLE] ESTALIS SEQUI	TRANSDERMAL PATCH
ESTRADIOL/NORETHINDRONE ACETATE [ESTRAGEST] ESTRACOMB	TRANSDERMAL PATCH
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET CENTRISA LO 21	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET CENTRISA LO 28	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN LO (-21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN LO (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.18MG ORAL TABLET TRICIRA LO	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET CENTRISA LO 21	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET CENTRISA LO 28	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN LO (-21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN LO (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.215MG ORAL TABLET TRICIRA LO	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET CENTRISA LO 21	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET CENTRISA LO 28	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN LO (-21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN LO (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / NORGESTIMATE 0.25MG ORAL TABLET TRICIRA LO	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET CENTRISA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET CENTRISA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-LENA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-LENA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-PREVIFEM (21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-PREVIFEM (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET CENTRISA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET CENTRISA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-LENA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-LENA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-PREVIFEM (21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-PREVIFEM (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET CENTRISA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET CENTRISA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN TABLETS - 21-DAY	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-LENA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-LENA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-PREVIFEM (21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-PREVIFEM (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET NORETHINDRONE/ETHINYL ESTRADIOL PHASIC(21-D)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET SYNPHASIC 21 TABLETS	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET SYNPHASIC 28 TABLETS	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET NORETHINDRONE/ETHINYL ESTRADIOL PHASIC(21-D)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET SYNPHASIC 21 TABLETS	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET SYNPHASIC 28 TABLETS	ORAL TABLET
ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 21	ORAL TABLET
ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 21 TAB	ORAL TABLET
ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28	ORAL TABLET
ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28 TAB	ORAL TABLET
ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21	ORAL TABLET
ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21 TAB	ORAL TABLET
ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 28	ORAL TABLET
ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 28 TAB	ORAL TABLET
ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 21	ORAL TABLET
ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 21 TAB	ORAL TABLET
ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 28	ORAL TABLET
ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 28 TAB	ORAL TABLET
ETHINYL ESTRADIOL 0.025 MG / DESOGESTREL 0.1 LINESSA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.025 MG / DESOGESTREL 0.125 LINESSA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.025 MG / DESOGESTREL 0.15 LINESSA 28	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / DESOGESTREL 0.125MG ORAL TABLET LINESSA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / DESOGESTREL 0.15MG ORAL TABLET LINESSA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.025MG / DESOGESTREL 0.1MG ORAL TABLET LINESSA 21	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 10/11 TABLETS (21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 10/11 TABLETS (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 7/7/7 TABLETS (21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 7/7/7 TABLETS (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG SYNPHASIC 21 TABLETS	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG SYNPHASIC-28 TABLETS	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.75MG ORTHO 7/7/7 TABLETS (21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.75MG ORTHO 7/7/7 TABLETS (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 10/11 TABLETS (21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 10/11 TABLETS (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 7/7/7 TABLETS (21 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 7/7/7 TABLETS (28 DAY)	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG SYNPHASIC 21 TABLETS	ORAL TABLET
ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG SYNPHASIC-28 TABLETS	ORAL TABLET
ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 125MCG TRIQUILAR 21	ORAL TABLET
ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 125MCG TRIQUILAR 28	ORAL TABLET
ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 50 MCG TRIQUILAR 21	ORAL TABLET
ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 50 MCG TRIQUILAR 28	ORAL TABLET
ETHINYL ESTRADIOL 40MCG/ LEVONORGESTREL 75MCG TRIQUILAR 21	ORAL TABLET
ETHINYL ESTRADIOL 40MCG/ LEVONORGESTREL 75MCG TRIQUILAR 28	ORAL TABLET
Estradiol Valerate 1 MG ORAL TABLET NATAZIA	ORAL TABLET
Estradiol Valerate 2 MG /Dienogest 2 MG ORAL TABLET NATAZIA	ORAL TABLET
Estradiol Valerate 2 MG /Dienogest 3 MG ORAL TABLET NATAZIA	ORAL TABLET
Estradiol Valerate 3 MG ORAL TABLET NATAZIA	ORAL TABLET
FLUCONAZOLE CAPSULE[CANESORAL COMBI-PAK] CANESORAL COMBI-PAK	ORAL CAPSULE
GALACTOSE 13.5ML ECHOVIST	POWDER FOR SUSPENSION
GALACTOSE 3G ECHOVIST	ORAL GRANULES
INTERFERON BETA-1A 22MCG/0.5ML SUBCUTANEOUS SOLUTION REBIF	SUBCUTANEOUS SOLUTION
INTERFERON BETA-1A 8.8MCG/0.2ML SUBCUTANEOUS SOLUTION REBIF	SUBCUTANEOUS SOLUTION
IRON HVP CHELATE 12.5MG ORAL TABLET MEGA PLEX III - PCK	ORAL TABLET
IRON HVP CHELATE 5MG ORAL TABLET MEGA PLEX III - PCK	ORAL TABLET
MICONAZOLE NITRATE CREAM[MONISTAT] MONISTAT 1 COMBINATION PACK	VAGINAL CREAM
MICONAZOLE NITRATE CREAM[MONISTAT] MONISTAT 3 DUAL-PAK	VAGINAL CREAM
MICONAZOLE NITRATE CREAM[MONISTAT] MONISTAT 7 DUAL-PAK	VAGINAL CREAM
MICONAZOLE NITRATE OVULE 100MG [MONISTAT] MONISTAT 7 DUAL-PAK	VAGINAL OVULE
MICONAZOLE NITRATE OVULE 400MG [MONISTAT] MONISTAT 3 DUAL-PAK	VAGINAL OVULE
MICONAZOLE NITRATE SUPPOSITORY[MONISTAT] MONISTAT 1 COMBINATION PACK	VAGINAL SUPPOSITORY
PEGINTERFERON ALFA-2A SOLUTION[PEGASYS RBV] PEGASYS RBV	SUBCUTANEOUS SOLUTION
PEGINTERFERON ALFA-2A SOLUTION[PEGASYS RBV] PEGASYS RBV	SUBCUTANEOUS SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 100MCG/0.5ML [PEGETRON] PEGETRON	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 100MCG/0.5ML [VICTRELIS TRIPLE] VICTRELIS TRIPLE	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 120MCG/0.5ML [PEGETRON] PEGETRON	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 120MCG/0.5ML [VICTRELIS TRIPLE] VICTRELIS TRIPLE	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 150MCG/0.5ML [PEGETRON] PEGETRON	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 150MCG/0.5ML [VICTRELIS TRIPLE] VICTRELIS TRIPLE	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 50MCG/0.5ML [PEGETRON] PEGETRON	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 80MCG/0.5ML [PEGETRON] PEGETRON	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON ALFA-2B SOLUTION 80MCG/0.5ML [VICTRELIS TRIPLE] VICTRELIS TRIPLE	SUBCUTANEOUS POWDER FOR SOLUTION
PEGINTERFERON BETA-1A 63MCG/0.5ML PLEGRIDY	INJECTABLE SOLUTION
PEGINTERFERON BETA-1A 94MCG/0.5ML PLEGRIDY	INJECTABLE SOLUTION
PHENYLEPHRINE HYDROCHLORIDE DAYTIME ORAL POWDER FOR SOLUTION	ORAL POWDER FOR SOLUTION
PROBENECID TABLET[PRO BIOSAN KIT] PRO BIOSAN KIT	ORAL TABLET
PROGESTERONE CAPSULE[ESTROGEL PROPAK] ESTROGEL PROPAK	ORAL CAPSULE
PSEUDOEPHEDRINE SULFATE 120MG ORAL TABLET (EXTENDED-RELEASE) DRIXORAL DAY/NIGHT - SRT/TABS	ORAL TABLET (EXTENDED-RELEASE)
PSEUDOEPHEDRINE SULFATE 60MG/DEXBROMPHENIRAMINE MALEATE 2MG ORAL TABLET (EXTENDED-RELEASE) DRIXORAL DAY/NIGHT - SRT/TABS	ORAL TABLET (EXTENDED-RELEASE)
RIBAVIRIN CAPSULE PEGETRON	ORAL CAPSULE
RIBAVIRIN CAPSULE[PEGETRON] PEGETRON	ORAL CAPSULE
RIBAVIRIN CAPSULE[VICTRELIS TRIPLE] VICTRELIS TRIPLE	ORAL CAPSULE
RIBAVIRIN TABLET[PEGASYS RBV] PEGASYS RBV	ORAL TABLET
SODIUM CARBOXYMETHYL CELLULOSE 0.5% REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA)	INJECTABLE SOLUTION
SODIUM CARBOXYMETHYL CELLULOSE 1% REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA)	INJECTABLE SOLUTION
TERAZOSIN HYDROCHLORIDE 1MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	ORAL TABLET
TERAZOSIN HYDROCHLORIDE 2MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	ORAL TABLET
TERAZOSIN HYDROCHLORIDE 5MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	ORAL TABLET
TERCONAZOLE CREAM[TERAZOL 3 DUAL PAK] TERAZOL 3 DUAL PAK	VAGINAL CREAM
TERCONAZOLE OVULE[TERAZOL 3 DUAL PAK] TERAZOL 3 DUAL PAK	VAGINAL OVULE
THROMBIN POWDER [TISSEEL] TISSEEL	TOPICAL POWDER FOR SOLUTION
THROMBIN POWDER [TISSEEL] TISSEEL KIT VH	TOPICAL POWDER FOR SOLUTION
THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 0.5	TOPICAL POWDER FOR SOLUTION
THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 0.5	TOPICAL POWDER FOR SOLUTION
THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 1.0	TOPICAL POWDER FOR SOLUTION
THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 2.0	TOPICAL POWDER FOR SOLUTION
THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 5.0	TOPICAL POWDER FOR SOLUTION
THROMBIN SOLUTION [TISSEEL] TISSEEL	TOPICAL LIQUID
THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH	TOPICAL LIQUID
THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	TOPICAL LIQUID
THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	TOPICAL LIQUID
THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	TOPICAL LIQUID
THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	TOPICAL LIQUID
THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	TOPICAL LIQUID
TIOCONAZOLE 1% VAGINAL CREAM GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	VAGINAL CREAM
TIOCONAZOLE 1% VAGINAL CREAM GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	VAGINAL CREAM
TIOCONAZOLE 6.5% VAGINAL CREAM GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	VAGINAL CREAM
TIOCONAZOLE 6.5% VAGINAL CREAM GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	VAGINAL CREAM
TIOCONAZOLE CREAM[GYNECURE] GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	VAGINAL CREAM
TIOCONAZOLE CREAM[GYNECURE] GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	VAGINAL CREAM
TIOCONAZOLE SUPPOSITORY[GYNECURE] GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	VAGINAL SUPPOSITORY
TIOCONAZOLE SUPPOSITORY[GYNECURE] GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	VAGINAL SUPPOSITORY
TISSEEL POWDER [TISSEEL] TISSEEL	TOPICAL POWDER FOR SOLUTION
TISSEEL POWDER [TISSEEL] TISSEEL KIT VH	TOPICAL POWDER FOR SOLUTION
TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 0.5	TOPICAL POWDER FOR SOLUTION
TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 0.5	TOPICAL POWDER FOR SOLUTION
TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 1.0	TOPICAL POWDER FOR SOLUTION
TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 2.0	TOPICAL POWDER FOR SOLUTION
TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 5.0	TOPICAL POWDER FOR SOLUTION
TISSEEL SOLUTION [TISSEEL] TISSEEL	TOPICAL LIQUID
TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH	TOPICAL LIQUID
TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	TOPICAL LIQUID
TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	TOPICAL LIQUID
TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	TOPICAL LIQUID
TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	TOPICAL LIQUID
TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	TOPICAL LIQUID
Tolvaptan 15 MG JINARC	ORAL TABLET
Tolvaptan 30 MG JINARC	ORAL TABLET
Tolvaptan 45 MG JINARC	ORAL TABLET
Tolvaptan 60 MG JINARC	ORAL TABLET
Tolvaptan 90 MG JINARC	ORAL TABLET
VARENICLINE TARTRATE 0.5MG GD-VARENICLINE	ORAL TABLET
VARENICLINE TARTRATE 1MG GD-VARENICLINE	ORAL TABLET
VILAZODONE HYDROCHLORIDE 10MG VIIBRYD	ORAL TABLET
VILAZODONE HYDROCHLORIDE 20MG VIIBRYD	ORAL TABLET
VILAZODONE HYDROCHLORIDE 40MG VIIBRYD	ORAL TABLET
ZINC HVP CHELATE 10MG ORAL TABLET MEGA PLEX III - PCK	ORAL TABLET
ZINC HVP CHELATE 25MG ORAL TABLET MEGA PLEX III - PCK	ORAL TABLET
ZINC HVP CHELATE 5MG ORAL TABLET MEGA PLEX III - PCK	ORAL TABLET
ACETAMINOPHEN/CHLORPHENIRAMINE MALEATE/DEXTROMETHORPHAN HYDROBROMIDE/PSEUDOEPHEDRINE HYDROCHLORIDE ORAL POWDER FOR SOLUTION	ORAL POWDER FOR SOLUTION
ALCOHOL ANHYDROUS PAD[T-STAT] T-STAT PAD-LOT	TOPICAL PAD
AMPICILLIN CAPSULE[PRO BIOSAN KIT] PRO BIOSAN KIT	ORAL CAPSULE
APREMILAST 10MG OTEZLA	ORAL TABLET
APREMILAST 20MG OTEZLA	ORAL TABLET
APREMILAST 30MG OTEZLA	ORAL TABLET
APREPITANT 125MG ORAL CAPSULE EMEND TRI-PACK	ORAL CAPSULE
APREPITANT 80MG ORAL CAPSULE EMEND TRI-PACK	ORAL CAPSULE
