CONCEPT_NAME	CONCEPT_CODE_1	VOCABULARY_ID_1	CONCEPT_ID_2	PRECEDENCE	CONVERSION_FACTOR
A+D Diaper Rash Ointment [Drug]	2236577	DPD	21601972	1	
A-C-D Solution [Drug]	108081	DPD	21605362	1	
A-D Calcium Cap [Drug]	840750	DPD	21600874	1	
A-Hydrocort	DPD117029	DPD	19047316	1	
A-Hydrocort Inj 1000mg/8ml [Drug]	888222	DPD	975125	1	
A-Hydrocort Inj 100mg/2ml [Drug]	888230	DPD	975125	1	
A-Hydrocort Inj 250mg/2ml [Drug]	888206	DPD	975125	1	
A-Hydrocort Inj 500mg/4ml [Drug]	888214	DPD	975125	1	
A.B.C. Formula #1 [Drug]	2230332	DPD	21600855	1	
A.C. & C. 8 Mg [Drug]	2245670	DPD	21604320	1	
A.C. & C. 8mg [Drug]	2230426	DPD	21604320	1	
A.C.& C Tablets [Drug]	1922246	DPD	21604320	1	
A.C.E.S. Capsules [Drug]	2063131	DPD	21600855	1	
A.F. Anacin Tablets 325mg [Drug]	2031787	DPD	1125315	1	
A.F.Anacin Extra Strength Tablets [Drug]	2057840	DPD	1125315	1	
A.M. Cold Relief Formula [Drug]	2262312	DPD	21604348	1	
A.P.L. - Pws-Liq [Drug]	2168936	DPD	1563600	1	
A.R.T.H. Away Formula [Drug]	2239132	DPD	21600855	1	
A.S.A. (Acetylsalicylic Acid) Tab 325mg Usp [Drug]	2192535	DPD	1112807	1	
A.S.A. 325 Mg Tablet [Drug]	2245443	DPD	1112807	1	
A.S.A. 80mg Acetylsalicylic Acid Tablets [Drug]	2067188	DPD	1112807	1	
A.S.A. [Drug]	2096463	DPD	1112807	1	
A.S.A. [Drug]	2243345	DPD	1112807	1	
A.S.A. Enteric Coated Tab 325mg [Drug]	724912	DPD	1112807	1	
A.S.A. Enteric Coated Tab 650mg [Drug]	361038	DPD	1112807	1	
A.S.A. Tablets 5gr Bp [Drug]	793256	DPD	1112807	1	
A.S.A. With Methocarbamol Night-Time Extra Strength [Drug]	2324474	DPD	21604100	1	
A/New Caledonia/20/99(H1n1)-Like Strain	DPD132988	DPD	46275993	1	
A/O-26 - Caplet [Drug]	2218089	DPD	21600805	1	
A/Panama/2007/99 (H3n2) -Like Strain	DPD132989	DPD	46275993	1	
Aa-Clozapine [Drug]	2248034	DPD	800878	1	
Aa-Clozapine [Drug]	2248035	DPD	800878	1	
Abacavir Sulfate	DPD132990	DPD	1736971	1	
Abatacept	DPD132991	DPD	1186087	1	
Abbott Laboratories	DPD117033	DPD	21020257	1	
Abbott Laboratories,	DPD117034	DPD	21020257	1	
Abbott-Citalopram [Drug]	2414570	DPD	797617	1	
Abbott-Citalopram [Drug]	2414589	DPD	797617	1	
Abbott-Citalopram [Drug]	2414597	DPD	797617	1	
Abbott-Clopidogrel [Drug]	2412942	DPD	1322184	1	
Abbott-Levetiracetam [Drug]	2414783	DPD	711584	1	
Abbott-Levetiracetam [Drug]	2414791	DPD	711584	1	
Abbott-Levetiracetam [Drug]	2414805	DPD	711584	1	
Abbott-Olanzapine Odt [Drug]	2414538	DPD	785788	1	
Abbott-Olanzapine Odt [Drug]	2414546	DPD	785788	1	
Abbott-Olanzapine Odt [Drug]	2414554	DPD	785788	1	
Abbott-Pantoprazole [Drug]	2412950	DPD	948078	1	
Abbott-Pantoprazole [Drug]	2412969	DPD	948078	1	
Abbott-Quetiapine [Drug]	2412977	DPD	766814	1	
Abbott-Quetiapine [Drug]	2412985	DPD	766814	1	
Abbott-Quetiapine [Drug]	2412993	DPD	766814	1	
Abbott-Quetiapine [Drug]	2413000	DPD	766814	1	
Abbott-Rabeprazole [Drug]	2422638	DPD	911735	1	
Abbott-Rabeprazole [Drug]	2422646	DPD	911735	1	
Abbott-Topiramate [Drug]	2414600	DPD	742267	1	
Abbott-Topiramate [Drug]	2414619	DPD	742267	1	
Abbott-Topiramate [Drug]	2414627	DPD	742267	1	
Abbvie	DPD117043	DPD	43132740	2	
Abbvie	DPD117043	DPD	43132740	1	
Abc Arbonne Baby Care Diaper Rash Cream [Drug]	2417693	DPD	21601971	1	
Abc Arbonne Baby Care Little Bundles Set [Drug]	2444496	DPD	21601971	1	
Abc Plaster [Drug]	62812	DPD	21601973	1	
Abciximab	DPD132992	DPD	19047423	1	
Abelcet	DPD117048	DPD	19035347	1	
Abelcet [Drug]	2231590	DPD	1717240	1	
Abenol [Drug]	1919385	DPD	1125315	1	
Abenol [Drug]	1919393	DPD	1125315	1	
Abenol [Drug]	1919407	DPD	1125315	1	
Abilify	DPD117053	DPD	19031636	1	
Abilify [Drug]	2322374	DPD	757688	1	
Abilify [Drug]	2322382	DPD	757688	1	
Abilify [Drug]	2322390	DPD	757688	1	
Abilify [Drug]	2322404	DPD	757688	1	
Abilify [Drug]	2322412	DPD	757688	1	
Abilify [Drug]	2322455	DPD	757688	1	
Abilify Maintena	DPD117054	DPD	19031636	1	
Abilify Maintena [Drug]	2420864	DPD	757688	1	
Abilify Maintena [Drug]	2420872	DPD	757688	1	
Abiraterone Acetate	DPD132994	DPD	40239056	1	
Ablavar	DPD117057	DPD	43252101	1	
Ablavar [Drug]	2333236	DPD	43012718	1	
Abobotulinumtoxina	DPD132995	DPD	729855	1	
Abraxane	DPD117058	DPD	19080348	1	
Abraxane For Injectable Suspension [Drug]	2281066	DPD	1378382	1	
Abreva	DPD117059	DPD	19006333	1	
Abreva [Drug]	2245677	DPD	980955	1	
Absinthium	DPD132996	DPD	43533029	1	
Absorbene [Drug]	2238530	DPD	19037223	1	
Absorbine	DPD117067	DPD	19124971	1	
Absorbine Antifungal Powder 1% [Drug]	1942263	DPD	902950	1	
Absorbine Jr	DPD117068	DPD	19048755	1	
Absorbine Jr Antifungal Liq [Drug]	1974386	DPD	902950	1	
Absorbine Jr Antifungal Liquid [Drug]	2239497	DPD	902950	1	
Absorbine Jr Extra Strength Liniment [Drug]	1942271	DPD	21604068	1	
Absorbine Jr Liniment [Drug]	1942301	DPD	21604068	1	
Absorbine Power Gel [Drug]	1999524	DPD	21604068	1	
Abstral	DPD117071	DPD	40233228	1	
Abstral [Drug]	2364174	DPD	1154029	1	
Abstral [Drug]	2364182	DPD	1154029	1	
Abstral [Drug]	2364190	DPD	1154029	1	
Abstral [Drug]	2364204	DPD	1154029	1	
Abstral [Drug]	2364212	DPD	1154029	1	
Abstral [Drug]	2364220	DPD	1154029	1	
Ac And C Tab 1/8gr [Drug]	589470	DPD	21604320	1	
Ac&C Tablets [Drug]	2303299	DPD	21604320	1	
Ac&C Tablets [Drug]	688851	DPD	21604320	1	
Acacia	DPD132997	DPD	40160955	1	
Acacia	DPD132997	DPD	40169251	7	
Acacia	DPD132997	DPD	43013270	8	
Acacia	DPD132997	DPD	35606015	3	
Acacia	DPD132997	DPD	44784661	2	
Acacia	DPD132997	DPD	44785547	6	
Acacia	DPD132997	DPD	40170299	4	
Acacia	DPD132997	DPD	46233723	5	
Acalypha Indica	DPD132998	DPD	44506787	1	
Acamprosate Calcium	DPD132999	DPD	19043959	1	
Acarbose	DPD133000	DPD	1529331	1	
Accel Pioglitazone [Drug]	2303442	DPD	1525215	1	
Accel Pioglitazone [Drug]	2303450	DPD	1525215	1	
Accel Pioglitazone [Drug]	2303469	DPD	1525215	1	
Accel-Alendronate [Drug]	2401118	DPD	21604152	1	
Accel-Alendronate [Drug]	2401126	DPD	21604152	1	
Accel-Alendronate [Drug]	2401134	DPD	21604152	1	
Accel-Amlodipine [Drug]	2341093	DPD	1332418	1	
Accel-Amlodipine [Drug]	2341107	DPD	1332418	1	
Accel-Amlodipine [Drug]	2398788	DPD	1332418	1	
Accel-Anastrozole Tablets [Drug]	2397692	DPD	1348265	1	
Accel-Bicalutamide Tablets Usp [Drug]	2400731	DPD	1344381	1	
Accel-Bosentan [Drug]	2435403	DPD	1321636	1	
Accel-Celecoxib [Drug]	2435632	DPD	1118084	1	
Accel-Celecoxib [Drug]	2435640	DPD	1118084	1	
Accel-Citalopram Tablets [Drug]	2355248	DPD	797617	1	
Accel-Citalopram Tablets [Drug]	2355256	DPD	797617	1	
Accel-Citalopram Tablets [Drug]	2355264	DPD	797617	1	
Accel-Clarithromycin [Drug]	2390442	DPD	1750500	1	
Accel-Clarithromycin [Drug]	2390450	DPD	1750500	1	
Accel-Clonazepam [Drug]	2365243	DPD	798874	1	
Accel-Clonazepam [Drug]	2365251	DPD	798874	1	
Accel-Clonazepam [Drug]	2365278	DPD	798874	1	
Accel-Clopidogrel [Drug]	2419963	DPD	1322184	1	
Accel-Clopidogrel [Drug]	2419971	DPD	1322184	1	
Accel-Donepezil [Drug]	2419866	DPD	715997	1	
Accel-Donepezil [Drug]	2419874	DPD	715997	1	
Accel-Finasteride Tablets Usp [Drug]	2401142	DPD	996416	1	
Accel-Fluoxetine [Drug]	2400391	DPD	755695	1	
Accel-Fluoxetine [Drug]	2400405	DPD	755695	1	
Accel-Letrozole Tablets Usp [Drug]	2406330	DPD	1315946	1	
Accel-Montelukast Sodium Tablets [Drug]	2401150	DPD	1154161	1	
Accel-Mycophenolate Mofetil Capsules [Drug]	2401053	DPD	19012565	1	
Accel-Mycophenolate Mofetil Tablets [Drug]	2400723	DPD	19012565	1	
Accel-Olanzapine [Drug]	2420538	DPD	785788	1	
Accel-Olanzapine [Drug]	2420546	DPD	785788	1	
Accel-Olanzapine [Drug]	2420554	DPD	785788	1	
Accel-Olanzapine [Drug]	2420562	DPD	785788	1	
Accel-Olanzapine [Drug]	2420570	DPD	785788	1	
Accel-Olanzapine [Drug]	2420589	DPD	785788	1	
Accel-Quetiapine [Drug]	2400340	DPD	766814	1	
Accel-Quetiapine [Drug]	2400359	DPD	766814	1	
Accel-Quetiapine [Drug]	2400367	DPD	766814	1	
Accel-Quetiapine [Drug]	2400375	DPD	766814	1	
Accel-Quetiapine [Drug]	2400383	DPD	766814	1	
Accel-Topiramate [Drug]	2435330	DPD	742267	1	
Accel-Topiramate [Drug]	2435349	DPD	742267	1	
Accel-Topiramate [Drug]	2435357	DPD	742267	1	
Acclaim [Drug]	2242260	DPD	1704758	1	
Accolate	DPD117097	DPD	19015807	1	
Accolate Tab 20 Mg [Drug]	2236606	DPD	1111706	1	
Accord Healthcare	DPD117098	DPD	21019336	2	
Accord Healthcare	DPD117098	DPD	21019336	1	
Accord Healthcare	DPD117098	DPD	21019336	3	
Accupril	DPD117102	DPD	19013171	1	
Accupril 5mg Tab [Drug]	1947664	DPD	1331235	1	
Accupril Tab 10mg [Drug]	1947672	DPD	1331235	1	
Accupril Tab 20mg [Drug]	1947680	DPD	1331235	1	
Accupril Tab 40mg [Drug]	1947699	DPD	1331235	1	
Accuretic	DPD117103	DPD	19020260	1	
Accuretic 10/12.5 Mg [Drug]	2237367	DPD	21601808	1	
Accuretic 20/12.5 Mg [Drug]	2237368	DPD	21601808	1	
Accuretic 20/25 Mg [Drug]	2237369	DPD	21601808	1	
Accutane Roche	DPD117105	DPD	19043800	1	
Accutane Roche [Drug]	582344	DPD	984232	1	
Accutane Roche [Drug]	582352	DPD	984232	1	
Acebutolol - 400 - Tab 400mg [Drug]	2164426	DPD	1319998	1	
Acebutolol [Drug]	2286246	DPD	1319998	1	
Acebutolol [Drug]	2286254	DPD	1319998	1	
Acebutolol [Drug]	2286262	DPD	1319998	1	
Acebutolol Hydrochloride	DPD133001	DPD	1319998	1	
Acebutolol-100-Tab 100mg [Drug]	2164396	DPD	1319998	1	
Acebutolol-200 - Tab 200mg [Drug]	2164418	DPD	1319998	1	
Acel-P  -  Sus Im 300hau [Drug]	2215071	DPD	21601306	1	
Acellular Pertussis Vaccine	DPD133002	DPD	19033193	1	
Acenocoumarol	DPD133003	DPD	19024063	1	
Acerotab [Drug]	478873	DPD	19011773	1	
Aces Caplet [Drug]	2060736	DPD	21600855	1	
Aces Formula/Formule A A S [Drug]	2240871	DPD	21600855	1	
Aces Tab [Drug]	727652	DPD	21600806	1	
Acet 120 [Drug]	2230434	DPD	1125315	1	
Acet 160 [Drug]	2230435	DPD	1125315	1	
Acet 2 [Drug]	706515	DPD	21604348	1	
Acet 3 [Drug]	706523	DPD	21604267	1	
Acet 325 [Drug]	2230436	DPD	1125315	1	
Acet 650 [Drug]	2230437	DPD	1125315	1	
Acet Codeine 30 Tab [Drug]	1999648	DPD	21604267	1	
Acet Codeine 60 Tab [Drug]	1999656	DPD	21604267	1	
Acetab Tab 325mg [Drug]	422061	DPD	1125315	1	
Acetabolan Iii Vitamin And Mineral Supplement [Drug]	2248299	DPD	21600855	1	
Acetabolan-Ii Vitamin And Mineral Supplement [Drug]	2242742	DPD	21600855	1	
Acetaldehyde	DPD133004	DPD	42898262	1	
Acetaminophen	DPD133005	DPD	1125315	1	
Acetaminophen 160mg Children Elixir Usp [Drug]	2253666	DPD	1125315	1	
Acetaminophen 160mg Children Liquid Suspension Usp [Drug]	2253674	DPD	1125315	1	
Acetaminophen 300 Mg With 15 Mg Caffeine And 8 Mg Codeine Phosphate [Drug]	2154234	DPD	21604348	1	
Acetaminophen 300mg, Caffeine & Codeine [Drug]	2277816	DPD	21604348	1	
Acetaminophen 325 C & C [Drug]	2229962	DPD	21604348	1	
Acetaminophen 325 Mg [Drug]	2293919	DPD	1125315	1	
Acetaminophen 325 Mg [Drug]	2447479	DPD	1125315	1	
Acetaminophen 325 Mg Caffeine And Codeine [Drug]	2271834	DPD	21604348	1	
Acetaminophen 325 Mg Tablets [Drug]	2447452	DPD	1125315	1	
Acetaminophen 325 Mg Usp [Drug]	2191199	DPD	1125315	1	
Acetaminophen 325 Mg Usp Regular Strength [Drug]	743542	DPD	1125315	1	
Acetaminophen 325 Mg With 15 Mg Caffeine And 8 Mg Codeine Phosphate [Drug]	706221	DPD	21604348	1	
Acetaminophen 325mg + Methocarbamol 400mg Caplets [Drug]	2317095	DPD	21604100	1	
Acetaminophen 325mg [Drug]	2238805	DPD	1125315	1	
Acetaminophen 325mg [Drug]	2247511	DPD	1125315	1	
Acetaminophen 325mg [Drug]	2247611	DPD	1125315	1	
Acetaminophen 325mg Tab [Drug]	1938088	DPD	1125315	1	
Acetaminophen 325mg Tablet [Drug]	2271311	DPD	1125315	1	
