FO_PRD_ID	PRD_NAME	MOL_NAME	INGREDIENT_CONCEPT_CODE	CONCEPT_NAME	BOX_SIZE	AMOUNT_VALUE	AMOUNT_UNIT	NUMERATOR_VALUE	NUMERATOR_UNIT	DENOMINATOR_VALUE	DENOMINATOR_UNIT	VALID_DS
604027	APO-MACROGOL PLUS ELECTROLYTES SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
604028	LAX-SACHETS SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
594333	CODRAL DAYTIME/NIGHTIME TABLET DAY: 500MG/3	CODEINE/PARACETAMOL/PSEUDOEPHEDRINE/TRIPROLIDINE	OMOP2850718	CODEINE		500	MG					1
594333	CODRAL DAYTIME/NIGHTIME TABLET DAY: 500MG/3	CODEINE/PARACETAMOL/PSEUDOEPHEDRINE/TRIPROLIDINE	OMOP2856399	TRIPROLIDINE								1
594333	CODRAL DAYTIME/NIGHTIME TABLET DAY: 500MG/3	CODEINE/PARACETAMOL/PSEUDOEPHEDRINE/TRIPROLIDINE	OMOP2855100	PSEUDOEPHEDRINE								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2854894	POTASSIUM IODIDE								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2851945	FOLATE								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2853972	NICOTINAMIDE								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2856215	THIAMINE								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2850505	CHOLECALCIFEROL								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2852727	IRON CHELATE								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2855126	PYRIDOXINE								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2850883	CYANOCOBALAMIN								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2853245	MAGNESIUM								1
4818	FABFOL PLUS TABLET 60MG/1.5MG/1.5MG/7.5MG/1.5MG/4MCG/100MG/5MCG/7.5MG/250MG/500MCG/196MCG/5MCG	ASCORBATE/CHOLECALCIFEROL/CYANOCOBALAMIN/FOLATE/IRON CHELATE/MAGNESIUM/NICOTINAMIDE/POTASSIUM IODIDE/PYRIDOXINE/RIBOFLAVIN/THIAMINE/ZINC	OMOP2855353	RIBOFLAVIN								1
4987	MICROLAX ENEMA MICROENEMA 3.125G-450MG-45MG	SODIUM CITRATE/SORBITOL	OMOP2855786	SODIUM CITRATE								1
4987	MICROLAX ENEMA MICROENEMA 3.125G-450MG-45MG	SODIUM CITRATE/SORBITOL	OMOP2855837	SORBITOL								1
4988	NORMACOL PLUS GRANULES 62%/8%/25%	FRANGULA/STERCULIA	OMOP2851987	FRANGULA								1
4988	NORMACOL PLUS GRANULES 62%/8%/25%	FRANGULA/STERCULIA	OMOP2855899	STERCULIA								1
5083	MULTIFLORA CAPSULE 6 BILLION/0.	BIFIDOBACTERIUM/LACTOBACILLUS SPP	OMOP2852915	LACTOBACILLUS SPP								1
5083	MULTIFLORA CAPSULE 6 BILLION/0.	BIFIDOBACTERIUM/LACTOBACILLUS SPP	OMOP2849859	BIFIDOBACTERIUM		6	U					1
5533	ADACEL VIAL 2 UNITS/3MCG/5MCG/5MCG/2.5MCG/20 UNITS	DIPHTHERIA VACCINE/PERTUSSIS VACCINE/TETANUS VACCINE	OMOP2851239	DIPHTHERIA VACCINE								1
5533	ADACEL VIAL 2 UNITS/3MCG/5MCG/5MCG/2.5MCG/20 UNITS	DIPHTHERIA VACCINE/PERTUSSIS VACCINE/TETANUS VACCINE	OMOP2854672	PERTUSSIS VACCINE								1
5533	ADACEL VIAL 2 UNITS/3MCG/5MCG/5MCG/2.5MCG/20 UNITS	DIPHTHERIA VACCINE/PERTUSSIS VACCINE/TETANUS VACCINE	OMOP2856196	TETANUS VACCINE								1
5544	GASTROLYTE-R SACHET 6G-580MG-350	POTASSIUM CHLORIDE/RICE/SODIUM CHLORIDE/SODIUM CITRATE	OMOP2855786	SODIUM CITRATE								1
5544	GASTROLYTE-R SACHET 6G-580MG-350	POTASSIUM CHLORIDE/RICE/SODIUM CHLORIDE/SODIUM CITRATE	OMOP2854891	POTASSIUM CHLORIDE		6	G					1
5544	GASTROLYTE-R SACHET 6G-580MG-350	POTASSIUM CHLORIDE/RICE/SODIUM CHLORIDE/SODIUM CITRATE	OMOP2855354	RICE		580	MG					1
5544	GASTROLYTE-R SACHET 6G-580MG-350	POTASSIUM CHLORIDE/RICE/SODIUM CHLORIDE/SODIUM CITRATE	OMOP2855783	SODIUM CHLORIDE								1
5667	MICROLAX ENEMA MICROENEMA 3.125G-450MG-45MG	SODIUM CITRATE/SORBITOL	OMOP2855837	SORBITOL								1
5667	MICROLAX ENEMA MICROENEMA 3.125G-450MG-45MG	SODIUM CITRATE/SORBITOL	OMOP2855786	SODIUM CITRATE								1
5696	GASTROGEL TABLET 250MG/120MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/MAGNESIUM TRISILICATE/SIMETHICONE	OMOP2853260	MAGNESIUM TRISILICATE								1
5696	GASTROGEL TABLET 250MG/120MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/MAGNESIUM TRISILICATE/SIMETHICONE	OMOP2855708	SIMETHICONE								1
5696	GASTROGEL TABLET 250MG/120MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/MAGNESIUM TRISILICATE/SIMETHICONE	OMOP2853253	MAGNESIUM HYDROXIDE		120	MG					1
5696	GASTROGEL TABLET 250MG/120MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/MAGNESIUM TRISILICATE/SIMETHICONE	OMOP2849174	ALUMINIUM HYDROXIDE		250	MG					1
5822	GELUSIL LIQUID 200MG-200MG-	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2855708	SIMETHICONE								1
5822	GELUSIL LIQUID 200MG-200MG-	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2849174	ALUMINIUM HYDROXIDE		200	MG					1
5822	GELUSIL LIQUID 200MG-200MG-	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2853253	MAGNESIUM HYDROXIDE		200	MG					1
5830	GELUSIL TABLET 200MG/200MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2855708	SIMETHICONE								1
5830	GELUSIL TABLET 200MG/200MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2849174	ALUMINIUM HYDROXIDE		200	MG					1
5830	GELUSIL TABLET 200MG/200MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2853253	MAGNESIUM HYDROXIDE		200	MG					1
6299	GAVISCON TABLETS LEMON 250MG/133.5/80MG	ALGINATE/CALCIUM CARBONATE/SODIUM BICARBONATE	OMOP2855779	SODIUM BICARBONATE		80	MG					1
6299	GAVISCON TABLETS LEMON 250MG/133.5/80MG	ALGINATE/CALCIUM CARBONATE/SODIUM BICARBONATE	OMOP2849105	ALGINATE		250	MG					1
6299	GAVISCON TABLETS LEMON 250MG/133.5/80MG	ALGINATE/CALCIUM CARBONATE/SODIUM BICARBONATE	OMOP2850100	CALCIUM CARBONATE								1
6300	GAVISCON TABLETS LEMON 250MG/133.5/80MG	ALGINATE/CALCIUM CARBONATE/SODIUM BICARBONATE	OMOP2850100	CALCIUM CARBONATE								1
6300	GAVISCON TABLETS LEMON 250MG/133.5/80MG	ALGINATE/CALCIUM CARBONATE/SODIUM BICARBONATE	OMOP2855779	SODIUM BICARBONATE		80	MG					1
6300	GAVISCON TABLETS LEMON 250MG/133.5/80MG	ALGINATE/CALCIUM CARBONATE/SODIUM BICARBONATE	OMOP2849105	ALGINATE		250	MG					1
6639	OMEGA 3 EPA/DHA CONCENTRATE CAPSULE 1G/300MG/200MG	OMEGA-3 TRIGLYCERIDES	OMOP2854226	OMEGA-3 TRIGLYCERIDES					MG	300	MG	1
27636	REPAIRASE POWDER 1000MG-100MG	ASCORBATE/BROMELAINS/MAGNESIUM ASCORBATE/PANTOTHENATE/QUERCETIN/RETINOL/RUTIN/SELENIUM/TOCOPHEROL/ZINC GLUCONATE	OMOP2855150	QUERCETIN								1
27690	NYAL NIGHT-TIME COUGH MIXTURE LIQU 38MG-382MG-7	LICORICE/MELISSA OFFICINALIS/SENEGA/SQUILL	OMOP2853059	LICORICE		38	MG					1
27690	NYAL NIGHT-TIME COUGH MIXTURE LIQU 38MG-382MG-7	LICORICE/MELISSA OFFICINALIS/SENEGA/SQUILL	OMOP2855875	SQUILL								1
27690	NYAL NIGHT-TIME COUGH MIXTURE LIQU 38MG-382MG-7	LICORICE/MELISSA OFFICINALIS/SENEGA/SQUILL	OMOP2853360	MELISSA OFFICINALIS		382	MG					1
27690	NYAL NIGHT-TIME COUGH MIXTURE LIQU 38MG-382MG-7	LICORICE/MELISSA OFFICINALIS/SENEGA/SQUILL	OMOP2855597	SENEGA								1
27732	IBEROGAST ORAL SOLU'N 75MG-33.3MG-66.7MG-33.3MG-33.3MG-33.3MG-16.7MG-33.3MG-33.3MG/20 DROPS	ANGELICA/CARAWAY/CHAMOMILE/CHELIDONIUM/LICORICE/MELISSA OFFICINALIS/MENTHA PIPERITA/SILYBUM MARIANUM	OMOP2853360	MELISSA OFFICINALIS								1
27732	IBEROGAST ORAL SOLU'N 75MG-33.3MG-66.7MG-33.3MG-33.3MG-33.3MG-16.7MG-33.3MG-33.3MG/20 DROPS	ANGELICA/CARAWAY/CHAMOMILE/CHELIDONIUM/LICORICE/MELISSA OFFICINALIS/MENTHA PIPERITA/SILYBUM MARIANUM	OMOP2849295	ANGELICA								1
27732	IBEROGAST ORAL SOLU'N 75MG-33.3MG-66.7MG-33.3MG-33.3MG-33.3MG-16.7MG-33.3MG-33.3MG/20 DROPS	ANGELICA/CARAWAY/CHAMOMILE/CHELIDONIUM/LICORICE/MELISSA OFFICINALIS/MENTHA PIPERITA/SILYBUM MARIANUM	OMOP2850337	CHAMOMILE								1
27732	IBEROGAST ORAL SOLU'N 75MG-33.3MG-66.7MG-33.3MG-33.3MG-33.3MG-16.7MG-33.3MG-33.3MG/20 DROPS	ANGELICA/CARAWAY/CHAMOMILE/CHELIDONIUM/LICORICE/MELISSA OFFICINALIS/MENTHA PIPERITA/SILYBUM MARIANUM	OMOP2853400	MENTHA PIPERITA								1
27732	IBEROGAST ORAL SOLU'N 75MG-33.3MG-66.7MG-33.3MG-33.3MG-33.3MG-16.7MG-33.3MG-33.3MG/20 DROPS	ANGELICA/CARAWAY/CHAMOMILE/CHELIDONIUM/LICORICE/MELISSA OFFICINALIS/MENTHA PIPERITA/SILYBUM MARIANUM	OMOP2850190	CARAWAY								1
27732	IBEROGAST ORAL SOLU'N 75MG-33.3MG-66.7MG-33.3MG-33.3MG-33.3MG-16.7MG-33.3MG-33.3MG/20 DROPS	ANGELICA/CARAWAY/CHAMOMILE/CHELIDONIUM/LICORICE/MELISSA OFFICINALIS/MENTHA PIPERITA/SILYBUM MARIANUM	OMOP2853059	LICORICE								1
27732	IBEROGAST ORAL SOLU'N 75MG-33.3MG-66.7MG-33.3MG-33.3MG-33.3MG-16.7MG-33.3MG-33.3MG/20 DROPS	ANGELICA/CARAWAY/CHAMOMILE/CHELIDONIUM/LICORICE/MELISSA OFFICINALIS/MENTHA PIPERITA/SILYBUM MARIANUM	OMOP2850343	CHELIDONIUM								1
27732	IBEROGAST ORAL SOLU'N 75MG-33.3MG-66.7MG-33.3MG-33.3MG-33.3MG-16.7MG-33.3MG-33.3MG/20 DROPS	ANGELICA/CARAWAY/CHAMOMILE/CHELIDONIUM/LICORICE/MELISSA OFFICINALIS/MENTHA PIPERITA/SILYBUM MARIANUM	OMOP2855702	SILYBUM MARIANUM								1
27855	NASEX PERSONAL INHALER 328MG/220MG/	CAMPHOR/EUCALYPTUS OIL/LAVENDER/MENTHA PIPERITA/METHYL SALICYLATE	OMOP2850139	CAMPHOR		328	MG					1
27855	NASEX PERSONAL INHALER 328MG/220MG/	CAMPHOR/EUCALYPTUS OIL/LAVENDER/MENTHA PIPERITA/METHYL SALICYLATE	OMOP2852973	LAVENDER								1
27855	NASEX PERSONAL INHALER 328MG/220MG/	CAMPHOR/EUCALYPTUS OIL/LAVENDER/MENTHA PIPERITA/METHYL SALICYLATE	OMOP2853400	MENTHA PIPERITA								1
27855	NASEX PERSONAL INHALER 328MG/220MG/	CAMPHOR/EUCALYPTUS OIL/LAVENDER/MENTHA PIPERITA/METHYL SALICYLATE	OMOP2853475	METHYL SALICYLATE								1
27855	NASEX PERSONAL INHALER 328MG/220MG/	CAMPHOR/EUCALYPTUS OIL/LAVENDER/MENTHA PIPERITA/METHYL SALICYLATE	OMOP2851626	EUCALYPTUS OIL		220	MG					1
27895	CALCIUM & MAGNESIUM (HERB VALLEY) 150MG/75MG/2	ACETOMENAPHTHONE/CALCIUM/CHOLECALCIFEROL/COPPER/EQUISETUM ARVENSE/IRON/MAGNESIUM/MANGANESE/ZINC	OMOP2850097	CALCIUM		75	MG					1
27895	CALCIUM & MAGNESIUM (HERB VALLEY) 150MG/75MG/2	ACETOMENAPHTHONE/CALCIUM/CHOLECALCIFEROL/COPPER/EQUISETUM ARVENSE/IRON/MAGNESIUM/MANGANESE/ZINC	OMOP2853245	MAGNESIUM								1
27895	CALCIUM & MAGNESIUM (HERB VALLEY) 150MG/75MG/2	ACETOMENAPHTHONE/CALCIUM/CHOLECALCIFEROL/COPPER/EQUISETUM ARVENSE/IRON/MAGNESIUM/MANGANESE/ZINC	OMOP2850505	CHOLECALCIFEROL								1
27895	CALCIUM & MAGNESIUM (HERB VALLEY) 150MG/75MG/2	ACETOMENAPHTHONE/CALCIUM/CHOLECALCIFEROL/COPPER/EQUISETUM ARVENSE/IRON/MAGNESIUM/MANGANESE/ZINC	OMOP2851550	EQUISETUM ARVENSE								1
27895	CALCIUM & MAGNESIUM (HERB VALLEY) 150MG/75MG/2	ACETOMENAPHTHONE/CALCIUM/CHOLECALCIFEROL/COPPER/EQUISETUM ARVENSE/IRON/MAGNESIUM/MANGANESE/ZINC	OMOP2848929	ACETOMENAPHTHONE		150	MG					1
27895	CALCIUM & MAGNESIUM (HERB VALLEY) 150MG/75MG/2	ACETOMENAPHTHONE/CALCIUM/CHOLECALCIFEROL/COPPER/EQUISETUM ARVENSE/IRON/MAGNESIUM/MANGANESE/ZINC	OMOP2852726	IRON								1
27895	CALCIUM & MAGNESIUM (HERB VALLEY) 150MG/75MG/2	ACETOMENAPHTHONE/CALCIUM/CHOLECALCIFEROL/COPPER/EQUISETUM ARVENSE/IRON/MAGNESIUM/MANGANESE/ZINC	OMOP2850795	COPPER								1
27895	CALCIUM & MAGNESIUM (HERB VALLEY) 150MG/75MG/2	ACETOMENAPHTHONE/CALCIUM/CHOLECALCIFEROL/COPPER/EQUISETUM ARVENSE/IRON/MAGNESIUM/MANGANESE/ZINC	OMOP2853274	MANGANESE								1
