CONCEPT_NAME	DUMMY	CONCEPT_ID	RXNE_NAME	PRECEDENCE
KARVOL		21017671	Karvol Decongestant	
KEFLIN NEUTRAL		19088754	Keflin	
KEFLOR CD		43253195	Keflor	
KENACOMB OTIC		43253203	Kenacomb	
KENACORT-A 10		43127709	KENACORT	
KENACORT-A 40		43127709	KENACORT	
KENALOG IN ORABASE		19044232	Kenalog	
KINIDIN DURULES		21016375	Kinidine	
KLACID HP7		43253234	Klacid	
KLACID ORAL LIQUID		43253234	Klacid	
KONAKION MM		19022044	Konakion	
KONAKION MM PAEDIATRIC		19022044	Konakion	
KOREAN GINSENG	ing			
L-LYSINE 500MG	ing			
L-THEANINE	ing			
LACTAID DROPS		19027638	Lactaid	
LACTEEZE DROPS		44018300	Lacteeze	
LACTOBAC POWDER		40810081	Lactobac	
LAILA-35 ED		43253265	Laila-35	
LAMISIL DERMGEL		19070961	Lamisil	
LAMISIL JOCK ITCH DERMGEL		19068553	Lamisil AT Jock Itch	
LAMISIL ONCE		19070961	Lamisil	
LAMISIL SOLE REPAIR		19070961	Lamisil	
LANOXIN PAEDIATRIC ELIXIR		19121801	Lanoxin Pediatric	
LANTUS SOLOSTAR		43128317	LANTUS	
LANZEK ZYDIS		43253312	Lanzek	
LASIX HIGH DOSE		19044738	Lasix	
LASIX M		19044738	Lasix	
LASONIL BRUISE TREATMENT		21015023	Lasonil	
LAXETTES WITH SENNA		43253206	Laxettes	
LEMSIP COLD & FLU WITH DECONGESTANT		43253216	Lemsip Cold And Flu	
LEMSIP FIRST SIGNS DAY AND NIGHT LIQUID CAPS		21017802	Lemsip	
LEMSIP MAX COLD & FLU WITH DECONGESTANT DRINK		43253225	Lemsip Max	
LEMSIP MAX MULTI-RELIEF COLD & FLU HOT DRINK		43253225	Lemsip Max	
LEMSIP MAX SORE THROAT ANAESTHETIC LOZENGES		43253225	Lemsip Max	
LEMSIP ORIGINAL LEMON		21017802	Lemsip	
LENEST 20 ED		43253267	Lenest	
LENEST 30 ED		43253267	Lenest	
LETROZOLE ACTAVIS		40810030	Letrozol Actavis	
LEVEMIR FLEXPEN		19044920	Levemir	
LEVEMIR PENFILL		19044920	Levemir	
LEVETIRACETAM SZ		43128664	LEVETIRACETAM SANDOZ	
LEVLEN ED		19050828	Levlen	
LEVONELLE-1		21016757	Levonelle	
LEVONELLE-2		21016757	Levonelle	
LEVONORGESTREL-	ing			
LEXAM 10		43253238	Lexam	
LEXAM 20		43253238	Lexam	
LIGNOCAINE GEL SYRINGE	ing			
LINOTAR MOISTURISING		43253245	Linotar	
LIPAZIL 600		43253412	Lipazil	
LIQUIFILM FORTE		40810968	Liquifilm	
LISDEXAMFETAMINE DIMESILATE	ing			
LITTLE ALLERGIES FOR CHILDREN		43253343	Little Allergies	
LIVER DETOX & SUPPORT	?			
LODAM 50		43253358	Lodam	
LODAM SR		43253358	Lodam	
LOGYNON ED		21018509	Logynon	
LOSEC HELICOPAK		19014487	Losec	
LOSEC HP7		19014487	Losec	
LOVAN LIQUID		43253416	Lovan	
LUBRI-GEL	device			
LUBRIN	device			
LUCRIN DEPOT		43253431	Lucrin	
LUCRIN DEPOT 1 MONTH PDS		43253431	Lucrin	
LUCRIN DEPOT 3 MONTH PDS		43253431	Lucrin	
LUCRIN DEPOT 4 MONTH PDS		43253431	Lucrin	
LUCRIN DEPOT 6 MONTH PDS		43253431	Lucrin	
LUGOL'S		19098613	Lugols Strong Iodine	
LUMIGAN PF		19005577	Lumigan	
LUTEIN-VISION ADVANCED		43253446	Lutein-Vision	
MADOPAR HBS		19071969	Madopar	
MADOPAR RAPID		19071969	Madopar	
MAGICUL 200		43253339	Magicul	
MAGICUL 400		43253339	Magicul	
MAGICUL 800		43253339	Magicul	
MAGNESIA CARBONATE	ing			
MAGNESIUM AND B6	ing			
MAGNESIUM COMPOUND	ing			
MAGNESIUM POWDER	ing			
MALARONE JUNIOR		19023671	Malarone	
MARCAIN SPINAL		21017643	Marcain	
MARVELON 28		21018272	Marvelon	
MAXEPA FISH OIL EXTRACT		19071996	Maxepa	
MAXICLEAR COLD & FLU		43253389	Maxiclear	
MAXICLEAR SINUS		43253389	Maxiclear	
MAXICLEAR SINUS & PAIN		43253389	Maxiclear	
MEDI CREME		40811415	Medicreme	
MEDI PULV		43253405	Medipulv	
MEGA B Q10		43253409	Mega B	
MELIPRAMINE		40811352	Melipramin	
MENOMUNE		43253455	Menomune-A	
OMEGA-3 NATURAL FISH OIL		21015707	Natures Aid Omega-3 Fish Oil	
30 PLUS		44015161	Hawaiian Tropic 30 Plus	
5-HYDROXY TRYPTOPHAN	ing			
A-CITALOPRAM	ing			
A-FLUCONAZOLE	ing			
A&M		19053761	Alumina and Magnesia	
ABBOCILLIN V		43252089	Abbocillin Vk	
ABBOCILLIN V DULCETS		43252089	Abbocillin Vk	
ABBOCILLIN VK FILMTAB		43252089	Abbocillin Vk	
ABISART HCT		43252092	Abisart	
ACCOMIN CENTRUM ADULT LIQUID		43252095	Accomin Adult Mixture	
ACETOPT	?			
ACICLOVIR 200	ing			
ACICLOVIR 800	ing			
ACICLOVIR GH	ing			
ACICLOVIR-BC	ing			
ACIDOPHILUS BIFIDUS	ing			
ACLIN 200		43252112	Aclin	
ACNE AID BAR		44012874	Acne Aid	
ACNE GEL WITH SANCHI		44012877	Acne Gel	
ACNEDERM		43252116	Acnederm Foaming Wash	
ACQUIN ASPEN		43252119	Acquin	
ACRIS COMBI		43252122	Acris	
ACRIS ONCE-A-MONTH		43252122	Acris	
ACRIS ONCE-A-WEEK		43252122	Acris	
ACTAIR CONTINUATION TREATMENT		43252124	Actair	
ACTIFED CC CHESTY COUGH		19029676	Actifed	
ACTIFED CC DRY COUGH		19029676	Actifed	
ACTIFED CC JUNIOR		19029676	Actifed	
ACTIFED CHESTY		19029676	Actifed	
ACTIFED DRY		19029676	Actifed	
ACTION COLD & FLU EFFERVESCENT		43252103	Action Cold And Flu	
ACTONEL COMBI		19021836	Actonel	
ACTONEL COMBI D		19021836	Actonel	
ACTONEL EC		19021836	Actonel	
ACTONEL EC COMBI		19021836	Actonel	
ACTONEL EC COMBI D		19021836	Actonel	
ACTONEL ONCE-A-MONTH		19021836	Actonel	
ACTONEL ONCE-A-WEEK		19021836	Actonel	
ACTRAPID NOVOLET		21016315	Actrapid	
ACTRAPID PENFILL		21016315	Actrapid	
ACYCLO-V 200		43252129	Acyclo-V	
ACYCLO-V 800		43252129	Acyclo-V	
ADACEL POLIO		44013030	Adacel-Polio	
ADALAT CAPS		19020153	Adalat	
ADALAT OROS		19020153	Adalat	
ADDOS XR		43252132	Addos	
ADEFIN XL 30		43252133	Adefin	
ADEFIN XL 60		43252133	Adefin	
ADESAN HCT		43252136	Adesan	
ADRENALINE		44814295	Adrenalin	
ADRONAT ONCE WEEKLY		43252145	Adronat	
ADT		43252087	Adt Vaccine	
ADVANTAGE		19052847	Advantage 24 Contraceptive	1
ADVANTAGE		44013055	Advantage Acne Control Kit	2
ADVANTAGE		42707080	Advantage Multi	3
ADVANTAGE		19018888	Advantage-S	4
ADVANTAN FATTY		21019017	Advantan	
ADVIL LIQUID CAPS		19023250	Advil	
AERON 250		43252150	Aeron	
AERON 500		43252150	Aeron	
AGAMATRIX JAZZ	device			
AGIOFIBE	device			
AIROMIR AUTOHALER CFC-FREE		43127054	AIROMIR AUTOHALER	
ALBALON RELIEF		19053072	Albalon	
ALDARA PUMP PACK		19053103	Aldara	
ALENDROBELL PLUS D3		43252160	Alendrobell	
ALENDRONATE AN	ing			
ALENDRONATE D3	ing			
ALENDRONATE PLUS D3	ing			
ALENDRONATE PLUS D3 AND CALCIUM SANDOZ		40799714	Alendron Sandoz	
ALENDRONATE PLUS D3 SANDOZ		40799714	Alendron Sandoz	
ALENDRONATE SANDOZ		40799714	Alendron Sandoz	
ALEPAM 15		43252171	Alepam	
ALEPAM 30		43252171	Alepam	
ALFAMINO JUNIOR	device			
ALKA-SELTZER LEMON		19030123	Alka-Seltzer	
ALKA-SELTZER REGULAR		19030123	Alka-Seltzer	
ALLERGY EYES		44013167	Allergy Eye	
ALLPYRAL ALLERGEN EXTRACTS		44013252	Allpyral	
ALOE BARBADENSIS MILLER	ing			
ALPHA KERI TAR		44013264	Alpha Keri	
ALPHACIN 250		43252195	Alphacin	
ALPHACIN 500		43252195	Alphacin	
ALPHACLAV DUO FORTE		43252196	Alphaclav Duo	
ALPHAGAN P 1.5		19031759	Alphagan P	
ALPHAMOX 125		43252198	Alphamox	
ALPHAMOX 250		43252198	Alphamox	
ALPHAMOX 500		43252198	Alphamox	
ALPHAPRESS 25		43252199	Alphapress	
ALPHAPRESS 50		43252199	Alphapress	
ALPRAX 0.25		43252201	Alprax	
ALPRAX 0.5		43252201	Alprax	
ALPRAX 1		43252201	Alprax	
ALPRAX 2		43252201	Alprax	
ALUSTAL		43252181	Alustal House	
AMITROL	ing			
AMMONIUM CHLORIDE	ing			
AMOXIL DUO		19045258	Amoxil	
AMOXIL PARENTERAL		19045258	Amoxil	
AMOXYCILLIN RANBAXY		43127454	AMOXICILLINE RANBAXY	
AMOXYCILLIN SANDOZ		43127457	AMOXICILLINE SANDOZ	
AMOXYCLAV RBX		43127477	AMOXICILLINE/ACIDE CLAVULANIQUE RANBAXY	
AMPHOTERICIN B		40800006	Amphotericin B Eup	
AMYLOBARBITONE	ing			
ANAPROX 550		19042253	Anaprox	
ANDREWS TUMS ANTACID		43252251	Andrews Tums	
ANDRIOL TESTOCAPS		40799986	Andriol	
ANDRO-FEME		43252222	Androfeme	
ANDROCUR-100		21018407	Androcur	
ANDROFORTE 5		43252223	Androforte	
ANGELIQ 1/2		19058478	Angeliq	
ANPEC 40		43252227	Anpec	
ANPEC 80		43252227	Anpec	
ANPEC SR		43252227	Anpec	
ANSELOL 50		43252229	Anselol	
ANTHEL 125		43252231	Anthel	
ANTHEL 250		43252231	Anthel	
ANTI-STRESS	ambig			
ANTISTINE-PRIVINE		40799950	Antistin Privin	
APL		19052114	A.P.L.	
APO-AMOXYCILLIN		44013472	Apo-Amox	
APO-AMOXYCILLIN AND CLAVULANIC ACID		44013474	Apo-Amoxi Clav	
APO-ATENOLOL		44013480	Apo-Atenol	
APO-CANDESARTAN HCTZ 16/12.5		44013501	Apo-Candesartan/Hctz	
APO-CANDESARTAN HCTZ 32/12.5		44013501	Apo-Candesartan/Hctz	
APO-CANDESARTAN HCTZ 32/25		44013501	Apo-Candesartan/Hctz	
APO-CEPHALEXIN		44013511	Apo-Cephalex	
APO-CIPROFLOXACIN		44013581	Apo-Ciproflox	
APO-DESVENLAFAXINE MR		43252713	Desvenlafaxine Mr	
APO-DIAZEPAM		44013376	Apo Diazepam	
APO-FAMCICLOVIR COLD SORE TREATMENT		44013636	Apo-Famciclovir	
APO-FINASTERIDE 5		44013521	Apo-Finasteride	
APO-FLUCONAZOLE ONE		44013523	Apo-Fluconazole	
APO-FOSINOPRIL HCTZ 10/12.5		44013531	Apo-Fosinopril	
APO-FOSINOPRIL HCTZ 20/12.5		44013531	Apo-Fosinopril	
APO-FRUSEMIDE		44013381	Apo Furosemide	
APO-GALANTAMINE MR		44013535	Apo-Galantamine	
APO-GLICLAZIDE MR		44013538	Apo-Gliclazide	
APO-HYDROXYCHLOROQUINE		44013544	Apo-Hydroxyquine	
APO-INDAPAMIDE SR		44013549	Apo-Indapamide	
APO-IRBESARTAN HCTZ		44013553	Apo-Irbesartan/Hctz	
APO-LANSOPRAZOLE ODT		44013564	Apo-Lansoprazole	
APO-METOCLOPRAMIDE		44013738	Apo-Metoclop	
APO-METOPROLOL		44013739	Apo-Metoprolol Sr	
APO-NIFEDIPINE XR		44013760	Apo-Nifed	
APO-OLANZAPINE ODT		44013767	Apo-Olanzapine	
APO-OXAZEPAM		44013641	Apo Oxazepam	
APO-PARACETAMOL		44013367	Apo Acetaminophen	
APO-PERINDOPRIL ARGININE		44013780	Apo-Perindopril	
APO-PRAMIPEXOLE ER		44013784	Apo-Pramipexole	
APO-PRAZOSIN		44013786	Apo-Prazo	
APO-PROPRANOLOL		44013649	Apo Propranolol	
APO-QUETIAPINE XR		44013791	Apo-Quetiapine	
APO-TELMISARTAN HCTZ		44013835	Apo-Telmisartan/Hctz	
APO-TRAMADOL SR		44013669	Apo-Tramadol	
APO-VENLAFAXINE XR		44013684	Apo-Venlafaxine	
APORYL		43252258	Aporyl Anti-Fungal Nail Treatment	
APOVEN 250		43252259	Apoven	
APOVEN 500		43252259	Apoven	
AQUACARE H.P.		43252264	Aquacare	
ARANESP WITH AUTOMATIC NEEDLE GUARD		19025156	Aranesp	
ARATAC 100		43252253	Aratac	
ARATAC 200		43252253	Aratac	
ARIMA 150		43252291	Arima	
ARIMA 300		43252291	Arima	
ARTHRO AID		43252274	Arthro-Aid	
ARTHRO AID DIRECT		43252274	Arthro-Aid	
ARTHRO AID GOLD		43252274	Arthro-Aid	
ARTHRO AID ONE A DAY		43252274	Arthro-Aid	
ASASANTIN SR		40800798	Asasantin	
ASCENSIA ELITE LOW AND HIGH CONTROL	device			
ASCENSIA GLUCODISC NORMAL CONTROL	device			
ASMOL CFC-FREE		43252281	Asmol	
ASMOL UNI DOSE		43252281	Asmol	
ASPIRIN DISPERSIBLE	ing			
ASPRO CLEAR		43127635	ASPRO	
ASPRO CLEAR EXTRA STRENGTH		43127635	ASPRO	
