"drug_concept_code";"drug_concept_name";"ingredient_concept_code";"ingredient_concept_name";"amount_value";"amount_name";"denominator_value";"denominator_unit"
"10694711000001106";Generic Z-Hyalin 1% ophthalmic viscosurgical device 1ml pre-filled syringes;;;;;;
"10694811000001103";Generic Z-Hyalin Plus 1.5% ophthalmic viscosurgical device 1ml pre-filled syringes;;;;;;
"10749011000001106";Generic Ringers irrigation solution 2litre Flowfusor bottles;;;;;;
"10774211000001101";Generic Seven Seas Jointcare Max capsules;;;;;;
"10795711000001100";Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes;"11170511000001108";Haemophilus influenzae type b polysaccharide protein conjugate;;;;
"10795711000001100";Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes;"11171411000001100";Human poliovirus type 1 inactivated;;;;
"10795711000001100";Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes;"11171511000001101";Human poliovirus type 2 inactivated;;;;
"10795711000001100";Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes;"11171611000001102";Human poliovirus type 3 inactivated;;;;
"10795711000001100";Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes;"11173111000001106";Pertussis antigens;;;;
"10795711000001100";Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes;"14608011000001104";Tetanus toxoid;;;;
"10795711000001100";Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes;"161000221102";Diphtheria toxoid;;;;
"10826411000001108";Generic ORA-Plus oral suspension;"10828111000001104";Microcrystalline cellulose;;;;
"10826411000001108";Generic ORA-Plus oral suspension;"10828211000001105";Xanthan gum;;;;
"10826411000001108";Generic ORA-Plus oral suspension;"109240008";Carrageenan;;;;
"10826411000001108";Generic ORA-Plus oral suspension;"51224002";Carmellose sodium;;;;
"10827111000001100";Generic ORA-Sweet SF oral solution;"10828211000001105";Xanthan gum;;;;
"10827111000001100";Generic ORA-Sweet SF oral solution;"19839007";Sorbitol;;;;
"10827111000001100";Generic ORA-Sweet SF oral solution;"442253006";Saccharin sodium;;;;
"10827111000001100";Generic ORA-Sweet SF oral solution;"80582002";Glycerol;;;;
"10840911000001101";Generic ORA-Sweet oral solution;"11320009";Sucrose;;;;
"10840911000001101";Generic ORA-Sweet oral solution;"19839007";Sorbitol;;;;
"10840911000001101";Generic ORA-Sweet oral solution;"80582002";Glycerol;;;;
"10893611000001107";Human papillomavirus (type 6 11 16 18) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes;"11170911000001101";Human papillomavirus type 11 L1 protein;;;;
"10893611000001107";Human papillomavirus (type 6 11 16 18) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes;"11171011000001109";Human papillomavirus type 16 L1 protein;;;;
"10893611000001107";Human papillomavirus (type 6 11 16 18) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes;"11171111000001105";Human papillomavirus type 18 L1 protein;;;;
"10893611000001107";Human papillomavirus (type 6 11 16 18) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes;"11171211000001104";Human papillomavirus type 6 L1 protein;;;;
"10911611000001104";Saw-scaled viper venom antiserum solution for injection 10ml ampoules;"10909511000001100";Saw-scaled viper venom antiserum;;;;
"10912511000001106";Generic Crofab snake venom antiserum 1g powder for solution for injection vials;"10912111000001102";Western diamondback rattlesnake venom antiserum;;;;
"10912511000001106";Generic Crofab snake venom antiserum 1g powder for solution for injection vials;"10912211000001108";Eastern diamondback rattlesnake venom antiserum;;;;
"10912511000001106";Generic Crofab snake venom antiserum 1g powder for solution for injection vials;"10912311000001100";Mojave rattlesnake venom antiserum;;;;
"10912511000001106";Generic Crofab snake venom antiserum 1g powder for solution for injection vials;"10912411000001107";Cottonmouth snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10914411000001100";Puff adder snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10914511000001101";Gaboon adder snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10914611000001102";Rinkhals cobra snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10914711000001106";Green mamba snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10914811000001103";Jameson's mamba snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10914911000001108";Black mamba snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10915011000001108";Cape cobra snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10915111000001109";Forest cobra snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10915211000001103";Egyptian cobra snake venom antiserum;;;;
"10915411000001104";Generic SAIMR polyvalent snake antivenom 10ml solution for injection vials;"10915311000001106";Black necked spitting cobra snake venom antiserum;;;;
"10916111000001103";Central American polyvalent snake venom antisera solution for injection 10ml ampoules;"10915811000001102";Central American lancehead snake venom antiserum;;;;
"10916111000001103";Central American polyvalent snake venom antisera solution for injection 10ml ampoules;"10915911000001107";Tropical rattlesnake venom antiserum;;;;
"10916111000001103";Central American polyvalent snake venom antisera solution for injection 10ml ampoules;"10916011000001104";South American bushmaster snake venom antiserum;;;;
"10916911000001100";Generic Snake antivenin powder and solvent for solution for injection vials;"10909511000001100";Saw-scaled viper venom antiserum;;;;
"10916911000001100";Generic Snake antivenin powder and solvent for solution for injection vials;"10916611000001106";Indian cobra snake venom antiserum;;;;
"10916911000001100";Generic Snake antivenin powder and solvent for solution for injection vials;"10916711000001102";Common krait snake venom antiserum;;;;
"10916911000001100";Generic Snake antivenin powder and solvent for solution for injection vials;"10916811000001105";Russell's viper snake venom antiserum;;;;
"11146411000001105";Glucosamine sulfate 500mg / Chondroitin sulfate 400mg tablets;"4104007";Chondroitin sulfate;400;mg;;
"11146411000001105";Glucosamine sulfate 500mg / Chondroitin sulfate 400mg tablets;"4104007";Chondroitin sulfate;500;mg;;
"11146411000001105";Glucosamine sulfate 500mg / Chondroitin sulfate 400mg tablets;"734505004";Glucosamine sulfate;400;mg;;
"11146411000001105";Glucosamine sulfate 500mg / Chondroitin sulfate 400mg tablets;"734505004";Glucosamine sulfate;500;mg;;
"11236611000001109";Hepatitis A GBM strain (adsorbed) / Typhoid polysaccharide vaccine suspension for injection 1ml pre-filled syringes;"11237311000001101";Hepatitis A virus (GBM strain) inactivated;;;;
"11236611000001109";Hepatitis A GBM strain (adsorbed) / Typhoid polysaccharide vaccine suspension for injection 1ml pre-filled syringes;"11237611000001106";Salmonella typhi (Ty2 strain) Vi capsular polysaccharide;;;;
"11236711000001100";Hepatitis A HM175 strain (adsorbed) / Typhoid polysaccharide vaccine suspension for injection 1ml pre-filled syringes;"11237411000001108";Hepatitis A virus (HM175 strain) inactivated;;;;
"11236711000001100";Hepatitis A HM175 strain (adsorbed) / Typhoid polysaccharide vaccine suspension for injection 1ml pre-filled syringes;"11237611000001106";Salmonella typhi (Ty2 strain) Vi capsular polysaccharide;;;;
"11359411000001106";Glucosamine sulfate 400mg / Chondroitin sulfate 100mg tablets;"4104007";Chondroitin sulfate;100;mg;;
"11359411000001106";Glucosamine sulfate 400mg / Chondroitin sulfate 100mg tablets;"4104007";Chondroitin sulfate;400;mg;;
"11359411000001106";Glucosamine sulfate 400mg / Chondroitin sulfate 100mg tablets;"734505004";Glucosamine sulfate;100;mg;;
"11359411000001106";Glucosamine sulfate 400mg / Chondroitin sulfate 100mg tablets;"734505004";Glucosamine sulfate;400;mg;;
"11360011000001101";Synovial fluid 10mg/1ml injection pre-filled syringes;;;10;mg;;ml
"11393511000001100";Glucosamine sulfate 400mg / Chondroitin sulfate 100mg capsules;"4104007";Chondroitin sulfate;100;mg;;
"11393511000001100";Glucosamine sulfate 400mg / Chondroitin sulfate 100mg capsules;"4104007";Chondroitin sulfate;400;mg;;
"11393511000001100";Glucosamine sulfate 400mg / Chondroitin sulfate 100mg capsules;"734505004";Glucosamine sulfate;100;mg;;
"11393511000001100";Glucosamine sulfate 400mg / Chondroitin sulfate 100mg capsules;"734505004";Glucosamine sulfate;400;mg;;
"11422011000001103";Nitric oxide 100ppm cylinders 353litres;"6710000";Nitric oxide;100;ppm;;
"11422511000001106";Nitric oxide 100ppm cylinders 1963litres;"6710000";Nitric oxide;100;ppm;;
"11422911000001104";Nitric oxide 800ppm cylinders 353litres;"6710000";Nitric oxide;800;ppm;;
"11423511000001104";Nitric oxide 800ppm cylinders 1963litres;"6710000";Nitric oxide;800;ppm;;
"11649211000001101";Generic Add Ins low protein sachets and tablets;;;;;;
"11649311000001109";Generic Add Ins low protein tablets;;;;;;
"12089711000001106";Generic Multibionta 50+ Extra capsules and tablets;"734505004";Glucosamine sulfate;;;;
"12298911000001108";Glucosamine hydrochloride 500mg / Chondroitin sulfate 400mg chewable tablets;"4104007";Chondroitin sulfate;400;mg;;
"12298911000001108";Glucosamine hydrochloride 500mg / Chondroitin sulfate 400mg chewable tablets;"4104007";Chondroitin sulfate;500;mg;;
"12298911000001108";Glucosamine hydrochloride 500mg / Chondroitin sulfate 400mg chewable tablets;"70237008";Glucosamine;400;mg;;
"12298911000001108";Glucosamine hydrochloride 500mg / Chondroitin sulfate 400mg chewable tablets;"70237008";Glucosamine;500;mg;;
"12299011000001104";Human papillomavirus (type 16 18) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes;"11171011000001109";Human papillomavirus type 16 L1 protein;;;;
"12299011000001104";Human papillomavirus (type 16 18) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes;"11171111000001105";Human papillomavirus type 18 L1 protein;;;;
"12540211000001102";Glucosamine hydrochloride 250mg/5ml / Chondroitin sulfate 200mg/5ml oral solution;"4104007";Chondroitin sulfate;200;mg;5;ml
"12540211000001102";Glucosamine hydrochloride 250mg/5ml / Chondroitin sulfate 200mg/5ml oral solution;"4104007";Chondroitin sulfate;250;mg;5;ml
"12540211000001102";Glucosamine hydrochloride 250mg/5ml / Chondroitin sulfate 200mg/5ml oral solution;"70237008";Glucosamine;200;mg;5;ml
"12540211000001102";Glucosamine hydrochloride 250mg/5ml / Chondroitin sulfate 200mg/5ml oral solution;"70237008";Glucosamine;250;mg;5;ml
"12563511000001102";Generic Nicobrevin capsules;;;;;;
"13573211000001104";Glucosamine sulfate 1g / Ascorbic acid 50mg tablets;"43706004";Ascorbic acid;50;mg;;
"13573211000001104";Glucosamine sulfate 1g / Ascorbic acid 50mg tablets;"43706004";Ascorbic acid;1000;mg;;
"13573211000001104";Glucosamine sulfate 1g / Ascorbic acid 50mg tablets;"734505004";Glucosamine sulfate;50;mg;;
"13573211000001104";Glucosamine sulfate 1g / Ascorbic acid 50mg tablets;"734505004";Glucosamine sulfate;1000;mg;;
"13573311000001107";Glucosamine sulfate 500mg / Ascorbic acid 25mg tablets;"43706004";Ascorbic acid;25;mg;;
"13573311000001107";Glucosamine sulfate 500mg / Ascorbic acid 25mg tablets;"43706004";Ascorbic acid;500;mg;;
"13573311000001107";Glucosamine sulfate 500mg / Ascorbic acid 25mg tablets;"734505004";Glucosamine sulfate;25;mg;;
"13573311000001107";Glucosamine sulfate 500mg / Ascorbic acid 25mg tablets;"734505004";Glucosamine sulfate;500;mg;;
"13639611000001106";Macrogol compound oral powder sachets NPF;"39972003";Sodium;;;;
"13639611000001106";Macrogol compound oral powder sachets NPF;"50213009";Chloride;;;;
"13639611000001106";Macrogol compound oral powder sachets NPF;"68615006";Bicarbonate;;;;
"13639611000001106";Macrogol compound oral powder sachets NPF;"712566007";Macrogol '3350';;;;
"13639611000001106";Macrogol compound oral powder sachets NPF;"88480006";Potassium;;;;
"14015211000001108";Measles Mumps and Rubella vaccine (live) powder and solvent for suspension for injection 0.5ml pre-filled syringes;"11172311000001103";Measles virus live attenuated;;;;
"14015211000001108";Measles Mumps and Rubella vaccine (live) powder and solvent for suspension for injection 0.5ml pre-filled syringes;"11172411000001105";Mumps virus live attenuated;;;;
"14015211000001108";Measles Mumps and Rubella vaccine (live) powder and solvent for suspension for injection 0.5ml pre-filled syringes;"11173211000001100";Rubella virus live attenuated;;;;
"14679911000001101";Generic Bio-Pycnogenol 40mg tablets;;;;;;
"14800311000001108";Glucose 25% in glycerol nasal drops;"67079006";Glucose;;;;
"14800311000001108";Glucose 25% in glycerol nasal drops;"80582002";Glycerol;;;;
"14937311000001105";Generic Emerita Pro-Gest cream;"16683002";Progesterone;;;;
"15651211000001104";Influenza H1N1 vaccine (split virion inactivated adjuvanted) emulsion and suspension for emulsion for injection;"16091511000001102";Influenza virus split virion (H1N1 strain) inactivated;;;;
"15651311000001107";Influenza H1N1 vaccine (whole virion Vero cell derived inactivated) suspension for injection;"15651811000001103";Influenza H1N1 vaccine;;;;
"16101211000001105";Generic CCS Foot Care cream;"111089004";Liquid paraffin;;;;
"16101211000001105";Generic CCS Foot Care cream;"12510000";Eucalyptus oil;;;;
"16101211000001105";Generic CCS Foot Care cream;"387092000";Urea;;;;
"16101211000001105";Generic CCS Foot Care cream;"64686009";Benzalkonium chloride;;;;
"16101211000001105";Generic CCS Foot Care cream;"77370004";Lactic acid;;;;
"16101211000001105";Generic CCS Foot Care cream;"80582002";Glycerol;;;;
"16132411000001105";Olive oil ear drops;"41834005";Olive oil;;;;
"16646711000001100";Generic Power Health Cranberry Juice Double Strength 4.5g tablets;;;;;;
"16665511000001109";Generic Valupak Magnesium tablets;"72717003";Magnesium;;;;
"16750011000001106";Generic Indian Brandee oral liquid;;;;;;
"17071611000001109";Generic Kalms tablets;"17072011000001105";Gentian;;;;
"17071611000001109";Generic Kalms tablets;"427339006";Valerian root extract;;;;
"17071611000001109";Generic Kalms tablets;"8987711000001100";Lupulus;;;;
"17155911000001105";Glucosamine sulfate 500mg / Chondroitin sulfate 100mg tablets;"4104007";Chondroitin sulfate;100;mg;;
"17155911000001105";Glucosamine sulfate 500mg / Chondroitin sulfate 100mg tablets;"4104007";Chondroitin sulfate;500;mg;;
"17155911000001105";Glucosamine sulfate 500mg / Chondroitin sulfate 100mg tablets;"734505004";Glucosamine sulfate;100;mg;;
"17155911000001105";Glucosamine sulfate 500mg / Chondroitin sulfate 100mg tablets;"734505004";Glucosamine sulfate;500;mg;;
"17175311000001107";Sodium hyaluronate 0.1% / Dexpanthenol 2% eye drops preservative free;"387578003";Sodium hyaluronate;1;mg;;ml
"17175311000001107";Sodium hyaluronate 0.1% / Dexpanthenol 2% eye drops preservative free;"387578003";Sodium hyaluronate;20;mg;;ml
"17175311000001107";Sodium hyaluronate 0.1% / Dexpanthenol 2% eye drops preservative free;"86431009";Pantothenic acid;1;mg;;ml
"17175311000001107";Sodium hyaluronate 0.1% / Dexpanthenol 2% eye drops preservative free;"86431009";Pantothenic acid;20;mg;;ml
"17192211000001101";Meningococcal oligosaccharide A C W135 and Y conjugate vaccine powder and solvent for solution for injection 0.5ml vials;"39832811000001105";Meningococcal group A oligosaccharide protein conjugate;;;;
"17192211000001101";Meningococcal oligosaccharide A C W135 and Y conjugate vaccine powder and solvent for solution for injection 0.5ml vials;"39832911000001100";Meningococcal group C oligosaccharide protein conjugate;;;;
"17192211000001101";Meningococcal oligosaccharide A C W135 and Y conjugate vaccine powder and solvent for solution for injection 0.5ml vials;"39833011000001108";Meningococcal group W135 oligosaccharide protein conjugate;;;;
"17192211000001101";Meningococcal oligosaccharide A C W135 and Y conjugate vaccine powder and solvent for solution for injection 0.5ml vials;"39833111000001109";Meningococcal group Y oligosaccharide protein conjugate;;;;
"17235711000001106";Generic Power Health Glucosamine gel;"734505004";Glucosamine sulfate;;;;
"17235911000001108";Glucosamine sulfate 500mg / Chondroitin sulfate 400mg capsules;"4104007";Chondroitin sulfate;400;mg;;
"17235911000001108";Glucosamine sulfate 500mg / Chondroitin sulfate 400mg capsules;"4104007";Chondroitin sulfate;500;mg;;
"17235911000001108";Glucosamine sulfate 500mg / Chondroitin sulfate 400mg capsules;"734505004";Glucosamine sulfate;400;mg;;
"17235911000001108";Glucosamine sulfate 500mg / Chondroitin sulfate 400mg capsules;"734505004";Glucosamine sulfate;500;mg;;
"17280711000001105";Glucosamine sulfate 375mg/5ml / Chondroitin sulfate 300mg/5ml oral solution;"4104007";Chondroitin sulfate;300;mg;5;ml
"17280711000001105";Glucosamine sulfate 375mg/5ml / Chondroitin sulfate 300mg/5ml oral solution;"4104007";Chondroitin sulfate;375;mg;5;ml
"17280711000001105";Glucosamine sulfate 375mg/5ml / Chondroitin sulfate 300mg/5ml oral solution;"734505004";Glucosamine sulfate;300;mg;5;ml
"17280711000001105";Glucosamine sulfate 375mg/5ml / Chondroitin sulfate 300mg/5ml oral solution;"734505004";Glucosamine sulfate;375;mg;5;ml
"17313611000001103";Glucosamine sulfate 500mg / Ascorbic acid 250mg tablets;"43706004";Ascorbic acid;250;mg;;
"17313611000001103";Glucosamine sulfate 500mg / Ascorbic acid 250mg tablets;"43706004";Ascorbic acid;500;mg;;
"17313611000001103";Glucosamine sulfate 500mg / Ascorbic acid 250mg tablets;"734505004";Glucosamine sulfate;250;mg;;
"17313611000001103";Glucosamine sulfate 500mg / Ascorbic acid 250mg tablets;"734505004";Glucosamine sulfate;500;mg;;
"17429111000001109";Generic Solgar Advanced Glucosamine Complex tablets;"70237008";Glucosamine;;;;
"17429111000001109";Generic Solgar Advanced Glucosamine Complex tablets;"734505004";Glucosamine sulfate;;;;
"17429211000001103";Generic Solgar Glucosamine MSM Complex tablets;"10902011000001101";White willow liquid extract;;;;
"17429211000001103";Generic Solgar Glucosamine MSM Complex tablets;"115535002";Dimethyl sulfoxide;;;;
"17429211000001103";Generic Solgar Glucosamine MSM Complex tablets;"126230002";Calcium ascorbate;;;;
"17429211000001103";Generic Solgar Glucosamine MSM Complex tablets;"227400003";Ginger;;;;
"17429211000001103";Generic Solgar Glucosamine MSM Complex tablets;"70237008";Glucosamine;;;;
"17483011000001102";Ash mistletoe solution for injection 1ml ampoules;"17484211000001105";Ash mistletoe;;;;
"17483511000001105";Generic Bio-Glucosamine + MSM cream;"13531711000001108";Dementholised mint oil;;;;
"17483511000001105";Generic Bio-Glucosamine + MSM cream;"387414008";Menthol;;;;
"17483511000001105";Generic Bio-Glucosamine + MSM cream;"412190005";Dimethyl sulfone;;;;
"17483511000001105";Generic Bio-Glucosamine + MSM cream;"734505004";Glucosamine sulfate;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"22038003";Selenium;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"227400003";Ginger;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"259666007";Alpha tocopherol;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"30178006";Vitamin D;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"4104007";Chondroitin sulfate;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"419382002";Cyanocobalamin;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"43706004";Ascorbic acid;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"63718003";Folic acid;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"66925006";Copper;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"734505004";Glucosamine sulfate;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"86739005";Zinc;;;;
"17483711000001100";Generic Jointace Max Triple Pack capsules and tablets;"87869004";Manganese;;;;
"17483911000001103";Generic Solgar Celadrin Glucosamine Complex tablets;;;;;;
"17563111000001108";Generic PR Freeze spray;"259153006";Chloroform;;;;
"17563111000001108";Generic PR Freeze spray;"8591008";Dichlorodifluoromethane;;;;
"17631511000001101";Generic Jointflex Extra capsules and tablets;"17565711000001105";Ginger extract;;;;
"17631511000001101";Generic Jointflex Extra capsules and tablets;"17565811000001102";Turmeric extract;;;;
"17631511000001101";Generic Jointflex Extra capsules and tablets;"734505004";Glucosamine sulfate;;;;
"17645611000001100";Hydrolysed whey protein / Maltodextrin powder;"11482011000001108";Maltodextrin;;;;
"17645611000001100";Hydrolysed whey protein / Maltodextrin powder;"17632311000001103";Hydrolysed whey protein;;;;
"17651311000001106";Ammonia solution dilute;"3732411000001107";Ammonia solution dilute;;;;
"17651411000001104";Ammonia solution strong;"43953005";Ammonia;;;;
"17651811000001102";Generic HealthAid Osteoflex cream;"12510000";Eucalyptus oil;;;;
"17651811000001102";Generic HealthAid Osteoflex cream;"387414008";Menthol;;;;
"17651811000001102";Generic HealthAid Osteoflex cream;"391737006";Almond oil;;;;
"17651811000001102";Generic HealthAid Osteoflex cream;"4104007";Chondroitin sulfate;;;;
"17651811000001102";Generic HealthAid Osteoflex cream;"70237008";Glucosamine;;;;
"18496411000001109";Glucosamine hydrochloride 500mg / Chondroitin sulfate 400mg effervescent tablets;"4104007";Chondroitin sulfate;400;mg;;
"18496411000001109";Glucosamine hydrochloride 500mg / Chondroitin sulfate 400mg effervescent tablets;"4104007";Chondroitin sulfate;500;mg;;
"18496411000001109";Glucosamine hydrochloride 500mg / Chondroitin sulfate 400mg effervescent tablets;"70237008";Glucosamine;400;mg;;
"18496411000001109";Glucosamine hydrochloride 500mg / Chondroitin sulfate 400mg effervescent tablets;"70237008";Glucosamine;500;mg;;
"18595111000001100";Generic Vega Digestive Enzymes Formula capsules;;;;;;
"19272011000001108";Generic MacuShield capsules;;;;;;
"19448411000001104";Hepatitis A (inactivated) / Hepatitis B (rDNA) vaccine (adsorbed) suspension for injection 1ml vials;"11170711000001103";Hepatitis A virus inactivated;;;;
"19448411000001104";Hepatitis A (inactivated) / Hepatitis B (rDNA) vaccine (adsorbed) suspension for injection 1ml vials;"22290004";Hepatitis B virus surface antigen;;;;
"19492011000001102";Generic VegEpa capsules;;;;;;
"19525011000001108";Generic Inteflora 250 capsules;;;;;;
"19821211000001102";Generic Cortaflex HA 400mg capsules;"38218009";Hyaluronic acid;;;;
"19821211000001102";Generic Cortaflex HA 400mg capsules;"4104007";Chondroitin sulfate;;;;
"19821211000001102";Generic Cortaflex HA 400mg capsules;"734505004";Glucosamine sulfate;;;;
"20122211000001102";Generic Digestisan oral drops sugar free;;;;;;
"20478511000001102";Generic SafetyGel absorbent tablets;;;;;;
