FO_PRD_ID	PACK_NAME	PRD_NAME	DOSAGE	UNIT	DOSAGE_2	UNIT_2	AMOUNT_PACK	MOL_NAME	ATCCODE	ATC_NAME	NFC_CODE	MANUFACTURER
27696	NYAL SINUS RELIEF DAY & NIGHT TABLET DAY: 1G/500MG/1G + NIGHT: 1G/1G/500MG/400MG	NYAL SINUS RELIEF DAY & NIGHT PACK_DAY: 1G/500MG/1G						HORSERADISH/SALIX/SAMBUCUS	-1	UNKNOWN		
28620	NYAL COUGH. COLD & FLU D&N 24'S TABLET DAY: 2G/2.5G/1G/250MG/500MG/2G/12MG + NIGHT: 500MG/1G/2G/500MG/1G/2G/12MG	NYAL COUGH,COLD & FLU D&N 24's PACK_NIGHT						}ÖÑâÉÅ	-1	UNKNOWN		
28620	NYAL COUGH. COLD & FLU D&N 24'S TABLET DAY: 2G/2.5G/1G/250MG/500MG/2G/12MG + NIGHT: 500MG/1G/2G/500MG/1G/2G/12MG	NYAL COUGH,COLD & FLU D&N 24's PACK_DAY						}ÖÑâÉÅ	-1	UNKNOWN		
2913	SUDAFED DAYTIME/NIGHTIME RELIEF TABLETS DAY: 500MG/30MG. NIGHT: 500MG/30MG/1.25MG	SUDAFED SINUS DAY AND NIGHT RELIEF PACK_NIGHT: : 500MG/30MG/1.25MG						PARACETAMOL/PSEUDOEPHEDRINE/TRIPROLIDINE	R01BA52	"PSEUDOEPHEDRINE, COMBINATIONS"		
2913	SUDAFED DAYTIME/NIGHTIME RELIEF TABLETS DAY: 500MG/30MG. NIGHT: 500MG/30MG/1.25MG	SUDAFED SINUS DAY AND NIGHT RELIEF PACK_DAY: 500MG/30MG						PARACETAMOL/PSEUDOEPHEDRINE	R01BA52	"PSEUDOEPHEDRINE, COMBINATIONS"		
3740	PEGASYS RBV COMBINATION THERAPY TAB + SYR 200MG + 135MCG	PEGASYS PACK_TABLET  135	135	MCG	0.5	ml		PEGINTERFERON ALFA-2A				
3740	PEGASYS RBV COMBINATION THERAPY TAB + SYR 200MG + 135MCG	COPEGUS PACK_TABLET	200	MG				RIBAVIRIN				
3743	PEGASYS RBV COMBINATION THERAPY TAB + SYR 200MG + 135MCG	PEGASYS PACK_TABLET  135	135	MCG	0.5	ml		PEGINTERFERON ALFA-2A				
3743	PEGASYS RBV COMBINATION THERAPY TAB + SYR 200MG + 135MCG	COPEGUS PACK_TABLET	200	MG				RIBAVIRIN				
3746	PEGASYS RBV COMBINATION THERAPY TA 200MG + 180M	PEGASYS PACK_TABLET 180	180	MCG	0.5	ml		PEGINTERFERON ALFA-2A				
3746	PEGASYS RBV COMBINATION THERAPY TA 200MG + 180M	COPEGUS PACK_TABLET	200	MG				RIBAVIRIN				
3864	PEGATRON COMBINATION THERAPY CAP + 200MG-50MCG	REBETOL PACK_TABLET	200	MG				RIBAVIRIN				
3864	PEGATRON COMBINATION THERAPY CAP + 200MG-50MCG	PRG-INTRON PACK_TABLET	50	MG				PEGINTERFERON ALFA-2A				
5407	SUDAFED PE SINUS DAY & NIGHT RELIEF TABLETS DAY: 500MG/5MG + NIGHT: 500MG/5MG/2MG	SUDAFED PE SINUS DAY & NIGHT RELIEF PACK_NIGHT:  500MG/5MG/2MG						CHLORPHENIRAMINE/PARACETAMOL/PHENYLEPHRINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5407	SUDAFED PE SINUS DAY & NIGHT RELIEF TABLETS DAY: 500MG/5MG + NIGHT: 500MG/5MG/2MG	SUDAFED PE SINUS DAY & NIGHT RELIEF PACK_DAY:  500MG/5MG						PARACETAMOL/PHENYLEPHRINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5558	CHEMISTS' OWN COLD & FLU DAY/NIGHT TABLET DAY: 500MG/30MG/9MG + NIGHT: 500MG/30MG/2MG	CHEMISTS' OWN COLD & FLU DAY/NIGHT PE PACK_NIGHT : 500MG/30MG/2MG		mg	30	mg		PARACETAMOL/PHENYLEPHRINE/CHLORPHENIRAMINE	R01BA52	"PSEUDOEPHEDRINE, COMBINATIONS"		
5558	CHEMISTS' OWN COLD & FLU DAY/NIGHT TABLET DAY: 500MG/30MG/9MG + NIGHT: 500MG/30MG/2MG	CHEMISTS' OWN COLD & FLU DAY/NIGHT PE PACK_DAY: 500MG/30MG/9MG		mg	30	mg		PARACETAMOL/CODEINE/PHENYLEPHRINE	R01BA52	"PSEUDOEPHEDRINE, COMBINATIONS"		
5672	CODRAL COLD & FLU + COUGH DAY & NIGHT CAPSULES DAY: 500MG/5MG/10MG + NIGHT: 500MG/2MG/10MG	CODRAL COLD & FLU + COUGH DAY & NIGHT CAPSULES PACK_DAY: 500MG/5MG/10MG		mg	5	mg		PARACETAMOL/PHENYLEPHRINE/DEXTROMETHORPHAN	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5672	CODRAL COLD & FLU + COUGH DAY & NIGHT CAPSULES DAY: 500MG/5MG/10MG + NIGHT: 500MG/2MG/10MG	CODRAL COLD & FLU + COUGH DAY & NIGHT CAPSULES  PACK_NIGHT : 500MG/2MG/10MG		mg	5	mg		PARACETAMOL/CHLORPHENIRAMINE/DEXTROMETHORPHAN	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5673	CODRAL COLD & FLU + COUGH DAY & NIGHT CAPSULES DAY: 500MG/5MG/10MG. NIGHT: 500MG/2MG/10MG	CODRAL COLD & FLU + COUGH DAY & NIGHT CAPSULES PACK_DAY: 500MG/5MG/10MG		mg	5	mg		PARACETAMOL/PHENYLEPHRINE/DEXTROMETHORPHAN	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5673	CODRAL COLD & FLU + COUGH DAY & NIGHT CAPSULES DAY: 500MG/5MG/10MG. NIGHT: 500MG/2MG/10MG	CODRAL COLD & FLU + COUGH DAY & NIGHT CAPSULES  PACK_NIGHT : 500MG/2MG/10MG		mg	5	mg		PARACETAMOL/CHLORPHENIRAMINE/DEXTROMETHORPHAN	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5677	CODRAL DAY & NIGHT COLD & FLU TABLET DAY: 500MG/9.5MG/5MG + NIGHT: 500MG/5MG/2MG	CODRAL DAY & NIGHT COLD & FLU PACK_NIGHT: 500MG/5MG/2MG		mg	9.5	mg		PARACETAMOL/PHENYLEPHRINE/CHLORPHENIRAMINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5677	CODRAL DAY & NIGHT COLD & FLU TABLET DAY: 500MG/9.5MG/5MG + NIGHT: 500MG/5MG/2MG	CODRAL DAY & NIGHT COLD & FLU PACK_DAY: 500MG/9.5MG/5MG		mg	9.5	mg		PARACETAMOL/CODEINE/PHENYLEPHRINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5678	CODRAL DAY & NIGHT COLD & FLU TABLET DAY: 500MG/9.5MG/5MG + NIGHT: 500MG/5MG/2MG	CODRAL DAY & NIGHT COLD & FLU PACK_NIGHT: 500MG/5MG/2MG		mg	9.5	mg		PARACETAMOL/PHENYLEPHRINE/CHLORPHENIRAMINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5678	CODRAL DAY & NIGHT COLD & FLU TABLET DAY: 500MG/9.5MG/5MG + NIGHT: 500MG/5MG/2MG	CODRAL DAY & NIGHT COLD & FLU PACK_DAY: 500MG/9.5MG/5MG		mg	9.5	mg		PARACETAMOL/CODEINE/PHENYLEPHRINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5690	SUDAFED PE SINUS DAY & NIGHT RELIEF TABLETS DAY: 5MG/500MG + NIGHT: 5MG/500MG/2MG	SUDAFED PE SINUS DAY & NIGHT RELIEF PACK_NIGHT:  500MG/5MG/2MG						CHLORPHENIRAMINE/PARACETAMOL/PHENYLEPHRINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
5690	SUDAFED PE SINUS DAY & NIGHT RELIEF TABLETS DAY: 5MG/500MG + NIGHT: 5MG/500MG/2MG	SUDAFED PE SINUS DAY & NIGHT RELIEF PACK_DAY:  500MG/5MG						PARACETAMOL/PHENYLEPHRINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
7326	CHEMISTS' OWN COLD & FLU DAY/NIGHT PE TABLET DAY: 500MG/9MG/5MG. NIGHT: 500MG/5MG/2MG	CHEMISTS' OWN COLD & FLU DAY/NIGHT PE PACK_NIGHT : 500MG/5MG/2MG		mg	9	mg		PARACETAMOL/PHENYLEPHRINE/CHLORPHENIRAMINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
7326	CHEMISTS' OWN COLD & FLU DAY/NIGHT PE TABLET DAY: 500MG/9MG/5MG. NIGHT: 500MG/5MG/2MG	CHEMISTS' OWN COLD & FLU DAY/NIGHT PE PACK_DAY: 500MG/9MG/5MG		mg	9	mg		PARACETAMOL/CODEINE/PHENYLEPHRINE	R01BA53	"PHENYLEPHRINE, COMBINATIONS"		
7945	DEMAZIN PE COLD & FLU RELIEF DAY & NIGHT TABLET DAY: 500MG/9MG/5MG + NIGHT: 500MG/5MG/2MG	DEMAZIN PE COLD & FLU RELIEF DAY & NIGHT PACK_NIGHT:  500MG/5MG/2MG		mg	9	mg		PARACETAMOL/PHENYLEPHRINE/CHLORPHENIRAMINE	N02BE51	"PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"		
7945	DEMAZIN PE COLD & FLU RELIEF DAY & NIGHT TABLET DAY: 500MG/9MG/5MG + NIGHT: 500MG/5MG/2MG	DEMAZIN PE COLD & FLU RELIEF DAY & NIGHT PACK_DAY: 500MG/9MG/5MG		mg	9	mg		PARACETAMOL/CODEINE/PHENYLEPHRINE	N02BE51	"PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"		
7947	DEMAZIN DAY & NIGHT COLD & FLU TABLET DAY: 30MG/500MG/9MG + NIGHT: 30MG/500MG/2MG	DEMAZIN DAY & NIGHT COLD & FLU PACK_NIGHT: 30MG/500MG/2MG		mg	500	mg		PSEUDOEPHEDRINE/PARACETAMOL/CHLORPHENIRAMINE	N02BE51	"PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"		
7947	DEMAZIN DAY & NIGHT COLD & FLU TABLET DAY: 30MG/500MG/9MG + NIGHT: 30MG/500MG/2MG	DEMAZIN DAY & NIGHT COLD & FLU PACK_DAY: 30MG/500MG/9MG		mg	500	mg		PSEUDOEPHEDRINE/PARACETAMOL/CODEINE	N02BE51	"PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"		
8308	DIMETAPP PE SINUS DAY + NIGHT TABLETS DAY: 500MG/5MG + NIGHT: 500MG/5MG/2MG	DIMETAPP PE SINUS DAY + NIGHT PACK_NIGHT: 500MG/5MG/2MG		mg		mg		PARACETAMOL/PHENYLEPHRINE/CHLORPHENIRAMINE	R05DA20	COMBINATIONS		
8308	DIMETAPP PE SINUS DAY + NIGHT TABLETS DAY: 500MG/5MG + NIGHT: 500MG/5MG/2MG	DIMETAPP PE SINUS DAY + NIGHT PACK_DAY: 500MG/5MG		mg		mg		PARACETAMOL/PHENYLEPHRINE	R05DA20	COMBINATIONS		
8668	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET INACTIVE					2	INACTIVE	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8668	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET  3MG/2MG					17	DIENOGEST/OESTRADIOL	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8668	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET  -/3MG	3	MG			2	OESTRADIOL	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8668	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET   2MG/2MG					5	DIENOGEST/OESTRADIOL	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8668	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET   -/1MG					2	OESTRADIOL	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8669	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET INACTIVE					2	INACTIVE	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8669	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET  3MG/2MG					17	DIENOGEST/OESTRADIOL	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8669	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET  -/3MG	3	MG			2	OESTRADIOL	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8669	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET   2MG/2MG					5	DIENOGEST/OESTRADIOL	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
8669	QLAIRA TABLET -/3MG (2). 2MG/2MG (5). 3MG/2MG (17). -/1MG (2). INACTIVE (2)	QLAIRA PACK_TABLET   -/1MG					2	OESTRADIOL	G03FA15	DIENOGEST AND ESTROGEN	ABC	BAYER PHARMA
24971	FEMOSTON 2/10 TABLET 2MG/0MG (14). 2MG/10MG (14)	FEMOSTON 2/10 TABLET 2MG/0MG		MG			14	DYDROGESTERONE/OESTRADIOL	G03FB08	DYDROGESTERONE AND ESTROGEN	ABC	ABBOTT
24971	FEMOSTON 2/10 TABLET 2MG/0MG (14). 2MG/10MG (14)	FEMOSTON 2/10 TABLET 2MG/10MG		MG			14	DYDROGESTERONE/OESTRADIOL	G03FB08	DYDROGESTERONE AND ESTROGEN	ABC	ABBOTT
594333	CODRAL DAYTIME/NIGHTIME TABLET DAY: 500MG/3	CODRAL DAYTIME/NIGHTIME TABLET DAY:PACK_DAY 500MG/30MG/6MG						PARACETAMOL/PSEUDOEPHEDRINE/CODEINE	N02BE51	PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS	AAA	JOHNSON & JOHNSON
594333	CODRAL DAYTIME/NIGHTIME TABLET DAY: 500MG/3	CODRAL DAYTIME/NIGHTIME TABLET DAY:PACK_NIGHT 500MG/30MG/1.25MG						PARACETAMOL/PSEUDOEPHEDRINE/TRIPROLIDINE	N02BE51	PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS	AAA	JOHNSON & JOHNSON
605068	FEMOSTON 1/10 TABLET 1MG/0MG (14). 1MG/10MG (14)	FEMOSTON 1/10 TABLET 1MG/10MG		MG			14	DYDROGESTERONE/OESTRADIOL	G03FB08	DYDROGESTERONE AND ESTROGEN	ABC	ABBOTT
605068	FEMOSTON 1/10 TABLET 1MG/0MG (14). 1MG/10MG (14)	FEMOSTON 1/10 TABLET 1MG/0MG		MG			14	DYDROGESTERONE/OESTRADIOL	G03FB08	DYDROGESTERONE AND ESTROGEN	ABC	ABBOTT
586451	MICROGYNON 20 ED TABLET 100MCG/20MCG (21). INACTIVE (7)	MICROGYNON 20 ED PACK_TABLET 100MCG/20MCG					21	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
586451	MICROGYNON 20 ED TABLET 100MCG/20MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	BAYER PHARMA
587049	MICROLEVLEN ED TABLET 100MCG/20MCG (21). INACTIVE (7)	MICROLEVLEN ED PACK_TABLET 100MCG/20MCG					21	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
587049	MICROLEVLEN ED TABLET 100MCG/20MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	BAYER PHARMA
587050	MICROLEVLEN ED TABLET 100MCG/20MCG (21). INACTIVE (7)	MICROLEVLEN ED PACK_TABLET 100MCG/20MCG					21	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
587050	MICROLEVLEN ED TABLET 100MCG/20MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	BAYER PHARMA
588691	NORETHISTERONE/ETHINYLOESTRADIOL TABLET 500MCG/35MCG (21). INACTIVE (7)	NORETHISTERONE/ETHINYLOESTRADIOL  PACK_TABLET 500MCG/35MCG					21	ETHINYLOESTRADIOL/NORETHISTERONE	G03AA05	NORETHISTERONE AND ESTROGEN		
588691	NORETHISTERONE/ETHINYLOESTRADIOL TABLET 500MCG/35MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	G03AA05	NORETHISTERONE AND ESTROGEN		
589023	MICROGYNON 50 ED TABLET 125MCG/50MCG (21). INACTIVE (7)	MICROGYNON 50 ED PACK_TABLET 125MCG/50MCG					21	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
589023	MICROGYNON 50 ED TABLET 125MCG/50MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	BAYER PHARMA
589377	NORDETTE TABLET 150MCG/30MCG (21). INACTIVE (7)	NORDETTE  PACK_TABLET 150MCG/30MCG					21	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	PFIZER
589377	NORDETTE TABLET 150MCG/30MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	PFIZER
590342	TRIPHASIL TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIPHASIL PACK_TABLET 125MCG/30MCG					10	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	PFIZER
590342	TRIPHASIL TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	PFIZER
590342	TRIPHASIL TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIPHASIL PACK_TABLET 75MCG/40MCG					5	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	PFIZER
590342	TRIPHASIL TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIPHASIL PACK_TABLET 50MCG/30MCG					6	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	PFIZER
590345	TRIQUILAR ED TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	BAYER PHARMA
590345	TRIQUILAR ED TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIQUILAR EDPACK_TABLET 75MCG/40MCG					5	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
590345	TRIQUILAR ED TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIQUILAR EDPACK_TABLET 125MCG/30MCG					10	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
590345	TRIQUILAR ED TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIQUILAR ED PACK_TABLET 50MCG/30MCG					6	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
590486	CLARITHROMYCIN + OMEPRAZOLE + AMOXYCILLIN TAB/CAP/CAP 500MG + 20MG + 500MG	CLARITHROMYCIN  PACK_TABLET	500	MG				CLARITHROMYCIN				
590486	CLARITHROMYCIN + OMEPRAZOLE + AMOXYCILLIN TAB/CAP/CAP 500MG + 20MG + 500MG	OMEPRAZOL  PACK_TABLET	20	MG				OMEPRAZOLE				
590486	CLARITHROMYCIN + OMEPRAZOLE + AMOXYCILLIN TAB/CAP/CAP 500MG + 20MG + 500MG	AMOXYCILLIN PACK_TABLET	500	MG				AMOXYCILLIN				
590530	TRIFEME TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIFEME PACK_TABLET 50MCG/30MCG					6	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	PFIZER
590530	TRIFEME TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIFEME PACK_TABLET  75MCG/40MCG					5	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	PFIZER
590530	TRIFEME TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	TRIFEME PACK_TABLET  125MCG/30MCG					10	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	PFIZER
590530	TRIFEME TABLET 50MCG/30MCG (6). 75MCG/40MCG (5). 125MCG/30MCG (10). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	PFIZER
590640	MARVELON 28 TABLET 150MCG/30MCG (21). INACTIVE (7)	MARVELON 28 PACK_TABLET  150MCG/30MCG					21	DESOGESTREL/ETHINYLOESTRADIOL	G03AA09	DESOGESTREL AND ESTROGEN	ABA	MSD
590640	MARVELON 28 TABLET 150MCG/30MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	G03AA09	DESOGESTREL AND ESTROGEN	ABA	MSD
590887	NORIMIN 28 DAY TABLET 500MCG/35MCG (21). INACTIVE (7)	NORIMIN 28 DAY PACK_TABLET 500MCG/35MCG					21	ETHINYLOESTRADIOL/NORETHISTERONE	-1	UNKNOWN	AAA	PFIZER
590887	NORIMIN 28 DAY TABLET 500MCG/35MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	AAA	PFIZER
590888	NORIMIN - 1. 28 DAY TABLET 1MG/35MCG (21). INACTIVE (7)	NORIMIN - 1,28 DAY PACK_TABLET 1MG/35MCG					21	åõéäÅå	-1	UNKNOWN	AAA	PFIZER
590888	NORIMIN - 1. 28 DAY TABLET 1MG/35MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	AAA	PFIZER
590906	BREVINOR 28 TABLET 500MCG/35MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	PFIZER
590906	BREVINOR 28 TABLET 500MCG/35MCG (21). INACTIVE (7)	BREVINOR 28 DAY PACK_TABLET 500MCG/35MCG	500	µg	35	µg	21	ETHINYLOESTRADIOL/NORETHISTERONE	-1	UNKNOWN	ABA	PFIZER
591850	LOETTE TABLET 100MCG/20MCG (21). INACTIVE (7)	LOETTE PACK_TABLET 100MCG/20MCG					21	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	PFIZER
591850	LOETTE TABLET 100MCG/20MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	PFIZER
591963	MICROGYNON 20 ED TABLET 100MCG/20MCG (21). INACTIVE (7)	MICROGYNON 20 ED PACK_TABLET 100MCG/20MCG					21	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
591963	MICROGYNON 20 ED TABLET 100MCG/20MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	BAYER PHARMA
593341	MICROGYNON 30 ED TABLET 150MCG/30MCG (21). INACTIVE (7)	MICROGYNON 30 ED PACK_TABLET 150MCG/30MCG					21	ETHINYLOESTRADIOL/LEVONORGESTREL	-1	UNKNOWN	ABA	BAYER PHARMA
593341	MICROGYNON 30 ED TABLET 150MCG/30MCG (21). INACTIVE (7)	INACTIVE TABLET					7	INACTIVE	-1	UNKNOWN	ABA	BAYER PHARMA
