concept_code	concept_name
C91.31	B-cell type prolymphocytic leukemia: In complete remission
C91.40	Hairy cell leukemia: No information about complete remission
C91.41	Hairy cell leukemia: in complete remission
C91.50	Adult T-cell lymphoma / leukemia (HTLV-1-associated): No information about complete remission
C91.51	Adult T-cell lymphoma / leukemia (HTLV-1 associated): In complete remission
C91.60	T-cell type prolymphocyte leukemia: No complete remission stated
C91.61	T-cell type prolymphocyte leukemia: In complete remission
C91.70	Other lymphatic leukemia: No complete remission stated
C91.71	Other lymphocytic leukemia: in complete remission
C91.80	Mature-cell B-ALL of the Burkitt type: No information about complete remission
C91.81	Mature-cell B-ALL of the Burkitt type: In complete remission
C91.90	Lymphatic leukemia, unspecified: No complete remission stated
C91.91	Lymphatic leukemia, unspecified: in complete remission
C92.00	Acute myeloblastic leukemia [AML]: No details of complete remission
C92.01	Acute myeloblastic leukemia [AML]: In complete remission
C92.10	Chronic myeloid leukemia [CML], BCR / ABL-positive: No details of complete remission
C92.11	Chronic myeloid leukemia [CML], BCR / ABL-positive: In complete remission
C92.20	Atypical chronic myeloid leukemia, BCR / ABL-negative: no details of complete remission
C92.21	Atypical chronic myeloid leukemia, BCR / ABL negative: in complete remission
C92.30	Myelosarcoma: No indication of complete remission
C92.31	Myelosarcoma: In complete remission
C92.40	Acute promyelocyte leukemia [PCL]: No details of complete remission
C92.41	Acute Promyelocyte Leukemia [PCL]: In complete remission
C92.50	Acute myelomonocytic leukemia: No information about complete remission
C92.51	Acute myelomonocytic leukemia: in complete remission
C92.60	Acute myeloid leukemia with 11q23 abnormality: No details of complete remission
C92.61	Acute myeloid leukemia with 11q23 abnormality: in complete remission
C92.70	Other myeloid leukemia: No details of complete remission
C92.71	Other myeloid leukemia: in complete remission
C92.80	Acute myeloid leukemia with multilinear dysplasia: No information about complete remission
C92.81	Acute myeloid leukemia with multilinear dysplasia: in complete remission
C92.90	Myeloid leukemia, unspecified: No complete remission stated
C92.91	Myeloid leukemia, unspecified: in complete remission
C93.00	Acute monoblastic / monocyte leukemia: No details of complete remission
C93.01	Acute monoblastic / monocyte leukemia: In complete remission
C93.10	Chronic myelomonocytic leukemia: No details of complete remission
C93.11	Chronic myelomonocytic leukemia: in complete remission
C93.20	Subacute monocytic leukemia: No complete remission stated
C93.21	Subacute monocytic leukemia: in complete remission
C93.30	Juvenile myelomonocytic leukemia: no details of complete remission
C93.31	Juvenile myelomonocytic leukemia: in complete remission
C93.70	Other monocytic leukemia: No details of complete remission
C93.71	Other monocytic leukemia: in complete remission
C93.90	Monocyte leukemia, unspecified: No details of complete remission
C93.91	Monocytic leukemia, unspecified: in complete remission
C94.00	Acute erythroleukemia: No information about complete remission
C94.01	Acute erythroleukemia: in complete remission
C94.10	Chronic erythremia: No indication of complete remission
C94.11	Chronic erythremia: in complete remission
C94.20	Acute megakaryoblastic leukemia: No information about complete remission
C94.21	Acute megakaryoblastic leukemia: in complete remission
C94.30	Mast cell leukemia: No indication of complete remission
C94.31	Mast cell leukemia: in complete remission
C94.40	Acute panmyelosis with myelofibrosis: No details of complete remission
C94.41	Acute panmyelosis with myelofibrosis: In complete remission
C94.50	Acute myelofibrosis: No indication of complete remission
C94.51	Acute myelofibrosis: In complete remission
C94.60	Myelodysplastic and myeloproliferative disease, not classifiable: No complete remission stated
C94.61	Myelodysplastic and myeloproliferative diseases, unclassifiable: in complete remission
C94.70	Other specified leukaemias: No complete remission stated
C94.71	Other specified leukaemias: In complete remission
C94.8	Blast crisis in chronic myeloid leukemia [CML]
C95.00	Acute leukemia of unspecified cell type: No complete remission stated
C95.01	Acute leukemia of unspecified cell type: In complete remission
C95.10	Chronic leukemia of unspecified cell type: No details of complete remission
C95.11	Chronic leukemia of unspecified cell type: In complete remission
C95.20	Subacute leukemia of unspecified cell type: No complete remission stated
C95.21	Subacute leukemia of unspecified cell type: In complete remission
C95.70	Other leukemia of unspecified cell type: No complete remission stated
C95.71	Other unspecified leukemia cell type: in complete remission
C95.8	Leukemia, refractory to standard induction therapy
C95.90	Leukemia, unspecified: No complete remission stated
C95.91	Leukemia, unspecified: in complete remission
D16.41	Benign neoplasm of bone and articular cartilage: craniofacial
D16.42	Benign neoplasm of bone and articular cartilage: maxillofacial
D16.70	Benign neoplasm of bone and articular cartilage: ribs
D16.71	Benign neoplasm of bone and articular cartilage: sternum
D16.72	Benign neoplasm of bone and articular cartilage: clavicle
D18.00	Hemangioma: unspecified location
D18.01	Hemangioma: skin and subcutaneous tissue
D18.02	Hemangioma: Intracranial
D18.03	Hemangioma: hepatobiliary system and pancreas
D18.04	Hemangioma: digestive system
D18.05	Hemangioma: ear, nose, mouth and throat
D18.06	Hemangioma: eye and orbit
D18.08	Hemangioma: other locations
D18.10	Lymphangioma: Hygroma colli cysticum
D18.11	Lymphangioma: axilla
D18.12	Lymphangioma: inguinal
D18.13	Lymphangioma: retroperitoneal
D18.18	Lymphangioma: other locations
D18.19	Lymphangioma: unspecified site
D37.70	New formation of unsafe or unknown behavior: pancreas
D37.78	Formation of unsafe or unknown behavior: Other digestive organs
D61.10	Aplastic anemia as a result of cytostatic therapy
D61.18	Other drug-induced aplastic anemia
D61.19	Drug-induced aplastic anemia, unspecified
D65.0	Acquired afibrinogenemia
D65.1	Disseminated intravascular coagulation [DIG, DIC]
D65.2	Acquired fibrinolytic bleeding
D65.9	Defibrination syndrome, unspecified
D68.00	Hereditary Willebrand-Juergens Syndrome
D68.01	Acquired Willebrand-Juergens Syndrome
D68.09	Willebrand-Juergens syndrome, unspecified
D68.20	Hereditary factor I deficiency
D68.21	Hereditary factor II deficiency
D68.22	Hereditary factor V deficiency
D68.23	Hereditary factor VII deficiency
D68.24	Hereditary factor X deficiency
D68.25	Hereditary factor XII deficiency
D68.26	Hereditary factor XIII deficiency
D68.28	Hereditary deficiency in other coagulation factors
D68.30	Hemorrhagic diathesis due to anticoagulants
D68.31	Hemorrhagic diathesis due to an increase in antibodies against factor VIII
D68.32	Hemorrhagic diathesis caused by an increase in antibodies against other coagulation factors
D68.33	Hemorrhagic diathesis due to coumarins (vitamin K antagonists)
D68.34	Hemorrhagic diathesis due to heparins
D68.35	Hemorrhagic diathesis due to other anticoagulants
D68.38	Other haemorrhagic diathesis due to other and unspecified antibodies
D69.30	Idiopathic Thrombocytopenic Purpura: Designated as transfusion refractory
D69.31	Idiopathic Thrombocytopenic Purpura: Not designated as transfusion refractory
D69.40	Other primary thrombocytopenia, known as transfusion refractory
D69.41	Other primary thrombocytopenia, not designated as transfusion refractory
D69.50	Secondary thrombocytopenia: designated as transfusion refractory
D69.51	Secondary thrombocytopenia: Not designated as transfusion refractory
D69.52	Heparin-induced thrombocytopenia type I
D69.53	Heparin-induced thrombocytopenia type II
D69.57	Other secondary thrombocytopenias, known as transfusion refractory
D69.58	Other secondary thrombocytopenias, not designated as transfusion refractory
D69.59	Secondary thrombocytopenia, unspecified
D69.60	Thrombocytopenia, unspecified, referred to as refractory to transfusion
D69.61	Thrombocytopenia, unspecified, not designated as transfusion refractory
D69.80	Hemorrhagic diathesis due to platelet aggregation inhibitors
D69.88	Other specified hemorrhagic diatheses
D70.0	Congenital agranulocytosis and neutropenia
D70.1	Drug-induced agranulocytosis and neutropenia
D70.10	Drug-induced agranulocytosis and neutropenia: critical phase less than 4 days
D70.11	Drug-induced agranulocytosis and neutropenia: critical phase 10 days to less than 20 days
D70.12	Drug-induced agranulocytosis and neutropenia: critical phase 20 days and more
D70.13	Drug-induced agranulocytosis and neutropenia: critical phase 4 days to less than 7 days
D70.14	Drug-induced agranulocytosis and neutropenia: critical phase 7 days to less than 10 days
D70.18	Other forms of drug-induced agranulocytosis and neutropenia
D70.19	Drug-induced agranulocytosis and neutropenia, unspecified
D70.2	Drug-induced agranulocytosis lasting 20 days or more
D70.3	Other agranulocytosis
D70.5	Cyclic neutropenia
D70.6	Other neutropenia
D70.7	Neutropenia, unspecified
D76.00	Multifocal Langerhans cell histiocytosis
D76.01	Unifocal Langerhans cell histiocytosis
D76.08	Other and unspecified Langerhans cell histiocytosis, not elsewhere classified
D76.4	Cytokine release syndrome
D90	Immune compromise after radiation, chemotherapy and other immunosuppressive measures
E10.00	Primarily insulin-dependent diabetes mellitus [type I diabetes] with coma: Not described as derailed
E10.01	Diabetes mellitus, type 1: With coma: Described as derailed
E10.10	Primary insulin-dependent diabetes mellitus [type I diabetes] with ketoacidosis: Not reported as derailed
E10.11	Diabetes mellitus, type 1: With ketoacidosis: Described as derailed
E10.20	Diabetes mellitus, type 1: With kidney complications: Not designated as derailed
E10.21	Diabetes mellitus, type 1: With kidney complications: Described as derailed
E10.30	Diabetes mellitus, type 1: With eye complications: Not designated as derailed
E10.31	Diabetes mellitus, type 1: With eye complications: referred to as derailed
E10.40	Diabetes mellitus, type 1: With neurological complications: Not reported as derailed
E10.41	Diabetes mellitus, type 1: With neurological complications: referred to as derailed
E10.50	Diabetes mellitus, type 1: With peripheral vascular complications: Not reported as derailed
E10.51	Diabetes mellitus, type 1: With peripheral vascular complications: Described as derailed
E10.60	Diabetes mellitus, type 1: With other specified complications: Not described as derailed
E10.61	Diabetes mellitus, type 1: With other specified complications: Described as derailed
E10.70	Primarily insulin-dependent diabetes mellitus [type 1 diabetes] with multiple complications: Not reported as derailed
E10.71	Primarily insulin-dependent diabetes mellitus [type 1 diabetes] with multiple complications: referred to as derailed
E10.72	Diabetes mellitus, type 1: With multiple complications: With other multiple complications, not described as derailed
E10.73	Diabetes mellitus, type 1: With multiple complications: With other multiple complications, referred to as derailed
E10.74	Diabetes mellitus, type 1: With multiple complications: With diabetic foot syndrome, not described as derailed
E10.75	Diabetes mellitus, type 1: With multiple complications: With diabetic foot syndrome, referred to as derailed
E10.80	Diabetes mellitus, type 1: With unspecified complications: Not designated as derailed
E10.81	Diabetes mellitus, type 1: With unspecified complications: Described as derailed
E10.90	Diabetes mellitus, type 1: Without complications: Not designated as derailed
E10.91	Diabetes mellitus, type 1: Without complications: Described as derailed
E11.00	Not primarily insulin-dependent diabetes mellitus [type II diabetes] with coma: Not described as derailed
E11.01	Diabetes mellitus, type 2: With coma: Described as derailed
E11.10	Not primarily insulin-dependent diabetes mellitus [type II diabetes] with ketoacidosis: Not reported as derailed
E11.11	Diabetes mellitus, type 2: With ketoacidosis: Described as derailed
E11.20	Diabetes mellitus, type 2: With kidney complications: Not designated as derailed
E11.21	Diabetes mellitus, type 2: With kidney complications: Described as derailed
E11.30	Diabetes mellitus, type 2: With eye complications: Not designated as derailed
E11.31	Diabetes mellitus, type 2: With eye complications: Described as derailed
E11.40	Diabetes mellitus, type 2: With neurological complications: Not reported as derailed
E11.41	Diabetes mellitus, type 2: With neurological complications: referred to as derailed
E11.50	Diabetes mellitus, type 2: With peripheral vascular complications: Not reported as derailed
E11.51	Diabetes mellitus, type 2: With peripheral vascular complications: designated as derailed
E11.60	Diabetes mellitus, type 2: With other specified complications: Not described as derailed
E11.61	Diabetes mellitus, type 2: With other specified complications: Described as derailed
E11.70	Non-primarily insulin-dependent diabetes mellitus [type 2 diabetes] with multiple complications: Not reported as derailed
E11.71	Non-primarily insulin-dependent diabetes mellitus [type 2 diabetes] with multiple complications: referred to as derailed
E11.72	Diabetes mellitus, type 2: With multiple complications: With other multiple complications, not described as derailed
E11.73	Diabetes mellitus, type 2: With multiple complications: With other multiple complications, referred to as derailed
E11.74	Diabetes mellitus, type 2: With multiple complications: With diabetic foot syndrome, not described as derailed
E11.75	Diabetes mellitus, type 2: With multiple complications: With diabetic foot syndrome, referred to as derailed
E11.80	Diabetes mellitus, type 2: With unspecified complications: Not designated as derailed
E11.81	Diabetes mellitus, type 2: With unspecified complications: Described as derailed
E11.90	Diabetes mellitus, type 2: Without complications: Not described as derailed
E11.91	Diabetes mellitus, type 2: Without complications: designated as derailed
E12.00	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition] with coma: Not described as derailed
E12.01	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: With coma: Described as derailed
E12.10	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition] with ketoacidosis: Not described as derailed
E12.11	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: With ketoacidosis: Described as derailed
E12.20	Diabetes mellitus in connection with malnutrition or malnutrition [Malnutrition]: With kidney complications: Not described as derailed
E12.21	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: With kidney complications: Described as derailed
E12.30	Diabetes mellitus in connection with malnutrition or malnutrition [Malnutrition]: With eye complications: Not described as derailed
E12.31	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: With eye complications: Described as derailed
E12.40	Diabetes mellitus in connection with malnutrition or malnutrition: With neurological complications: Not described as derailed
E12.41	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: With neurological complications: Described as derailed
E12.50	Diabetes mellitus in connection with malnutrition or malnutrition: With peripheral vascular complications: Not described as derailed
E12.51	Diabetes mellitus in connection with malnutrition or malnutrition: With peripheral vascular complications: Described as derailed
E12.60	Diabetes mellitus in connection with malnutrition or malnutrition [Malnutrition]: With other specified complications: Not described as derailed
E12.61	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: With other specified complications: Described as derailed
E12.70	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition] with multiple complications: Not described as derailed
E12.71	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition] with multiple complications: Described as derailed
E12.72	Diabetes mellitus in connection with malnutrition or malnutrition: With multiple complications: With other multiple complications, not described as derailed
E12.73	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: With multiple complications: With other multiple complications, referred to as derailed
E12.74	Diabetes mellitus in connection with malnutrition or malnutrition: With multiple complications: With diabetic foot syndrome, not described as derailed
E12.75	Diabetes mellitus in connection with malnutrition or malnutrition [Malnutrition]: With multiple complications: With diabetic foot syndrome, referred to as derailed
E12.80	Diabetes mellitus in connection with malnutrition or malnutrition: With unspecified complications: Not described as derailed
E12.81	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: With unspecified complications: Described as derailed
E12.90	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: Without complications: Not described as derailed
E12.91	Diabetes mellitus in connection with malnutrition or malnutrition [malnutrition]: Without complications: Described as derailed
E13.00	Other specified diabetes mellitus with coma: Not reported as derailed
E13.01	Other specified diabetes mellitus: With coma: Described as derailed
E13.10	Other specified diabetes mellitus with ketoacidosis: Not reported as derailed
E13.11	Other specified diabetes mellitus: With ketoacidosis: Described as derailed
E13.20	Other specified diabetes mellitus: With kidney complications: Not designated as derailed
E13.21	Other specified diabetes mellitus: With kidney complications: Described as derailed
E13.30	Other specified diabetes mellitus: With eye complications: Not designated as derailed
E13.31	Other specified diabetes mellitus: With eye complications: Described as derailed
E13.40	Other specified diabetes mellitus: With neurological complications: Not reported as derailed
E13.41	Other specified diabetes mellitus: With neurological complications: Described as derailed
E13.50	Other specified diabetes mellitus: With peripheral vascular complications: Not reported as derailed
E13.51	Other specified diabetes mellitus: With peripheral vascular complications: Described as derailed
E13.60	Other specified diabetes mellitus: With other specified complications: Not specified as derailed
E13.61	Other specified diabetes mellitus: With other specified complications: Described as derailed
E13.70	Other specified diabetes mellitus with multiple complications: Not reported as derailed
E13.71	Other specified diabetes mellitus with multiple complications: Described as derailed
E13.72	Other specified diabetes mellitus: With multiple complications: With other multiple complications, not designated as derailed
E13.73	Other specified diabetes mellitus: With multiple complications: With other multiple complications, referred to as derailed
E13.74	Other specified diabetes mellitus: With multiple complications: With diabetic foot syndrome, not designated as derailed
E13.75	Other specified diabetes mellitus: With multiple complications: With diabetic foot syndrome, referred to as derailed
E13.80	Other specified diabetes mellitus: With unspecified complications: Not specified as derailed
E13.81	Other specified diabetes mellitus: With unspecified complications: Described as derailed
E13.90	Other specified diabetes mellitus: Without complications: Not reported as derailed
E13.91	Other specified diabetes mellitus: Without complications: Described as derailed
E14.00	Unspecified diabetes mellitus with coma: Not designated as derailed
E14.01	Unspecified diabetes mellitus: With coma: Described as derailed
E14.10	Unspecified diabetes mellitus with ketoacidosis: Not reported as derailed
E14.11	Unspecified diabetes mellitus: With ketoacidosis: Described as derailed
E14.20	Unspecified diabetes mellitus: With kidney complications: Not designated as derailed
E14.21	Unspecified diabetes mellitus: With kidney complications: Described as derailed
E14.30	Unspecified diabetes mellitus: With eye complications: Not designated as derailed
E14.31	Unspecified diabetes mellitus: With eye complications: Described as derailed
E14.40	Unspecified diabetes mellitus: With neurological complications: Not designated as derailed
E14.41	Unspecified diabetes mellitus: With neurological complications: Described as derailed
E14.50	Unspecified diabetes mellitus: With peripheral vascular complications: Not reported as derailed
E14.51	Unspecified diabetes mellitus: With peripheral vascular complications: Described as derailed
E14.60	Unspecified diabetes mellitus: With other specified complications: Not designated as derailed
E14.61	Unspecified diabetes mellitus: With other specified complications: Described as derailed
E14.70	Unspecified diabetes mellitus with multiple complications: Not reported as derailed
E14.71	Unspecified diabetes mellitus with multiple complications: Described as derailed
E14.72	Unspecified diabetes mellitus: With multiple complications: With other multiple complications, not designated as derailed
E14.73	Unspecified diabetes mellitus: With multiple complications: With other multiple complications, referred to as derailed
E14.74	Unspecified diabetes mellitus: With multiple complications: With diabetic foot syndrome, not described as derailed
E14.75	Unspecified diabetes mellitus: With multiple complications: With diabetic foot syndrome, referred to as derailed
E14.80	Unspecified diabetes mellitus: With unspecified complications: Not designated as derailed
E14.81	Unspecified diabetes mellitus: With unspecified complications: Described as derailed
E14.90	Unspecified diabetes mellitus: Without complications: Not designated as derailed
E14.91	Unspecified diabetes mellitus: Without complications: Described as derailed
E25.00	21-hydroxylase deficiency [AGS type 3], classic form
E25.01	21-hydroxylase deficiency [AGS type 3], late-onset form
E25.08	Other congenital adrenogenital disorders associated with enzyme deficiency
E25.09	Congenital adrenogenital disorder associated with enzyme deficiency, unspecified
E34.50	Partial androgen resistance syndrome
E34.51	Complete androgen resistance syndrome
E34.59	Androgen resistance syndrome, unspecified
E66.00	Obesity from excessive calorie intake: Obesity grade I (WHO) in patients 18 years of age and older
E66.01	Obesity due to excessive calorie intake: Grade II obesity (WHO) in patients 18 years of age and older
E66.02	Obesity from excessive calorie intake: Obesity grade III (WHO) in patients 18 years of age and older
E66.04	Obesity due to excessive calorie intake: obesity in children and adolescents from 3 years to under 18 years
E66.05	Obesity due to excessive calorie intake: Extreme obesity in children and adolescents from 3 years to under 18 years
E66.09	Obesity from excessive calorie intake: degree or extent of obesity unspecified
E66.10	Drug-induced obesity: Grade I (WHO) obesity in patients 18 years of age and older
E66.11	Drug-induced obesity: Grade II (WHO) obesity in patients 18 years of age and older
E66.12	Drug-induced obesity: Grade III (WHO) obesity in patients 18 years of age and older
E66.14	Drug-induced obesity: Obesity in children and adolescents from 3 years of age to under 18 years of age
E66.15	Drug-induced obesity: Extreme obesity in children and adolescents from 3 years to under 18 years of age
E66.19	Drug-induced obesity: grade or extent of obesity unspecified
E66.20	Excessive obesity with alveolar hypoventilation: Grade I (WHO) obesity in patients 18 years of age and older
E66.21	Excessive obesity with alveolar hypoventilation: Grade II obesity (WHO) in patients 18 years of age and older
E66.22	Excessive obesity with alveolar hypoventilation: Grade III (WHO) obesity in patients 18 years of age and older
E66.24	Excessive obesity with alveolar hypoventilation: obesity in children and adolescents from 3 years to under 18 years of age
E66.25	Excessive obesity with alveolar hypoventilation: Extreme obesity in children and adolescents from 3 years to under 18 years of age
E66.29	Excessive obesity with alveolar hypoventilation: degree or extent of obesity unspecified
E66.80	Other obesity: Obesity grade I (WHO) in patients 18 years of age and older
E66.81	Other obesity: Grade II obesity (WHO) in patients 18 years of age and older
E66.82	Other obesity: Obesity grade III (WHO) in patients 18 years of age and older
E66.84	Other obesity: obesity in children and adolescents from 3 years to under 18 years
E66.85	Other obesity: Extreme obesity in children and adolescents from 3 years to under 18 years
E66.89	Other obesity: degree or extent of obesity unspecified
E66.90	Obesity, unspecified: Obesity grade I (WHO) in patients 18 years of age and older
E66.91	Obesity, unspecified: Obesity grade II (WHO) in patients 18 years of age and older
E66.92	Obesity, unspecified: Obesity grade III (WHO) in patients 18 years of age and older
E66.94	Obesity, unspecified: obesity in children and adolescents aged 3 to under 18 years
E66.95	Obesity, unspecified: Extreme obesity in children and adolescents aged 3 to under 18 years
E66.99	Obesity, unspecified: the degree or extent of obesity unspecified
E83.30	Familial hypophosphatemic rickets
E83.31	Vitamin D dependent rickets
E83.38	Other disorders of phosphorus metabolism and phosphatase
E83.39	Disorders of phosphorus metabolism and phosphatase, unspecified
E83.50	Calciphylaxis
E83.58	Other disorders of calcium metabolism
E83.59	Calcium metabolism disorders, unspecified
E84.80	Cystic fibrosis with pulmonary and bowel manifestations
E84.87	Cystic fibrosis with other multiple manifestations
E84.88	Cystic fibrosis with other manifestations
E88.20	Lipedema, stage I. 
E88.21	Lipedema, stage II 
E88.22	Lipedema, stage III 
E88.28	Other or unspecified lipedema
E88.29	Other lipomatosis, not elsewhere classified
F40.00	Agoraphobia: Without mentioning a panic disorder
F40.01	Agoraphobia: With panic disorder
F44.80	Ganser's Syndrome
F44.81	Multiple personality disorder)
F44.82	Transient dissociative disorders [conversion disorders] in childhood and adolescence
F44.88	Other dissociative disorders [conversion disorders]
F45.30	Somatoform autonomic dysfunction: cardiovascular system
F45.31	Somatoform autonomic dysfunction: Upper digestive system
F45.32	Somatoform autonomic dysfunction: Lower digestive system
F45.33	Somatoform autonomic dysfunction: respiratory system
F45.34	Somatoform autonomic dysfunction: genitourinary system
F45.35	Somatoform autonomic dysfunction: genitourinary system
F45.37	Somatoform autonomic dysfunction: multiple organs and systems
F45.38	Somatoform autonomic dysfunction: other organs and systems
F45.39	Somatoform autonomic dysfunction: unspecified organ or system
F45.40	Persistent somatoform pain disorder
F45.41	Chronic pain disorder with somatic and psychological factors
F50.00	Anorexia nervosa, restrictive type
F50.01	Anorexia nervosa, active type
F50.08	Other and unspecified anorexia nervosa
F55.0	Harmful use of non-addictive substances: antidepressants
F55.1	Harmful use of non-addictive substances: laxatives
F55.2	Harmful use of non-addictive substances: analgesics
F55.3	Harmful use of non-addictive substances: antacids
F55.4	Harmful use of non-addictive substances: vitamins
F55.5	Harmful use of non-addictive substances: steroids and hormones
F55.6	Harmful use of non-addictive substances: plants or natural medicines
F55.8	Harmful use of non-addictive substances: Other substances
F55.9	Harmful use of non-addictive substances: unspecified substance
F60.30	Emotionally unstable personality disorder: Impulsive type
F60.31	Emotionally unstable personality disorder: borderline type
F62.80	Persistent personality change in chronic pain syndrome
F62.88	Other ongoing personality changes
F74	Dissociated intelligence
F74.0	Dissociated Intelligence: No or minor behavior disorder
F74.1	Dissociated Intelligence: Pronounced behavioral disorder that requires observation or treatment
F74.8	Dissociated intelligence: other behavioral disorder
F74.9	Dissociated intelligence: No behavioral disorder reported
F80.20	Auditory processing and perception disorder [AVWS]
F80.28	Other receptive language disorder
F82.0	Localized developmental disorder of gross motor skills
F82.1	Circumscribed developmental disorder of fine and graphomotor skills
F82.2	Circumscribed developmental disorder of oral motor skills
F82.9	Circumscribed developmental disorder of motor functions, unspecified
F98.00	Nocturnal enuresis
F98.01	Diurnal enuresis
F98.02	Nocturnal and diurnal enuresis
F98.08	Other and unspecified inorganic enuresis
F98.40	Stereotypical movement disorders: Without self-harm
F98.41	Stereotypical movement disorders: With self-harm
F98.49	Stereotypical movement disorders: No indication of self-harm
F98.80	Attention disorder without hyperactivity with onset in childhood and adolescence
F98.88	Other specified behavioral and emotional disorders beginning in childhood and adolescence
G20.0	Primary Parkinson’s Syndrome with little or no disability
G20.00	Primary Parkinson's Syndrome with little or no impairment: no fluctuation in effect
G20.01	Primary Parkinson's Syndrome with no or little impairment: with fluctuations in effect
G20.1	Primary Parkinson's Syndrome with moderate to severe impairment
G20.10	Primary Parkinson's Syndrome with moderate to severe impairment: no fluctuation in effect
