"ICDO3.2"	"Level"	"Term"	"Code reference"	"obs"	"See also"	"See note"	"Includes"	"Excludes"	"Other text"
"8045/3"	"Related"	"Combined small cell-adenocarcinoma"							
"8045/3"	"Related"	"Combined small cell-large cell carcinoma"							
"8045/3"	"Related"	"Combined small cell-squamous cell carcinoma"							
"8046/3"	"Preferred"	"Non-small cell carcinoma"	"(C34._)"						
"805-808"	2	"Squamous cell neoplasms"							
"8050/0"	"Preferred"	"Papilloma, NOS"						"(except of bladder M-8120/0)"	
"8050/2"	"Preferred"	"Papillary carcinoma in situ, NOS"							
"8050/3"	"Preferred"	"Papillary carcinoma, NOS"						"(except of thyroid M-8260/3)"	
"8051/0"	"Preferred"	"Verrucous papilloma"							
"8051/3"	"Preferred"	"Verrucous carcinoma, NOS"							
"8051/3"	"Synonym"	"Verrucous epidermoid carcinoma"							
"8051/3"	"Synonym"	"Verrucous squamous cell carcinoma"							
"8052/0"	"Preferred"	"Squamous cell papilloma, NOS"							
"8052/0"	"Synonym"	"Keratotic papilloma"							
"8052/0"	"Synonym"	"Squamous papilloma"							
"8052/0"	"Related"	"Benign keratosis, NOS"			"(see also M-8070/0)"				
"8052/0"	"Related"	"Seborrhoeic keratosis"							
"8052/0"	"Related"	"Solar lentigo"							
"8052/0"	"Related"	"Lichen planus-like keratosis"							
"8052/2"	"Preferred"	"Papillary squamous cell carcinoma, non-invasive"							
"8052/2"	"Synonym"	"Papillary squamous cell carcinoma in situ"							
"8052/3"	"Preferred"	"Papillary squamous cell carcinoma"							
"8052/3"	"Synonym"	"Papillary epidermoid carcinoma"							
"8053/0"	"Preferred"	"Squamous cell papilloma, inverted"							
"8054/0"	"Preferred"	"Warty dyskeratoma"							
"8054/3"	"Preferred"	"Warty carcinoma"							
"8054/3"	"Synonym"	"Condylomatous carcinoma"							
"8054/3"	"Related"	"Warty-basaloid carcinoma"							
"8060/0"	"Preferred"	"Squamous papillomatosis"							
"8060/0"	"Synonym"	"Papillomatosis, NOS"							
"8070/0"	"Preferred"	"Actinic keratosis"							
"8070/0"	"Related"	"Arsenical keratosis"							
"8070/0"	"Related"	"PUVA keratosis"							
"8070/2"	"Preferred"	"Squamous cell carcinoma in situ, NOS"							
"8070/2"	"Synonym"	"Epidermoid carcinoma in situ, NOS"							
"8070/2"	"Synonym"	"Intraepidermal carcinoma, NOS"							
"8070/2"	"Synonym"	"Intraepithelial squamous cell carcinoma"							
"8070/3"	"Preferred"	"Squamous cell carcinoma, NOS"							
"8070/3"	"Synonym"	"Squamous cell carcinoma, usual type"							
"8070/3"	"Synonym"	"Epidermoid carcinoma, NOS"							
"8070/3"	"Synonym"	"Squamous carcinoma"							
"8070/3"	"Synonym"	"Squamous cell epithelioma"							
"8070/6"	"Preferred"	"Squamous cell carcinoma, metastatic, NOS"							
"8071/2"	"Preferred"	"Differentiated intraepithelial neoplasia"							
"8071/2"	"Related"	"Differentiated penile intraepithelial neoplasia (PeIN)"	"(C60._)"						
"8071/2"	"Related"	"Differentiated vulvar intraepithelial neoplasia (VIN)"	"(C51._)"						
"8071/3"	"Preferred"	"Squamous cell carcinoma, keratinizing, NOS"							
"8071/3"	"Synonym"	"Epidermoid carcinoma, keratinizing"							
"8071/3"	"Synonym"	"Squamous cell carcinoma, large cell, keratinizing"							
"8071/3"	"Related"	"Keratoacanthoma"							
"8072/0"	"Preferred"	"Large cell acanthoma"							
"8072/3"	"Preferred"	"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"							
"8072/3"	"Synonym"	"Epidermoid carcinoma, large cell, nonkeratinizing"							
"8072/3"	"Synonym"	"Squamous cell carcinoma, nonkeratinizing, NOS"							
"8073/3"	"Preferred"	"Squamous cell carcinoma, small cell, nonkeratinizing"							
"8073/3"	"Synonym"	"Epidermoid carcinoma, small cell, nonkeratinizing"							
"8074/3"	"Preferred"	"Squamous cell carcinoma, spindle cell"							
"8074/3"	"Synonym"	"Epidermoid carcinoma, spindle cell"							
"8074/3"	"Synonym"	"Squamous cell carcinoma, sarcomatoid"							
"8074/3"	"Related"	"Pseudovascular squamous cell carcinoma"							
"8075/3"	"Preferred"	"Squamous cell carcinoma, adenoid"							
"8075/3"	"Synonym"	"Squamous cell carcinoma, acantholytic"							
"8075/3"	"Synonym"	"Squamous cell carcinoma, pseudoglandular"							
"8076/2"	"Preferred"	"Squamous cell carcinoma in situ with questionable stromal invasion"							
"8076/2"	"Synonym"	"Epidermoid carcinoma in situ with questionable stromal invasion"							
"8076/3"	"Preferred"	"Squamous cell carcinoma, microinvasive"							
"8077/0"	"Preferred"	"Squamous intraepithelial neoplasia, low grade"							
"8077/0"	"Synonym"	"Squamous intraepithelial neoplasia, grade I"							
"8077/0"	"Synonym"	"Low grade squamous intraepithelial lesion"							
"8077/0"	"Related"	"Anal intraepithelial neoplasia, low grade"	"(C21.1)"						
"8077/0"	"Related"	"Cervical intraepithelial neoplasia, low grade"	"(C53._)"						
"8077/0"	"Related"	"Esophageal squamous intraepithelial neoplasia (dysplasia), low grade"	"(C15._)"						
"8077/2"	"Preferred"	"Squamous intraepithelial neoplasia, high grade"							
"8077/2"	"Synonym"	"Squamous intraepithelial neoplasia, grade II"							
"8077/2"	"Synonym"	"Squamous intraepithelial neoplasia, grade III"							
"8077/2"	"Synonym"	"Squamous dysplasia, high grade"							
"8077/2"	"Synonym"	"High grade squamous intraepithelial lesion"							
"8077/2"	"Related"	"Anal intraepithelial neoplasia, grade III"	"(C21.1)"						
"8077/2"	"Synonym"	"AIN III"	"(C21.1)"						
"8077/2"	"Related"	"Cervical intraepithelial neoplasia, grade III"	"(C53._)"						
"8077/2"	"Synonym"	"CIN III, NOS"	"(C53._)"						
"8077/2"	"Synonym"	"CIN III with severe dysplasia"	"(C53._)"						
"8077/2"	"Related"	"Esophageal squamous intraepithelial neoplasia (dysplasia), high grade"	"(C15._)"						
"8077/2"	"Related"	"Vaginal intraepithelial neoplasia, grade III"	"(C52._)"						
"8077/2"	"Synonym"	"VAIN III"	"(C52._)"						
"8077/2"	"Related"	"Vulvar intraepithelial neoplasia, grade III"	"(C51._)"						
"8077/2"	"Synonym"	"VIN III"	"(C51._)"						
"8078/3"	"Preferred"	"Squamous cell carcinoma with horn formation"							
"8080/2"	"Preferred"	"Queyrat erythroplasia"	"(C60._)"						
"8081/2"	"Preferred"	"Bowen disease"	"(C44._)"						
"8081/2"	"Synonym"	"Intraepidermal squamous cell carcinoma, Bowen type"	"(C44._)"						
"8082/3"	"Preferred"	"Lymphoepithelial carcinoma"							
"8082/3"	"Synonym"	"Lymphoepithelioma"							
"8082/3"	"Synonym"	"Lymphoepithelioma-like carcinoma"							
"8082/3"	"Related"	"Schmincke tumor"	"(C11._)"						
"8083/3"	"Preferred"	"Basaloid squamous cell carcinoma"							
"8083/3"	"Related"	"Papillary-basaloid carcinoma"							
"8084/0"	"Preferred"	"Clear cell acanthoma"							
"8084/3"	"Preferred"	"Squamous cell carcinoma, clear cell type"							
"8085/3"	"Preferred"	"Squamous cell carcinoma, HPV positive"							
"8086/3"	"Preferred"	"Squamous cell carcinoma, HPV negative"							
"809-811"	2	"Basal cell neoplasms"							
"8090/1"	"Preferred"	"Basal cell tumor"	"(C44._)"	"[obs]"					
"8090/3"	"Preferred"	"Basal cell carcinoma, NOS"	"(C44._)"					"(except of prostate M-8147/3)"	
"8090/3"	"Synonym"	"Basal cell epithelioma"	"(C44._)"						
"8090/3"	"Synonym"	"Rodent ulcer"	"(C44._)"						
"8090/3"	"Related"	"Pigmented basal cell carcinoma"	"(C44._)"						
"8090/3"	"Related"	"Basal cell carcinoma with adnexal differentiation"	"(C44._)"						
"8091/3"	"Preferred"	"Superficial basal cell carcinoma"	"(C44._)"						
"8091/3"	"Synonym"	"Multifocal superficial basal cell carcinoma"	"(C44._)"						
"8091/3"	"Synonym"	"Multicentric basal cell carcinoma"	"(C44._)"						
"8092/3"	"Preferred"	"Infiltrating basal cell carcinoma, NOS"	"(C44._)"						
"8092/3"	"Related"	"Infiltrating basal cell carcinoma, non-sclerosing"	"(C44._)"						
"8092/3"	"Related"	"Infiltrating basal cell carcinoma, sclerosing"	"(C44._)"						
"8092/3"	"Synonym"	"Basal cell carcinoma, desmoplastic type"	"(C44._)"						
"8092/3"	"Synonym"	"Basal cell carcinoma, morpheic"	"(C44._)"						
"8092/3"	"Related"	"Basal cell carcinoma, sarcomatoid"	"(C44._)"						
"8093/3"	"Preferred"	"Basal cell carcinoma, fibroepithelial"	"(C44._)"						
"8093/3"	"Synonym"	"Fibroepithelioma, NOS"							
"8093/3"	"Synonym"	"Fibroepithelioma of Pinkus type"							
"8093/3"	"Synonym"	"Fibroepithelial basal cell carcinoma, Pinkus type"							
"8093/3"	"Synonym"	"Pinkus tumor"							
"8094/3"	"Preferred"	"Basosquamous carcinoma"	"(C44._)"						
"8094/3"	"Synonym"	"Mixed basal-squamous cell carcinoma"	"(C44._)"						
"8095/3"	"Preferred"	"Metatypical carcinoma"	"(C44._)"						
"8096/0"	"Preferred"	"Intraepidermal epithelioma of Jadassohn"	"(C44._)"						
"8097/3"	"Preferred"	"Basal cell carcinoma, nodular"	"(C44._)"						
"8097/3"	"Related"	"Basal cell carcinoma, micronodular"	"(C44._)"						
"8098/3"	"Preferred"	"Adenoid basal carcinoma"	"(C53._)"						
"8100/0"	"Preferred"	"Trichoepithelioma"	"(C44._)"						
"8100/0"	"Synonym"	"Brooke tumor"	"(C44._)"						
"8100/0"	"Synonym"	"Epithelioma adenoides cysticum"	"(C44._)"						
"8100/0"	"Related"	"Trichoblastoma"	"(C44._)"						
"8100/0"	"Related"	"Trichogerminoma"	"(C44._)"						
"8100/3"	"Preferred"	"Trichoblastic carcinoma"	"(C44._)"						
"8100/3"	"Related"	"Trichoblastic carcinosarcoma"	"(C44._)"						
"8101/0"	"Preferred"	"Trichofolliculoma"	"(C44._)"						
"8102/0"	"Preferred"	"Trichilemmoma"	"(C44._)"						
"8102/3"	"Preferred"	"Trichilemmocarcinoma"	"(C44._)"						
"8102/3"	"Synonym"	"Trichilemmal carcinoma"	"(C44._)"						
"8103/0"	"Preferred"	"Pilar tumor"	"(C44._)"						
"8103/1"	"Preferred"	"Proliferating trichilemmal cyst"	"(C44._)"						
"8103/1"	"Synonym"	"Proliferating trichilemmal tumor"	"(C44._)"						
"8104/0"	"Preferred"	"Pilar sheath acanthoma"	"(C44._)"						
"8104/0"	"Related"	"Tumor of follicular infundibulum"	"(C44._)"						
"8110/0"	"Preferred"	"Pilomatricoma, NOS"	"(C44._)"						
"8110/0"	"Synonym"	"Pilomatrixoma, NOS"	"(C44._)"						
"8110/0"	"Synonym"	"Calcifying epithelioma of Malherbe"	"(C44._)"						
"8110/0"	"Related"	"Melanocytic matricoma"	"(C44._)"						
"8110/3"	"Preferred"	"Pilomatrical carcinoma"	"(C44._)"						
"8110/3"	"Synonym"	"Pilomatrix carcinoma"	"(C44._)"						
"8110/3"	"Synonym"	"Matrical carcinoma"	"(C44._)"						
"8110/3"	"Synonym"	"Pilomatricoma, malignant"	"(C44._)"						
"8110/3"	"Synonym"	"Pilomatrixoma, malignant"	"(C44._)"						
"812-813"	2	"Transitional cell papillomas and carcinomas"							
"8120/0"	"Preferred"	"Urothelial papilloma, NOS"							
"8120/0"	"Synonym"	"Transitional cell papilloma, benign"		"[obs]"					
"8120/0"	"Synonym"	"Transitional papilloma"		"[obs]"					
"8120/0"	"Synonym"	"Transitional cell papilloma, NOS"							
"8120/0"	"Synonym"	"Papilloma of bladder"	"(C67._)"						
"8120/2"	"Preferred"	"Urothelial carcinoma in situ"							
"8120/2"	"Synonym"	"Transitional cell carcinoma in situ"							
"8120/3"	"Preferred"	"Transitional cell carcinoma, NOS"							
"8120/3"	"Synonym"	"Urothelial carcinoma, NOS"							
"8120/3"	"Related"	"Transitional carcinoma"							
"8120/3"	"Related"	"Squamotransitional carcinoma"							
"8121/0"	"Preferred"	"Sinonasal papilloma, exophytic"	"(C30.0, C31._)"						
"8121/0"	"Synonym"	"Schneiderian papilloma, NOS"	"(C30.0, C31._)"						
"8121/0"	"Synonym"	"Sinonasal papilloma, NOS"	"(C30.0, C31._)"						
"8121/0"	"Synonym"	"Sinonasal papilloma, fungiform"	"(C30.0, C31._)"	"[obs]"					
"8121/0"	"Related"	"Urothelial papilloma, inverted"							
"8121/0"	"Related"	"Transitional papilloma, inverted, NOS"							
"8121/0"	"Synonym"	"Transitional cell papilloma, inverted, NOS"							
"8121/1"	"Preferred"	"Sinonasal papilloma, inverted"	"(C30.0, C31._)"						
"8121/1"	"Related"	"Columnar cell papilloma"							
"8121/1"	"Related"	"Cylindrical cell papilloma"	"(C30.0, C31._)"						
"8121/1"	"Related"	"Schneiderian papilloma, oncocytic"	"(C30.0, C31._)"						
"8121/1"	"Related"	"Schneiderian papilloma, inverted"	"(C30.0, C31._)"						
"8121/1"	"Related"	"Sinonasal papilloma, oncocytic"	"(C30.0, C31._)"						
"8121/3"	"Preferred"	"Schneiderian carcinoma"	"(C30.0, C31._)"						
"8121/3"	"Related"	"Cylindrical cell carcinoma"	"(C30.0, C31._)"						
"8122/3"	"Preferred"	"Urothelial carcinoma, sarcomatoid "							
"8122/3"	"Synonym"	"Urothelial carcinoma, spindle cell"							
"8122/3"	"Synonym"	"Transitional cell carcinoma, spindle cell"							
"8122/3"	"Synonym"	"Transitional cell carcinoma, sarcomatoid"							
"8123/3"	"Preferred"	"Basaloid carcinoma"							
"8124/3"	"Preferred"	"Cloacogenic carcinoma"	"(C21.2)"	"[obs]"					
"8130/1"	"Preferred"	"Papillary urothelial neoplasm of low malignant potential"	"(C67._)"						
"8130/1"	"Synonym"	"Papillary transitional cell neoplasm of low malignant potential"	"(C67._)"						
"8130/2"	"Preferred"	"Papillary urothelial carcinoma, non-invasive"	"(C67._)"						
"8130/2"	"Synonym"	"Papillary transitional cell carcinoma, non-invasive"	"(C67._)"						
"8130/3"	"Preferred"	"Papillary urothelial carcinoma"	"(C67._)"	"[obs]"					
"8130/3"	"Synonym"	"Papillary transitional cell carcinoma"	"(C67._)"	"[obs]"					
"8131/3"	"Preferred"	"Urothelial carcinoma, micropapillary"	"(C67._)"						
"8131/3"	"Synonym"	"Transitional cell carcinoma, micropapillary"	"(C67._)"						
"814-838"	2	"Adenomas and adenocarcinomas"							
"8140/0"	"Preferred"	"Adenoma, NOS"						"(except of pituitary M-8272/0 or nipple M-8506/0 or rete ovarii M-9110/0)"	
"8140/1"	"Preferred"	"Atypical adenoma"							
"8140/1"	"Synonym"	"Bronchial adenoma, NOS"	"(C34._)"						
"8140/2"	"Preferred"	"Adenocarcinoma in situ, NOS"							
"8140/3"	"Preferred"	"Adenocarcinoma, NOS"						"(except of anal glands/ducts M-8215/3 or rete ovarii M-9110/3)"	
"8140/3"	"Synonym"	"Adenocarcinoma, usual type"							
"8140/3"	"Related"	"Carcinoma of Skene, Cowper and Littre glands"							
"8140/3"	"Related"	"Endolymphatic sac tumor"							
"8140/3"	"Related"	"Parathyroid carcinoma"	"(C75.0)"						
"8140/3"	"Related"	"Acinar adenocarcinoma of prostate"	"(C61.9)"						
"8140/6"	"Preferred"	"Adenocarcinoma, metastatic, NOS"							
"8141/3"	"Preferred"	"Scirrhous adenocarcinoma"		"[obs]"					
"8141/3"	"Synonym"	"Carcinoma with productive fibrosis"		"[obs]"					
"8141/3"	"Synonym"	"Scirrhous carcinoma"		"[obs]"					
"8142/3"	"Preferred"	"Linitis plastica"	"(C16._)"						
"8143/3"	"Preferred"	"Superficial spreading adenocarcinoma"							
"8144/0"	"Preferred"	"Adenoma, intestinal type"							
"8144/3"	"Preferred"	"Adenocarcinoma, intestinal type"	"(C16._)"						
"8144/3"	"Synonym"	"Adenocarcinoma, enteric"							
"8144/3"	"Synonym"	"Carcinoma, intestinal type"	"(C16._)"						
"8144/3"	"Synonym"	"Mucinous carcinoma, intestinal type"							
"8145/3"	"Preferred"	"Carcinoma, diffuse type"	"(C16._)"						
"8145/3"	"Synonym"	"Adenocarcinoma, diffuse type"	"(C16._)"						
"8146/0"	"Preferred"	"Monomorphic adenoma"							
"8147/0"	"Preferred"	"Basal cell adenoma"							
"8147/3"	"Preferred"	"Basal cell adenocarcinoma"							
"8147/3"	"Related"	"Basal cell carcinoma of prostate"	"(C61.9)"						
"8148/0"	"Preferred"	"Glandular intraepithelial neoplasia, low grade"							
"8148/0"	"Synonym"	"Glandular intraepithelial neoplasia, grade I"							
"8148/0"	"Synonym"	"Glandular intraepithelial neoplasia, grade II"							
"8148/0"	"Related"	"Biliary intraepithelial neoplasia, low grade"							
"8148/0"	"Related"	"Esophageal glandular dysplasia (intraepithelial neoplasia), low grade"	"(C15._)"						
"8148/2"	"Preferred"	"Glandular intraepithelial neoplasia, high grade"							
"8148/2"	"Synonym"	"Glandular intraepithelial neoplasia, grade III"							
"8148/2"	"Synonym"	"Flat intraepithelial neoplasia, high grade"							
"8148/2"	"Related"	"Biliary intraepithelial neoplasia, high grade"							
"8148/2"	"Synonym"	"Biliary intraepithelial neoplasia, grade 3 (BilIN-3)"							
"8148/2"	"Related"	"Esophageal glandular dysplasia (intraepithelial neoplasia), high grade"	"(C15._)"						
"8148/2"	"Synonym"	"Esophageal intraepithelial neoplasia, high grade"	"(C15._)"						
"8148/2"	"Related"	"Prostatic intraepithelial neoplasia, grade III"	"(C61.9)"						
"8148/2"	"Synonym"	"PIN III"	"(C61.9)"						
"8148/2"	"Synonym"	"Prostatic intraepithelial neoplasia, high grade"	"(C61.9)"						
"8149/0"	"Preferred"	"Canalicular adenoma"							
"8150/0"	"Preferred"	"Pancreatic neuroendocrine microadenoma"	"(C25.4)"						
"8150/0"	"Synonym"	"Pancreatic endocrine tumor, benign"	"(C25.4)"	"[obs]"					
"8150/0"	"Synonym"	"Islet cell tumor, benign"	"(C25.4)"	"[obs]"					
"8150/0"	"Related"	"Pancreatic microadenoma"	"(C25.4)"						
"8150/3"	"Preferred"	"Pancreatic neuroendocrine tumor, nonfunctioning"	"(C25.4)"						
"8150/3"	"Synonym"	"Pancreatic endocrine tumor, nonfunctioning"	"(C25.4)"						
"8150/3"	"Synonym"	"Pancreatic endocrine tumor, NOS"	"(C25.4)"						
"8150/3"	"Related"	"Islet cell adenoma"	"(C25.4)"	"[obs]"					
"8150/3"	"Related"	"Islet cell adenomatosis"	"(C25.4)"	"[obs]"					
"8150/3"	"Related"	"Nesidioblastoma"	"(C25.4)"	"[obs]"					
"8150/3"	"Related"	"Islet cell tumor, NOS"	"(C25.4)"	"[obs]"					
"8150/3"	"Related"	"Islet cell adenocarcinoma"	"(C25.4)"	"[obs]"					
"8150/3"	"Related"	"Islet cell carcinoma"	"(C25.4)"	"[obs]"					
"8151/3"	"Preferred"	"Insulinoma, NOS"	"(C25.4)"						
"8151/3"	"Synonym"	"Beta cell adenoma"	"(C25.4)"						
"8151/3"	"Synonym"	"Beta cell tumor"	"(C25.4)"						
"8152/3"	"Preferred"	"Glucagonoma"							
"8152/3"	"Synonym"	"Alpha cell tumor"							
"8152/3"	"Related"	"Enteroglucagonoma"		"[obs]"					
"8152/3"	"Related"	"Glucagon-like peptide-producing tumor"							
"8152/3"	"Related"	"L-cell tumor"							
"8152/3"	"Related"	"Pancreatic peptide and pancreatic peptide-like peptide within terminal tyrosine amide producing tumor"	"(C25.4)"						
"8152/3"	"Synonym"	"PP/PYY producing tumor"							
"8153/3"	"Preferred"	"Gastrinoma"							
"8153/3"	"Synonym"	"G cell tumor"							
"8153/3"	"Synonym"	"Gastrin cell tumor"							
"8154/3"	"Preferred"	"Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)"							
"8154/3"	"Related"	"Mixed pancreatic endocrine and exocrine tumor, malignant"	"(C25._)"						
"8154/3"	"Synonym"	"Mixed islet cell and exocrine adenocarcinoma"	"(C25._)"						
"8154/3"	"Related"	"Mixed acinar-endocrine carcinoma"	"(C25._)"						
"8154/3"	"Synonym"	"Mixed acinar-neuroendocrine carcinoma"	"(C25._)"						
"8154/3"	"Related"	"Mixed acinar-endocrine-ductal carcinoma"	"(C25._)"						
"8154/3"	"Related"	"Mixed ductal-endocrine carcinoma"	"(C25._)"						
"8154/3"	"Synonym"	"Mixed ductal-neuroendocrine carcinoma"	"(C25._)"						
"8154/3"	"Related"	"Mixed endocrine and exocrine adenocarcinoma"	"(C25._)"						
"8155/3"	"Preferred"	"Vipoma"							
"8156/3"	"Preferred"	"Somatostatinoma"							
"8156/3"	"Synonym"	"Somatostatin cell tumor"							
"8158/3"	"Preferred"	"ACTH-producing tumor"							
"8158/3"	"Related"	"Endocrine tumor, functioning, NOS"		"[obs]"					
"8160/0"	"Preferred"	"Bile duct adenoma"	"(C22.1, C24.0)"						
"8160/0"	"Synonym"	"Cholangioma"	"(C22.1, C24.0)"						
"8160/3"	"Preferred"	"Cholangiocarcinoma"	"(C22.1, C24.0)"						
"8160/3"	"Synonym"	"Bile duct adenocarcinoma"	"(C22.1, C24.0)"						
"8160/3"	"Synonym"	"Bile duct carcinoma"	"(C22.1, C24.0)"						
"8161/0"	"Preferred"	"Bile duct cystadenoma"	"(C22.1, C24.0)"						
"8161/3"	"Preferred"	"Bile duct cystadenocarcinoma"	"(C22.1, C24.0)"						
"8162/3"	"Preferred"	"Perihilar cholangiocarcinoma"	"(C24.0)"						
"8162/3"	"Synonym"	"Klatskin tumor"	"(C24.0)"	"[obs]"					
"8163/0"	"Preferred"	"Pancreatobiliary neoplasm, non-invasive"							
"8163/0"	"Synonym"	"Non-invasive pancreatobiliary papillary neoplasm with low grade dysplasia"							
"8163/0"	"Synonym"	"Non-invasive pancreatobiliary papillary neoplasm with low grade intraepithelial neoplasia"							
"8163/2"	"Preferred"	"Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia"	"(C24.1)"						
"8163/2"	"Synonym"	"Non-invasive pancreatobiliary papillary neoplasm with high grade dysplasia"	"(C24.1)"						
"8163/2"	"Synonym"	"Non-invasive pancreatobiliary papillary neoplasm with high grade intraepithelial neoplasia"	"(C24.1)"						
"8163/3"	"Preferred"	"Pancreatobiliary type carcinoma"	"(C24.1)"						
"8163/3"	"Synonym"	"Adenocarcinoma, pancreatobiliary type"	"(C24.1)"						
"8170/0"	"Preferred"	"Liver cell adenoma"	"(C22.0)"						
"8170/0"	"Synonym"	"Hepatocellular adenoma"	"(C22.0)"						
"8170/0"	"Synonym"	"Hepatoma, benign"	"(C22.0)"						
"8170/3"	"Preferred"	"Hepatocellular carcinoma, NOS"	"(C22.0)"						
