DOSAGE	VOLUME	INGREDIENT_CONCEPT_CODE	CONCEPT_NAME	CONCEPT_CODE	GEMSCRIPT_NAME
10mg		Carbidopa	Co-careldopa 10mg/100mg tablets	99139998	Sinemet 110 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
100mg		Levodopa	Co-careldopa 10mg/100mg tablets	96020998	Levodopa / carbidopa 100mg + 10mg Tablet
100mg		Levodopa	Co-careldopa 10mg/100mg tablets	96872998	Carbidopa 10mg / levodopa 100mg tablets
100mg		Levodopa	Co-careldopa 10mg/100mg tablets	99139998	Sinemet 110 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
12.5mg		Carbidopa	Co-careldopa 12.5mg/50mg tablets	94449998	Sinemet 62.5 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
50mg		Levodopa	Co-careldopa 12.5mg/50mg tablets	94449998	Sinemet 62.5 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
25mg		Carbidopa	Co-careldopa 25mg/100mg tablets	96020997	Levodopa / carbidopa 250mg + 25mg Tablet
25mg		Carbidopa	Co-careldopa 25mg/100mg tablets	98401998	Sinemet plus Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
25mg		Carbidopa	Co-careldopa 25mg/100mg tablets	96872997	Carbidopa 25mg / Levodopa 250mg tablets
100mg		Levodopa	Co-careldopa 25mg/100mg tablets	96020997	Levodopa / carbidopa 250mg + 25mg Tablet
100mg		Levodopa	Co-careldopa 25mg/100mg tablets	98401998	Sinemet plus Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
100mg		Levodopa	Co-careldopa 25mg/100mg tablets	96872997	Carbidopa 25mg / Levodopa 250mg tablets
25mg		Carbidopa	Co-careldopa 25mg/250mg tablets	98402998	Sinemet 275 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
250mg		Levodopa	Co-careldopa 25mg/250mg tablets	98402998	Sinemet 275 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
5mg/1ml	100ml	Carbidopa	Co-careldopa 5mg/20mg/1ml intestinal gel 100ml cassette	85170998	Co-careldopa oral liquid
20mg/1ml	100ml	Levodopa	Co-careldopa 5mg/20mg/1ml intestinal gel 100ml cassette	85170998	Co-careldopa oral liquid
500mg		Acetaminophen	Co-codamol 15mg/500mg tablets	94858992	CODEINE PHOSPHATE 15/PARACETAMOL 500MG TAB
15mg		Codeine	Co-codamol 15mg/500mg tablets	94858992	CODEINE PHOSPHATE 15/PARACETAMOL 500MG TAB
500mg		Acetaminophen	Co-codamol 30mg/500mg effervescent tablets	95464996	Paracetamol 500mg / codeine phosphate 30mg effervescent tablet
500mg		Acetaminophen	Co-codamol 30mg/500mg effervescent tablets	88880998	Codeine phosphate 30mg / paracetamol 500mg effervescent tablets
500mg		Acetaminophen	Co-codamol 30mg/500mg effervescent tablets	93342992	CO-CODAMOL EFF 30MG/500MG TAB
500mg		Acetaminophen	Co-codamol 30mg/500mg effervescent tablets	94284990	Co-codamol 30mg+500mg Effervescent tablet (Hillcross Pharmaceuticals Ltd)
500mg		Acetaminophen	Co-codamol 30mg/500mg effervescent tablets	96987990	Co-codamol 30mg+500mg Effervescent tablet (Roche Consumer Health)
30mg		Codeine	Co-codamol 30mg/500mg effervescent tablets	95464996	Paracetamol 500mg / codeine phosphate 30mg effervescent tablet
30mg		Codeine	Co-codamol 30mg/500mg effervescent tablets	88880998	Codeine phosphate 30mg / paracetamol 500mg effervescent tablets
30mg		Codeine	Co-codamol 30mg/500mg effervescent tablets	93342992	CO-CODAMOL EFF 30MG/500MG TAB
30mg		Codeine	Co-codamol 30mg/500mg effervescent tablets	94284990	Co-codamol 30mg+500mg Effervescent tablet (Hillcross Pharmaceuticals Ltd)
30mg		Codeine	Co-codamol 30mg/500mg effervescent tablets	96987990	Co-codamol 30mg+500mg Effervescent tablet (Roche Consumer Health)
500mg		Acetaminophen	Co-codamol 30mg/500mg tablets	33979978	Co-codamol 30mg/500mg caplets (Wockhardt UK Ltd)
30mg		Codeine	Co-codamol 30mg/500mg tablets	33979978	Co-codamol 30mg/500mg caplets (Wockhardt UK Ltd)
500mg		Acetaminophen	Co-codamol 8mg/500mg effervescent tablets	95450998	Panadeine Effervescent tablet (Sanofi-Synthelabo Ltd)
500mg		Acetaminophen	Co-codamol 8mg/500mg effervescent tablets	97071990	Co-codamol 8mg+500mg Effervescent tablet (Numark Management Ltd)
500mg		Acetaminophen	Co-codamol 8mg/500mg effervescent tablets	95465997	Paracetamol 500mg / codeine phosphate 8mg effervescent tablet
500mg		Acetaminophen	Co-codamol 8mg/500mg effervescent tablets	96616997	Codeine phosphate 8mg / paracetamol 500mg effervescent tablets
500mg		Acetaminophen	Co-codamol 8mg/500mg effervescent tablets	97934990	Co-codamol Effervescent tablet (A A H Pharmaceuticals Ltd)
500mg		Acetaminophen	Co-codamol 8mg/500mg effervescent tablets	97984990	Co-codamol 8mg+500mg Dispersible tablet (Rhone-Poulenc Rorer Ltd)
8mg		Codeine	Co-codamol 8mg/500mg effervescent tablets	95450998	Panadeine Effervescent tablet (Sanofi-Synthelabo Ltd)
8mg		Codeine	Co-codamol 8mg/500mg effervescent tablets	97071990	Co-codamol 8mg+500mg Effervescent tablet (Numark Management Ltd)
8mg		Codeine	Co-codamol 8mg/500mg effervescent tablets	95465997	Paracetamol 500mg / codeine phosphate 8mg effervescent tablet
8mg		Codeine	Co-codamol 8mg/500mg effervescent tablets	96616997	Codeine phosphate 8mg / paracetamol 500mg effervescent tablets
8mg		Codeine	Co-codamol 8mg/500mg effervescent tablets	97934990	Co-codamol Effervescent tablet (A A H Pharmaceuticals Ltd)
8mg		Codeine	Co-codamol 8mg/500mg effervescent tablets	97984990	Co-codamol 8mg+500mg Dispersible tablet (Rhone-Poulenc Rorer Ltd)
500mg		Acetaminophen	Co-codamol 8mg/500mg tablets	93597992	PARACETAMOL/CODEINE PHOSPHATE 500 MG TAB
500mg		Acetaminophen	Co-codamol 8mg/500mg tablets	93308992	CODEINE / PARACETAMOL 8 MG TAB
500mg		Acetaminophen	Co-codamol 8mg/500mg tablets	93849992	CODEINE / PARACETAMOL TAB
500mg		Acetaminophen	Co-codamol 8mg/500mg tablets	95384992	PARACETAMOL / CODEINE TAB
8mg		Codeine	Co-codamol 8mg/500mg tablets	93597992	PARACETAMOL/CODEINE PHOSPHATE 500 MG TAB
8mg		Codeine	Co-codamol 8mg/500mg tablets	93308992	CODEINE / PARACETAMOL 8 MG TAB
8mg		Codeine	Co-codamol 8mg/500mg tablets	93849992	CODEINE / PARACETAMOL TAB
8mg		Codeine	Co-codamol 8mg/500mg tablets	95384992	PARACETAMOL / CODEINE TAB
400mg		Aspirin	Co-codaprin 8mg/400mg dispersible tablets	92141998	Codeine phosphate 8mg / aspirin 400mg / caffeine dispersible tablets
400mg		Aspirin	Co-codaprin 8mg/400mg dispersible tablets	99781992	ACETYLSALICYLIC ACID / CODEINE PHOSPHATE MG TAB
400mg		Aspirin	Co-codaprin 8mg/400mg dispersible tablets	96217997	Aspirin 400mg / Codeine 8mg dispersible tablets
8mg		Codeine	Co-codaprin 8mg/400mg dispersible tablets	92141998	Codeine phosphate 8mg / aspirin 400mg / caffeine dispersible tablets
8mg		Codeine	Co-codaprin 8mg/400mg dispersible tablets	99781992	ACETYLSALICYLIC ACID / CODEINE PHOSPHATE MG TAB
8mg		Codeine	Co-codaprin 8mg/400mg dispersible tablets	96217997	Aspirin 400mg / Codeine 8mg dispersible tablets
25mg/5ml		danthron	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	93635998	Codalax 25mg+200mg/5ml Liquid (Napp Pharmaceuticals Ltd)
25mg/5ml		danthron	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	94444992	CO-DANTHRAMER 25 MG MIX
25mg/5ml		danthron	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	96691990	Co-danthramer 25mg+200mg/5ml Oral suspension (Actavis UK Ltd)
25mg/5ml		danthron	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	97327998	Dorbanex Liquid (3M Health Care Ltd)
200mg/5ml		Poloxamer 188	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	93635998	Codalax 25mg+200mg/5ml Liquid (Napp Pharmaceuticals Ltd)
200mg/5ml		Poloxamer 188	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	94444992	CO-DANTHRAMER 25 MG MIX
200mg/5ml		Poloxamer 188	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	96691990	Co-danthramer 25mg+200mg/5ml Oral suspension (Actavis UK Ltd)
200mg/5ml		Poloxamer 188	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	97327998	Dorbanex Liquid (3M Health Care Ltd)
75mg/5ml		danthron	Co-danthramer 75mg/1000mg/5ml oral suspension sugar free	99725998	Dorbanex forte Liquid (3M Health Care Ltd)
75mg/5ml		danthron	Co-danthramer 75mg/1000mg/5ml oral suspension sugar free	93635997	Codalax 75mg+1000mg/5ml Liquid (Napp Pharmaceuticals Ltd)
75mg/5ml		danthron	Co-danthramer 75mg/1000mg/5ml oral suspension sugar free	96303989	Co-danthramer 75mg+1000mg/5ml Oral suspension (Neo Laboratories Ltd)
1000mg/5ml		Poloxamer 188	Co-danthramer 75mg/1000mg/5ml oral suspension sugar free	99725998	Dorbanex forte Liquid (3M Health Care Ltd)
1000mg/5ml		Poloxamer 188	Co-danthramer 75mg/1000mg/5ml oral suspension sugar free	93635997	Codalax 75mg+1000mg/5ml Liquid (Napp Pharmaceuticals Ltd)
1000mg/5ml		Poloxamer 188	Co-danthramer 75mg/1000mg/5ml oral suspension sugar free	96303989	Co-danthramer 75mg+1000mg/5ml Oral suspension (Neo Laboratories Ltd)
50mg		danthron	Co-danthrusate 50mg/60mg capsules	96459998	Dantron with dioctyl sodium sulphosuccinate 50mg with 60mg capsules
50mg		danthron	Co-danthrusate 50mg/60mg capsules	98167998	Normax Capsule (UCB Pharma Ltd)
60mg		Docusate	Co-danthrusate 50mg/60mg capsules	96459998	Dantron with dioctyl sodium sulphosuccinate 50mg with 60mg capsules
60mg		Docusate	Co-danthrusate 50mg/60mg capsules	98167998	Normax Capsule (UCB Pharma Ltd)
50mg/5ml		danthron	Co-danthrusate 50mg/60mg/5ml oral suspension sugar free	98167997	Normax Liquid (UCB Pharma Ltd)
60mg/5ml		Docusate	Co-danthrusate 50mg/60mg/5ml oral suspension sugar free	98167997	Normax Liquid (UCB Pharma Ltd)
500mg/5ml		Acetaminophen	Co-dydramol 10mg/500mg/5ml oral suspension	94285990	Co-dydramol 10mg+500mg/5ml Liquid (Rosemont Pharmaceuticals Ltd)
10mg/5ml		dihydrocodeine	Co-dydramol 10mg/500mg/5ml oral suspension	94285990	Co-dydramol 10mg+500mg/5ml Liquid (Rosemont Pharmaceuticals Ltd)
125mg/5ml		Ampicillin	Co-fluampicil 125mg/125mg/5ml oral suspension	95031997	Ampicillin 125mg / Flucloxacillin 125mg oral solution
125mg/5ml		Ampicillin	Co-fluampicil 125mg/125mg/5ml oral suspension	96531997	Flucloxacillin / ampicillin 125mg+125mg Liquid
125mg/5ml		Floxacillin	Co-fluampicil 125mg/125mg/5ml oral suspension	95031997	Ampicillin 125mg / Flucloxacillin 125mg oral solution
125mg/5ml		Floxacillin	Co-fluampicil 125mg/125mg/5ml oral suspension	96531997	Flucloxacillin / ampicillin 125mg+125mg Liquid
250mg		Ampicillin	Co-fluampicil 250mg/250mg powder for solution for injection vials	95031996	Ampicillin 250mg / Flucloxacillin 250mg injection
250mg		Ampicillin	Co-fluampicil 250mg/250mg powder for solution for injection vials	96531996	Flucloxacillin / ampicillin 250mg+250mg Injection
250mg		Floxacillin	Co-fluampicil 250mg/250mg powder for solution for injection vials	95031996	Ampicillin 250mg / Flucloxacillin 250mg injection
250mg		Floxacillin	Co-fluampicil 250mg/250mg powder for solution for injection vials	96531996	Flucloxacillin / ampicillin 250mg+250mg Injection
220mg/5ml		Aluminum Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	94202998	Magnesium hydroxide with aluminium hydroxide 220mg with 195mg/5ml sugar free Oral suspension
220mg/5ml		Aluminum Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	97688992	MAALOX SUS
220mg/5ml		Aluminum Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	94205997	Aluminium hydroxide 195mg / magnesium hydroxide 220mg/5ml suspension
220mg/5ml		Aluminum Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	97296998	Mucogel sugar free Oral suspension (Forest Laboratories UK Ltd)
220mg/5ml		Aluminum Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	97296996	Mucogel Liquid (Forest Laboratories UK Ltd)
220mg/5ml		Aluminum Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	98244998	Maalox concentrate Liquid (Rorer Pharmaceuticals Ltd)
195mg/5ml		Magnesium Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	94202998	Magnesium hydroxide with aluminium hydroxide 220mg with 195mg/5ml sugar free Oral suspension
195mg/5ml		Magnesium Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	97688992	MAALOX SUS
195mg/5ml		Magnesium Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	94205997	Aluminium hydroxide 195mg / magnesium hydroxide 220mg/5ml suspension
195mg/5ml		Magnesium Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	97296998	Mucogel sugar free Oral suspension (Forest Laboratories UK Ltd)
195mg/5ml		Magnesium Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	97296996	Mucogel Liquid (Forest Laboratories UK Ltd)
195mg/5ml		Magnesium Hydroxide	Co-magaldrox 195mg/220mg/5ml oral suspension sugar free	98244998	Maalox concentrate Liquid (Rorer Pharmaceuticals Ltd)
600mg		Aluminum Hydroxide	Co-magaldrox 300mg/600mg tablets	98244997	Maalox concentrate Tablet (Rorer Pharmaceuticals Ltd)
300mg		Magnesium Hydroxide	Co-magaldrox 300mg/600mg tablets	98244997	Maalox concentrate Tablet (Rorer Pharmaceuticals Ltd)
0.025mg		Atropine	Co-phenotrope 2.5mg/0.025mg tablets	96350998	Diphenoxylate / atropine 2.5mg +25micrograms tablets
2.5mg		Diphenoxylate	Co-phenotrope 2.5mg/0.025mg tablets	96350998	Diphenoxylate / atropine 2.5mg +25micrograms tablets
325mg		Acetaminophen	Co-proxamol 32.5mg/325mg tablets	98137990	Co-proxamol 32.5/325 Tablet (Numark Management Ltd)
325mg		Acetaminophen	Co-proxamol 32.5mg/325mg tablets	99666990	Co-proxamol 32.5/325 Tablet (Berk Pharmaceuticals Ltd)
325mg		Acetaminophen	Co-proxamol 32.5mg/325mg tablets	97317998	Co-proxamol 32.5/325 Tablet (Dista Products Ltd)
325mg		Acetaminophen	Co-proxamol 32.5mg/325mg tablets	99665990	Co-proxamol 32.5/325 Tablet (C P Pharmaceuticals Ltd)
325mg		Acetaminophen	Co-proxamol 32.5mg/325mg tablets	99664990	Co-proxamol 32.5/325 Tablet (Celltech Pharma Europe Ltd)
325mg		Acetaminophen	Co-proxamol 32.5mg/325mg tablets	99244990	Co-proxamol 32.5/325 Tablet (Dista Products Ltd)
32.5mg		Propoxyphene	Co-proxamol 32.5mg/325mg tablets	98137990	Co-proxamol 32.5/325 Tablet (Numark Management Ltd)
32.5mg		Propoxyphene	Co-proxamol 32.5mg/325mg tablets	99666990	Co-proxamol 32.5/325 Tablet (Berk Pharmaceuticals Ltd)
32.5mg		Propoxyphene	Co-proxamol 32.5mg/325mg tablets	97317998	Co-proxamol 32.5/325 Tablet (Dista Products Ltd)
32.5mg		Propoxyphene	Co-proxamol 32.5mg/325mg tablets	99665990	Co-proxamol 32.5/325 Tablet (C P Pharmaceuticals Ltd)
32.5mg		Propoxyphene	Co-proxamol 32.5mg/325mg tablets	99664990	Co-proxamol 32.5/325 Tablet (Celltech Pharma Europe Ltd)
32.5mg		Propoxyphene	Co-proxamol 32.5mg/325mg tablets	99244990	Co-proxamol 32.5/325 Tablet (Dista Products Ltd)
500mg/5ml		hydrotalcite	Co-simalcite 125mg/500mg/5ml oral suspension sugar free	96197998	Hydrotalcite / simeticone 500mgwith125mg Oral suspension
125mg/5ml		Simethicone	Co-simalcite 125mg/500mg/5ml oral suspension sugar free	96197998	Hydrotalcite / simeticone 500mgwith125mg Oral suspension
100mg		Atenolol	Co-tenidone 100mg/25mg tablets	93344992	TOTARETIC 100 TAB
25mg		Chlorthalidone	Co-tenidone 100mg/25mg tablets	93344992	TOTARETIC 100 TAB
50mg		Atenolol	Co-tenidone 50mg/12.5mg tablets	94682992	ATENOLOL/CHLORTHALIDONE 50 MG TAB
50mg		Atenolol	Co-tenidone 50mg/12.5mg tablets	93345992	TOTARETIC 50 TAB
12.5mg		Chlorthalidone	Co-tenidone 50mg/12.5mg tablets	94682992	ATENOLOL/CHLORTHALIDONE 50 MG TAB
12.5mg		Chlorthalidone	Co-tenidone 50mg/12.5mg tablets	93345992	TOTARETIC 50 TAB
25mg		Hydrochlorothiazide	Co-triamterzide 50mg/25mg tablets	93341992	TRIAMTERENE 50MG HYDROCHLOROTHIAZIDE25MG TAB
50mg		Triamterene	Co-triamterzide 50mg/25mg tablets	93341992	TRIAMTERENE 50MG HYDROCHLOROTHIAZIDE25MG TAB
800mg		Sulfamethoxazole	Co-trimoxazole 160mg/800mg tablets	99661988	Co-trimoxazole 160mg+800mg Tablet (C P Pharmaceuticals Ltd)
160mg		Trimethoprim	Co-trimoxazole 160mg/800mg tablets	99661988	Co-trimoxazole 160mg+800mg Tablet (C P Pharmaceuticals Ltd)
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	87694998	Trimethoprim / sulfamethoxazole 40mg + 200mg/5ml Oral suspension
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	99661989	Co-trimoxazole 240mg/5ml Oral suspension (C P Pharmaceuticals Ltd)
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	87690998	Sulfamethoxazole 200mg / trimethoprim 40mg/5ml oral suspension
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	98182990	Co-trimoxazole 240mg/5ml Oral suspension (Approved Prescription Services Ltd)
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	99660989	Co-trimoxazole 40mg+200mg Liquid (Celltech Pharma Europe Ltd)
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	97123990	Co-trimoxazole 240mg/5ml Paediatric mixture (Lagap)
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	99659989	Co-trimoxazole 240mg/5ml Oral suspension (Hillcross Pharmaceuticals Ltd)
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	98519997	Bactrim paediatric sugar free oral solution
200mg/5ml		Sulfamethoxazole	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	98611997	Septrin paediatric Oral suspension sugar free (Wellcome Medical Division)
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	87694998	Trimethoprim / sulfamethoxazole 40mg + 200mg/5ml Oral suspension
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	99661989	Co-trimoxazole 240mg/5ml Oral suspension (C P Pharmaceuticals Ltd)
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	87690998	Sulfamethoxazole 200mg / trimethoprim 40mg/5ml oral suspension
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	98182990	Co-trimoxazole 240mg/5ml Oral suspension (Approved Prescription Services Ltd)
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	99660989	Co-trimoxazole 40mg+200mg Liquid (Celltech Pharma Europe Ltd)
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	97123990	Co-trimoxazole 240mg/5ml Paediatric mixture (Lagap)
