"CONCEPT_CODE"	"concept_name_fr"	"concept_name_nl "	"MAPPED_ID"	"MAPPED_NAME"	"PRECEDENCE"
"gal00532"	"emplâtre médic. cut. Patch"	"cut. medic. pleister Patch"	"19082229"	"Transdermal System"	
"gal00063"	"sol. cut."	"cut. oploss."	"19082228"	"Topical Solution"	
"gal00075"	"sol. cut. (alc.)"	"cut. oploss. (alc.)"	"19082228"	"Topical Solution"	
"gal00147"	"sol. cut. (alc.) Alcoholicus"	"cut. oploss. (alc.) Alcoholicus"	"19082228"	"Topical Solution"	
"gal00146"	"sol. cut. (alc.) Alcoholicus + Azorubine"	"cut. oploss. (alc.) Alcoholicus + Azorubine"	"19082228"	"Topical Solution"	
"gal00344"	"sol. cut. (alc.) Hydroalcoolique"	"cut. oploss. (alc.) Hydroalcoholische"	"19082228"	"Topical Solution"	
"gal00809"	"sol. cut. (alc.) Transdermique"	"cut. oploss. (alc.) Transdermaal"	"19082228"	"Topical Solution"	
"gal00209"	"sol. à diluer cut."	"cut. oploss. (conc.)"	"19082228"	"Topical Solution"	
"gal00556"	"sol. (pdr + solv.) cut."	"cut. oploss. (pdr. + solv.)"	"19082286"	"Topical Powder"	
"gal00223"	"sol. (pdr) cut."	"cut. oploss. (pdr.)"	"19082286"	"Topical Powder"	
"gal00707"	"sol. (compr.) cut."	"cut. oploss. (tabl.)"	"19082228"	"Topical Solution"	
"gal00134"	"sol. (unidose) cut."	"cut. oploss. (unidose)"	"19082228"	"Topical Solution"	
"gal00738"	"sol. (unidose) cut. (alc.)"	"cut. oploss. (unidose) (alc.)"	"19082228"	"Topical Solution"	
"gal00589"	"sol. (unidose) cut. (alc.) Coloré"	"cut. oploss. (unidose) (alc.) Getinte"	"19082228"	"Topical Solution"	
"gal00649"	"sol. cut. Dermique"	"cut. oploss. Dermaal"	"19082228"	"Topical Solution"	
"gal00711"	"sol. cut. Dermique"	"cut. oploss. Dermicum"	"19082228"	"Topical Solution"	
"gal00555"	"sol. cut. Lotion"	"cut. oploss. Lotion"	"19082225"	"Topical Lotion"	
"gal00799"	"sol. cut. Once"	"cut. oploss. Once"	"19082228"	"Topical Solution"	
"gal00581"	"sol. cut. Teinture"	"cut. oploss. Tinctuur"	"19082228"	"Topical Solution"	
"gal00378"	"sol. pour prick-test cut. [flac.]"	"cut. oploss. voor huidpriktest [flac.]"	"19082103"	"Injectable Solution"	
"gal00576"	"pâte cut."	"cut. pasta"	"46234410"	"Topical Suspension"	
"gal00573"	"poudre cut."	"cut. poeder"	"19082286"	"Topical Powder"	
"gal00632"	"mousse cut."	"cut. schuim"	"19095972"	"Topical Foam"	
"gal00506"	"émuls. spray cut."	"cut. spray emuls."	"19095912"	"Topical Spray"	
"gal00329"	"sol. spray cut."	"cut. spray oploss."	"19095912"	"Topical Spray"	
"gal00376"	"sol. spray cut. (alc.) Coloré"	"cut. spray oploss. (alc.) Gekleurd"	"19082228"	"Topical Solution"	
"gal00578"	"poudre spray cut."	"cut. spray pdr."	"19095912"	"Topical Spray"	
"gal00365"	"susp. cut. Wash"	"cut. susp. Wash"	"46234410"	"Topical Suspension"	
"gal00793"	"sol. irrig. cut./nas./opht. (unidose)"	"cut./nas./ocul. spoeloploss. (unidose)"	"19016586"	"Irrigation Solution"	
"gal00553"	"sol. cut./or./oromuq."	"cut./or./oromuc. oploss."	"19082170"	"Oral Solution"	
"gal00257"	"pommade cut./rect."	"cut./rect. zalf"	"19082282"	"Rectal Ointment"	
"gal00314"	"sol. cut./vag."	"cut./vag. oploss."	"19082228"	"Topical Solution"	
"gal00709"	"sol. (compr.) cut./vag. (séc.)"	"cut./vag. oploss. (tabl.) (deelb.)"	"19010962"	"Vaginal Tablet"	
"gal00719"	"gel dent."	"dent. gel"	"19095916"	"Oral Gel"	
"gal00445"	"gel dent./gingiv./oromuq."	"dent./gingiv./oromuc. gel"	"19095916"	"Oral Gel"	
"gal00492"	"compr. gastro-résist. disp. (séc.) Mups"	"disp. maagsapresist. tabl. (deelb.) Mups"	"19082077"	"Extended Release Oral Capsule"	"1"
"gal00492"	"compr. gastro-résist. disp. (séc.) Mups"	"disp. maagsapresist. tabl. (deelb.) Mups"	"19082255"	"Delayed Release Oral Capsule"	"2"
"gal00007"	"compr. gastro-résist. disp. Mups"	"disp. maagsapresist. tabl. Mups"	"19082077"	"Extended Release Oral Capsule"	"1"
"gal00007"	"compr. gastro-résist. disp. Mups"	"disp. maagsapresist. tabl. Mups"	"19082255"	"Delayed Release Oral Capsule"	"2"
"gal00497"	"compr. disp."	"disp. tabl."	"19082076"	"Disintegrating Oral Tablet"	
"gal00041"	"compr. disp. (séc.)"	"disp. tabl. (deelb.)"	"19082076"	"Disintegrating Oral Tablet"	
"gal00527"	"compr. disp. (séc.) Disp."	"disp. tabl. (deelb.) Disp."	"19082076"	"Disintegrating Oral Tablet"	
"gal00674"	"compr. disp. Instant"	"disp. tabl. Instant"	"19082076"	"Disintegrating Oral Tablet"	
"gal00530"	"compr. disp. Solutab"	"disp. tabl. Solutab"	"19082076"	"Disintegrating Oral Tablet"	
"gal00561"	"sol. inhal. (flacon press.) [inhalateur]"	"dosisaerosol oploss. [inhalator]"	"19095898"	"Inhalant Solution"	
"gal00073"	"sol. inhal. (flacon press.) Autohaler [déclenché par la resp.]"	"dosisaerosol oploss. Autohaler [ademgest.]"	"19095898"	"Inhalant Solution"	
"gal00722"	"sol. inhal. (flacon press.) HFA"	"dosisaerosol oploss. HFA"	"19095898"	"Inhalant Solution"	
"gal00721"	"sol. inhal. (flacon press.) HFA [inhalateur]"	"dosisaerosol oploss. HFA [inhalator]"	"19095898"	"Inhalant Solution"	
"gal00137"	"susp. inhal. (flacon press.) [inhalateur]"	"dosisaerosol susp. [inhalator]"	"19095898"	"Inhalant Solution"	
"gal00196"	"susp. inhal. (flacon press.) Autohaler [déclenché par la resp.]"	"dosisaerosol susp. Autohaler [ademgest.]"	"19095898"	"Inhalant Solution"	
"gal00625"	"susp. inhal. (flacon press.) Evohaler"	"dosisaerosol susp. Evohaler"	"19095898"	"Inhalant Solution"	
"gal00255"	"susp. inhal. (flacon press.) K-haler [déclenché par la resp.]"	"dosisaerosol susp. K-haler [ademgest.]"	"19095898"	"Inhalant Solution"	
"gal00723"	"susp. inhal. (flacon press.) Sprayhaler"	"dosisaerosol susp. Sprayhaler"	"19095898"	"Inhalant Solution"	
"gal00064"	"gtts sol."	"druppels oploss."	"19082228"	"Topical Solution"	
"gal00273"	"gtts sol. (pompe doseuse)"	"druppels oploss. (doseerpomp)"	"19082228"	"Topical Solution"	
"gal00771"	"gtts sol. (flac. compte-gouttes)"	"druppels oploss. (druppelfl.)"	"19082228"	"Topical Solution"	
"gal00230"	"gtts susp."	"druppels susp."	"46234410"	"Topical Suspension"	
"gal00538"	"gel endocerv. [ser. préremplie]"	"endocerv. gel [voorgev. spuit]"	"19095973"	"Topical Gel"	
"gal00802"	"sol. gtts/inhal. nébul. (pdr + solv.) endotrach./inhal./nas. [flac. compte-gouttes]"	"endotrach./inhal./nas. druppels/verneveloploss. (pdr. + solv.) [druppelfl.]"	"19082259"	"Inhalant Powder"	
"gal00042"	"éponge médic. épilés."	"epilaes. medic. spons"	"19095972"	"Topical Foam"	
"gal00434"	"substitut de tissu vivant implant."	"eq. levend weefsel implant."	"19124968"	"Drug Implant"	
"gal00008"	"compr. pellic."	"filmomh. tabl."	"19082573"	"Oral Tablet"	"1"
"gal00008"	"compr. pellic."	"filmomh. tabl."	"19082079"	"Extended Release Oral Tablet"	"2"
"gal00008"	"compr. pellic."	"filmomh. tabl."	"19001949"	"Delayed Release Oral Tablet"	"3"
"gal00819"	"compr. pellic. (séc. en 3)"	"filmomh. tabl. (deelb. in 3)"	"19082168"	"Oral Capsule"	
"gal00366"	"compr. pellic. (séc. en 4)"	"filmomh. tabl. (deelb. in 4)"	"19082168"	"Oral Capsule"	
"gal00010"	"compr. pellic. (séc.)"	"filmomh. tabl. (deelb.)"	"19082573"	"Oral Tablet"	"1"
"gal00010"	"compr. pellic. (séc.)"	"filmomh. tabl. (deelb.)"	"19082079"	"Extended Release Oral Tablet"	"2"
"gal00010"	"compr. pellic. (séc.)"	"filmomh. tabl. (deelb.)"	"19001949"	"Delayed Release Oral Tablet"	"3"
"gal00060"	"compr. pellic. (séc.) Forte"	"filmomh. tabl. (deelb.) Forte"	"19082168"	"Oral Capsule"	
"gal00420"	"compr. pellic. (séc.) Minor"	"filmomh. tabl. (deelb.) Minor"	"19082168"	"Oral Capsule"	
"gal00616"	"compr. pellic. (séc.) Mitis"	"filmomh. tabl. (deelb.) Mitis"	"19082168"	"Oral Capsule"	
"gal00838"	"compr. pellic. + gran. efferv. (sachet)"	"filmomh. tabl. + bruisgran. (zakjes)"	"19082168"	"Oral Capsule"	
"gal00733"	"compr. pellic. + compr. efferv."	"filmomh. tabl. + bruistabl."	"19082168"	"Oral Capsule"	
"gal00693"	"compr. pellic. Calcium"	"filmomh. tabl. Calcium"	"19082168"	"Oral Capsule"	
"gal00560"	"compr. pellic. Conti"	"filmomh. tabl. Conti"	"19082077"	"Extended Release Oral Capsule"	
"gal00505"	"compr. pellic. D3"	"filmomh. tabl. D3"	"19082168"	"Oral Capsule"	
"gal00691"	"compr. pellic. Fasttabs"	"filmomh. tabl. Fasttabs"	"19082168"	"Oral Capsule"	
"gal00320"	"compr. pellic. Forte"	"filmomh. tabl. Forte"	"19082168"	"Oral Capsule"	
"gal00508"	"compr. pellic. GE"	"filmomh. tabl. GE"	"19082168"	"Oral Capsule"	
"gal00307"	"compr. pellic. Junior"	"filmomh. tabl. Junior"	"19082168"	"Oral Capsule"	
"gal00720"	"compr. pellic. Low"	"filmomh. tabl. Low"	"19082168"	"Oral Capsule"	
"gal00313"	"compr. pellic. Mitis"	"filmomh. tabl. Mitis"	"19082168"	"Oral Capsule"	
"gal00579"	"compr. pellic. Hebdomadaire"	"filmomh. tabl. Wekelijks"	"19082077"	"Extended Release Oral Capsule"	
"gal00368"	"sol. gastr./or."	"gastr./or. oploss."	"19082170"	"Oral Solution"	
"gal00450"	"gel gastro-ent."	"gastro-ent. gel"	"19095916"	"Oral Gel"	
"gal00635"	"susp. (gran.) gastro-ent./or."	"gastro-ent./or. susp. (gran.)"	"19082651"	"Oral Granules"	
"gal00412"	"compresse impr."	"geïmpr. verbandgaas"	"19082228"	"Topical Solution"	
"gal00604"	"compresse impr. Intertulle"	"geïmpr. verbandgaas Intertulle"	"19082228"	"Topical Solution"	
"gal00748"	"compresse impr. Tulle"	"geïmpr. verbandgaas Tule"	"19082228"	"Topical Solution"	
"gal00014"	"gel"	"gel"	"19095973"	"Topical Gel"	"1"
"gal00014"	"gel"	"gel"	"19095916"	"Oral Gel"	"2"
"gal00141"	"gel (alc.) Viscorub"	"gel (alc.) Viscorub"	"19095973"	"Topical Gel"	
"gal00559"	"gel (pompe doseuse)"	"gel (doseerpomp)"	"19095973"	"Topical Gel"	
"gal00643"	"gel (pompe doseuse) [Applicateur]"	"gel (doseerpomp) [Applicator]"	"19095973"	"Topical Gel"	
"gal00242"	"gel (pompe doseuse) Forte"	"gel (doseerpomp) Forte"	"19095973"	"Topical Gel"	
"gal00713"	"gel (pdr + gel)"	"gel (pdr. + gel)"	"19095973"	"Topical Gel"	"1"
"gal00330"	"gel (pdr + solv. + gel)"	"gel (pdr. + solv. + gel)"	"19095973"	"Topical Gel"	"1"
"gal00330"	"gel (pdr + solv. + gel)"	"gel (pdr. + solv. + gel)"	"19095916"	"Oral Gel"	"2"
"gal00797"	"gel Dermgel"	"gel Dermgel"	"19095973"	"Topical Gel"	
"gal00715"	"gel Forte"	"gel Forte"	"19095973"	"Topical Gel"	"1"
"gal00715"	"gel Forte"	"gel Forte"	"19095916"	"Oral Gel"	"2"
"gal00743"	"gel Hydro"	"gel Hydro"	"19095973"	"Topical Gel"	
"gal00269"	"tampon impr. gingiv./oromuq. Pellets"	"gingiv./oromuc. geïmpr. wattenschijfjes Pellets"	"19082652"	"Oral Pellet"	
"gal00440"	"gel gingiv./oromuq."	"gingiv./oromuc. gel"	"19095916"	"Oral Gel"	"1"
"gal00440"	"gel gingiv./oromuq."	"gingiv./oromuc. gel"	"19095973"	"Topical Gel"	"2"
"gal00262"	"gel gingiv./oromuq. Enfants"	"gingiv./oromuc. gel Kinderen"	"19095916"	"Oral Gel"	
"gal00109"	"gel gingiv./oromuq. Adulte"	"gingiv./oromuc. gel Volwassenen"	"19095916"	"Oral Gel"	
"gal00098"	"sol. gingiv./oromuq."	"gingiv./oromuc. oploss."	"19082170"	"Oral Solution"	
"gal00264"	"sol. spray gingiv./oromuq."	"gingiv./oromuc. spray oploss."	"19095900"	"Mucosal Spray"	
"gal00271"	"sol. spray gingiv./oromuq. (alc.)"	"gingiv./oromuc. spray oploss. (alc.)"	"19095900"	"Mucosal Spray"	
"gal00163"	"glob."	"glob."	"19082573"	"Oral Tablet"	
"gal00705"	"gomme"	"gompastille"	"19102296"	"Chewing Gum"	
"gal00136"	"gargarisme/bain de bouche"	"gorgeldrank/mondspoeling"	"19126590"	"Mouthwash"	
"gal00383"	"gargarisme/bain de bouche Buccale"	"gorgeldrank/mondspoeling Mondwater"	"19126590"	"Mouthwash"	
"gal00152"	"gran."	"gran."	"45775489"	"Granules for Oral Solution"	"1"
"gal00152"	"gran."	"gran."	"45775490"	"Granules for Oral Suspension"	"2"
"gal00152"	"gran."	"gran."	"19082651"	"Oral Granules"	"3"
"gal00297"	"gran. (sachet)"	"gran. (zakjes)"	"19082651"	"Oral Granules"	
"gal00507"	"gran. (sachet) Forte Instant"	"gran. (zakjes) Forte Instant"	"19082651"	"Oral Granules"	
"gal00801"	"gran. (sachet) Instant Fraise/Vanille"	"gran. (zakjes) Instant Aardbei/Vanille"	"19082651"	"Oral Granules"	
"gal00082"	"gran. (sachet) Instant Forte"	"gran. (zakjes) Instant Forte"	"19082651"	"Oral Granules"	
"gal00080"	"gran. (sachet) Instant Junior"	"gran. (zakjes) Instant Junior"	"19082651"	"Oral Granules"	
"gal00081"	"gran. (sachet) Instant Vanille/Fraise"	"gran. (zakjes) Instant Vanille/Fraise"	"19082651"	"Oral Granules"	
"gal00337"	"gran. (sachet) Junior Instant"	"gran. (zakjes) Junior Instant"	"19082651"	"Oral Granules"	
"gal00427"	"gran. lib. prol. (sachet)"	"gran. verl. afgifte (zakjes)"	"19082651"	"Oral Granules"	
"gal00009"	"gél."	"harde caps."	"19082168"	"Oral Capsule"	"1"
"gal00009"	"gél."	"harde caps."	"19082255"	"Delayed Release Oral Capsule"	"2"
"gal00009"	"gél."	"harde caps."	"19082077"	"Extended Release Oral Capsule"	"3"
"gal00245"	"gél. Forte"	"harde caps. Forte"	"19082168"	"Oral Capsule"	"1"
"gal00245"	"gél. Forte"	"harde caps. Forte"	"19082255"	"Delayed Release Oral Capsule"	"2"
"gal00245"	"gél. Forte"	"harde caps. Forte"	"19082077"	"Extended Release Oral Capsule"	"3"
"gal00477"	"gél. lib. modif."	"harde caps. geregul. afgifte"	"19082255"	"Delayed Release Oral Capsule"	
"gal00746"	"gél. lib. modif. HCl Retard"	"harde caps. geregul. afgifte HCl Retard"	"19082255"	"Delayed Release Oral Capsule"	
"gal00462"	"gél. lib. modif. Modified Release"	"harde caps. geregul. afgifte Modified Release"	"19082255"	"Delayed Release Oral Capsule"	
"gal00642"	"gél. lib. modif. Retard"	"harde caps. geregul. afgifte Retard"	"19082255"	"Delayed Release Oral Capsule"	
"gal00454"	"gél. lib. modif. Uno"	"harde caps. geregul. afgifte Uno"	"19082255"	"Delayed Release Oral Capsule"	
"gal00685"	"gél. lib. modif. XR"	"harde caps. geregul. afgifte XR"	"19082255"	"Delayed Release Oral Capsule"	
"gal00770"	"gél. Immediate Release"	"harde caps. Immediate Release"	"19082168"	"Oral Capsule"	
"gal00346"	"gél. Enfant"	"harde caps. Kind"	"19082168"	"Oral Capsule"	"1"
"gal00346"	"gél. Enfant"	"harde caps. Kind"	"19082255"	"Delayed Release Oral Capsule"	"2"
"gal00346"	"gél. Enfant"	"harde caps. Kind"	"19082077"	"Extended Release Oral Capsule"	"3"
"gal00593"	"gél. Lidose"	"harde caps. Lidose"	"19082168"	"Oral Capsule"	
"gal00298"	"gél. lib. prol."	"harde caps. verl. afgifte"	"19082077"	"Extended Release Oral Capsule"	
"gal00234"	"gél. lib. prol. Exel"	"harde caps. verl. afgifte Exel"	"19082077"	"Extended Release Oral Capsule"	
"gal00523"	"gél. lib. prol. HBS"	"harde caps. verl. afgifte HBS"	"19082077"	"Extended Release Oral Capsule"	
"gal00464"	"gél. lib. prol. L.A."	"harde caps. verl. afgifte L.A."	"19082077"	"Extended Release Oral Capsule"	
"gal00474"	"gél. lib. prol. P"	"harde caps. verl. afgifte P"	"19082077"	"Extended Release Oral Capsule"	
"gal00429"	"gél. lib. prol. Retard"	"harde caps. verl. afgifte Retard"	"19082077"	"Extended Release Oral Capsule"	
"gal00465"	"gél. lib. prol. Slow Release"	"harde caps. verl. afgifte Slow Release"	"19082077"	"Extended Release Oral Capsule"	
"gal00348"	"gél. Adulte"	"harde caps. Volw."	"19082168"	"Oral Capsule"	"1"
"gal00348"	"gél. Adulte"	"harde caps. Volw."	"19082255"	"Delayed Release Oral Capsule"	"2"
"gal00348"	"gél. Adulte"	"harde caps. Volw."	"19082077"	"Extended Release Oral Capsule"	"3"
"gal00057"	"gél. gastro-résist."	"harde maagsapresist. caps."	"19082255"	"Delayed Release Oral Capsule"	"1"
"gal00057"	"gél. gastro-résist."	"harde maagsapresist. caps."	"19082077"	"Extended Release Oral Capsule"	"2"
"gal00162"	"gél. gastro-résist. EC"	"harde maagsapresist. caps. EC"	"19082255"	"Delayed Release Oral Capsule"	"1"
"gal00162"	"gél. gastro-résist. EC"	"harde maagsapresist. caps. EC"	"19082077"	"Extended Release Oral Capsule"	"2"
"gal00637"	"implant i.lés."	"i.laes. implantaat"	"19124968"	"Drug Implant"	
"gal00638"	"implant en chaîne i.lés."	"i.laes. implantatieketen"	"19124968"	"Drug Implant"	
"gal00233"	"matrice pour implant. (pdr + solv. + matrice) i.lés."	"i.laes. implantatiematrix (pdr. + solv. + matrix)"	"19124968"	"Drug Implant"	
"gal00189"	"système de diffusion i.utér."	"i.uter. afleveringssysteem"	"19082103"	"Injectable Solution"	"1"
"gal00189"	"système de diffusion i.utér."	"i.uter. afleveringssysteem"	"19082104"	"Injectable Suspension"	"2"
"gal00126"	"dispositif i.utér."	"i.uter. systeem"	"1718367"	"Intrauterine System"	
"gal00240"	"sol. perf./buv. à diluer (pdr) i.v./or. [flac.]"	"i.v./or. inf./drinkb. oploss. conc. (pdr.) [flac.]"	"19082170"	"Oral Solution"	"1"
"gal00240"	"sol. perf./buv. à diluer (pdr) i.v./or. [flac.]"	"i.v./or. inf./drinkb. oploss. conc. (pdr.) [flac.]"	"19082103"	"Injectable Solution"	"2"
"gal00619"	"sol. (pdr + solv.) i.vésic. [2x flac.]"	"i.vesic. oploss. (pdr. + solv.) [2x flac.]"	"19082286"	"Topical Powder"	
"gal00312"	"susp. (pdr + solv.) i.vésic. [flac. + sac]"	"i.vesic. susp. (pdr. + solv.) [flac. + zak]"	"19082104"	"Injectable Suspension"	
"gal00428"	"susp. (pdr) i.vésic. [flac.]"	"i.vesic. susp. (pdr.) [flac.]"	"19082104"	"Injectable Suspension"	
"gal00706"	"sol. (compr.) i.vésic./cut./vag."	"i.vesic./cut./vag. oploss. (tabl.)"	"19010962"	"Vaginal Tablet"	
"gal00806"	"implant i.vitr. [pistolet pour implant]"	"i.vitr. implantaat [implantaatinjector]"	"19124968"	"Drug Implant"	
"gal00254"	"émuls. perf. à diluer i.v. Enfant [amp.]"	"inf. emuls. (conc.) i.v. Kind [amp.]"	"19082104"	"Injectable Suspension"	
"gal00256"	"émuls. perf. à diluer i.v. Adulte [amp.]"	"inf. emuls. (conc.) i.v. Volw. [amp.]"	"19082104"	"Injectable Suspension"	
"gal00469"	"émuls. perf. i.v. [flac.]"	"inf. emuls. i.v. [flac.]"	"19082104"	"Injectable Suspension"	
"gal00782"	"émuls. perf. i.v. [ser. préremplie]"	"inf. emuls. i.v. [voorgev. spuit]"	"19082104"	"Injectable Suspension"	
"gal00494"	"sol. perf. (sol. à diluer + solv.) i.v. [2x flac.]"	"inf. oploss. (conc. + solv.) i.v. [2x flac.]"	"19082103"	"Injectable Solution"	
"gal00040"	"sol. perf. à diluer i.m./i.v. [amp.]"	"inf. oploss. (conc.) i.m./i.v. [amp.]"	"19082103"	"Injectable Solution"	
"gal00083"	"sol. perf. à diluer i.v. (alc.) [amp.]"	"inf. oploss. (conc.) i.v. (alc.) [amp.]"	"19082103"	"Injectable Solution"	
