"CONCEPT_CODE"	"CONCEPT_NAME"	"MAPPED_ID"	"MAPPED_NAME"	"PRECEDENCE"						
"stof00041"	"aldesleukine"	1309770	"Aldesleukin"	1						
"stof02349"	"alectinib hydrochloride"	35604657	"alectinib"	1						
"stof01951"	"alemtuzumab"	1312706	"alemtuzumab"	1						
"stof00043"	"alendronaat natrium"	1557272	"Alendronate"	1						
"stof00045"	"alfacalcidol"	19014202	"Alfacalcidol"	1						
"stof00047"	"alfentanil hydrochloride"	19059528	"Alfentanil"	1						
"stof00049"	"alfuzosine hydrochloride"	930021	"alfuzosin"	1						
"stof00052"	"alginaat natrium"	43013872	"alginate"	1						
"stof01873"	"alglucosidase alfa"	19088328	"alglucosidase alfa"	1						
"stof02139"	"alirocumab"	46275447	"alirocumab"	1						
"stof00057"	"alizapride hydrochloride"	19030087	"alizapride"	1						
"stof00062"	"allopurinol"	1167322	"Allopurinol"	1						
"stof00064"	"almotriptan waterstofmalaat"	1103552	"almotriptan"	1						
"stof01929"	"alogliptine benzoaat"	43013884	"alogliptin"	1						
"stof00458"	"d-α-tocoferol"	19056802	"alpha Tocopherol"	1						
"stof01869"	"α-tocoferol"	19056802	"alpha Tocopherol"	1						
"stof00065"	"alprazolam"	781039	"Alprazolam"	1						
"stof01066"	"loprazolam mesilaat"	781039	"Alprazolam"	1						
"stof00066"	"alprostadil"	1381504	"Alprostadil"	1						
"stof00067"	"alteplase"	1347450	"alteplase"	1						
"stof02014"	"Althaea radix (vloeibaar extract)"	42898411	"Althaea Officinalis Root Extract"	1						
"stof00069"	"altizide"	19018435	"althiazide"	1						
"stof00050"	"algeldraat (aluminiumhydroxide)"	985247	"Aluminum Hydroxide"	1						
"stof00071"	"aluminiumhydroxide-magnesiumcarbonaat (gedroogde gel)"	985247	"Aluminum Hydroxide"							
"stof00072"	"aluminiumoxide"	19123348	"Aluminum Oxide"	1						
"stof00074"	"alverine citraat"	19030751	"alverine"	1						
"stof00075"	"ambrisentan"	1337068	"ambrisentan"	1						
"stof00077"	"ambroxol hydrochloride"	19088167	"Ambroxol"	1						
"stof00084"	"amikacine sulfaat"	1790868	"Amikacin"	1						
"stof00086"	"amiloride hydrochloride"	991382	"Amiloride"	1						
"stof00086"	"amiloride hydrochloride"	991382	"Amiloride"	1						
"stof02068"	"amiloride hydrochloride"	991382	"Amiloride"	1						
"stof02068"	"amiloride hydrochloride"	991382	"Amiloride"	1						
"stof02047"	"5-aminolevulinezuur hydrochloride"	924120	"Aminolevulinate"	1						
"stof00089"	"amiodaron hydrochloride"	1309944	"Amiodarone"	1						
"stof00090"	"amisulpride"	19057607	"Amisulpride"	1						
"stof00092"	"amitriptyline hydrochloride"	710062	"Amitriptyline"	1						
"stof00094"	"amlodipine besilaat"	1332418	"Amlodipine"	1						
"stof00095"	"amlodipine maleaat"	1332418	"Amlodipine"	1						
"stof00100"	"amorolfine hydrochloride"	19032619	"Amorolfine"	1						
"stof00101"	"amoxicilline"	1713332	"Amoxicillin"	1						
"stof00102"	"amoxicilline natrium"	1713332	"Amoxicillin"	1						
"stof00103"	"amoxicilline natrium en base"	1713332	"Amoxicillin"	1						
"stof00080"	"amfotericine B (lipidencomplex)"	964299	"amphotericin B lipid complex"	1						
"stof00079"	"amfotericine B (in liposomen)"	19056402	"amphotericin B liposomal"	1						
"stof02145"	"amsacrine"	19017810	"Amsacrine"	1						
"stof00106"	"amylase"	919204	"Amylases"	1						
"stof00107"	"amylmetacresol"	19055907	"amylmetacresol"	1						
"stof00110"	"anagrelide hydrochloride"	1381253	"anagrelide"	1						
"stof01984"	"anakinra"	1114375	"anakinra"	1						
"stof00111"	"anastrozol"	1348265	"anastrozole"	1						
"stof00112"	"anetholtrithion"	19041226	"Anethole Trithione"	1						
"stof00114"	"anidulafungine"	19026450	"anidulafungin"	1						
"stof00681"	"FEIBA (Factor Eight Inhibitor Bypassing Activity, met de geactiveerde factoren van het protrombinecomplex)"	19080406	"ANTI-INHIBITOR COAGULANT COMPLEX"	1						
"stof00916"	"immunoglobulinen, anti-T-lymfocyten"	19136041	"Antilymphocyte Immunoglobulin"	1						
"stof00115"	"antitrombine"	1436169	"Antithrombin III"	1						
"stof00116"	"apixaban"	43013024	"apixaban"	1						
"stof01992"	"apomorfine hydrochloride"	837027	"Apomorphine"	1						
"stof00118"	"apraclonidine hydrochloride"	919986	"apraclonidine"	1						
"stof02043"	"apremilast"	44816294	"apremilast"	1						
"stof00119"	"aprepitant"	936748	"aprepitant"	1						
"stof00120"	"aprotinine"	19000729	"Aprotinin"	1						
"stof02137"	"Arctostaphylos uva-ursi (droog extract met 16 à 24% arbutine)"	42900397	"Arctostaphylos uva-ursi leaf extract"	1						
"stof02137"	"Arctostaphylos uva-ursi (droog extract met 16 à 24% arbutine)"	46275331	"Arctostaphylos uva-ursi whole extract"	2						
"stof00122"	"aripiprazol"	757688	"aripiprazole"	1						
"stof00123"	"Arnica montana (tinctuur)"	19071833	"Arnica montana Extract"	4						
"stof00123"	"Arnica montana (tinctuur)"	42898356	"Arnica Montana Flower Extract"	3						
"stof00123"	"Arnica montana (tinctuur)"	44785117	"ARNICA MONTANA FLOWER WATER"	1						
"stof00123"	"Arnica montana (tinctuur)"	42898360	"Arnica montana root extract"	2						
"stof00124"	"arseentrioxide"	1333379	"arsenic trioxide"	1						
"stof00125"	"artemether"	19033634	"artemether"	1						
"stof00126"	"artenimol"	36878956	"Artenimol"	1						
"stof02015"	"articaïne hydrochloride"	19080512	"Articaine"	1						
"stof00127"	"ascorbinezuur"	19011773	"Ascorbic Acid"	1						
"stof00130"	"asenapine maleaat"	40164052	"Asenapine"	1						
"stof00019"	"acetylsalicylzuur"	1112807	"Aspirin"	1						
"stof00020"	"acetylsalicylzuur lysine"	1112807	"Aspirin"	1						
"stof00133"	"atazanavir sulfaat"	1727223	"Atazanavir"	1						
"stof00134"	"atenolol"	1314002	"Atenolol"	1						
"stof02380"	"atezolizumab"	42629079	"atezolizumab"	1						
"stof00136"	"atomoxetine hydrochloride"	742185	"atomoxetine"	1						
"stof02071"	"atorvastatine calcium"	1545958	"atorvastatin"	1						
"stof02071"	"atorvastatine calcium"	1545958	"atorvastatin"	1						
"stof00138"	"atorvastatine calcium"	1545958	"atorvastatin"	1						
"stof00138"	"atorvastatine calcium"	1545958	"atorvastatin"	1						
"stof00140"	"atosiban acetaat"	19122136	"Atosiban"	1						
"stof00141"	"atovaquon"	1781733	"Atovaquone"	1						
"stof00143"	"atracurium besilaat"	19014341	"Atracurium"	1						
"stof00146"	"atropine sulfaat"	914335	"Atropine"	1						
"stof02400"	"autologe humane corneale epitheelcellen"	40684592	"Autologous human corneal epithelial cells"	1						
"stof01876"	"avanafil"	42800040	"avanafil"	1						
"stof02408"	"avelumab"	1593273	"avelumab"	1						
"stof00148"	"axitinib"	42709322	"axitinib"	1						
"stof00149"	"azacitidine"	1314865	"Azacitidine"	1						
"stof00150"	"azathioprine"	19014878	"Azathioprine"	1						
"stof00154"	"azelastine hydrochloride"	934075	"azelastine"	1						
"stof00152"	"azelaïnezuur"	986790	"Azelate"	1						
"stof02130"	"azithromycine"	1734104	"Azithromycin"	1						
"stof02130"	"azithromycine"	1734104	"Azithromycin"	1						
"stof00156"	"azithromycine"	1734104	"Azithromycin"	1						
"stof00156"	"azithromycine"	1734104	"Azithromycin"	1						
"stof00157"	"aztreonam"	1715117	"Aztreonam"	1						
"stof00158"	"aztreonam lysine"	1715117	"Aztreonam"	1						
"stof00161"	"bacitracine"	915175	"Bacitracin"	1						
"stof00162"	"baclofen"	715233	"Baclofen"	1						
"stof02364"	"baricitinib"	1510627	"baricitinib"	1						
"stof00165"	"barium sulfaat"	42898624	"Barium"	1						
"stof00168"	"basiliximab"	19038440	"basiliximab"	1						
"stof00170"	"bazedoxifeen acetaat"	44506794	"bazedoxifene"	1						
"stof00159"	"Bacillus Calmette-Guérin (stam RIVM)"	19015423	"BCG Vaccine"	1						
"stof00160"	"Bacillus Calmette-Guérin (stam Tice)"	19086176	"BCG, Live, Tice Strain"	1						
"stof00172"	"beclometason dipropionaat"	1115572	"Beclomethasone"	1						
"stof01878"	"bedaquiline fumaraat"	43012518	"bedaquiline"	1						
"stof00173"	"belimumab"	40236987	"belimumab"	1						
"stof00177"	"bendamustine hydrochloride"	19015523	"bendamustine"	1						
"stof01335"	"oxybuprocaïne hydrochloride"	935529	"Benoxinate"	1						
"stof02405"	"benralizumab"	792993	"benralizumab"	1						
"stof00180"	"benserazide hydrochloride"	19016463	"Benserazide"	1						
"stof00182"	"benzalkonium chloride"	916460	"Benzalkonium"	1						
"stof01655"	"sulfoguaiacol"	40181642	"benzenesulfonic acid"	1						
"stof00184"	"benzethonium chloride"	916802	"Benzethonium"	1						
"stof00186"	"benzoaat natrium"	711452	"Benzoate"	1						
"stof00188"	"benzoylperoxide"	918172	"Benzoyl Peroxide"	1						
"stof00193"	"betahistine dihydrochloride"	19020124	"BETAHISTINE"	1						
"stof00195"	"betaïne"	1520218	"Betaine"	1						
"stof00196"	"betamethason"	920458	"Betamethasone"	1						
"stof00197"	"betamethason acetaat"	920458	"Betamethasone"	1						
"stof00198"	"betamethason dipropionaat"	920458	"Betamethasone"	1						
"stof00199"	"betamethason natriumfosfaat"	920458	"Betamethasone"	1						
"stof00200"	"betamethason valeraat"	920458	"Betamethasone"	1						
"stof00202"	"betaxolol hydrochloride"	1322081	"Betaxolol"	1						
"stof00204"	"bethanechol chloride"	937439	"Bethanechol"	1						
"stof00205"	"bevacizumab"	1397141	"bevacizumab"	1						
"stof00206"	"bexaroteen"	1389888	"bexarotene"	1						
"stof00207"	"bezafibraat"	19022956	"Bezafibrate"	1						
"stof00208"	"bicalutamide"	1344381	"bicalutamide"	1						
"stof00209"	"bifonazol"	19037560	"bifonazole"	1						
"stof00212"	"bilastine"	44012547	"Bilastine"	1						
"stof00213"	"bimatoprost"	904525	"bimatoprost"	1						
"stof00214"	"biotine"	19024770	"Biotin"	1						
"stof00216"	"biperideen hydrochloride"	724908	"Biperiden"	1						
"stof00217"	"bisacodyl"	924939	"Bisacodyl"	1						
"stof01956"	"bismut kaliumsubcitraat"	958134	"bismuth subcitrate"	1						
"stof00221"	"bisoprolol fumaraat"	1338005	"Bisoprolol"	1						
"stof00223"	"bivalirudine"	19084670	"bivalirudin"	1						
"stof01883"	"Cimicifuga racemosa (droog extract)"	1391648	"Black Cohosh Extract"	1						
"stof01883"	"Cimicifuga racemosa (droog extract)"	1398801	"Black cohosh root extract"	2						
"stof00225"	"bleomycine sulfaat"	1329241	"Bleomycin"	1						
"stof02386"	"blinatumomab"	45892531	"blinatumomab"	1						
"stof00230"	"Bordetella pertussis (antigenen)"	46221326	"Bordetella pertussis"	2						
"stof00230"	"Bordetella pertussis (antigenen)"	43514466	"Bordetella Pertussis Filamentous Haemagglutinin Antigen"	3						
"stof00230"	"Bordetella pertussis (antigenen)"	43514467	"Bordetella Pertussis Fimbriae Serotype 2 And 3 Antigen"	4						
"stof00228"	"boorzuur"	929698	"boric acid"	1						
"stof00232"	"bortezomib mannitolboronaat"	1336825	"bortezomib"	1						
"stof00233"	"bosentan"	1321636	"bosentan"	1						
"stof01879"	"bosutinib"	42900401	"bosutinib"	1						
"stof00234"	"botulinetoxine type A"	729855	"Botulinum Toxin Type A"	1						
"stof00235"	"botulinetoxine type A (toxine-hemagglutininecomplex)"	729855	"Botulinum Toxin Type A"	1						
"stof01880"	"brentuximab vedotine"	40241969	"brentuximab vedotin"	1						
"stof00237"	"brimonidine tartraat"	915542	"brimonidine"	1						
"stof00238"	"brinzolamide"	938044	"brinzolamide"	1						
"stof00239"	"brivudine"	19122130	"brivudine"	1						
"stof02404"	"brodalumab"	1592513	"brodalumab"	1						
"stof00240"	"bromazepam"	19030353	"Bromazepam"	1						
"stof01952"	"proteolytische enzymen (concentraat) (verrijkt in bromelaïne)"	19030387	"Bromelains"	1						
"stof00245"	"broomhexine hydrochloride"	19030493	"Bromhexine"	1						
"stof00242"	"bromocriptine mesilaat"	730548	"Bromocriptine"	1						
"stof00243"	"bromperidol"	19039227	"bromperidol"	1						
"stof00247"	"brotizolam"	19039262	"brotizolam"	1						
"stof00248"	"budesonide"	939259	"Budesonide"	1						
"stof00249"	"bumetanide"	932745	"Bumetanide"	1						
"stof00251"	"bupivacaïne hydrochloride"	732893	"Bupivacaine"	1						
"stof00252"	"buprenorfine"	1133201	"Buprenorphine"	1						
"stof00253"	"buprenorfine hydrochloride"	1133201	"Buprenorphine"	1						
"stof00255"	"bupropion hydrochloride"	750982	"Bupropion"	1						
"stof00257"	"busereline acetaat"	19033280	"Buserelin"	1						
"stof00258"	"busulfan"	1333357	"Busulfan"	1						
"stof00259"	"butamiraat citraat"	19039762	"butamirate"	1						
"stof00261"	"butoconazol nitraat"	939784	"butoconazole"	1						
"stof00262"	"butylhyoscine bromide"	40234201	"butylscopolamine"	1						
"stof00263"	"C1-esteraseremmer"	45892906	"C1 esterase inhibitor"	1						
"stof00264"	"cabazitaxel"	40222431	"cabazitaxel"	1						
"stof00265"	"cabergoline"	1558471	"cabergoline"	1						
"stof02372"	"cabozantinib malaat"	43012292	"cabozantinib"	1						
"stof00432"	"coffeïne"	1134439	"Caffeine"	1						
"stof00267"	"calcifediol"	19035569	"Calcifediol"	1						
"stof02074"	"calcipotriol"	908921	"calcipotriene"	1						
"stof02074"	"calcipotriol"	908921	"calcipotriene"	1						
"stof00268"	"calcipotriol"	908921	"calcipotriene"	1						
"stof00268"	"calcipotriol"	908921	"calcipotriene"	1						
"stof00271"	"calcitriol"	19035631	"Calcitriol"	1						
"stof00276"	"calcium acetaat"	951469	"calcium acetate"	1						
"stof00272"	"calcium carbonaat"	19035704	"Calcium Carbonate"	1						
"stof01998"	"carbonaat calcium"	19035704	"Calcium Carbonate"	1						
"stof02075"	"calcium chloride"	19036781	"Calcium Chloride"	1						
"stof00275"	"calcium gluconolactaat"	36256123	"calcium gluconolactaat"	1						
"stof01041"	"levofolinaat calcium"	36256127	"Calcium levofolinate"	1						
"stof00274"	"calcium fosfaat"	19037401	"calcium phosphate"	1						
"stof01881"	"Camellia sinensis (droog extract)"	42898781	"Camellia sinensis flower extract"	5						
"stof01881"	"Camellia sinensis (droog extract)"	42898782	"Camellia sinensis root extract"	3						
"stof01881"	"Camellia sinensis (droog extract)"	35606317	"camellia sinensis seed extract"	2						
"stof01881"	"Camellia sinensis (droog extract)"	44507493	"Camellia sinensis var. assamica whole extract"	4						
"stof01881"	"Camellia sinensis (droog extract)"	42904180	"Camellia sinensis whole extract"	1						
"stof00980"	"kamfer"	938205	"Camphor"	1						
"stof01947"	"canagliflozine"	43526465	"canagliflozin"	1						
"stof00278"	"canakinumab"	40161669	"canakinumab"	1						
"stof00280"	"candesartan cilexetil"	1351557	"candesartan"	1						
"stof02052"	"cannabidiol"	1510417	"Cannabidiol"	1						
"stof00282"	"capecitabine"	1337620	"capecitabine"	1						
"stof00283"	"capsaïcine"	939881	"Capsaicin"	1						
"stof00285"	"Capsicum (oliehars)"	19055492	"CAPSICUM OLEORESIN"	1						
"stof00286"	"captopril"	1340128	"Captopril"	1						
"stof00287"	"carbachol"	940183	"Carbachol"	1						
"stof00288"	"carbamazepine"	740275	"Carbamazepine"	1						
"stof00289"	"carbetocine"	36878844	"Carbetocin"	1						
"stof00290"	"carbidopa"	740560	"Carbidopa"	1						
"stof00291"	"carbocisteïne"	19041843	"Carbocysteine"	1						
"stof00292"	"carbomeer"	19055217	"Carbomer"	1						
"stof00293"	"carboplatine"	1344905	"Carboplatin"	1						
"stof00295"	"carboprost trometamol"	19049150	"Carboprost"	1						
"stof02159"	"carfilzomib"	42873638	"carfilzomib"	1						
"stof00296"	"carglumaatzuur"	19102150	"Carglumic acid"	1						
"stof00298"	"carteolol hydrochloride"	950370	"Carteolol"	1						
"stof00299"	"carvedilol"	1346823	"carvedilol"	1						
"stof00301"	"caspofungine acetaat"	1718054	"Caspofungin"	1						
"stof00304"	"cefadroxil"	1769535	"Cefadroxil"	1						
"stof00307"	"cefazoline natrium"	1771162	"Cefazolin"	1						
"stof00309"	"cefepim dihydrochloride"	1748975	"cefepime"	1						
"stof00311"	"cefotaxim natrium"	1774470	"Cefotaxime"	1						
"stof00312"	"ceftaroline fosamil"	46274210	"ceftaroline fosamil"	1						
"stof00313"	"ceftazidim"	1776684	"Ceftazidime"	1						
"stof00313"	"ceftazidim"	1776684	"Ceftazidime"	1						
"stof02078"	"ceftazidim"	1776684	"Ceftazidime"	1						
"stof02078"	"ceftazidim"	1776684	"Ceftazidime"	1						
"stof00315"	"ceftriaxon dinatrium"	1777806	"Ceftriaxone"	1						
"stof00317"	"cefuroxim axetil"	1778162	"Cefuroxime"	1						
"stof00318"	"cefuroxim natrium"	1778162	"Cefuroxime"	1						
"stof00319"	"celecoxib"	1118084	"celecoxib"	1						
"stof00321"	"celiprolol hydrochloride"	19049145	"Celiprolol"	1						
"stof00305"	"cefalexine"	1786621	"Cephalexin"	1						
"stof02166"	"ceritinib"	44818466	"ceritinib"	1						
"stof00322"	"cerium nitraat"	43012573	"Cerium"	1						
"stof00323"	"certolizumab pegol"	912263	"certolizumab pegol"	1						
"stof00325"	"cetalkonium chloride"	19059482	"cetalkonium chloride"	1						
"stof00327"	"cetirizine dihydrochloride"	1149196	"Cetirizine"	1						
"stof00328"	"cetrimide"	19007748	"Cetrimide"	1						
"stof00329"	"cetrimonium bromide"	19049284	"cetrimonium"	1						
"stof00331"	"cetrorelix acetaat"	1503983	"cetrorelix"	1						
"stof00332"	"cetuximab"	1315411	"cetuximab"	1						
"stof00334"	"Chelidonium majus (tinctuur)"	19071835	"Chelidonium majus extract"	1						
"stof00334"	"Chelidonium majus (tinctuur)"	43560075	"Chelidonium majus flowering top extract"	3						
"stof00334"	"Chelidonium majus (tinctuur)"	43013541	"Chelidonium majus root extract"	2						
"stof00335"	"chloorambucil"	1390051	"Chlorambucil"	1						
"stof01765"	"tosylchlooramide natrium"	19036053	"chloramine-T"	1						
"stof00336"	"chlooramfenicol"	990069	"Chloramphenicol"	1						
"stof00341"	"chloorhexidine diacetaat"	1790812	"Chlorhexidine"	1						
"stof00342"	"chloorhexidine digluconaat"	1790812	"Chlorhexidine"	1						
"stof00343"	"chloorhexidine hydrochloride"	1790812	"Chlorhexidine"	1						
"stof00344"	"chloormadinon acetaat"	19026733	"Chlormadinone"	1						
"stof00346"	"chloorprocaïne hydrochloride"	19049410	"chloroprocaine"	1						
"stof00350"	"chloorxylenol"	949459	"chloroxylenol"	1						
"stof00339"	"chloorfenamine maleaat"	1192710	"Chlorpheniramine"	1						
"stof00349"	"chloortetracycline hydrochloride"	19095043	"Chlortetracycline"	1						
"stof00347"	"chloortalidon"	1395058	"Chlorthalidone"	1						
"stof00435"	"colecalciferol"	19095164	"Cholecalciferol"	1						
"stof00438"	"colestyramine"	19095309	"Cholestyramine Resin"	1						
"stof00358"	"choriongonadotrofine (HCG)"	1563600	"Chorionic Gonadotropin"	1						
"stof00357"	"choriongonadotropine alfa"	1563600	"Chorionic Gonadotropin"	1						
"stof00362"	"ciclopirox"	950098	"ciclopirox"	1						
"stof00363"	"ciclopirox olamine"	950098	"ciclopirox"	1						
"stof00368"	"cilazapril"	19050216	"Cilazapril"	1						
"stof00371"	"cinacalcet hydrochloride"	1548111	"cinacalcet"	1						
"stof00374"	"cinnarizine"	19097481	"Cinnarizine"	1						
"stof00375"	"ciprofibraat"	19050375	"ciprofibrate"	1						
"stof00376"	"ciprofloxacine"	1797513	"Ciprofloxacin"	1						
"stof00377"	"ciprofloxacine hydrochloride"	1797513	"Ciprofloxacin"	1						
"stof00378"	"ciprofloxacine waterstofsulfaat"	1797513	"Ciprofloxacin"	1						
"stof00380"	"cisatracurium besilaat"	19015726	"Cisatracurium"	1						
"stof00381"	"cisplatine"	1397599	"Cisplatin"	1						
"stof00383"	"citalopram hydrobromide"	797617	"Citalopram"	1						
"stof00384"	"citalopram hydrochloride"	797617	"Citalopram"	1						
"stof00386"	"citroenzuur"	950435	"Citric Acid"	1						
"stof00389"	"cladribine"	19054825	"Cladribine"	1						
"stof00390"	"clarithromycine"	1750500	"Clarithromycin"	1						
"stof00391"	"clarithromycine citraat"	1750500	"Clarithromycin"	1						
"stof00393"	"clavulanaat kalium"	1759842	"Clavulanate"	1						
"stof02063"	"clevidipine"	19089969	"clevidipine"	1						
"stof00395"	"clindamycine fosfaat"	997881	"Clindamycin"	1						
"stof00396"	"clindamycine hydrochloride"	997881	"Clindamycin"	1						
"stof00397"	"clindamycine palmitaathydrochloride"	997881	"Clindamycin"	1						
"stof00398"	"clobazam"	19050832	"clobazam"	1						
"stof00400"	"clobetasol propionaat"	998415	"Clobetasol"	1						
"stof00402"	"clobetason butyraat"	19005129	"Clobetasone"	1						
"stof00404"	"clodronaat dinatrium"	19024249	"Clodronic Acid"	1						
"stof00405"	"clofarabine"	19054821	"clofarabine"	1						
"stof00407"	"clomifeen citraat"	1598819	"Clomiphene"	1						
"stof00409"	"clomipramine hydrochloride"	798834	"Clomipramine"	1						
"stof00410"	"clonazepam"	798874	"Clonazepam"	1						
"stof00412"	"clonidine hydrochloride"	1398937	"Clonidine"	1						
"stof00415"	"cloperastine fendizoaat"	35201862	"cloperastine"	1						
"stof00416"	"cloperastine hydrochloride"	35201862	"cloperastine"	1						
"stof00418"	"clopidogrel besilaat"	1322184	"clopidogrel"	1						
"stof01884"	"clopidogrel hydrochloride"	1322184	"clopidogrel"	1						
"stof00419"	"clopidogrel waterstofsulfaat"	1322184	"clopidogrel"	1						
"stof00421"	"clorazepaat dikalium"	790253	"clorazepate"	1						
"stof00422"	"clorofeen"	19051093	"clorophene"	1						
"stof00423"	"clotiapine"	19100363	"clothiapine"	1						
"stof00424"	"clotiazepam"	19068821	"clotiazepam"	1						
"stof00425"	"clotrimazol"	1000632	"Clotrimazole"	1						
"stof00426"	"cloxazolam"	19051096	"cloxazolam"	1						
"stof00427"	"clozapine"	800878	"Clozapine"	1						
"stof00428"	"cobicistat"	42874220	"cobicistat"	1						
"stof02318"	"cobimetinib hemifumaraat"	35605804	"Cobimetinib"	1						
"stof00429"	"cocarboxylase"	40798760	"Cocarboxylase"	1						
"stof01027"	"levertraan"	19101604	"Cod Liver Oil"	1						
"stof00430"	"codeïne"	1201620	"Codeine"	1						
"stof00431"	"codeïne fosfaat"	1201620	"Codeine"	1						
"stof00431"	"codeïne fosfaat"	1201620	"Codeine"	1						
"stof02080"	"codeïne fosfaat"	1201620	"Codeine"	1						
"stof02080"	"codeïne fosfaat"	1201620	"Codeine"	1						
"stof00434"	"colchicine"	1101554	"Colchicine"	1						
"stof00437"	"colestipol hydrochloride"	1501617	"Colestipol"	1						
"stof00440"	"colistimethaat natrium"	901845	"Colistin"	1						
"stof00441"	"collagenase"	980311	"COLLAGENASE"	1						
"stof00442"	"collagenasen"	980311	"COLLAGENASE"	1						
"stof01885"	"corifollitropine alfa"	36878940	"Corifollitropin alfa"	1						
"stof01710"	"tetracosactide hexa-acetaat"	19008009	"Cosyntropin"	1						
"stof00443"	"Crataegus (droog extract)"	19050237	"crataegus extract"	1						
"stof00444"	"Crataegus monogyna (poeder)"	42898959	"Crataegus monogyna flower extract"	1						
"stof00444"	"Crataegus monogyna (poeder)"	42898960	"Crataegus monogyna fruit extract"	2						
"stof00444"	"Crataegus monogyna (poeder)"	35603950	"Crataegus monogyna leaf extract"	3						
"stof01886"	"crizotinib"	40242675	"crizotinib"	1						
"stof00447"	"cromoglicaat dinatrium"	19008867	"Cromoglycate"	1						
"stof00448"	"cyanocobalamine"	19135931	"Cyanocobalamin Co57"	1						
"stof00451"	"cyclopentolaat hydrochloride"	910232	"Cyclopentolate"	1						
"stof00449"	"cyclofosfamide"	1310317	"Cyclophosphamide"	1						
"stof00364"	"ciclosporine"	19010482	"Cyclosporine"	1						
"stof00452"	"Cynara scolymus (droog extract)"	42903976	"Cynara scolymus leaf extract"	1						
"stof00452"	"Cynara scolymus (droog extract)"	40220652	"Cynara scolymus whole extract"	2						
"stof00455"	"cyproteron acetaat"	19010792	"Cyproterone"	1						
"stof01135"	"mercaptamine bitartraat"	910888	"Cysteamine"	1						
"stof00456"	"cytarabine"	1311078	"Cytarabine"	1						
"stof00460"	"dabigatran etexilaat"	45775372	"dabigatran"	1						
"stof01888"	"dabrafenib mesilaat"	43532299	"dabrafenib"	1						
"stof00462"	"dacarbazine citraat"	1311409	"Dacarbazine"	1						
"stof02330"	"fampridine"	40170680	"dalfampridine"	1						
"stof00464"	"dalteparine natrium"	1301065	"Dalteparin"	1						
"stof00466"	"danaparoïde natrium"	19026343	"danaparoid"	1						
"stof00468"	"dantroleen natrium"	711714	"Dantrolene"	1						
"stof02155"	"dapagliflozine"	44785829	"dapagliflozin"	1						
"stof00469"	"dapoxetine hydrochloride"	36879119	"dapoxetine hydrochloride"	1						
"stof02316"	"daratumumab"	35605744	"daratumumab"	1						
"stof00470"	"darbepoëtine alfa"	1304643	"darbepoetin alfa"	1						
"stof00472"	"darifenacine hydrobromide"	916230	"darifenacin"	1						
"stof00474"	"darunavir ethanolaat"	1756831	"darunavir"	1						
"stof00475"	"dasatinib"	1358436	"dasatinib"	1						
"stof00477"	"daunorubicine hydrochloride"	1311799	"Daunorubicin"	1						
"stof00478"	"decitabine"	19024728	"decitabine"	1						
"stof00479"	"dectaflur"	36879179	"dectaflur"	1						
"stof00480"	"deferasirox"	1786055	"deferasirox"	1						
"stof00481"	"deferipron"	19011091	"deferiprone"	1						
