product_desc	form_desc	dosage	dosage_add	volume	packsize	claatc	pfc	molecule	cd_nfc_3	english	lb_nfc_3	descr_pck	strg_unit	strg_meas
PRETERAX	CPR2/0.625MG	NULL	NULL	NULL	30	C09B1	1930001	INDAPAMIDE+PERINDOPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 2MG/0.625MG 30	NULL	NULL
PLAVIX	CPR PELLIC	75MG	NULL	NULL	28	B01C2	1944301	CLOPIDOGREL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 75MG 28	75	MG
CODOLIPRANE	CP400MG/20MG	NULL	ADLT	NULL	16	N02B0	2081003	PARACETAMOL+CODEINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CP400MG/20MG ADLT 16	NULL	NULL
MALTOFER	A.IM	100MG	NULL	2ML	5	B03A1	1304102	IRON FERRIC	FMD	Parenteral Immediate	AMPOULE I.M.PARENT.INST.	A.IM 100MG 5 2ML	100	MG
FRACTAL	GELULE	40MG	NULL	NULL	28	C10A1	1372404	FLUVASTATIN	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 40MG 28	40	MG
AMOXICILLINE RPG	GELULE	500MG	NULL	NULL	12	J01C1	1430909	AMOXICILLIN	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 500MG 12	500	MG
COLD CREAM	POM.	NULL	NULL	NULL	1	V03X0	2109250	CREAMS (BASIS)	MSA	External Form	ONGUENT       A USA.EXT.	POM.	NULL	NULL
TANATRIL	CPR SEC	10MG	NULL	NULL	30	C09A0	2128003	IMIDAPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 10MG 30	10	MG
CATALGINE	SACH PDR	250MG	ENF	NULL	20	N02B0	1743635	ACETYLSALICYLIC ACID	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 250MG ENF 20	250	MG
CEPAZINE	CPR.	250MG	NULL	NULL	8	J01D1	1790540	CEFUROXIME AXETIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR. 250MG 8	250	MG
THAIS	DISP.050/24H	4MG	NULL	NULL	8	G03C0	2227003	ESTRADIOL	JWN	Other Internal Form	PANS.TRANSDERM.USA.INT.	DISP.050/24H 4MG 8	4	MG
COQUELUSEDAL	SUP ENF	NULL	NULL	NULL	12	R05D2	2236423	GELSEMIUM SEMPERVIRENS+GRINDELIA ROBUSTA+NIAOULI OIL	HLC	Rectal Systemic	SUPPO ENF V.RECTALE SYST.	SUP ENF 12	NULL	NULL
DEXTROPR PARAC BG.	GELU30/400MG	NULL	NULL	NULL	20	N02B0	2256601	PARACETAMOL+DEXTROPROPOXYPHENE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELU30/400MG 20	NULL	NULL
PARACETAMOL GENODEX	CPR	500MG	NULL	NULL	16	N02B0	2274501	PARACETAMOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 500MG 16	500	MG
MULTICROM	COLLYRE	2%	NULL	10ML	1	S01G2	2426501	CROMOGLICIC ACID	NGB	Ophthalmological	COLLYRE        OPHTALMO.	COLLYRE 2% 10ML	2	%
DIPROSTENE	SER PREREMPL	NULL	NULL	1ML	1	H02A1	2840820	BETAMETHASONE	GNA	Parenteral Delayed	SER PREREMPL PARENT.RET.	SER PREREMPL 1ML	NULL	NULL
DOLKO	CPR SEC	500MG	ADLT	NULL	16	N02B0	2887003	PARACETAMOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC AD 500MG 16	500	MG
EUPHON	SP	NULL	NULL	150ML	1	R02A0	3292071	FORMIC ACID+CODEINE+ACONITUM NAPELLUS+SISYMBRIUM OFFICINALE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 150ML	NULL	NULL
IMOVANE	CPR PEL SEC	7.5MG	NULL	NULL	5	N05B1	4511830	ZOPICLONE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 7.5MG 5	7.5	MG
DIPROSONE	CREME DERM	0.05%	NULL	15G	1	D07A0	2840535	BETAMETHASONE	MTA	External Form	CREME         A USA.EXT.	CREME DERM .05% 15G	0.05	%
NIFLURIL	SUP ENF	400MG	NULL	NULL	8	M01A1	5945075	MORNIFLUMATE	HLC	Rectal Systemic	SUPPO ENF V.RECTALE SYST.	SUP ENF 400MG 8	400	MG
OROKEN	CPR PELLIC	200MG	NULL	NULL	8	J01D1	6225030	CEFIXIME	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 200MG 8	200	MG
OZOTHINE	SUP NOUR	NULL	NULL	NULL	10	R05C0	6327265	TURPENTINE OIL OXIDATION PRODUCT	HLC	Rectal Systemic	SUPPO ENF V.RECTALE SYST.	SUP NOUR 10	NULL	NULL
PERIDYS	SUSP BUV	0.1%	NULL	200ML	1	A03F0	6661860	DOMPERIDONE	DGK	Oral Liquid Immediate	SUSPENSION  OR.LIQ.INST.	SUSP BUV .1% 200ML	0.1	%
PNEUMOREL	CPR ENROB	80MG	NULL	NULL	30	R03X2	6880445	FENSPIRIDE	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 80MG 30	80	MG
ELUDRILPRO	SOL BAIN BCH	NULL	NULL	200ML	1	A01A2	3067302	CHLOROBUTANOL+CHLORHEXIDINE	KGA	Oral Topic	LIQUIDE ORAL TOPIQUE	SOL BAIN BCH+GODET 200ML	NULL	NULL
PRIMALAN	SP	2.5MG	NULL	60ML	1	R06A0	6971960	MEQUITAZINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 2.5MG/5ML 60ML	2.5	MG
RINUTAN	SP	NULL	NULL	200ML	1	R01B0	7524260	PARACETAMOL+PHENYLPROPANOLAMINE+PHENYLTOLOXAMINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 200ML	NULL	NULL
EOSINE	SOL.AQUEUSE	NULL	NULL	NULL	1	V07A2	3134680	EOSINE	MGA	External Form	LIQUIDE       A USA.EXT.	SOL.AQUEUSE	NULL	NULL
EPHYDROL	CREME	NULL	NULL	60G	1	D02A0	3153030	FORMALDEHYDE+SALIGENIN+CAMPHOR+MENTHOL+CITRUS BERGAMIA+LAVANDULA ANGUSTIFOLIA+CITRUS LIMONUM+FIORAVANTI BALSAM	MTA	External Form	CREME         A USA.EXT.	CREME 60G	NULL	NULL
ERYFLUID	SOL.  EXT.	4%	NULL	30ML	1	D10A0	3206655	ERYTHROMYCIN	MGA	External Form	LIQUIDE       A USA.EXT.	SOL.  EXT. 4% 30ML	4	%
SOLUPRED	CPR EFFVT	20MG	NULL	NULL	20	H02A2	8007260	PREDNISOLONE	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFVT 20MG 20	20	MG
FLECAINE	CPR SEC	100MG	NULL	NULL	30	C01B0	3491540	FLECAINIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 100MG 30	100	MG
FONZYLANE	CPR PELLIC	300MG	NULL	NULL	10	C04A1	3574209	BUFLOMEDIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 300MG 10	300	MG
TERGYNAN	CPR VAGINAL	NULL	NULL	NULL	10	G01A2	8576730	METRONIDAZOLE+NYSTATIN+NEOMYCIN	TAA	Vaginal	COMPRIME        VAGINALE	CPR VAGINAL 10	NULL	NULL
THIOVALONE	COLLUT PRESS	NULL	NULL	12ML	1	R02A0	8722340	TIXOCORTOL+CHLORHEXIDINE	KHA	Oral Topic	AEROSOL ORAL TOPIQUE	COLLUT PRESS 12ML	NULL	NULL
GINKOGINK	SOL BUV	4%	NULL	30ML	1	C04A1	3808360	GINKGO BILOBA	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV 4% 30ML	4	%
HEXAPNEUMINE	SP	NULL	NOUR	100ML	1	R05F0	4293078	CHLORPHENAMINE+BICLOTYMOL	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP NOUR 100ML	NULL	NULL
ZESTORETIC	CPR 12.5/20	NULL	NULL	NULL	28	C09B1	9677103	HYDROCHLOROTHIAZIDE+LISINOPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 12.5/20MG 28	NULL	NULL
ZYLORIC	CPR	100MG	NULL	NULL	28	M04A0	9680245	ALLOPURINOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 100MG 28	100	MG
ZYMAFLUOR	GTTES BUV	0.114%	NULL	20ML	1	A01A4	9680902	FLUORINE	DGB	Oral Liquid Immediate	GOUTTE      OR.LIQ.INST.	GTTES BUV .114% 20ML	0.114	%
HEXOMEDINE	LIQ.  EXT.	0.1%	NULL	45ML	1	D08A0	4297253	HEXAMIDINE	MGA	External Form	LIQUIDE       A USA.EXT.	LIQ.  EXT. .1% 45ML	0.1	%
HEXOMEDINE	LIQ.  EXT.	0.1%	NULL	250ML	1	D08A0	4297277	HEXAMIDINE	MGA	External Form	LIQUIDE       A USA.EXT.	LIQ.  EXT. .1% 250ML	0.1	%
JOSACINE	SACH PDR	500MG	NULL	0.75G	12	J01F0	4736505	JOSAMYCIN	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 500MG 12 .750G	500	MG
KAOLOGEAIS	GRAN	NULL	NULL	250G	1	A07B0	4790050	MEPROBAMATE+KAOLIN+MAGNESIUM+STERCULIA GUM	AEB	Oral Solid Immediate	GRANULE     OR.SOL.INST.	GRAN 250G	NULL	NULL
LEVOTHYROX	CPR SEC	25Y	NULL	NULL	28	H03A0	5015402	LEVOTHYROXINE SODIUM	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 25Y 28	25	Y
LEVOTHYROX	CPR SEC	125Y	NULL	NULL	28	H03A0	5015406	LEVOTHYROXINE SODIUM	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 125Y 28	125	Y
LIPANTHYL	LM CPR PELLI	160MG	NULL	NULL	30	C10A2	5063706	FENOFIBRATE	BBC	Oral Solid Delayed	CPR PELLIC.  OR.SOL.RET.	LM CPR PELLI 160MG 30	160	MG
MODURETIC	CPR SEC	NULL	ADLT	NULL	30	C03A5	5547440	AMILORIDE+HYDROCHLOROTHIAZIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC ADLT 30	NULL	NULL
MONOTEST	APPLICATEUR	1500TU	NULL	NULL	1	T02X9	5557250	TUBERCULIN TEST	VZV	Non Human Usage Products	TEST SF BD NON US.HUMAIN	APPLICATEUR 1500TU	1500	TU
MYCOLOG	POM.	NULL	NULL	10G	1	D07B3	5632850	TRIAMCINOLONE ACETONIDE+NYSTATIN+NEOMYCIN	MSA	External Form	ONGUENT       A USA.EXT.	POM. 10G	NULL	NULL
EOSINE GIFRER	FL UNIDOSE	2%	NULL	2ML	10	D08A0	3134850	EOSINE	MGN	External Form	SOLUT.UNIDOS. A USA.EXT.	FL UNIDOSE 2% 10 2ML	2	%
FUCITHALMIC	GEL   OPHT	1%	NULL	3G	1	S01A0	3625950	FUSIDIC ACID	NVB	Ophthalmological	GEL GOUTTES    OPHTALMO.	GEL   OPHT 1% 3G	1	%
LYSOPAINE	CPR SUBLING	NULL	NULL	NULL	24	R02A0	5215665	BACITRACIN+LYSOZYME+PAPAIN	KAF	Oral Topic	CPR SUBLING ORAL TOPIQUE	CPR SUBLING 24	NULL	NULL
POLARAMINE	SP	0.01%	NULL	125ML	1	R06A0	6884477	DEXCHLORPHENIRAMINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 0.01% 125ML	0.01	%
BIAFINE	EMULS	0.67%	NULL	186G	1	D03A9	1166055	TROLAMINE	MGL	External Form	EMULSION      A USA.EXT.	EMULS .67% 186G	0.67	%
BIOCIDAN	COLLYRE	NULL	NULL	10ML	1	S01G6	1220038	CETHEXONIUM	NGB	Ophthalmological	COLLYRE        OPHTALMO.	COLLYRE 10ML	NULL	NULL
FENOFIBRATE IVAX	GELULE	300MG	NULL	NULL	30	C10A2	1256804	FENOFIBRATE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 300MG 30	300	MG
FUROSEMIDE RPG	CPR SEC	20MG	NULL	NULL	30	C03A2	1331802	FUROSEMIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 20MG 30	20	MG
TRANSULOSE	GELEE ORALE	NULL	NULL	150G	1	A06A1	1403001	LACTULOSE+PARAFFIN OIL	DGL	Oral Liquid Immediate	EMULSION    OR.LIQ.INST.	GELEE ORALE 150G	NULL	NULL
ANTARENE GE	CPR PELLIC	400MG	NULL	NULL	30	M01A1	1505505	IBUPROFEN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 400MG 30	400	MG
ARTOTEC	CPR 75/0.2	NULL	NULL	NULL	20	M01A1	1714903	DICLOFENAC+MISOPROSTOL	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CPR 75/0.2 20	NULL	NULL
SINGULAIR	CPR PELLIC	10MG	ADLT	NULL	28	R03J2	1786703	MONTELUKAST	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 10MG ADLT 28	10	MG
CERVOXAN	GELULE	60MG	NULL	NULL	15	C04A1	1808903	VINBURNINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 60MG 15	60	MG
FLIXONASE	SUSP NAS 60D	50Y	NULL	NULL	1	R01A1	1850101	FLUTICASONE	QGP	Rhinology Local	SOLUTION-DOSE.RHINOL.LOC	SUSP NAS 60D 50Y/DOS	50	Y
EXOMUC	GRAN SACH	100MG	NOUR	NULL	10	R05C0	3347502	ACETYLCYSTEINE	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	GRAN SACH 100MG NOUR 10	100	MG
BACILOR	SACH PDR	1500MG	NULL	NULL	10	A07F0	1879804	LACTOBACILLUS CASEI	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 1500MG 10	1500	MG
NORSET	CPR PELLIC	15MG	NULL	NULL	30	N06A9	1885601	MIRTAZAPINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 15MG 30	15	MG
LODOZ	CPR 5/6.25	NULL	NULL	NULL	30	C07B1	1916603	HYDROCHLOROTHIAZIDE+BISOPROLOL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 5MG/6.25MG 30	NULL	NULL
LODOZ	CPR 10/6.25	NULL	NULL	NULL	30	C07B1	1916605	HYDROCHLOROTHIAZIDE+BISOPROLOL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 10MG/6.25MG 30	NULL	NULL
CONTRAMAL	LP CPR	100MG	NULL	NULL	30	N02B0	1926401	TRAMADOL	BAA	Oral Solid Delayed	COMPRIME     OR.SOL.RET.	LP CPR 100MG 30	100	MG
CIRKAN	CPR PELLIC	NULL	NULL	NULL	60	C05C0	1980002	ASCORBIC ACID+HESPERIDIN+RUSCUS ACULEATUS	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC NF 60	NULL	NULL
CARDIOSOLUPSAN	SAC PDR EFFV	160MG	NULL	NULL	28	B01C1	1985501	ACETYLSALICYLIC ACID	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SAC PDR EFFV 160MG 28	160	MG
MEGAMYLASE ALPHA	SP	200IU	NULL	125ML	1	V03H0	2092103	ALPHA AMYLASE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 200IU/1ML 125ML	200	IU
PIROXICAM GNR	GELULE	20MG	NULL	NULL	15	M01A1	1252004	PIROXICAM	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 20MG 15	20	MG
BEMEDREX EASYHALER	EASYHAL200D	0.2MG	NULL	NULL	1	R03D1	2215601	BECLOMETASONE	REP	Pulmonary	POUDRE DOSE      PULMON.	EASYHAL200D .2MG /DOS	0.2	MG
CEFAPEROS	PDR PR SP	500MG	NULL	60ML	1	J01D1	1766702	CEFATRIZINE	DGJ	Oral Liquid Immediate	SIROP SEC   OR.LIQ.INST.	PDR PR SP 500MG/5ML 60ML	500	MG
CORTANCYL	CPR SEC	20MG	NULL	NULL	20	H02A2	2261602	PREDNISONE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 20MG 20	20	MG
CREON	GELULE	25K	NULL	NULL	60	A09A0	2324602	PANCREATIN	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELULE 25K 60	25	K
CYTEAL	SOL.  EXT.	NULL	NULL	250ML	1	D08A0	2419160	CHLOROCRESOL+HEXAMIDINE+CHLORHEXIDINE	MGA	External Form	LIQUIDE       A USA.EXT.	SOL.  EXT. 250ML	NULL	NULL
COQUELUSEDAL	SUP NOUR	NULL	NULL	NULL	12	R05D2	2236429	GELSEMIUM SEMPERVIRENS+GRINDELIA ROBUSTA+NIAOULI OIL	HLC	Rectal Systemic	SUPPO ENF V.RECTALE SYST.	SUP NOUR 12	NULL	NULL
COQUELUSEDAL PARAC	SUP AF NOUR	100MG	NULL	NULL	12	R05F0	2236866	PARACETAMOL+GELSEMIUM SEMPERVIRENS+GRINDELIA ROBUSTA+NIAOULI OIL	HLC	Rectal Systemic	SUPPO ENF V.RECTALE SYST.	SUP NOUR 100MG 12	100	MG
DAONIL	CPR.	1.25MG	FAIB	NULL	60	A10H0	2439420	GLIBENCLAMIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. 1.25MG FAIB 60	1.25	MG
DAKIN	SOL.  EXT.	NULL	NULL	NULL	1	D08A0	2437580	CALCIUM	MGA	External Form	LIQUIDE       A USA.EXT.	SOL.  EXT.	NULL	NULL
DAZEN	CP GASTRORES	10K	NULL	NULL	40	V03H0	2445030	SERRAPEPTASE	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CP GASTRORES 10K 40	10	K
DETENSIEL	CPR PEL SEC	10MG	NULL	NULL	28	C07A0	2598330	BISOPROLOL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 10MG 28	10	MG
DOLIPRANE	SUP AD	1000MG	NULL	NULL	8	N02B0	2886072	PARACETAMOL	HLB	Rectal Systemic	SUPPO AD V.RECTALE SYST.	SUP AD 1000MG 8	1000	MG
DOLIPRANE	CPR SEC	500MG	ADLT	NULL	16	N02B0	2886050	PARACETAMOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 500MG ADLT 16	500	MG
NETUX	GELULE	NULL	NULL	NULL	8	R05D2	5845635	PHENYLTOLOXAMINE+CODEINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 8	NULL	NULL
BALSOFUMINE MENTH	LIQ.	1%	NULL	84ML	1	R04A0	1010330	MENTHOL+EUCALYPTUS GLOBULUS+LAVANDULA ANGUSTIFOLIA+PERU BALSAM+SIAM BENZOIN+THYMUS VULGARE	QGE	Rhinology Local	SOL.PR INHAL. RHINOL.LOC	LIQ. 1% 84ML	1	%
LAMISIL	CPR SEC	250MG	NULL	NULL	14	J02A0	1024203	TERBINAFINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 250MG 14	250	MG
BEFIZAL	LP CPR	400MG	NULL	NULL	30	C10A2	1062940	BEZAFIBRATE	BAA	Oral Solid Delayed	COMPRIME     OR.SOL.RET.	LP CPR 400MG 30	400	MG
LOGIFLOX	CPR PEL SEC	400MG	NULL	NULL	3	J01G1	1111103	LOMEFLOXACIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 400MG 3	400	MG
BEROCCA	CPR EFFVT	NULL	NULL	NULL	20	A12C1	1149603	NICOTINAMIDE+ASCORBIC ACID+PYRIDOXINE+PANTOTHENIC ACID+BIOTIN+THIAMINE+FLAVIN MONONUCLEOTIDE+FOLIC ACID+CYANOCOBALAMIN+CALCIUM+MAGNESIUM+ZINC	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFVT 20	NULL	NULL
EUPANTOL	CP GASTRORES	20MG	NULL	NULL	28	A02B2	1257706	PANTOPRAZOLE	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CP GASTRORES 20MG 28	20	MG
NUREFLEX	CPR ENROB	200MG	NULL	NULL	30	N02B0	1269903	IBUPROFEN	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 200MG 30	200	MG
RHINUREFLEX	CPR PELLIC	NULL	NULL	NULL	20	R05A0	1270102	PSEUDOEPHEDRINE+IBUPROFEN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 20	NULL	NULL
INFLACED GE	SAC PDR EFFV	20MG	NULL	NULL	15	M01A1	1274906	PIROXICAM	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SAC PDR EFFV 20MG 15	20	MG
DICLOFENAC MYLAN	CP GASTRORES	50MG	NULL	NULL	30	M01A1	1440903	DICLOFENAC	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CP GASTRORES 50MG 30	50	MG
BRONCHOKOD GE	SP	5%	ADLT	125ML	1	R05C0	1486560	CARBOCISTEINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 5% AD 125ML	5	%
BRONCHOKOD GE	SOL BUV SS	5%	ADLT	300ML	1	R05C0	1486572	CARBOCISTEINE	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV SS 5% AD 300ML	5	%
MEGAVIX GE	CPR ENR SEC	50MG	NULL	NULL	20	M03B0	1558001	TETRAZEPAM	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENR SEC 50MG 20	50	MG
AMBROXOL TEVA	CPR	30MG	NULL	NULL	30	R05C0	1579401	AMBROXOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 30MG 30	30	MG
LACTULOSE BIOGARAN	SOL BUV SACH	0.66G	NULL	15ML	20	A06A6	1628502	LACTULOSE	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	SOL BUV SACH .66G/ML 20 15ML	0.66	G
EFFEXOR	LP GELULES	37.5MG	NULL	NULL	30	N06A5	1710305	VENLAFAXINE	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 37.5MG 30	37.5	MG
CELESTAMINE	CPR.	NULL	NULL	NULL	30	H02B0	1774450	DEXCHLORPHENIRAMINE+BETAMETHASONE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. 30	NULL	NULL
