relationship_id,relationship_name,is_hierarchical,defines_ancestry,reverse_relationship,concept_id
MedDRA - SNOMED eq,MedDRA to SNOMED equivalent (OMOP),0,1,SNOMED - MedDRA eq,44818805
Has FDA-appr ind,Has FDA-approved drug indication (FDB),0,0,Is FDA-appr ind of,44818806
Has off-label ind,Has off-label drug indication (FDB),0,0,Is off-label ind of,44818807
Has CI,Has drug contra-indication (FDB),0,0,Is CI of,44818808
ETC - RxNorm,ETC to RxNorm (FDB),0,1,RxNorm - ETC,44818809
ATC - RxNorm,ATC to RxNorm (FDB),0,1,RxNorm - ATC,44818810
SMQ - MedDRA,SMQ consists of MedDRA (MedDRA),0,0,MedDRA - SMQ,44818811
LOINC replaces,Concept replaces (LOINC),0,0,LOINC replaced by,44818812
Precise ing of,Precise ingredient of (RxNorm),0,0,Has precise ing,44818813
Tradename of,Tradename of (RxNorm),0,0,Has tradename,44818814
RxNorm dose form of,Dose form of (RxNorm),1,0,RxNorm has dose form,44818815
Form of,Form of (RxNorm),0,0,Has form,44818816
RxNorm ing of,Ingredient of (RxNorm),1,1,RxNorm has ing,44818817
Consists of,Consists of (RxNorm),1,0,Constitutes,44818818
Contained in,Is contained in (RxNorm),1,1,Contains,44818819
Reformulated in,Reformulated in (RxNorm),0,1,Reformulation of,44818820
Is a,Is a,1,0,Subsumes,44818821
NDFRT dose form of,Dose form of (NDF-RT),1,0,NDFRT has dose form,44818822
Induced by,Induced by (NDF-RT),1,0,Induces,44818823
Diagnosed through,Diagnosed through (NDF-RT),1,0,May diagnose,44818824
Physiol effect by,Physiological effect induced by (NDF-RT),1,1,Has physio effect,44818825
CI physiol effect by,Contraindicating physiological effect induced by (NDF-RT),1,0,Has CI physio effect,44818826
NDFRT ing of,Ingredient of (NDF-RT),1,1,NDFRT has ing,44818827
CI chem class of,Contraindicating chemical class of (NDF-RT),1,0,Has CI chem class,44818828
MoA of,Mechanism of action of (NDF-RT),1,1,Has MoA,44818829
CI MoA of,Contraindicating mechanism of action of (NDF-RT),1,0,Has CI MoA,44818830
PK of,Pharmacokinetics of (NDF-RT),1,0,Has PK,44818831
May be treated by,May be treated by (NDF-RT),1,1,May treat,44818832
CI by,Contraindicated by (NDF-RT),1,0,CI to,44818833
May be prevented by,May be prevented by (NDF-RT),1,1,May prevent,44818834
Metabolite of,Active metabolite of (NDF-RT),1,0,Has metabolites,44818835
Metabolism of,Site of metabolism of (NDF-RT),1,0,Has metabolism,44818836
Inhibits effect,Inhibits effect (NDF-RT),1,0,May be inhibited by,44818837
Chem structure of,Chemical structure of (NDF-RT),1,1,Has chem structure,44818838
RxNorm - NDFRT eq,RxNorm to NDF-RT equivalent (RxNorm),0,0,NDFRT - RxNorm eq,44818839
Recipient cat of,Recipient category of (SNOMED),0,0,Has recipient cat,44818840
Proc site of,Procedure site of (SNOMED),0,0,Has proc site,44818841
Priority of,Priority of (SNOMED),0,0,Has priority,44818842
Pathology of,Pathological process of (SNOMED),0,0,Has pathology,44818843
Part of,Part of (SNOMED),0,0,Has part of,44818844
Severity of,Severity of (SNOMED),0,0,Has severity,44818845
Revision status of,Revision status of (SNOMED),0,0,Has revision status,44818846
Access of,Access of (SNOMED),0,0,Has access,44818847
Occurrence of,Occurrence of (SNOMED),0,0,Has occurrence,44818848
Method of,Method of (SNOMED),0,0,Has method,44818849
Laterality of,Laterality of (SNOMED),0,0,Has laterality,44818850
Interprets of,Interprets of (SNOMED),0,0,Has interprets,44818851
Indir morph of,Indirect morphology of (SNOMED),0,0,Has indir morph,44818852
Indir device of,Indirect device of (SNOMED),0,0,Has indir device,44818853
Specimen of,Specimen of (SNOMED),0,0,Has specimen,44818854
Interpretation of,Interpretation of (SNOMED),0,0,Has interpretation,44818855
Intent of,Intent of (SNOMED),0,0,Has intent,44818856
Focus of,Focus of (SNOMED),0,0,Has focus,44818857
Manifestation of,Definitional manifestation of (SNOMED),0,0,Has manifestation,44818858
Active ing of,Active ingredient of (SNOMED),0,0,Has active ing,44818859
Finding site of,Finding site of (SNOMED),0,0,Has finding site,44818860
Episodicity of,Episodicity of (SNOMED),0,0,Has episodicity,44818861
Dir subst of,Direct substance of (SNOMED),0,0,Has dir subst,44818862
Dir morph of,Direct morphology of (SNOMED),0,0,Has dir morph,44818863
Dir device of,Direct device of (SNOMED),0,0,Has dir device,44818864
Component of,Component of (SNOMED),0,0,Has component,44818865
Causative agent of,Causative agent of (SNOMED),0,0,Has causative agent,44818866
Asso morph of,Associated morphology of (SNOMED),0,0,Has asso morph,44818867
Asso finding of,Associated finding of (SNOMED),0,0,Has asso finding,44818868
Measurement of,Measurement method of (SNOMED),0,0,Has measurement,44818869
Property of,Property of (SNOMED),0,0,Has property,44818870
Scale type of,Scale type of (SNOMED),0,0,Has scale type,44818871
Time aspect of,Time aspect of (SNOMED),0,0,Has time aspect,44818872
Specimen proc of,Specimen procedure of (SNOMED),0,0,Has specimen proc,44818873
Specimen identity of,Specimen source identity of (SNOMED),0,0,Has specimen source,44818874
Specimen morph of,Specimen source morphology of (SNOMED),0,0,Has specimen morph,44818875
Specimen topo of,Specimen source topography of (SNOMED),0,0,Has specimen topo,44818876
Specimen subst of,Specimen substance of (SNOMED),0,0,Has specimen subst,44818877
Due to of,Due to of (SNOMED),0,0,Has due to,44818878
Relat context of,Subject relationship context of (SNOMED),0,0,Has relat context,44818879
Dose form of,Dose form of (SNOMED),0,0,Has dose form,44818880
Occurs before,Occurs before (SNOMED),0,0,Occurs after,44818881
Asso proc of,Associated procedure of (SNOMED),0,0,Has asso proc,44818882
Dir proc site of,Direct procedure site of (SNOMED),0,0,Has dir proc site,44818883
Indir proc site of,Indirect procedure site of (SNOMED),0,0,Has indir proc site,44818884
Proc device of,Procedure device of (SNOMED),0,0,Has proc device,44818885
Proc morph of,Procedure morphology of (SNOMED),0,0,Has proc morph,44818886
Finding context of,Finding context of (SNOMED),0,0,Has finding context,44818887
Proc context of,Procedure context of (SNOMED),0,0,Has proc context,44818888
Temporal context of,Temporal context of (SNOMED),0,0,Has temporal context,44818889
Findinga sso with,Associated with (SNOMED),0,0,Asso with finding,44818890
Surgical appr of,Surgical approach of (SNOMED),0,0,Has surgical appr,44818891
Device used by,Device used by (SNOMED),0,0,Using device,44818892
Energy used by,Energy used by (SNOMED),0,0,Using energy,44818893
Subst used by,Substance used by (SNOMED),0,0,Using subst,44818894
Acc device used by,Access device used by (SNOMED),0,0,Using acc device,44818895
Clinical course of,Has clinical course of (SNOMED),0,0,Has clinical course,44818896
Route of admin of,Route of administration of (SNOMED),0,0,Has route of admin,44818897
Finding method of,Finding method of (SNOMED),0,0,Using finding method,44818898
Finding inform of,Finding informer of (SNOMED),0,0,Using finding inform,44818899
SNOMED - ICD9P eq,SNOMED to ICD-9-Procedure equivalent (OMOP),0,1,ICD9P - SNOMED eq,44818900
SNOMED cat - CPT4,SNOMED category to CPT-4 (OMOP),1,1,CPT4 - SNOMED cat,44818901
SNOMED - CPT4 eq,SNOMED to CPT-4 equivalent (OMOP),0,1,CPT4 - SNOMED eq,44818902
SNOMED - MedDRA eq,SNOMED to MedDRA equivalent (OMOP),0,0,MedDRA - SNOMED eq,44818903
Is FDA-appr ind of,Is FDA-approved indication of (FDB),0,1,Has FDA-appr ind,44818904
Is off-label ind of,Is off-label indication of (FDB),0,1,Has off-label ind,44818905
Is CI of,Is contra-indication of (FDB),0,0,Has CI,44818906
RxNorm - ETC,RxNorm to ETC (FDB),0,0,ETC - RxNorm,44818907
RxNorm - ATC,RxNorm to ATC (FDB),0,0,ATC - RxNorm,44818908
MedDRA - SMQ,MedDRA contained in SMQ (MedDRA),0,0,SMQ - MedDRA,44818909
Ind/CI - SNOMED,Indication/Contra-indication to SNOMED,0,0,SNOMED - ind/CI,44818910
SNOMED - ind/CI,SNOMED to Indication/Contra-indication,0,0,Ind/CI - SNOMED,44818911
Has therap class,Has therapeutic class (NDF),0,0,Therap class of,44818912
Therap class of,Therapeutic class of (NDF),0,1,Has therap class,44818913
Drug-drug inter for,Drug-drug interaction for (NDF),0,0,Has drug-drug inter,44818914
Has drug-drug inter,Is involved in drug-drug interaction (NDF),0,0,Drug-drug inter for,44818915
Has pharma prep,Has pharmaceutical preparation (NDF),0,0,Pharma prep in,44818916
Pharma prep in,Pharmaceutical preparation contained in (NDF),0,1,Has pharma prep,44818917
Inferred class of,Inferred drug class of (OMOP),0,1,Has inferred class,44818918
Has inferred class,Has inferred drug class (OMOP),0,0,Inferred class of,44818919
SNOMED proc - HCPCS,SNOMED procedure subsumes HCPCS (OMOP),1,1,HCPCS - SNOMED proc,44818920
HCPCS - SNOMED proc,HCPCS is a SNOMED procedure (OMOP),1,0,SNOMED proc - HCPCS,44818921
RxNorm - NDFRT name,RxNorm to NDF-RT equivalent by concept_name (OMOP),0,0,NDFRT - RxNorm name,44818922
NDFRT - RxNorm name,NDF-RT to RxNorm equivalent by concept_name (OMOP),0,1,RxNorm - NDFRT name,44818923
ETC - RxNorm name,ETC to RxNorm equivalent by concept_name (OMOP),0,1,RxNorm - ETC name,44818924
RxNorm - ETC name,RxNorm to ETC equivalent by concept_name (OMOP),0,0,ETC - RxNorm name,44818925
ATC - RxNorm name,ATC to RxNorm equivalent by concept_name (OMOP),0,1,RxNorm - ATC name,44818926
RxNorm - ATC name,RxNorm to ATC equivalent by concept_name (OMOP),0,0,ATC - RxNorm name,44818927
HOI - SNOMED,HOI contains SNOMED (OMOP),1,1,SNOMED - HOI,44818928
SNOMED - HOI,SNOMED contained in HOI (OMOP),1,0,HOI - SNOMED,44818929
DOI - RxNorm,DOI contains RxNorm (OMOP),1,1,RxNorm - DOI,44818930
RxNorm - DOI,RxNorm contained in DOI (OMOP),1,0,DOI - RxNorm,44818931
HOI - MedDRA,HOI contains MedDRA (OMOP),1,0,MedDRA - HOI,44818932
MedDRA - HOI,MedDRA contained in HOI (OMOP),1,0,HOI - MedDRA,44818933
NUCC - CMS Specialty,NUCC to CMS Specialty (CMS),1,1,CMS Specialty - NUCC,44818934
CMS Specialty - NUCC,CMS Specialty to NUCC (CMS),1,0,NUCC - CMS Specialty,44818935
DRG - MS-DRG eq,DRG to MS-DRG equivalent (CMS),0,0,MS-DRG - DRG eq,44818936
MS-DRG - DRG eq,MS-DRG to DRG equivalent (CMS),0,0,DRG - MS-DRG eq,44818937
DRG - MDC cat,DRG to MDC category (CMS),1,0,MDC cat - DRG,44818938
MDC cat - DRG,MDC category to DRG (CMS),1,1,DRG - MDC cat,44818939
Visit cat - PoS,Visit category to Place of Service (OMOP),1,1,PoS - Visit cat,44818940
PoS - Visit cat,Place of Service to Visit category (OMOP),1,0,Visit cat - PoS,44818941
VAProd - NDFRT,VA Product to NDF-RT (NDF-RT),0,0,NDFRT - VAProd,44818942
NDFRT - VAProd,NDF-RT to VA Product (NDF-RT),0,0,VAProd - NDFRT,44818943
VAProd - RxNorm eq,VA Product to RxNorm equivalent (NDF-RT),0,0,RxNorm - VAProd eq,44818944
RxNorm - VAProd eq,RxNorm to VA Product equivalent (NDF-RT),0,0,VAProd - RxNorm eq,44818945
RxNorm replaced by,Concept replaced by (RxNorm),0,0,RxNorm replaces,44818946
RxNorm replaces,Concept replaces (RxNorm),0,0,RxNorm replaced by,44818947
SNOMED replaced by,Concept replaced by (SNOMED),0,0,SNOMED replaces,44818948
SNOMED replaces,Concept replaces (SNOMED),0,0,SNOMED replaced by,44818949
Multilex has ing,Has ingredient (Multilex),0,0,Multilex ing of,44818950
Multilex ing of,Ingredient of (Multilex),0,1,Multilex has ing,44818951
RxNorm - Multilex eq,RxNorm to Multilex equivalent (OMOP),0,0,Multilex - RxNorm eq,44818952
Multilex - RxNorm eq,Multilex to RxNorm equivalent (OMOP),0,1,RxNorm - Multilex eq,44818953
Multilex ing - class,Multilex ingredient to drug class (OMOP),0,0,Class - Multilex ing,44818954
Class - Multilex ing,Drug class to Multilex ingredient (OMOP),0,1,Multilex ing - class,44818955
Concept replaced by,Concept replaced by,0,0,Concept replaces,44818956
Concept replaces,Concept replaces,0,0,Concept replaced by,44818957
Concept same_as to,Inactive same_as active (SNOMED),0,0,Concept same_as from,44818958
Concept same_as from,Active same_as inactive (SNOMED),0,0,Concept same_as to,44818959
Concept alt_to to,Inactive alternative_to active (SNOMED),0,0,Concept alt_to from,44818960
Concept alt_to from,Active alternative_to inactive (SNOMED),0,0,Concept alt_to to,44818961
Concept poss_eq to,Inactive possibly_equivalent_to active (SNOMED),0,0,Concept poss_eq from,44818962
Concept poss_eq from,Active possibly_equivalent_to inactive (SNOMED),0,0,Concept poss_eq to,44818963
Concept was_a to,Inactive was_a active (SNOMED),0,0,Concept was_a from,44818964
Concept was_a from,Active was_a inactive (SNOMED),0,0,Concept was_a to,44818965
SNOMED meas - HCPCS,SNOMED measurement subsumes HCPCS (OMOP),1,1,HCPCS - SNOMED meas,44818966
HCPCS - SNOMED meas,HCPCS is a SNOMED measurement (OMOP),1,0,SNOMED meas - HCPCS,44818967
Domain subsumes,Domain subsumes (OMOP),1,0,Is domain,44818968
Is domain,Is a domain (OMOP),0,0,Domain subsumes,44818969
Excluded in map from,Standard to Non-standard exclude child (OMOP),0,0,Map excludes child,44818970
ICD9P replaced by,Concept replaced by (ICD-9-Procedure),0,0,ICD9P replaces,44818971
ICD9P replaces,Concept replaces (ICD-9-Procedure),0,0,ICD9P replaced by,44818972
Included in map from,Standard to Non-standard include child (OMOP),0,0,Map includes child,44818973
Map excludes child,Non-standard to Standard exclude child (OMOP),0,0,Excluded in map from,44818974
Map includes child,Non-standard to Standard include child (OMOP),0,0,Included in map from,44818975
Mapped from,Standard to Non-standard map (OMOP),0,0,Maps to,44818976
Maps to,Non-standard to Standard map (OMOP),0,0,Mapped from,44818977
UCUM replaced by,Concept replaced by (UCUM),0,0,UCUM replaces,44818978
UCUM replaces,Concept replaces (UCUM),0,0,UCUM replaced by,44818979
Maps to type,Non-standard to type concept map (OMOP),0,0,Type mapped from,44819237
Maps to unit,Non-standard to unit concept map (OMOP),0,0,Unit mapped from,44819238
Maps to value,Non-standard to value_as_concept map (OMOP),0,0,Value mapped from,44819239
Type mapped from,Type concept to non-standard map (OMOP),0,0,Maps to type,44819240
Unit mapped from,Unit concept to non-standard map (OMOP),0,0,Maps to unit,44819241
Value mapped from,Value_as_concept to non-standard map (OMOP),0,0,Maps to value,44819242
ICD9CM - MedDRA,ICD-9-CM to MedDRA (MSSO),0,0,MedDRA - ICD9CM,44819286
MedDRA - ICD9CM,MedDRA to ICD-9-CM (MSSO),0,0,ICD9CM - MedDRA,44819287
ICD9CM - FDB Ind,ICD-9-CM to FDB Indication/Contraindication (FDB),0,0,FDB Ind - ICD9CM,44819288
FDB Ind - ICD9CM,FDB Indication/Contraindication to ICD-9-CM (FDB),0,0,ICD9CM - FDB Ind,44819289
