invalid_reason,id,code,name,concept_class,secondary_domain,concept_domain
D,2212086,7F,ACADM (medium chain acyl CoA dehydrogenase deficiency),Measurement,,Measurement
D,42740584,0008F,"ACE inhibitor therapy, prescribed",Drug,d,Drug
D,2102354,15336,###############################################################################################################################################################################################################################################################,Procedure,,Procedure
D,2102353,15335,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or one percent of body area of infants and children",Procedure,,Procedure
D,2102352,15331,"Acellular dermal allograft, trunk, arms, legs; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",Procedure,,Procedure
D,2102341,15330,"Acellular dermal allograft, trunk, arms, legs; first 100 sq cm or less, or one percent of body area of infants and children",Procedure,,Procedure
D,2102318,15176,"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately",Procedure,,Procedure
D,2102317,15175,"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or one percent of body area of infants and children",Procedure,,Procedure
D,2102316,15171,"Acellular dermal replacement, trunk, arms, legs; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",Procedure,,Procedure
D,2102315,15170,"Acellular dermal replacement, trunk, arms, legs; first 100 sq cm or less, or one percent of body area of infants and children",Procedure,,Procedure
D,2102380,15431,"Acellular xenograft implant; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",Procedure,,Procedure
D,2102379,15430,"Acellular xenograft implant; first 100 sq cm or less, or one percent of body area of infants and children",Procedure,,Procedure
,2104833,27120,"Acetabuloplasty; (eg, Whitman, Colonna, Haygroves, or cup type)",Procedure,,Procedure
,2104834,27122,"Acetabuloplasty; resection, femoral head (eg, Girdlestone procedure)",Procedure,,Procedure
,2212177,82000,"Acetaldehyde, blood",Measurement,,Measurement
,2212178,82003,Acetaminophen,Measurement,,Measurement
,2212179,82009,"Acetone or other ketone bodies, serum; qualitative",Measurement,,Measurement
,2212180,82010,"Acetone or other ketone bodies, serum; quantitative",Measurement,,Measurement
,2212181,82013,Acetylcholinesterase,Measurement,,Measurement
,2101874,10040,"Acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)",Procedure,,Procedure
,40757118,0225T,"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; multiple, including serial trended analysis and limited reprogramming of device parameter, AV and VV delays, with interpretation and report",Procedure,,Procedure
,40756976,0224T,"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; multiple, including serial trended analysis and limited reprogramming of device parameter, AV or VV delays only, with interpretation and report",Procedure,,Procedure
,40756875,0223T,"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; single, with interpretation and report",Procedure,,Procedure
D,42740716,0069T,Acoustic heart sound recording and computer analysis; acoustic heart sound recording and computer analysis only (List separately in addition to codes for electrocardiography),Procedure,,Procedure
D,42740717,0070T,Acoustic heart sound recording and computer analysis; interpretation and report only (List separately in addition to codes for electrocardiography),Procedure,,Procedure
D,42740715,0068T,Acoustic heart sound recording and computer analysis; with interpretation and report (List separately in addition to codes for electrocardiography),Procedure,,Procedure
,40757149,92570,"Acoustic immittance testing, includes tympanometry (impedance testing), acoustic reflex threshold testing, and acoustic reflex decay testing",Procedure,,Procedure
D,42734374,92569,Acoustic reflex decay test,Procedure,,Procedure
,2313736,92568,Acoustic reflex testing,Procedure,,Procedure
,2103634,23130,"Acromioplasty or acromionectomy, partial, with or without coracoacromial ligament release",Procedure,,Procedure
,2212139,80402,ACTH stimulation panel; for 21 hydroxylase deficiency This panel must include the following: Cortisol (82533 x 2) 17 hydroxyprogesterone (83498 x 2),Procedure Drug,l,Procedure
,2212140,80406,ACTH stimulation panel; for 3 beta-hydroxydehydrogenase deficiency This panel must include the following: Cortisol (82533 x 2) 17 hydroxypregnenolone (84143 x 2),Procedure Drug,l,Procedure
,2212138,80400,ACTH stimulation panel; for adrenal insufficiency This panel must include the following: Cortisol (82533 x 2),Procedure Drug,l,Procedure
D,42740971,0089T,"Actigraphy testing, recording, analysis and interpretation (minimum of three-day recording)",Procedure,,Procedure
,2314094,95803,"Actigraphy testing, recording, analysis, interpretation, and report (minimum of 72 hours to 14 consecutive days of recording)",Procedure,,Procedure
,2314252,96900,Actinotherapy (ultraviolet light),Procedure,,Procedure
,2212688,85307,Activated Protein C (APC) resistance assay,Measurement,,Measurement
,2108782,4250F,"Active warming used intraoperatively for the purpose of maintaining normothermia, OR at least one body temperature equal to or greater than 36 degrees Centigrade (or 96.8 degrees Fahrenheit) recorded within the 30 minutes immediately before or the 30 minu",Procedure,,Procedure
,2314324,97814,"Acupuncture, one or more needles, with electrical stimulation; each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)",Procedure,,Procedure
,2314323,97813,"Acupuncture, one or more needles, with electrical stimulation; initial 15 minutes of personal one-on-one contact with the patient",Procedure,,Procedure
,2314322,97811,"Acupuncture, one or more needles, without electrical stimulation; each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)",Procedure,,Procedure
,2314321,97810,"Acupuncture, one or more needles, without electrical stimulation; initial 15 minutes of personal one-on-one contact with the patient",Procedure,,Procedure
D,42739019,97781,"Acupuncture, one or more needles; with electrical stimulation",Procedure,,Procedure
D,42739018,97780,"Acupuncture, one or more needles; without electrical stimulation",Procedure,,Procedure
,2211963,78278,Acute gastrointestinal blood loss imaging,Procedure,,Procedure
,2212098,80074,"Acute hepatitis panel This panel must include the following: Hepatitis A antibody (HAAb), IgM antibody (86709) Hepatitis B core antibody (HbcAb), IgM antibody (86705) Hepatitis B surface antigen (HbsAg) (87340) Hepatitis C antibody (86803)",Measurement,,Measurement
,2211980,78456,"Acute venous thrombosis imaging, peptide",Procedure,,Procedure
,2212182,82016,"Acylcarnitines; qualitative, each specimen",Measurement,,Measurement
,2212183,82017,"Acylcarnitines; quantitative, each specimen",Measurement,,Measurement
,2105896,29440,Adding walker to previously applied cast,Procedure,,Procedure
D,2722266,85030,"Additional automated hemogram indices (eg, red cell distribution width (RDW), mean platelet volume (MPV), red blood cell histogram, platelet histogram, white blood cell histogram); four or more indices.",Measurement,,Measurement
D,2722265,85029,"Additional automated hemogram indices (eg, red cell distribution width (RDW), mean platelet volume (MPV), red blood cell histogram, platelet histogram, white blood cell histogram); one to three indices.",Measurement,,Measurement
,43528009,93657,Additional linear or focal intracardiac catheter ablation of the left or right atrium for treatment of atrial fibrillation remaining after completion of pulmonary vein isolation (List separately in addition to code for primary procedure),Procedure,,Procedure
,2108820,42831,"Adenoidectomy, primary; age 12 or over",Procedure,,Procedure
,2108819,42830,"Adenoidectomy, primary; under age 12",Procedure,,Procedure
,2108822,42836,"Adenoidectomy, secondary; age 12 or over",Procedure,,Procedure
,2108821,42835,"Adenoidectomy, secondary; under age 12",Procedure,,Procedure
,2212185,82030,"Adenosine, 5-monophosphate, cyclic (cyclic AMP)",Measurement,,Measurement
,2213422,90476,"Adenovirus vaccine, type 4, live, for oral use",Procedure Drug,,Procedure
,2213423,90477,"Adenovirus vaccine, type 7, live, for oral use",Procedure Drug,,Procedure
,40757071,14301,"Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm",Procedure,,Procedure
,40757055,14302,"Adjacent tissue transfer or rearrangement, any area; each additional 30.0 sq cm, or part thereof (List separately in addition to code for primary procedure)",Procedure,,Procedure
,2102255,14060,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less",Procedure,,Procedure
,2102256,14061,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm",Procedure,,Procedure
,2102253,14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less",Procedure,,Procedure
,2102254,14041,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm",Procedure,,Procedure
D,42735360,14300,"Adjacent tissue transfer or rearrangement, more than 30 sq cm, unusual or complicated, any area",Procedure,,Procedure
,2102241,14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less",Procedure,,Procedure
,2102252,14021,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm",Procedure,,Procedure
,2102239,14000,"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less",Procedure,,Procedure
,2102240,14001,"Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm",Procedure,,Procedure
,2102936,20693,"Adjustment or revision of external fixation system requiring anesthesia (eg, new pin(s) or wire(s) and/or new ring(s) or bar(s))",Procedure,,Procedure
,2108678,4164F,"Adjuvant (ie, in combination with external beam radiotherapy to the prostate for prostate cancer) hormonal therapy (gonadotropin-releasing hormone [GnRH] agonist or antagonist) prescribed/administered (PRCA)",Procedure Drug,d,Procedure
,2108694,4180F,Adjuvant chemotherapy prescribed or previously received for Stage IIIA through Stage IIIC colon cancer (ONC),Quality Metric,d,Observation
,2514540,99420,"Administration and interpretation of health risk assessment instrument (eg, health hazard appraisal)",Procedure,,Procedure
,2211921,78075,"Adrenal imaging, cortex and/or medulla",Procedure,,Procedure
,2110390,60540,"Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure)",Procedure,,Procedure
,2110391,60545,"Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure); with excision of adjacent retroperitoneal tumor",Procedure,,Procedure
,2212184,82024,Adrenocorticotropic hormone (ACTH),Measurement,,Measurement
,2102032,1157F,Advance care plan or similar legal document present in the medical record (COA),Quality Metric,,Observation
,2102032,1157F,Advance care plan or similar legal document present in the medical record (COA),Quality Metric,,Observation
,2101941,1123F,Advance Care Planning discussed and documented advance care plan or surrogate decision maker documented in the medical record (GER),Quality Metric,,Observation
,2101941,1123F,Advance Care Planning discussed and documented advance care plan or surrogate decision maker documented in the medical record (GER),Quality Metric,,Observation
,2101942,1124F,Advance Care Planning discussed and documented in the medical record patient did not wish or was not able to name a surrogate decision maker or provide an advance care plan (GER),Quality Metric,,Observation
,2101942,1124F,Advance Care Planning discussed and documented in the medical record patient did not wish or was not able to name a surrogate decision maker or provide an advance care plan (GER),Quality Metric,,Observation
,2102033,1158F,Advance care planning discussion documented in the medical record (COA),Quality Metric,,Observation
,2102033,1158F,Advance care planning discussion documented in the medical record (COA),Quality Metric,,Observation
,2314027,94642,Aerosol inhalation of pentamidine for pneumocystis carinii pneumonia treatment or prophylaxis,Procedure,,Procedure
,2314037,94664,"Aerosol or vapor inhalations for sputum mobilization, bronchodilation, or sputum induction for diagnostic purposes; initial demonstration and/or evaluation",Procedure,,Procedure
D,42738857,94665,"Aerosol or vapor inhalations for sputum mobilization, bronchodilation, or sputum induction for diagnostic purposes; subsequent",Procedure,,Procedure
D,42741461,4007F,Age-Related Eye Disease Study (AREDS) formulation prescribed or recommended (EC),Quality Metric,,Observation
,2212746,86000,"Agglutinins, febrile (eg, Brucella, Francisella, Murine typhus, Q fever, Rocky Mountain spotted fever, scrub typhus), each antigen",Measurement,,Measurement
,42742389,94728,Airway resistance by impulse oscillometry,Procedure,,Procedure
D,40756879,0250T,"Airway sizing and insertion of bronchial valve(s), each lobe (List separately in addition to code for primary procedure)",Procedure,,Procedure
,2107308,3370F,AJCC Breast Cancer Stage 0 documented (ONC),Quality Metric,,Observation
,2107340,3374F,AJCC Breast Cancer Stage I: T1c (tumor size > 1 cm to 2 cm) documented (ONC),Quality Metric,,Observation
,2107334,3372F,"AJCC Breast Cancer Stage I: T1mic, T1a or T1b (tumor size <= 1 cm) documented (ONC)",Quality Metric,,Observation
,2107358,3376F,AJCC Breast Cancer Stage II documented (ONC),Quality Metric,,Observation
,2107381,3378F,AJCC Breast Cancer Stage III documented (ONC),Quality Metric,,Observation
,2107385,3380F,AJCC Breast Cancer Stage IV documented (ONC),Quality Metric,,Observation
,2107009,3321F,"AJCC Cancer Stage 0 or IA Melanoma, documented (ML)",Quality Metric,,Observation
,2107009,3321F,"AJCC Cancer Stage 0 or IA Melanoma, documented (ML)",Quality Metric,,Observation
D,42741611,3302F,"AJCC Cancer Stage 0, documented (ONC)1, (ML)",Quality Metric,,Observation
D,42741612,3303F,"AJCC Cancer Stage IA, documented (ONC)1, (ML)",Quality Metric,,Observation
D,42741613,3304F,"AJCC Cancer Stage IB, documented (ONC)1, (ML)",Quality Metric,,Observation
D,42741614,3305F,"AJCC Cancer Stage IC, documented (ONC)1, (ML)",Quality Metric,,Observation
D,42741615,3306F,"AJCC Cancer Stage IIA, documented (ONC)1, (ML)",Quality Metric,,Observation
D,42741616,3307F,"AJCC Cancer Stage IIB, documented (ONC)1, (ML)",Quality Metric,,Observation
D,42741617,3308F,"AJCC Cancer Stage IIC, documented (ONC)1, (ML)",Quality Metric,,Observation
D,42741619,3309F,"AJCC Cancer Stage IIIA, documented (ONC), (ML)",Quality Metric,,Observation
D,42741620,3310F,"AJCC Cancer Stage IIIB, documented (ONC)1, (ML)",Quality Metric,,Observation
D,42741621,3311F,"AJCC Cancer Stage IIIC, documented (ONC), (ML)",Quality Metric,,Observation
D,42741622,3312F,"AJCC Cancer Stage IV, documented (ONC), (ML)",Quality Metric,,Observation
D,2106963,3313F,"AJCC Cancer Stage IVB, documented (ONC), (ML)",Quality Metric,,Observation
D,2106966,3314F,"AJCC Cancer Stage IVC, documented (ONC), (ML)",Quality Metric,,Observation
,2107391,3382F,"AJCC colon cancer, Stage 0 documented (ONC)",Quality Metric,,Observation
,2107404,3384F,"AJCC colon cancer, Stage I documented (ONC)",Quality Metric,,Observation
,2107422,3386F,"AJCC colon cancer, Stage II documented (ONC)",Quality Metric,,Observation
,2107452,3388F,"AJCC colon cancer, Stage III documented (ONC)",Quality Metric,,Observation
,2107454,3390F,"AJCC colon cancer, Stage IV documented (ONC)",Quality Metric,,Observation
,2101907,1070F,"Alarm symptoms (involuntary weight loss, dysphagia, or gastrointestinal bleeding) assessed; none present (GERD)",Quality Metric,,Observation
,2101908,1071F,"Alarm symptoms (involuntary weight loss, dysphagia, or gastrointestinal bleeding) assessed; one or more present (GERD)",Quality Metric,,Observation
,2212190,82045,Albumin; ischemia modified,Measurement,,Measurement
,2212186,82040,Albumin; serum,Measurement,,Measurement
,2212187,82042,"Albumin; urine or other source, quantitative, each specimen",Measurement,,Measurement
,2212188,82043,"Albumin; urine, microalbumin, quantitative",Measurement,,Measurement
,2212189,82044,"Albumin; urine, microalbumin, semiquantitative (eg, reagent strip assay)",Measurement,,Measurement
,2212191,82055,Alcohol (ethanol); any specimen except breath,Measurement,,Measurement
,2212192,82075,Alcohol (ethanol); breath,Measurement,,Measurement
,2514536,99408,"Alcohol and/or substance (other than tobacco) abuse structured screening (eg, AUDIT, DAST), and brief intervention (SBI) services; 15 to 30 minutes",Medical Service,,Observation
,2514537,99409,"Alcohol and/or substance (other than tobacco) abuse structured screening (eg, AUDIT, DAST), and brief intervention (SBI) services; greater than 30 minutes",Medical Service,,Observation
,2212193,82085,Aldolase,Measurement,,Measurement
,2212194,82088,Aldosterone,Measurement,,Measurement
,2212141,80408,"Aldosterone suppression evaluation panel (eg, saline infusion) This panel must include the following: Aldosterone (82088 x 2) Renin (84244 x 2)",Procedure Drug,l,Procedure
,40756895,0206T,"Algorithmic analysis, remote, of electrocardiographic-derived data with computer probability assessment, including report",Procedure,,Procedure
,2212195,82101,"Alkaloids, urine, quantitative",Measurement,,Measurement
,2110380,6030F,"All elements of maximal sterile barrier technique including: cap AND mask AND sterile gown AND sterile gloves AND a large sterile sheet AND hand hygiene AND 2% chlorhexidine for cutaneous antisepsis, followed (CRIT)",Procedure,,Procedure
,2102100,1180F,All specified thromboembolic risk factors assessed (AFIB),Quality Metric,,Observation
,2212749,86005,"Allergen specific IgE; qualitative, multiallergen screen (dipstick, paddle or disk)",Measurement,,Measurement
,2212748,86003,"Allergen specific IgE; quantitative or semiquantitative, each allergen",Measurement,,Measurement
,2212747,86001,"Allergen specific IgG quantitative or semiquantitative, each allergen",Measurement,,Measurement
,43528011,95018,"Allergy testing, any combination of percutaneous (scratch, puncture, prick) and intracutaneous (intradermal), sequential and incremental, with drugs or biologicals, immediate type reaction, including test interpretation and report, specify number of tests",Procedure,,Procedure
,43528010,95017,"Allergy testing, any combination of percutaneous (scratch, puncture, prick) and intracutaneous (intradermal), sequential and incremental, with venoms, immediate type reaction, including test interpretation and report, specify number of tests",Procedure,,Procedure
,2102976,20930,Allograft for spine surgery only; morselized,Procedure,,Procedure
,2102977,20931,Allograft for spine surgery only; structural,Procedure,,Procedure
D,2102340,15321,###############################################################################################################################################################################################################################################################,Procedure,,Procedure
D,2102339,15320,"Allograft skin for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or one percent of body area of infants and children",Procedure,,Procedure
D,2102338,15301,"Allograft skin for temporary wound closure, trunk, arms, legs; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",Procedure,,Procedure
D,2102337,15300,"Allograft skin for temporary wound closure, trunk, arms, legs; first 100 sq cm or less, or one percent of body area of infants and children",Procedure,,Procedure
,2212197,82104,Alpha-1-antitrypsin; phenotype,Measurement,,Measurement
,2212196,82103,Alpha-1-antitrypsin; total,Measurement,,Measurement
,2212200,82107,Alpha-fetoprotein (AFP); AFP-L3 fraction isoform and total AFP (including ratio),Measurement,,Measurement
,2212199,82106,Alpha-fetoprotein; amniotic fluid,Measurement,,Measurement
,2212198,82105,Alpha-fetoprotein; serum,Measurement,,Measurement
D,2007440,92,Alternative Laboratory Platform Testing,Procedure,,Procedure
,42742438,4144F,Alternative long-term control medication prescribed (Asthma),Drug,d,Drug
,2212201,82108,Aluminum,Measurement,,Measurement
,2108705,41830,"Alveolectomy, including curettage of osteitis or sequestrectomy",Procedure,,Procedure
,2108711,41874,"Alveoloplasty, each quadrant (specify)",Procedure,,Procedure
,2313967,93784,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; including recording, scanning analysis, interpretation and report",Procedure,,Procedure
,2313970,93790,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; physician review with interpretation and report",Procedure,,Procedure
,2313968,93786,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; recording only",Procedure,,Procedure
,2313969,93788,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; scanning analysis with report",Procedure,,Procedure
,2314093,95251,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor for up to 72 hours; physician interpretation and report,Procedure,,Procedure
,2106910,3300F,American Joint Committee on Cancer (AJCC) stage documented and reviewed (ONC),Quality Metric,,Observation
,2106910,3300F,American Joint Committee on Cancer (AJCC) stage documented and reviewed (ONC),Quality Metric,,Observation
,2212105,80150,Amikacin,Measurement,,Measurement
,2212202,82120,"Amines, vaginal fluid, qualitative",Measurement,,Measurement
,2212207,82136,"Amino acids, 2 to 5 amino acids, quantitative, each specimen",Measurement,,Measurement
,2212208,82139,"Amino acids, 6 or more amino acids, quantitative, each specimen",Measurement,,Measurement
D,2722261,82130,"Amino acids, urine or plasma, chromatographic fractionation.",Measurement,,Measurement
,2212204,82128,"Amino acids; multiple, qualitative, each specimen",Measurement,,Measurement
,2212203,82127,"Amino acids; single, qualitative, each specimen",Measurement,,Measurement
,2212205,82131,"Amino acids; single, quantitative, each specimen",Measurement,,Measurement
,2212206,82135,"Aminolevulinic acid, delta (ALA)",Measurement,,Measurement
,2212106,80152,Amitriptyline,Measurement,,Measurement
,2212209,82140,Ammonia,Measurement,,Measurement
,2110279,59000,Amniocentesis; diagnostic,Procedure,,Procedure
,2110280,59001,Amniocentesis; therapeutic amniotic fluid reduction (includes ultrasound guidance),Procedure,,Procedure
,2212210,82143,Amniotic fluid scan (spectrophotometric),Measurement,,Measurement
,2212211,82145,Amphetamine or methamphetamine,Measurement,,Measurement
,2109915,54135,"Amputation of penis, radical; in continuity with bilateral pelvic lymphadenectomy, including external iliac, hypogastric and obturator nodes",Procedure,,Procedure
,2109914,54130,"Amputation of penis, radical; with bilateral inguinofemoral lymphadenectomy",Procedure,,Procedure
,2109913,54125,Amputation of penis; complete,Procedure,,Procedure
,2109912,54120,Amputation of penis; partial,Procedure,,Procedure
,2105451,27888,"Amputation, ankle, through malleoli of tibia and fibula (eg, Syme, Pirogoff type procedures), with plastic closure and resection of nerves",Procedure,,Procedure
,2104037,24920,"Amputation, arm through humerus; open, circular (guillotine)",Procedure,,Procedure
,2104039,24930,"Amputation, arm through humerus; re-amputation",Procedure,,Procedure
,2104038,24925,"Amputation, arm through humerus; secondary closure or scar revision",Procedure,,Procedure
,2104040,24931,"Amputation, arm through humerus; with implant",Procedure,,Procedure
,2104036,24900,"Amputation, arm through humerus; with primary closure",Procedure,,Procedure
,2104720,26951,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure",Procedure,,Procedure
,2104721,26952,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (V-Y, hood)",Procedure,,Procedure
,2105804,28800,"Amputation, foot; midtarsal (eg, Chopart type procedure)",Procedure,,Procedure
,2105805,28805,"Amputation, foot; transmetatarsal",Procedure,,Procedure
,2104340,25900,"Amputation, forearm, through radius and ulna",Procedure,,Procedure
,2104341,25905,"Amputation, forearm, through radius and ulna; open, circular (guillotine)",Procedure,,Procedure
,2104353,25909,"Amputation, forearm, through radius and ulna; re-amputation",Procedure,,Procedure
,2104352,25907,"Amputation, forearm, through radius and ulna; secondary closure or scar revision",Procedure,,Procedure
,2105446,27880,"Amputation, leg, through tibia and fibula",Procedure,,Procedure
,2105448,27882,"Amputation, leg, through tibia and fibula; open, circular (guillotine)",Procedure,,Procedure
,2105450,27886,"Amputation, leg, through tibia and fibula; re-amputation",Procedure,,Procedure
,2105449,27884,"Amputation, leg, through tibia and fibula; secondary closure or scar revision",Procedure,,Procedure
,2105447,27881,"Amputation, leg, through tibia and fibula; with immediate fitting technique including application of first cast",Procedure,,Procedure
,2104719,26910,"Amputation, metacarpal, with finger or thumb (ray amputation), single, with or without interosseous transfer",Procedure,,Procedure
,2105806,28810,"Amputation, metatarsal, with toe, single",Procedure,,Procedure
,2105209,27590,"Amputation, thigh, through femur, any level",Procedure,,Procedure
,2105210,27591,"Amputation, thigh, through femur, any level; immediate fitting technique including first cast",Procedure,,Procedure
,2105211,27592,"Amputation, thigh, through femur, any level; open, circular (guillotine)",Procedure,,Procedure
,2105223,27596,"Amputation, thigh, through femur, any level; re-amputation",Procedure,,Procedure
,2105222,27594,"Amputation, thigh, through femur, any level; secondary closure or scar revision",Procedure,,Procedure
,2105808,28825,"Amputation, toe; interphalangeal joint",Procedure,,Procedure
,2105807,28820,"Amputation, toe; metatarsophalangeal joint",Procedure,,Procedure
,2212212,82150,Amylase,Measurement,,Measurement
,2414363,99090,"Analysis of clinical data stored in computers (eg, ECGs, blood pressures, hematologic data)",Procedure,,Procedure
,2107263,33606,Anastomosis of pulmonary artery to aorta (Damus-Kaye-Stansel procedure),Procedure,,Procedure
,2110538,61711,"Anastomosis, arterial, extracranial-intracranial (eg, middle cerebral/cortical) arteries",Procedure,,Procedure
,2107357,33768,"Anastomosis, cavopulmonary, second superior vena cava (List separately in addition to primary procedure)",Procedure,,Procedure
D,42733593,47716,"Anastomosis, choledochal cyst, without excision",Procedure,,Procedure
D,42741059,47719,"Anastomosis, choledochal cyst, without excision",Procedure,,Procedure
,2109385,47760,"Anastomosis, of extrahepatic biliary ducts and gastrointestinal tract",Procedure,,Procedure
,2109386,47765,"Anastomosis, of intrahepatic ducts and gastrointestinal tract",Procedure,,Procedure
,2109387,47780,"Anastomosis, Roux-en-Y, of extrahepatic biliary ducts and gastrointestinal tract",Procedure,,Procedure
,2109388,47785,"Anastomosis, Roux-en-Y, of intrahepatic biliary ducts and gastrointestinal tract",Procedure,,Procedure
,2110879,64868,Anastomosis; facial-hypoglossal,Procedure,,Procedure
,2110880,64870,Anastomosis; facial-phrenic,Procedure,,Procedure
,2110878,64866,Anastomosis; facial-spinal accessory,Procedure,,Procedure
,2212213,82154,Androstanediol glucuronide,Measurement,,Measurement
,2212214,82157,Androstenedione,Measurement,,Measurement
