FDA preferred term	UNII	Drugbank Name	Drugbank Id	Rxcui	RxTerm
2-DEOXYGLUCOSE	9G2MP84A8W	2-DEOXYGLUCOSE	DB08831		
2'-DEOXYINOSINE	HN0RQ6SBWQ	2'-DEOXYINOSINE	DB02380		
2-FLUOROADENOSINE	0S67290CRJ	2-FLUOROADENOSINE	DB04441		
2-HEPTYL-4-HYDROXYQUINOLINE N-OXIDE	1FU5S5CG6A	2-HEPTYL-4-HYDROXY QUINOLINE N-OXIDE	DB07918		
2-HYDROXY-5-NITROPHENYL SULFATE	HD9MHQ536A	N,4-DIHYDROXY-N-OXO-3-(SULFOOXY)BENZENAMINIUM	DB01800		
2-HYDROXYCINNAMIC ACID, (2E)-	23AU5FZB9C	TRANS-2-HYDROXYCINNAMIC ACID	DB01650		
2-HYDROXYESTRADIOL	AYU2L67YUU	2,3,17BETA-TRIHYDROXY-1,3,5(10)-ESTRATRIENE	DB07706		
2-HYDROXYETHYL DISULFIDE	45543L74BS	2-HYDROXYETHYL DISULFIDE	DB02486		
2-IMINOBIOTIN	HXH71NRQ5C	2-IMINOBIOTIN	DB03353		
2-ISOBUTYL-3-METHOXYPYRAZINE	S327O0T12O	2-ISOBUTYL-3-METHOXYPYRAZINE	DB04512		
2-ISOPROPYL-3-METHOXYPYRAZINE	1FL7L111A6	2-METHOXY-3-ISOPROPYLPYRAZINE	DB01760		
2-MERCAPTOETHANOL	14R9K67URN	BETA-MERCAPTOETHANOL	DB03345		
2-MERCAPTOPYRIDINE	EE982KT952	2-PYRIDINETHIOL	DB03329		
2-METHOXY-4-VINYLPHENOL	DA069CTH0O	2-METHOXY-4-VINYL-PHENOL	DB03514		
2-METHOXYESTRADIOL	6I2QW73SR5	2-METHOXYESTRADIOL	DB02342		
2-NAPHTHALENESULFONIC ACID	O9S4K2S25E	2-NAPHTHALENESULFONIC ACID	DB08254		
2-NITRO-P-CRESOL	P92KPK2NL3	2-NITRO-P-CRESOL	DB04110		
2-(N-MORPHOLINO)ETHANESULFONIC ACID	2GNK67Q0C4	2-(N-MORPHOLINO)-ETHANESULFONIC ACID	DB03814		
2-UNDECANONE	YV5DSO8CY9	UNDECAN-2-ONE	DB08688		
3,20-PREGNANEDIONE	105J2Q45A0	(5BETA)-PREGNANE-3,20-DIONE	DB07557		
3-(3,4-DIMETHOXYPHENYL)PROPIONIC ACID	6XO32ZSP1D	3-(3,4-DIMETHOXYPHENYL)PROPIONIC ACID	DB04208		
3,3',5,5'-TETRACHLORO-4,4'-BIPHENYLDIOL	OHS8K6J04I	3,5,3',5'-TETRACHLORO-BIPHENYL-4,4'-DIOL	DB03346		
3,3',5,5'-TETRAIODOTHYROACETIC ACID	PA7UX1FFYQ	3,3',5,5'-TETRAIODOTHYROACETIC ACID	DB01751		
3,4-BIPHENYLDIOL	T7L7XJ8RU1	1,1'-BIPHENYL-3,4-DIOL	DB07478		
3,4-DIHYDROXYBENZOIC ACID	36R5QJ8L4B	3,4-DIHYDROXYBENZOIC ACID	DB03946		
3-(4-HYDROXYPHENYL)PROPIONIC ACID	6QNC6P18SR	HYDROXYPHENYL PROPIONIC ACID	DB03897		
3-(4-HYDROXYPHENYL)PYRUVIC ACID	0YP1694WNQ	3-(4-HYDROXY-PHENYL)PYRUVIC ACID	DB07718		
3,4-XYLENOL	4L479F5JU6	3,4-DIMETHYLPHENOL	DB04052		
3,4-XYLIDINE	R27I33AIDT	3,4-DIMETHYLANILINE	DB03018		
3,5-DIIODOSALICYLIC ACID	1496OH15B6	2-HYDROXY-3,5-DIIODOBENZOIC ACID	DB04674		
3,5-DINITROCATECHOL	VK0VA22GY2	3,5-DINITROCATECHOL	DB02105		
3.BETA.-ANDROSTANEDIOL	6J0K4253QD	5-ALPHA-ANDROSTANE-3-BETA,17BETA-DIOL	DB03882		
3-(CYCLOHEXYLAMINO)PROPANESULFONIC ACID	4W981O1LXP	3-CYCLOHEXYL-1-PROPYLSULFONIC ACID	DB02219		
3'-FLUORO-3'-DEOXYTHYMIDINE 5'-MONOPHOSPHATE	K6W0IAP44B	PHOSPHORIC ACID MONO-[3-FLUORO-5-(5-METHYL-2,4-DIOXO-3,4-DIHYDRO-2H-PYRIMIDIN-1-YL)-TETRAHYRO-FURAN-2-YLMETHYL] ESTER	DB03195		
3-FLUOROTYROSINE, L-	174NRG3M2X	3-FLUOROTYROSINE	DB04436		
3-INDOLEPROPIONIC ACID	JF49U1Q7KN	INDOLYLPROPIONIC ACID	DB02758		
3-IODOTYROSINE	FRQ98U4U27	3-IODO-TYROSINE	DB01758		
3-METHYLCATECHOL	0HUZ4Q9R8C	3-METHYL-BENZENE-1,2-DIOL	DB03454		
3-NITRO-L-TYROSINE	7COY1HA6HK	META-NITRO-TYROSINE	DB03867		
3-(N-MORPHOLINO)PROPANESULFONIC ACID	273BP63NV3	3[N-MORPHOLINO]PROPANE SULFONIC ACID	DB03434		
3-PHENYL PROPIONIC ACID	5Q445IN5CU	3-PHENYLPROPIONIC ACID	DB02024		
3-PHENYLPROPYLAMINE	P8326EZ31P	3-PHENYLPROPYLAMINE	DB04410		
3-TYROSINE	D5YF57V4QW	3-HYDROXYPHENYLALANINE	DB02387		
4,4'-CYCLOHEXYLIDENEBISPHENOL	64ZF6464QY	4,4'-CYCLOHEXANE-1,1-DIYLDIPHENOL	DB07485		
4,4'-DIHYDOXY-BENZOPHENONE	HZR7D31SBY	BIS(4-HYDROXYPHENYL)METHANONE	DB07635		
4-ANDROSTENEDIOL	G10EHA9I0D	4-ANDROSTENEDIOL	DB01526		
4-BROMO-2,5-DIMETHOXYPHENETHYLAMINE	V77772N32H	4-BROMO-2,5-DIMETHOXYPHENETHYLAMINE	DB01537		
4-(DIMETHYLAMINO)BENZOIC ACID	D1MA908EV0	4-(DIMETHYLAMINO)BENZOIC ACID	DB08748		
4-HYDROXY-2-BUTANONE	TCM0BJ44MF	4-HYDROXY-2-BUTANONE	DB04094		
4-HYDROXYBENZALDEHYDE	O1738X3Y38	P-HYDROXYBENZALDEHYDE	DB03560		
4-HYDROXYBENZOIC ACID	JG8Z55Y12H	P-HYDROXYBENZOIC ACID	DB04242		
4-HYDROXYBUTANOIC ACID	30IW36W5B2	GAMMA HYDROXYBUTYRIC ACID	DB01440	1546380	IN
4-HYDROXYCOUMARIN	X954ZLL2RD	4-HYDROXYCOUMARIN	DB03410		
4-HYDROXYTESTOSTERONE	912GOZ167T	4-HYDROXYTESTOSTERONE	DB01485		
4-IODOPHENYLALANINE	J882Z73MPL	4-IODOPHENYLALANINE	DB04713		
4-IODOPHENYLALANINE	J882Z73MPL	IODO-PHENYLALANINE	DB03660		
4-METHYL-5-THIAZOLEETHANOL	3XYV4I47I8	4-METHYL-5-HYDROXYETHYLTHIAZOLE	DB02969		
4-METHYLCATECHOL	12GLI7JGB3	4-METHYL-1,2-BENZENEDIOL	DB04120		
4-METHYLIMIDAZOLE	Q64GF9FV4I	4-METHYLIMIDAZOLE	DB03385		
4-NITROCATECHOL	SW60NG75EN	4-NITROCATECHOL	DB03407		
4'-PHOSPHOPANTETHEINE	NM39WU8OFM	4'-PHOSPHOPANTETHEINE	DB03912		
5,6-DIMETHYLBENZIMIDAZOLE	553XI1DS20	5,6-DIMETHYLBENZIMIDAZOLE	DB02591		
5,7-DICHLOROKYNURENIC ACID	T61ORK73PY	DCKA, 5,7-DICHLOROKYNURENIC ACID	DB01931		
5-AMINOURACIL	R2O7EKY9G9	5-AMINO-1H-PYRIMIDINE-2,4-DIONE	DB03792		
5-BENZYLACYCLOURIDINE	0H851I3O9D	1-((2-HYDROXYETHOXY)METHYL)-5-BENZYLPYRIMIDINE-2,4(1H,3H)-DIONE	DB07437		
5'-CYTIDYLIC ACID	F469818O25	CYTIDINE-5'-MONOPHOSPHATE	DB03403		
5-FLUOROURIDINE	4K0M952561	5-FLUOROURIDINE	DB01629		
5-METHOXY-N,N-DIISOPROPYLTRYPTAMINE	12D06G8W8E	5-METHOXY-N,N-DIISOPROPYLTRYPTAMINE	DB01441		
5-PHENYLVALERIC ACID	XYJ5U8LCQ8	5-PHENYLVALERIC ACID	DB04051		
6-METHYLMERCAPTOPURINE	6V404DV25O	METHYLTHIOINOSINE	DB02896		
6-PHOSPHOGLUCONIC ACID	W31WK7B8U0	6-PHOSPHOGLUCONIC ACID	DB02076		
7-ETHYL-10-HYDROXYCAMPTOTHECIN	0H43101T0J	LE-SN38	DB05482		
7-HYDROXYSTAUROSPORINE	7BU5H4V94A	7-HYDROXYSTAUROSPORINE	DB01933		
7-NITROINDAZOLE	UX0N37CMVH	7-NITROINDAZOLE	DB02207		
8-AMINOQUINOLINE	U34EAV21TG	SITAMAQUINE	DB04909		
8-AZAGUANINE	Q150359I72	8-AZAGUANINE	DB01667		
9-AMINOPHENANTHRENE	7M9M5KM2XY	9-AMINOPHENANTHRENE	DB03369		
9-METHYLGUANINE	397W61ZHWY	9-METHYLGUANINE	DB02489		
A-620223	01FPW436S6	TRANS-4-(7-CARBAMOYL-1H-BENZIMIDAZOL-2-YL)-1-PROPYLPIPERIDINIUM	DB07330		
ABACAVIR	WR2TIP26VS	ABACAVIR	DB01048	190521	IN
ABARELIX	W486SJ5824	ABARELIX	DB00106	301739	IN
ABIRATERONE	G819A456D0	ABIRATERONE	DB05812	1100072	IN
ABT-510	CRR8E37XOB	ABT-510	DB05434		
ACADESINE	53IEF47846	ACADESINE	DB04944		
ACAMPROSATE	N4K14YGM3J	ACAMPROSATE	DB00659	82819	IN
ACEDIASULFONE	30YP2YHH8W	ACEDIASULFONE	DB08926		
ACEDOBEN	04Z20NMK31	4-ACETAMIDOBENZOIC ACID	DB04500		
ACEGLUTAMIDE	01J18G9G97	N-ACETYL-L-GLUTAMINE	DB04167	1426379	IN
ACEPROMAZINE	54EJ303F0R	ACEPROMAZINE	DB01614	155	IN
ACETAMIDE	8XOE1JSO29	ACETAMIDE	DB02736		
ACETAMINOPHEN	362O9ITL9D	ACETAMINOPHEN	DB00316	161	IN
ACETAZOLAMIDE	O3FX965V0I	ACETAZOLAMIDE	DB00819	167	IN
ACETIC ACID	Q40Q9N063P	ACETIC ACID	DB03166	168	IN
ACETOACETIC ACID	4ZI204Y1MC	ACETOACETIC ACID	DB01762		
ACETOHEXAMIDE	QGC8W08I6I	ACETOHEXAMIDE	DB00414	173	IN
ACETOHYDROXAMIC ACID	4RZ82L2GY5	ACETOHYDROXAMIC ACID	DB00551	16728	IN
ACETONE CYANOHYDRIN	CO1YOV1KFI	ACETONE CYANOHYDRIN	DB02203		
ACETOPHENAZINE	8620H6K4QH	ACETOPHENAZINE	DB01063	16735	IN
ACETOPHENONE	RK493WHV10	ACETOPHENONE	DB04619		
ACETORPHINE	2OGQ81529L	ACETORPHINE	DB01469		
ACETURIC ACID	U2UT4677KR	ACETYLAMINO-ACETIC ACID	DB02713		
ACETYL ARGININE	TQ7DL04CAE	N-ALPHA-L-ACETYL-ARGININE	DB01985		
ACETYLCARNITINE	6DH1W9VH8Q	ACETYLCARNITINE	DB08842	193	IN
ACETYLCHOLINE CHLORIDE	AF73293C2R	ACETYLCHOLINE	DB03128	20814	PIN
ACETYLCHOLINE	N9YNS0M02X	ACETYLCHOLINE	DB03128	194	IN
ACETYLCYSTEINE	WYQ7N0BPYC	ACETYLCYSTEINE	DB06151	197	IN
ACETYLDIGITOXIN	0ZV4Q4L2FU	ACETYLDIGITOXIN	DB00511	132871	IN
ACETYLDIHYDROCODEINE	SGY1T84P34	ACETYLDIHYDROCODEINE	DB01538		
ACETYLENEUREA	U9H2W4OS13	GLYCOLURIL	DB03533		
ACETYL GLUTAMIC ACID	MA61H539YZ	N-ACETYL-L-GLUTAMATE	DB04075		
ACETYL PROLINE	CC8XZ138VZ	N-ACETYLPROLINE	DB03360		
ACIFLUORFEN	OI60IB203A	5-[2-CHLORO-4-(TRIFLUOROMETHYL)PHENOXY]-2-NITROBENZOIC ACID	DB07338		
ACITRETIN	LCH760E9T7	ACITRETIN	DB00459	16818	IN
ACLIDINIUM	K17VY42F6C	ACLIDINIUM	DB08897	1303098	IN
ACRYLIC ACID	J94PBK7X8S	POLYACRYLIC ACID	DB05384	1368626	PIN
ACTINONIN	P18SPA8N0K	2-[(FORMYL-HYDROXY-AMINO)-METHYL]-HEPTANOIC ACID [1-(2-HYDROXYMETHYL-PYRROLIDINE-1-CARBONYL)-2-METHYL-PROPYL]-AMIDE	DB04310		
ACV TRIPEPTIDE	O3VOU3H9VS	L-D-(A-AMINOADIPOYL)-L-CYSTEINYL-D-VALINE	DB02025	1551571	IN
ACYCLOVIR	X4HES1O11F	ACICLOVIR	DB00787	281	IN
ADAMANTANE	PJY633525U	ADAMANTANE	DB03627		
ADAPALENE	1L4806J2QF	ADAPALENE	DB00210	60223	IN
ADEFOVIR DIPIVOXIL	U6Q8Z01514	ADEFOVIR DIPIVOXIL	DB00718	141400	PIN
ADENINE	JAC85A2161	ADENINE	DB00173	290	IN
ADENOSINE CYCLIC PHOSPHATE	E0399OZS9N	CYCLIC ADENOSINE MONOPHOSPHATE	DB02527	1314330	IN
ADENOSINE	K72T3FS567	ADENOSINE	DB00640	296	IN
ADENOSINE PHOSPHATE	415SHH325A	ADENOSINE MONOPHOSPHATE	DB00131	309	PIN
ADENOSINE PHOSPHATE	415SHH325A	AMPICILLIN	DB00415	309	PIN
ADENOSINE TRIPHOSPHATE	8L70Q75FXE	ADENOSINE TRIPHOSPHATE	DB00171	318	IN
ADH-1	B058ME29VU	ADH-1	DB05485		
ADINAZOLAM	KN08449444	ADINAZOLAM	DB00546		
ADIPIC ACID DIHYDRAZIDE	VK98I9YW5M	VASOPRESSIN	DB00067		
AFATINIB	41UD74L59M	AFATINIB	DB08916	1430438	IN
AFEGOSTAT	G23AP190YS	(3R,4R,5R)-5-(HYDROXYMETHYL)PIPERIDINE-3,4-DIOL	DB04545		
AFIMOXIFENE, E-ISOMER	AKE3PH0IML	AFIMOXIFENE	DB04468		
AGMATINE	70J407ZL5Q	AGMATINE	DB08838		
AGOMELATINE	137R1N49AD	AGOMELATINE	DB06594		
AICAR	F0X88YW0YK	AICAR	DB01700		
AJMALINE	1PON08459R	AJMALINE	DB01426	423	IN
AKI-001	LM7NL857V1	8-ETHYL-3,10,10-TRIMETHYL-4,5,6,8,10,12-HEXAHYDROPYRAZOLO[4',3':6,7]CYCLOHEPTA[1,2-B]PYRROLO[2,3-F]INDOL-9(1H)-ONE	DB07266		
ALANINE, D-	E3UDS4613U	D-ALANINE	DB01786		
ALANINE	OF5P57N2ZX	D-ALANINE	DB01786	426	IN
ALBENDAZOLE	F4216019LN	ALBENDAZOLE	DB00518	430	IN
ALCAFTADINE	7Z8O94ECSX	ALCAFTADINE	DB06766	1000082	IN
ALCLOMETASONE	136H45TB7B	ALCLOMETASONE	DB00240	108088	IN
ALCOHOL	3K9958V90M	ETHANOL	DB00898	448	IN
ALDOSTERONE	4964P6T9RB	ALDOSTERONE	DB04630	1312358	IN
ALEGLITAZAR	41T4OAG59U	ALEGLITAZAR	DB08915		
ALENDRONIC ACID	X1J18R4W8P	ALENDRONATE	DB00630	236083	PIN
ALETHINE	LY583605Y8	BETA ALETHINE	DB05800		
ALFACALCIDOL	URQ2517572	ALFACALCIDOL	DB01436	12062	IN
ALFENTANIL	1N74HM2BS7	ALFENTANIL	DB00802	480	IN
ALISERTIB	T66ES73M18	MLN8237	DB05220		
ALISKIREN	502FWN4Q32	ALISKIREN	DB01258	325646	IN
ALITRETINOIN	1UA8E65KDZ	ALITRETINOIN	DB00523	81864	IN
ALLOISOLEUCINE, L-	6RNR8XN7S2	ALLO-ISOLEUCINE	DB01739		
ALLOPURINOL	63CZ7GJN5I	ALLOPURINOL	DB00437	519	IN
ALLYLESTRENOL	I47VB5DZ8O	ALLYLESTRENOL	DB01431	525	IN
ALLYSINE	425I4Y24YZ	2-AMINO-6-OXO-HEXANOIC ACID	DB02571		
ALMITRINE	9A1222NBG4	ALMITRINE	DB01430	528	IN
ALMOTRIPTAN	1O4XL5SN61	ALMOTRIPTAN	DB00918	279645	IN
ALOGLIPTIN	JHC049LO86	ALOGLIPTIN	DB06203	1368001	IN
ALOSETRON	13Z9HTH115	ALOSETRON	DB00969	85248	IN
.ALPHA.-AMINOISOBUTYRIC ACID	1E7ZW41IQU	ALPHA-AMINOISOBUTYRIC ACID	DB02952		
ALPHACETYLMETHADOL	BXF83S0HEL	ALPHACETYLMETHADOL	DB01555		
.ALPHA.-D-FUCOPYRANOSE	K15K52FOK4	ALPHA-D-FUCOSE	DB03485		
.ALPHA.-D-GALACTURONIC ACID	CEP8I6411H	GALACTURONIC ACID	DB03511		
.ALPHA.-D-XYLOPYRANOSE	C791ZE5K1W	ALPHA-D-XYLOPYRANOSE	DB03389		
.ALPHA.-GLUCOSE-1-PHOSPHATE	CIX3U01VAU	ALPHA-D-GLUCOSE-1-PHOSPHATE	DB02843		
.ALPHA.-ISOSPARTEINE	94BIS8AH96	SPARTEINE	DB06727		
.ALPHA.-KETOBUTYRIC ACID	B92RB6HY1A	2-OXOBUTANOIC ACID	DB04553		
.ALPHA.-LACTULOSE	9XH2P2N8EP	LACTULOSE	DB00581		
.ALPHA.-L-FUCOPYRANOSE	OF086I9H7W	ALPHA-L-FUCOSE	DB04473		
ALPHAMETHADOL	XBD99QNI42	ALPHAMETHADOL	DB01498		
.ALPHA.-TOCOPHEROL, D-	N9PR3490H9	VITAMIN E	DB00163		
ALPRAZOLAM	YU55MQ3IZY	ALPRAZOLAM	DB00404		
ALPROSTADIL	F5TD010360	ALPROSTADIL	DB00770		
ALRESTATIN	515DHK15LG	ALRESTATIN	DB02020		
ALTRETAMINE	Q8BIH59O7H	ALTRETAMINE	DB00488		
ALTROPANE	1Q4092099O	ALTROPANE	DB04947		
ALUMINUM	CPD4NFA903	ALUMINIUM	DB01370		
ALUMINUM HYDROXIDE	5QB0T2IUN0	ALUMINUM HYDROXIDE	DB06723		
ALVERINE	46TIR1560O	ALVERINE	DB01616		
ALVIMOPAN	677C126AET	ALVIMOPAN	DB06274		
ALVIMOPAN ANHYDROUS	Q153V49P3Z	ALVIMOPAN	DB06274		
ALVOCIDIB	45AD6X575G	FLAVOPIRIDOL	DB03496		
AMANTADINE	BF4C9Z1J53	AMANTADINE	DB00915		
AMBENONIUM	L16PUN799N	AMBENONIUM	DB01122		
AMBROXOL	200168S0CL	AMBROXOL	DB06742		
AMCINONIDE	423W026MA9	AMCINONIDE	DB00288		
AMD-070	0G9LGB5O2W	AMD-070	DB05501		
AMDINOCILLIN PIVOXIL	1WAM1OQ30B	PIVMECILLINAM	DB01605		
AMDINOCILLIN	V10579P3QZ	AMDINOCILLIN	DB01163		
AMG-208	Y2SR66P7VM	7-METHOXY-4-[(6-PHENYL[1,2,4]TRIAZOLO[4,3-B]PYRIDAZIN-3-YL)METHOXY]QUINOLINE	DB08079		
AMIBEGRON	PDQ3ME68U3	SR 58611	DB05395		
AMIFOSTINE ANHYDROUS	ILA426L95O	AMIFOSTINE	DB01143		
AMIFOSTINE	M487QF2F4V	AMIFOSTINE	DB01143		
AMIKACIN	84319SGC3C	AMIKACIN	DB00479		
AMILORIDE	7DZO8EB0Z3	AMILORIDE	DB00594		
AMINACRINE	78OY3Z0P7Z	AMINACRINE	DB02842		
AMINEPTINE	27T1I13L6G	AMINEPTINE	DB04836		
AMINEPTINE HYDROCHLORIDE	A5P604A12R	AMINEPTINE	DB04836		
AMINOBENZOIC ACID	TL2TJE8QTX	4-AMINOBENZOIC ACID	DB02362		
AMINOCAPROIC ACID	U6F3787206	AMINOCAPROIC ACID	DB00513		
AMINOHIPPURATE SODIUM	SUO3KVS1O9	AMINOHIPPURATE	DB00345		
AMINOHIPPURIC ACID	Y79XT83BJ9	AMINOHIPPURATE	DB00345		
AMINOLEVULINIC ACID	88755TAZ87	AMINOLEVULINIC ACID	DB00855		
AMINOOXYACETIC ACID	14I68GI3OQ	(AMINOOXY)ACETIC ACID	DB02079		
AMINOPHENAZONE	01704YP3MO	AMINOPHENAZONE	DB01424		
AMINOPHYLLINE	27Y3KJK423	AMINOPHYLLINE	DB01223		
AMINOPROPYL DIHYDROGEN PHOSPHATE	D5J0Q2CM4V	O-PHOSPHOETHANOLAMINE	DB01738		
AMINOPTERIN	JYB41CTM2Q	AMINOPTERIN	DB08878		
AMINOQUINURIDE	08T7936572	N,N'-BIS(4-AMINO-2-METHYLQUINOLIN-6-YL)UREA	DB04452		
AMINOSALICYLIC ACID	5B2658E0N2	AMINOSALICYLIC ACID	DB00233		
AMIODARONE	N3RQ532IUT	AMIODARONE	DB01118		
AMITRIPTYLINE	1806D8D52K	AMITRIPTYLINE	DB00321		
AMLEXANOX	BRL1C2459K	AMLEXANOX	DB01025		
AMOBARBITAL	GWH6IJ239E	AMOBARBITAL	DB01351		
AMODIAQUINE	220236ED28	AMODIAQUINE	DB00613		
AMONAFIDE	1Q8D39N37L	AMONAFIDE	DB05022		
AMOXAPINE	R63VQ857OT	AMOXAPINE	DB00543		
AMOXICILLIN	804826J2HU	AMOXICILLIN	DB01060		
AMOXICILLIN ANHYDROUS	9EM05410Q9	AMOXICILLIN	DB01060		
AMPA, L-	9280SC28GD	AMPA	DB02057		
AMPEROZIDE	0M2W3TAG39	AMPEROZIDE	DB08927		
AMPHOTERICIN B	7XU7A7DROE	AMPHOTERICIN B	DB00681		
AMPICILLIN	7C782967RD	AMPICILLIN	DB00415		
AMPRENAVIR	5S0W860XNR	AMPRENAVIR	DB00701		
AMSACRINE	00DPD30SOY	AMSACRINE	DB00276		
AN2728	Q2R47HGR7P	AN2728	DB05219		
AN-9	55VNK5440P	PIVALOYLOXYMETHYL BUTYRATE	DB05103		
ANAGRELIDE	K9X45X0051	ANAGRELIDE	DB00261		
ANASTROZOLE	2Z07MYW1AZ	ANASTROZOLE	DB01217		
ANATIBANT	CLO4JRD21F	ANATIBANT	DB05038		
ANDARINE	7UT2HAH49H	(2S)-3-[4-(ACETYLAMINO)PHENOXY]-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE	DB07423		
ANDROGRAPHOLIDE	410105JHGR	HMPL-004	DB05767		
ANDROSTENEDIONE	409J2J96VR	4-ANDROSTENEDIONE	DB01536		
ANDROSTENOL	48K9VAM062	16,17-ANDROSTENE-3-OL	DB01889		
ANECORTAVE ACETATE	Y0PC411K4T	ANECORTAVE ACETATE	DB05288		
ANIDULAFUNGIN	9HLM53094I	ANIDULAFUNGIN	DB00362		
ANILERIDINE	71Q1A3O279	ANILERIDINE	DB00913		
ANILINE HYDROBROMIDE	01XK3D1SXO	ANILINE	DB06728		
