CONCEPT_NAME	CONCEPT_ID	CONCEPT_NAME_2	PRECEDENCE
Tocainide	1351447	Tocainide	1
Tocilizumab	40171288	tocilizumab	1
Tocofersolan	19009540	Vitamin E	1
Tocofersolan	19018322	tocophersolan	2
Tocorell	43577165	Tocorell	1
Toctino	21016114	Toctino	1
Toepfer	43577882	Toepfer- Apotheke	1
Tofranil	19001271	Tofranil	1
Togal	43578787	Togal-Werk Aktiengesellschaft	1
Togal Ass	43577166	Togal Ass	1
Togal Classic Duo	43577167	Togal Classic Duo	1
Togal Ibuprofen	43577168	Togal Ibuprofen Akut	1
Togal Naproxen	43577171	Togal Naproxen	1
Togal Paracetamol	43577172	Togal Paracetamol	1
Tolazamide	1502809	Tolazamide	1
Tolazoline	19002829	Tolazoline	1
Tolbutamide	1502855	Tolbutamide	1
Tolcapone	715727	tolcapone	1
Tolciclate	19042099	tolciclate	1
Tolectin	19088423	Tolectin	1
Tolmetin	1102917	Tolmetin	1
Tolnaftate	902950	Tolnaftate	1
Tolonium	19008782	Tolonium chloride	1
Tolperison Hexal	43577183	Tolperison Hexal	1
Tolperisone	19003296	Tolperisone	1
Tolterodin Abz	43577239	Tolterodin Abz	1
Tolterodin Hexal	43577241	Tolterodin Hexal	1
Tolterodin Pfizer	43577243	Tolterodin Pfizer	1
Tolterodine	913782	tolterodine	1
Tolu Balsam	40241153	Tolu balsam	1
Tolucombi	21016138	Tolucombi	1
Toluidinblau	43577250	Toluidinblau	1
Tolura	21015608	Tolura	1
Tolvaptan	19036797	tolvaptan	1
Tonoftal	43577255	Tonoftal	1
Tonoftal N	43577255	Tonoftal	1
Tonotec	43577256	Tonotec	1
Topamax	19082966	Topamax	1
Topiragamma	43576006	Topiragamma	1
Topiramat Al	43576008	Topiramat Al	1
Topiramat Aurobindo	43576010	Topiramat Aurobindo	1
Topiramat Bluefish	43576011	Topiramat Bluefish	1
Topiramat Desitin	43576012	Topiramat Desitin	1
Topiramat Dura	43576014	Topiramat Dura	1
Topiramat Heumann	43576015	Topiramat Heumann	1
Topiramat Hexal	43576016	Topiramat Hexal	1
Topiramat Sandoz	43576018	Topiramat Sandoz	1
Topiramat Stada	43576019	Topiramat Stada	1
Topiramat Winthrop	43576020	Topiramat Winthrop	1
Topiramate	742267	topiramate	1
Topiramed	43576093	Topiramed	1
Topisolon	43576094	Topisolon	1
Topotecan	1378509	Topotecan	1
Topotecan Teva	43128186	TOPOTECAN TEVA	1
Topsym	43576101	Topsym	1
Toragamma	43576105	Toragamma	1
Torasemid Abz	43576190	Torasemid Abz	1
Torasemid Al	43576191	Torasemid Al	1
Torasemid Denk	43576192	Torasemid Denk	1
Torasemid Dura	43576193	Torasemid Dura	1
Torasemid Heumann	43576194	Torasemid Heumann	1
Torasemid Hexal	43576195	Torasemid Hexal	1
Torasemid Sandoz	43576196	Torasemid Sandoz	1
Torasemid Stada	43576197	Torasemid Stada	1
Torasemide	942350	torsemide	1
Torecan	19083005	Torecan	1
Torem	19015615	Torem	1
Toremifene	1342346	Toremifene	1
Torisel	19014140	Torisel	1
Tornix	43576297	Tornix	1
Tortil	43576298	Tortil	1
Torula Yeast	36878709	Dried yeast	1
Tosactide	1541079	Corticotropin	1
Tostran	21018691	Tostran	1
Tosylchloramide	19036053	chloramine-T	1
Toujeo	46221554	Toujeo	1
Toviaz	19033701	Toviaz	1
Toxicodendron Pubescens	43013864	Toxicodendron pubescens shoot extract	2
Toxicodendron Pubescens	42900058	Toxicodendron pubescens leaf extract	1
Toxicodendron Vernix	42900060	Toxicodendron vernix leafy twig extract	1
Toximer A	43576375	Toximer P	1
Toximer N	43576375	Toximer P	1
Toxogonin	43576376	Toxogonin	1
Toxoplasma Gondii	43560319	Toxoplasma Gondii	1
Trabectedin	35603017	trabectedin	1
Tracitrans	43128194	TRACITRANS	1
Tracitrans Plus	43576379	Tracitrans Plus	1
Tracleer	19016156	Tracleer	1
Tracrium	19022832	Tracrium	1
Tractocile	21017246	Tractocile	1
Tracutil	21018110	Tracutil	1
Trajenta	21014287	Trajenta	1
Tramabeta	43576381	Tramabeta	1
Tramabian	43576384	Tramabian	1
Tramadoc	43576385	Tramadoc	1
Tramadol	1103314	Tramadol	1
Tramadol Abz	43576393	Tramadol Abz	1
Tramadol Al	43576396	Tramadol Al	1
Tramadol Axcount	43576402	Tramadol Axcount	1
Tramadol Sandoz	43128211	TRAMADOL SANDOZ	1
Tramadol Stada	43576470	Tramadol Stada	1
Tramadol Stada A	43576470	Tramadol Stada	1
Tramadolor	43576479	Tramadolor	1
Tramadura	43575479	Tramadura	1
Tramagit	43575480	Tramagit	1
Tramal	43254350	Tramal	1
Tramazoline	19042445	tramazoline	1
Trametes Versicolor	43525776	Trametes versicolor fruiting body extract	1
Trametes Versicolor	43560282	Trametes versicolor whole extract	2
Trametinib	43532497	Trametinib	1
Tramundin	43575488	Tramundin	1
Trancolong	43575490	Trancolong	1
Trancopal Dolo	19022835	Trancopal	1
Trancopal Dolo Alt	19022835	Trancopal	1
Trandate	19022840	Trandate	1
Trandolapril	1342439	trandolapril	1
Tranexamic Acid	1303425	Tranexamic Acid	1
Tranexamsaeure Carino	43575492	Tranexamsaeure Carino	1
Tranexamsaeure Hexal	43575493	Tranexamsaeure Hexal	1
Transbronchin	43575494	Transbronchin	1
Translarna	43128506	TRANSLARNA	1
Transpulmin	43575495	Transpulmin Erkaeltungsbalsam	1
Transpulmin	43575496	Transpulmin Erkaeltungsbalsam Fuer Kinder	2
Transtec	21015421	Transtec	1
Tranxilium	43575498	Tranxilium	1
Tranylcypromine	703470	Tranylcypromine	1
Trapanal	43575621	Trapanal	1
Trapidil	19009721	Trapidil	1
Trasicor	19009729	Trasicor	1
Trastuzumab	1387104	trastuzumab	1
Trastuzumab Emtansine	43525787	ado-trastuzumab emtansine	2
Trastuzumab Emtansine	1387104	trastuzumab	1
Trauma Puren	43575623	Trauma Puren Gel	1
Traumanase	43575625	Traumanase	1
Traumaplant	43575626	Traumaplant	1
Travatan	19006066	Travatan	1
Travocort	43575636	Travocort	1
Travoprost	904501	travoprost	1
Trazodon Hexal	43575647	Trazodon Hexal	1
Trazodone	703547	Trazodone	1
Trb Chemedica	21020328	TRB Chemedica International SA	1
Tredalat	43575649	Tredalat	1
Tredaptive	21017073	Tredaptive	1
Tregor	43575650	Tregor	1
Trehalose	42900069	Trehalose	1
Tremaril	43575651	Tremarit	1
Tremarit	43575651	Tremarit	1
Tremella Fuciformis	42904248	Tremella fuciformis fruiting body extract	1
Tremella Fuciformis	45775031	Tremella fuciformis whole extract	2
Trenantone	43575652	Trenantone	1
Trental	19043592	Trental	1
Treosulfan	19042545	treosulfan	1
Treprostinil	1327256	Treprostinil	1
Tresiba	35602721	Tresiba	1
Tretinoin	903643	Tretinoin	1
Trevilor	43576022	Trevilor Retard	1
Triam	40233945	Triam	1
Triam Klast	40233945	Triam	1
Triam Wolff	40233945	Triam	1
Triamcinolon Abz	43576026	Triamcinolon Abz	1
Triamcinolone	903963	Triamcinolone	1
Triamcinolone Acetonide	903963	Triamcinolone	1
Triamcinolone Hexacetonide	903963	Triamcinolone	1
Triamgalen	43576029	Triamgalen	1
Triamterene	904542	Triamterene	1
Triapin	21018135	Triapin	1
Triapten	43576037	Triapten Antiviralcreme	1
Triarese	43576038	Triarese	1
Triatec	43128514	TRIATEC	1
Triatec Plus	43128514	TRIATEC	1
Triazolam	704599	Triazolam	1
Tribenoside	19042575	tribenoside	1
Tribulus Terrestris	43525779	Tribulus terrestris extract	1
Tribulus Terrestris	42900023	Tribulus terrestris fruit extract	2
Tribulus Terrestris	42900024	Tribulus terrestris root extract	3
Trichlormethiazide	904639	Trichlormethiazide	1
Trichloroacetic Acid	987009	Trichloroacetate	1
Trichlorofluoro-Methane	942659	trichlorofluoromethane	1
Triclabendazole	36878613	Triclabendazole	1
Triclocarban	19101457	triclocarban	1
Triclosan	1704758	Triclosan	1
Tridesilon	19098147	Tridesilon	1
Tridihexethyl	19042695	tridihexethyl	1
Tridin	43576039	Tridin	1
Triethylene Glycol	43014281	triethylene glycol	1
Trifluoperazine	704984	Trifluoperazine	1
Trifluperidol	19005101	Trifluperidol	1
Triflupromazine	19005104	Triflupromazine	1
Trifluridine	905078	Trifluridine	1
Trifolium Pratense	43013016	Trifolium pratense leaf extract	2
Trifolium Pratense	42904049	Trifolium pratense pollen extract	3
Trifolium Pratense	42900047	Trifolium pratense flower extract	1
Triglycerides	36879001	Triglycerides	1
Trigoa	43576041	Trigoa	1
Trigonella Foenum-Graecum	45775654	Trigonella foenum-graecum whole extract	1
Trihexyphenidyl	705178	Trihexyphenidyl	1
Trileptal	19100210	Trileptal	1
Trillium	42900052	Trillium erectum extract	1
Trillium	42900053	Trillium erectum root extract	2
Trillium Pendulum	42900052	Trillium erectum extract	1
Trimant	43576042	Trimant	1
Trimethadione	19005629	Trimethadione	1
Trimethoprim	1705674	Trimethoprim	1
Trimidura	43576044	Trimidura	1
Trimineurin	43576046	Trimineurin	1
Trimipramin Al	43576050	Trimipramin Al	1
Trimipramin Aristo	43576051	Trimipramin Aristo	1
Trimipramin Heumann	43576108	Trimipramin Heumann	1
Trimipramin Sandoz	43576109	Trimipramin Sandoz	1
Trimipramin Stada	43576110	Trimipramin Stada	1
Trimipramine	705755	Trimipramine	1
Trinordiol	21018116	Trinordiol	1
Trinovum	21015404	Trinovum	1
Tripelennamine	1105853	Tripelennamine	1
Triperidol	19101332	Triperidol	1
Triprolidine	1105889	Triprolidine	1
Triptofem	43576118	Triptofem	1
Triptorelin	1343039	Triptorelin	1
Triquilar	43254272	Triquilar Ed	1
Trisequens	21017627	Trisequens	1
Trisiston	43576121	Trisiston	1
Triticum Spelta	46275822	Spelt seed extract	1
Triticum Vulgare	44507610	Wheat preparation	1
Tritoqualine	19101651	tritoqualine	1
Triumeq	45775748	Triumeq	1
Trivastal	43128788	TRIVASTAL	1
Trizivir	19006139	Trizivir	1
Trobalt	21018890	Trobalt	1
Trofosfamide	19101677	trofosfamide	1
Trolamine	943116	trolamine salicylate	1
Troleandomycin	19006043	Troleandomycin	1
Trolovol	43128793	TROLOVOL	1
Tromantadine	19101679	tromantadine	1
Trometamol	19006047	Tromethamine	1
Trommsdorff	43579833	Trommsdorff-Apotheke Peter Apel	2
Trommsdorff	43580505	Trommsdorff GmbH & Co. KG	1
Tromphyllin	43576124	Tromphyllin Retard 300	1
Tromphyllin	43576125	Tromphyllin Retard 600	2
Tropaeolum Majus	43532217	Tropaeolum majus extract	1
Tropicamide	906072	Tropicamide	1
Tropine Benzilate	719174	Benztropine	1
Tropisetron	19002800	tropisetron	1
Trospi	43576210	Trospi	1
Trospium	991825	Trospium	1
Trospiumchlorid Glenmark	43576211	Trospiumchlorid Glenmark	1
Trovafloxacin	1712549	trovafloxacin	1
Troxerutin	19043154	troxerutin	1
Troxeven	43576214	Troxeven	1
Trulicity	45774439	Trulicity	1
Trusopt	19022868	Trusopt	1
Trusopt s	19022868	Trusopt	1
Truvada	19063340	Truvada	1
Truw	43580613	TRUW Arzneimittel GmbH	1
Truxal	21015674	Truxal	1
Tryasol Co	43576217	Tryasol Codein Forte	1
Tryasol Co	43576218	Tryasol Codein Mite	2
Tryasol Codein	43576217	Tryasol Codein Forte	1
Tryasol Codein	43576218	Tryasol Codein Mite	2
Trypan Blue	19006155	Trypan Blue	1
Trypsin	906149	TRYPSIN	1
Tryptophan	19006186	Tryptophan	1
Tuberculin	19010871	Tuberculin	1
Tubocurarine	706644	Tubocurarine	1
Tulobuterol	19043191	tulobuterol	1
Tumarol	43576220	Tumarol Kinderbalsam N	1
Tumarol	43576221	Tumarol-Creme	2
Tumarol	43576222	Tumarol-N-Balsam	3
Tungsten	35603305	tungsten	1
Turimonit	43576225	Turimonit	1
Turimycin	43576226	Turimycin	1
Turineurin	43576227	Turineurin	1
Turixin	43576228	Turixin	1
Turnera Diffusa	45775017	Turnera diffusa leaf extract	2
Turnera Diffusa	42899986	Turnera diffusa leafy twig extract	1
Turoctocog Alfa	1352213	Factor VIII	1
Turpentine Oil	1106647	Turpentine	1
Turpentine Oil Oxidation Product	1106647	Turpentine	1
Tussafug	43576229	Tussafug	1
Tussamag	43576230	Tussamag	1
Tussamag Codein	43576230	Tussamag	1
Tussidermil	43576234	Tussidermil N	1
Tussiflorin A	43576235	Tussiflorin Thymian	1
Tussilago Farfara	42903436	Tussilago farfara extract	1
Tussin Pharma	43578024	TUSSIN Pharma GmbH	1
Tutofusin	43576237	Tutofusin	1
Tuttozem	43576242	Tuttozem N	1
Tuttozem N	43576242	Tuttozem N	1
Twardy	43578293	Astrid Twardy GmbH	1
Twinrix	19023390	Twinrix	1
Twynsta	43525520	Twynsta	1
Tybost	45774769	Tybost	1
Tygacil	19079770	Tygacil	1
Tyloxapol	943191	tyloxapol	1
Typherix	21016842	Typherix	1
Typhim Vi	19011690	Typhim VI	1
Typhoral L	43576243	Typhoral L	1
Tyramine	19010873	Tyramine	1
Tyrosin	43576244	Tyrosin Tu T.O.P	1
Tyrosine	19006692	Tyrosine	1
Tyrosur	43576245	Tyrosur Gel	1
Tyrothricin	19006842	Tyrothricin	1
Tysabri	19063030	Tysabri	1
Tyverb	21017610	Tyverb	1
Ubidecarenone	1351115	coenzyme Q10	1
Ubiquinol	19101786	Ubiquinol	1
Ubiquinone(S)	1306837	Ubiquinone	1
Ubistesin	43254315	Ubistesin	1
Ubretid	19018199	Ubretid	1
Ucb Manufacturing	21019975	UCB Pharma Ltd	1
Udc Al	43576303	Udc Al	1
Udima	43576304	Udima	1
Udima Ery	43576304	Udima	1
Udrik	43576305	Udrik	1
Ulcogant	43576308	Ulcogant	1
Ulcozol	43576312	Ulcozol	1
Ulex Europaeus	42903984	Ulex europaeus flower extract	1
Ulipristal Acetate	40225722	ulipristal	1
Ulmus Campestris	43525837	Elm extract	1
Ulmus Rubra	42900030	Ulmus rubra bark extract	1
Ultibro Breezhaler	21018248	Ultibro Breezhaler	1
Ultibro Breezhaler Cc4	21018248	Ultibro Breezhaler	1
Ultilac	43576314	Ultilac N	1
Ultilac N	43576314	Ultilac N	1
Ultiva	19023534	Ultiva	1
Ultra Pharm	21019975	UCB Pharma Ltd	1
Ultrabas	21017987	Ultrabase	1
Ultracain	43576317	Ultracain	1
Ultracarbon	43576408	Ultracarbon	1
Ultralan	21018974	Ultralanum Plain	1
Ultraproct	21015126	Ultraproct	1
Ultratard	21017506	Ultratard	1
Ultravist	19086983	Ultravist	1
Ultravist 1	19086983	Ultravist	1
Ultreon	43576410	Ultreon	1
Umckaloabo Iso	43576412	Umckaloabo	1
Umeclidinium Bromide	44785907	umeclidinium	1
Unacid	43576414	Unacid	1
Unasyn Pd	19078646	Unasyn	1
Uncaria Gambier	45774848	Uncaria gambir whole extract	1
Uncaria Tomentosa	42904224	Uncaria tomentosa leaf extract	2
Uncaria Tomentosa	43560286	UNCARIA TOMENTOSA ROOT EXTRACT	1
Undecylenic Acid	914244	Undecylenate	1
Undecylenic Acid Diethanolamide	914244	Undecylenate	1
Undecylenic Acid Monoethanolamide	42903729	UNDECYLENIC ACID MONOETHANOLAMIDE	1
Unexym	43576420	Unexym	1
Unexym A	43576420	Unexym	1
Unguentolan	43576423	Unguentolan	1
Unguentolan Rektal	43576423	Unguentolan	1
Unilever	21019343	Unilever UK Home & Personal Care	1
Unilever	21019343	Unilever UK Home & Personal Care	2
Unilever	21019833	Unilever Bestfoods UK Ltd	1
Unilever	44024958	Unilever Canada	3
Unilipon	43576427	Unilipon	1
Unimax	43576428	Unimax	1
Uniphyllin	19015885	Uniphyllin Continus	1
Unithiol	19006874	Unithiol	1
Unizink	43576482	Unizink	1
Uno Vit	43576484	Uno-Vit	1
Unofem Hexal	43576485	Unofem Hexal	1
Uprima	21017872	Uprima	1
Uracil	19006877	Uracil	1
Uralyt	43576486	Uralyt-U	1
Uralyt Kalium	43576486	Uralyt-U	1
Uralyt U	43576486	Uralyt-U	1
Urapidil	19101849	urapidil	1
Urapidil Stragen	43576487	Urapidil Stragen	1
Urbason	43576491	Urbason	1
Urbason Drag	43576491	Urbason	1
Urbason Mp	43576491	Urbason	1
Urbason Solubile	43576492	Urbason Solubile	1
Urea	906914	Urea	1
Urea Acis	43576494	Urea Acis	1
Ureotop	43576495	Ureotop	1
Urginea Scilla	42899064	Drimia maritima bulb extract	1
Urgo	43132767	URGO	1
Uric Acid	43532213	Uric Acid	1
Uridine	19010876	Uridine	1
Uridine Triphosphate	19010876	Uridine	1
Uriduct	43576498	Uriduct	1
Uridylic Acid	19010876	Uridine	1
Urion	43128839	URION	1
Urivesc	43576499	Urivesc	1
Urocin	43575500	Urocin	1
Urocur	43575501	Urocur	1
Urofollitropin	1515417	Urofollitropin	1
Urokinase	1307515	Urokinase	1
Urol A	43575509	Urol Flux	1
Urol Methin	43575512	Urol Methin	1
Urol Pros	43575513	Urol Pros	1
Uromed	21020271	Uromed	1
Uromitexan	21016756	Uromitexan	1
Uromykol	43575516	Uromykol	1
Uropharm	43579574	Uropharm AG	1
Urorec	43128840	UROREC	1
Urorenal	43575518	Urorenal	1
Uroxatral	19036230	UroXatral	1
Ursapharm	21019868	Ursapharm Arzneimittel GmbH & Co. KG	1
Urso	19084745	Urso	1
Ursochol	43575521	Ursochol	1
Ursodeoxycholic Acid	988095	Ursodeoxycholate	1
Ursofalk	19015886	Ursofalk	1
Urtica Dioica	19097592	URTICA DIOICA preparation	1
Urtica Sandoz	43575527	Urtica Sandoz	1
Urtica Urens	43013863	Urtica urens extract	1
Urtimed	43575528	Urtimed	1
Urtivit	43575529	Urtivit	1
Usnea Barbata	43532214	Usnea barbata extract	1
Ustekinumab	40161532	ustekinumab	1
Usucor	43575531	Usucor	1
Utk	43575532	Utk Uno	1
Utrogest	43575533	Utrogest	1
Utrogestan	21017314	Utrogestan	1
"Vaccine, Bacillus Calmette-Guerin"	19015423	BCG Vaccine	1
"Vaccine, Cholera"	595252	Cholera Vaccine	1
"Vaccine, Dip.Tet.& T A B"	529303	"diphtheria toxoid vaccine, inactivated"	1
"Vaccine, Dip.Tet.& Wcell Pertussis."	529303	"diphtheria toxoid vaccine, inactivated"	1
"Vaccine, Diphtheria"	529303	"diphtheria toxoid vaccine, inactivated"	1
"Vaccine, Diphtheria And Tetanus"	529303	"diphtheria toxoid vaccine, inactivated"	1
"Vaccine, Haemophilus B Conjugate"	19048700	Haemophilus B Conjugate Vaccine	1
"Vaccine, Hep.A Inactiv. Virus"	529660	Hepatitis A Vaccine (Inactivated) Strain HM175	1
"Vaccine, Hepatitis B"	528323	Hepatitis B Surface Antigen Vaccine	1
"Vaccine, Hepatitis B Surface Antigen"	528323	Hepatitis B Surface Antigen Vaccine	1
"Vaccine, Herpes Simplex 1"	42903942	Human herpesvirus 1	1
"Vaccine, Herpes Simplex 2"	42903957	Human Herpesvirus 2	1
"Vaccine, Human Papillomavirus (Hpv) Type-16 & 18"	529114	"L1 protein, Human papillomavirus type 18 Vaccine"	1
"Vaccine, Human Papillomavirus (Hpv) Type-6,11,16 & 18"	529116	"L1 protein, Human papillomavirus type 6 Vaccine"	3
"Vaccine, Human Papillomavirus (Hpv) Type-6,11,16 & 18"	529076	"L1 protein, Human papillomavirus type 11 Vaccine"	2
"Vaccine, Human Papillomavirus (Hpv) Type-6,11,16 & 18"	529114	"L1 protein, Human papillomavirus type 18 Vaccine"	1
"Vaccine, Influenza"	586306	Haemophilus capsular oligosaccharide	1
"Vaccine, Japan.Enceph.Vir.Sa14-14-2"	44506749	Japanese encephalitis virus	1
"Vaccine, Measles"	594249	Measles Vaccine	1
"Vaccine, Measles And Mumps"	594249	Measles Vaccine	2
"Vaccine, Measles And Mumps"	523620	Mumps Vaccine	1
"Vaccine, Measles,Mumps And Rubella"	594249	Measles Vaccine	1
"Vaccine, Mumps"	523620	Mumps Vaccine	1
"Vaccine, Neisseria Meningitidis Group B"	45775636	meningococcal group B vaccine	1
"Vaccine, Pertussis Acellular"	529218	"acellular pertussis vaccine, inactivated"	1
"Vaccine, Pneumococcal"	40163661	pneumococcal capsular polysaccharide type 1 vaccine	1
"Vaccine, Pneumococcal Conjugate"	36878946	Pneumococcal polysaccharide conjugate serotype 6A in CRM197 carrier protein	1
"Vaccine, Poliomyelitis"	523283	"poliovirus vaccine inactivated, type 1 (Mahoney)"	1
"Vaccine, Poliomyelitis"	523365	"poliovirus vaccine inactivated, type 2 (MEF-1)"	2
"Vaccine, Poliomyelitis"	523367	"poliovirus vaccine inactivated, type 3 (Saukett)"	3
"Vaccine, Rabies"	544411	rabies virus vaccine flury-lep strain	1
"Vaccine, Rotavirus"	597056	"ROTAVIRUS VACCINE, LIVE"	1
"Vaccine, Rubella"	19136026	Rubella virus vaccine	1
"Vaccine, Smallpox"	19133773	smallpox vaccine live vaccinia virus	2
"Vaccine, Smallpox"	19136047	Smallpox Vaccine	1
"Vaccine, Tetanus"	529411	"tetanus toxoid vaccine, inactivated"	1
"Vaccine, Tick Borne Encephalitis"	19056508	TICK-BORN ENCEPHALITIS VACC	1
"Vaccine, Typhoid"	523202	Typhoid Vaccine Live Ty21a	1
"Vaccine, Typhus"	523202	Typhoid Vaccine Live Ty21a	3
"Vaccine, Typhus"	19052554	s typhi (ty-2 strain)	1
"Vaccine, Typhus"	532881	"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain"	2
"Vaccine, Varicella Zoster"	42800027	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain	1
"Vaccine, Whole Cell Pertussis"	19033193	Pertussis Vaccine	1
"Vaccine, Yellow Fever Live"	559532	Yellow Fever Vaccine	1
"Vaccine,Meningococcal C Conjugate"	509081	meningococcal group C polysaccharide	1
"Vaccine,Meningococcal Conjugate"	19010296	Meningitis vaccine	1
"Vaccine,Meningococcal Polysaccharide"	19010296	Meningitis vaccine	1
Vaccinium Macrocarpon	43252074	Vaccinium Macrocarpon	1
Vaccinium Myrtillus	43013866	Vaccinium myrtillus whole extract	1
Vaccinium Vitis-Idaea	42903735	Vaccinium vitis-idaea leaf extract	1
Vagantin	43575654	Vagantin	1
Vagi Hex	43575658	Vagi-Hex	1
Vagifem	19022870	Vagifem	1
Vagimid	43575659	Vagimid	1
Vagisan	43575663	Vagisan	1
Valaciclovir	1717704	valacyclovir	1
Valaciclovir Al	43576053	Valaciclovir Al	1
Valaciclovir Aurobindo	43576055	Valaciclovir Aurobindo	1
Valaciclovir Bluefish	43129111	VALACICLOVIR BLUEFISH	1
Valaciclovir Hexal	43576056	Valaciclovir Hexal	1
Valcyte	19011227	Valcyte	1
Valdecoxib	1103374	valdecoxib	1
Valdoxan	21014411	Valdoxan	1
Valeant	21020718	Valeant Pharmaceuticals Ltd	1
Valedonis	43576062	Valedonis	1
Valepotriate	19056615	VALEPOTRIATE	1
Valeriana Officinalis	44818506	Valeriana officinalis whole extract	1
Valeric Acid	45775582	valeric acid	1
Valette	43254275	Valette	1
Valganciclovir	1703063	valganciclovir	1
Valganciclovir Hexal	43576066	Valganciclovir Hexal	1
Valine	19007572	Valine	1
Valium	19042583	Valium	1
Valium Roche	19042583	Valium	1
Valoron N	43576129	Valoron N	1
Valpro Al	43254293	Valpro	1
Valpro Beta	43254293	Valpro	1
Valpro Chrono Beta	43254293	Valpro	1
Valpro Chrono Tad	43254293	Valpro	1
Valpro Tad	43254293	Valpro	1
Valproat Abz	43576140	Valproat Abz	1
Valproat Aristo	43576141	Valproat Aristo	1
Valproat Chrono Desitin	43576142	Valproat Chrono Desitin	1
Valproat Chrono Winthrop	43576143	Valproat Chrono Winthrop	1
Valproat Heumann	43576145	Valproat Heumann	1
Valproat Hexal	43576147	Valproat Hexal	1
Valproat Stada	43576150	Valproat Stada	1
Valproate Semisodium	745466	Valproate	1
Valprodura	43576249	Valprodura	1
Valproic Acid	745466	Valproate	1
Valsacor	43576254	Valsacor	1
Valsargamma	43576256	Valsargamma	1
Valsargamma Hct	43576257	Valsargamma Hct	1
