CONCEPT_CODE	CONCEPT_NAME	CONCEPT_NAME_2	CONCEPT_ID	PRECEDENCE
JGC	Other Systemic Sprays Without Gas	Nasal Inhaler	19126919	7
JGC	Other Systemic Sprays Without Gas	Nasal Spray	19011167	1
JGC	Other Systemic Sprays Without Gas	Mucosal Spray	19095900	2
JGE	Other Systemic Liquid Inhalations	Inhalant	19018195	2
JGE	Other Systemic Liquid Inhalations	Inhalant Solution	19095898	1
JGE	Other Systemic Liquid Inhalations	Metered Dose Inhaler	19126918	3
JGH	Other Systemic Oils	Topical Oil	19082226	1
JGN	Other Systemic Unit Dose Liquids	Topical Solution	19082228	1
JGN	Other Systemic Unit Dose Liquids	Topical Suspension	46234410	2
JGP	Other Systemic Metered-Dose Liquids	Topical Spray	19095912	1
JGP	Other Systemic Metered-Dose Liquids	Topical Solution	19082228	2
JGP	Other Systemic Metered-Dose Liquids	Topical Suspension	46234410	3
JGP	Other Systemic Metered-Dose Liquids	Oral Spray	19095911	4
JGP	Other Systemic Metered-Dose Liquids	Oral Solution	19082170	5
JHP	Other Systemic Unit Dose Pressurised Aerosols	Inhalant	19018195	2
JHP	Other Systemic Unit Dose Pressurised Aerosols	Inhalant Solution	19095898	1
JHP	Other Systemic Unit Dose Pressurised Aerosols	Metered Dose Inhaler	19126918	3
JHP	Other Systemic Unit Dose Pressurised Aerosols	Dry Powder Inhaler	19127579	4
JRP	Other Systemic Unit Dose Cartridges	Metered Dose Inhaler	19126918	1
JSA	Other Systemic Ointments	Topical Cream	19082224	2
JSA	Other Systemic Ointments	Topical Ointment	19082227	1
JTA	Other Systemic Creams	Topical Cream	19082224	1
JTA	Other Systemic Creams	Topical Ointment	19082227	2
JVA	Other Systemic Gels And Sols	Topical Solution	19082228	1
JVA	Other Systemic Gels And Sols	Topical Gel	19095973	2
JVN	Other Systemic Unit Dose Gels/Sols	Transdermal Patch	19082229	4
JVN	Other Systemic Unit Dose Gels/Sols	Oral Crystals	19111148	5
JVN	Other Systemic Unit Dose Gels/Sols	Topical Gel	19095973	1
JVN	Other Systemic Unit Dose Gels/Sols	Oral Gel	19095916	2
JVN	Other Systemic Unit Dose Gels/Sols	Oral Granules	19082651	3
JVP	Other Systemic Metered-Dose Gels/Sols	Topical Gel	19095973	1
JVP	Other Systemic Metered-Dose Gels/Sols	Oral Crystals	19111148	5
JVP	Other Systemic Metered-Dose Gels/Sols	Oral Gel	19095916	2
JVP	Other Systemic Metered-Dose Gels/Sols	Oral Granules	19082651	3
JVP	Other Systemic Metered-Dose Gels/Sols	Transdermal Patch	19082229	4
JWN	Other Systemic Transdermal Patches	Medicated Pad	19130307	2
JWN	Other Systemic Transdermal Patches	Transdermal Patch	19082229	1
KAE	Oral Topical Buccal Tablets	Oral Tablet	19082573	2
KAE	Oral Topical Buccal Tablets	Buccal Tablet	40175589	1
KAG	Oral Topical Chewable Tablets	Delayed Release Oral Tablet	19001949	3
KAG	Oral Topical Chewable Tablets	Extended Release Oral Tablet	19082079	4
KAG	Oral Topical Chewable Tablets	Oral Tablet	19082573	2
KAG	Oral Topical Chewable Tablets	Chewable Tablet	19135866	1
KAK	Oral Topical Soluble Tablets	Disintegrating Oral Tablet	19082076	1
KAK	Oral Topical Soluble Tablets	Oral Tablet	19082573	2
KAK	Oral Topical Soluble Tablets	Delayed Release Oral Tablet	19001949	3
KAK	Oral Topical Soluble Tablets	Extended Release Oral Tablet	19082079	4
KCA	Oral Topical Capsules	Extended Release Oral Capsule	19082077	3
KCA	Oral Topical Capsules	Oral Capsule	19082168	1
KCA	Oral Topical Capsules	Delayed Release Oral Capsule	19082255	2
KDD	Oral Topical Pellets	Delayed Release Oral Tablet	19001949	3
KDD	Oral Topical Pellets	Extended Release Oral Tablet	19082079	4
KDD	Oral Topical Pellets	Oral Tablet	19082573	2
KDD	Oral Topical Pellets	Oral Pellet	19082652	1
KDE	Oral Topical Lozenges	Oral Tablet	19082573	1
KDF	Oral Topical Chewing Gum	Chewing Gum	19102296	1
KDG	Oral Topical Sweets/Candy/Bonbons	Oral Lozenge	19082253	1
KDG	Oral Topical Sweets/Candy/Bonbons	Oral Tablet	19082573	2
KEA	Oral Topical Powders	Oral Powder	19095976	1
KEA	Oral Topical Powders	Syrup	19082223	3
KEA	Oral Topical Powders	Oral Solution	19082170	2
KEK	Oral Topical Soluble Powders	Oral Solution	19082170	4
KEK	Oral Topical Soluble Powders	Oral Suspension	19082191	5
KEK	Oral Topical Soluble Powders	Oral Powder	19095976	1
KEK	Oral Topical Soluble Powders	Powder for Oral Solution	45775491	2
KEK	Oral Topical Soluble Powders	Powder for Oral Suspension	45775492	3
KEP	Oral Topical Unit Dose Powders	Oral Powder	19095976	1
KEP	Oral Topical Unit Dose Powders	Oral Suspension	19082191	3
KEP	Oral Topical Unit Dose Powders	Oral Solution	19082170	2
KEZ	Oral Topical Combination Pack/Powder/Granules	Oral Paste	19095918	1
KGA	Oral Topical Liquids	Oral Solution	19082170	1
KGA	Oral Topical Liquids	Syrup	19082223	3
KGA	Oral Topical Liquids	Oral Suspension	19082191	2
KGB	Oral Topical Drops	Syrup	19082223	3
KGB	Oral Topical Drops	Oral Suspension	19082191	2
KGB	Oral Topical Drops	Oral Solution	19082170	1
KGC	Oral Topical Sprays Without Gas	Oral Spray	19095911	1
KGC	Oral Topical Sprays Without Gas	Syrup	19082223	3
KGC	Oral Topical Sprays Without Gas	Oral Solution	19082170	2
KGD	Oral Topical Collodion/Lacquers	Oral Solution	19082170	1
KGD	Oral Topical Collodion/Lacquers	Oral Suspension	19082191	2
KGD	Oral Topical Collodion/Lacquers	Oral Cream	19082169	3
KGD	Oral Topical Collodion/Lacquers	Oral Paste	19095918	4
KGH	Oral Topical Oils	Topical Oil	19082226	1
KGK	Oral Topical Suspensions	Oral Solution	19082170	2
KGK	Oral Topical Suspensions	Oral Suspension	19082191	1
KGL	Oral Topical Emulsions	Oral Solution	19082170	2
KGL	Oral Topical Emulsions	Oral Suspension	19082191	1
KGN	Oral Topical Unit Dose Liquids	Syrup	19082223	3
KGN	Oral Topical Unit Dose Liquids	Oral Solution	19082170	1
KGN	Oral Topical Unit Dose Liquids	Oral Suspension	19082191	2
KGP	Oral Topical Metered-Dose Liquids	Oral Solution	19082170	1
KGP	Oral Topical Metered-Dose Liquids	Oral Suspension	19082191	2
KGP	Oral Topical Metered-Dose Liquids	Syrup	19082223	3
KHA	Oral Topical Pressurised Aerosols	Mucosal Spray	19095900	2
KHA	Oral Topical Pressurised Aerosols	Oral Solution	19082170	3
KHA	Oral Topical Pressurised Aerosols	Oral Spray	19095911	1
KHP	Oral Topical Metered-Dose Pressurised Aerosols	Oral Solution	19082170	3
KHP	Oral Topical Metered-Dose Pressurised Aerosols	Oral Spray	19095911	1
KHP	Oral Topical Metered-Dose Pressurised Aerosols	Mucosal Spray	19095900	2
KSA	Oral Topical Ointments	Oral Suspension	19082191	3
KSA	Oral Topical Ointments	Oral Cream	19082169	2
KSA	Oral Topical Ointments	Oral Ointment	19095975	1
KSB	Oral Topical Pastes	Oral Ointment	19095975	2
KSB	Oral Topical Pastes	Oral Paste	19095918	1
KSB	Oral Topical Pastes	Oral Cream	19082169	3
KTA	Oral Topical Creams	Oral Ointment	19095975	2
KTA	Oral Topical Creams	Oral Cream	19082169	1
KVA	Oral Topical Gels And Sols	Oral Suspension	19082191	3
KVA	Oral Topical Gels And Sols	Oral Gel	19095916	1
KVA	Oral Topical Gels And Sols	Oral Solution	19082170	2
KVN	Oral Topical Unit Dose Gels/Sols	Oral Solution	19082170	1
KVN	Oral Topical Unit Dose Gels/Sols	Oral Suspension	19082191	2
KVN	Oral Topical Unit Dose Gels/Sols	Oral Gel	19095916	3
KVN	Oral Topical Unit Dose Gels/Sols	Oral Paste	19095918	4
KWE	Oral Topical Tampons with Substance	Oral Solution	19082170	1
KWE	Oral Topical Tampons with Substance	Oral Suspension	19082191	2
KWY	Oral Topical Other Medicated Dressings	Oral Solution	19082170	1
KYK	Oral Topical Styli and Wound Cones Non-Rectal	Dental Pin	43563504	1
KZJ	Oral Topical Tissue Absorbable Medical Aids	Oral Powder	19095976	1
KZY	Oral Topical Other Medical Aids	Oral Solution	19082170	1
MAK	Topical External Soluble Tablets	Disintegrating Oral Tablet	19082076	1
MAK	Topical External Soluble Tablets	Oral Tablet	19082573	2
MCV	Topical External Capsules	Inhalant Powder	19082259	4
MCV	Topical External Capsules	Metered Dose Inhaler	19126918	2
MCV	Topical External Capsules	Dry Powder Inhaler	19127579	1
MDY	Topical External Other Special Solid Forms	Topical Cream	19082224	2
MDY	Topical External Other Special Solid Forms	Topical Ointment	19082227	1
MDY	Topical External Other Special Solid Forms	Topical Gel	19095973	3
MEA	Topical External Powders	Topical Powder	19082286	2
MEA	Topical External Powders	Powder	19135790	1
MEB	Topical External Granules	Topical Powder	19082286	1
MEB	Topical External Granules	Topical Solution	19082228	2
MEB	Topical External Granules	Topical Suspension	46234410	3
MEC	Topical External Dusting Powders	Topical Powder	19082286	1
MEK	Topical External Soluble Powders	Topical Powder	19082286	1
MEK	Topical External Soluble Powders	Topical Solution	19082228	2
MEK	Topical External Soluble Powders	Topical Suspension	46234410	3
MEP	Topical External Unit Dose Powders	Topical Powder	19082286	2
MEP	Topical External Unit Dose Powders	Powder	19135790	1
MEY	Topical External Other Powders/Granules	Topical Powder	19082286	2
MEY	Topical External Other Powders/Granules	Powder	19135790	1
MEZ	Topical External Combination Pack Powders/Granules	Topical Powder	19082286	1
MEZ	Topical External Combination Pack Powders/Granules	Topical Solution	19082228	2
MEZ	Topical External Combination Pack Powders/Granules	Topical Suspension	46234410	3
MEZ	Topical External Combination Pack Powders/Granules	Oral Powder	19095976	4
MEZ	Topical External Combination Pack Powders/Granules	Oral Granules	19082651	5
MEZ	Topical External Combination Pack Powders/Granules	Oral Solution	19082170	6
MGA	Topical External Liquids	Injectable Solution	19082103	1
MGA	Topical External Liquids	Injectable Suspension	19082104	2
MGB	Topical External Drops	Topical Suspension	46234410	2
MGB	Topical External Drops	Topical Solution	19082228	1
MGC	Topical External Sprays Without Gas	Topical Spray	19095912	1
MGD	Topical External Collodion/Lacquers	Topical Cream	19082224	1
MGD	Topical External Collodion/Lacquers	Topical Ointment	19082227	2
MGE	Topical External Liquid Inhalations	Inhalant Powder	19082259	2
MGE	Topical External Liquid Inhalations	Metered Dose Inhaler	19126918	3
MGE	Topical External Liquid Inhalations	Inhalant Solution	19095898	1
MGH	Topical External Oils	Topical Lotion	19082225	2
MGH	Topical External Oils	Topical Suspension	46234410	3
MGH	Topical External Oils	Topical Oil	19082226	1
MGJ	Topical External Dry Suspensions/Syrups/Drops	Topical Powder	19082286	1
MGJ	Topical External Dry Suspensions/Syrups/Drops	Topical Solution	19082228	2
MGJ	Topical External Dry Suspensions/Syrups/Drops	Topical Suspension	46234410	3
MGK	Topical External Suspensions	Injectable Solution	19082103	2
MGK	Topical External Suspensions	Injectable Suspension	19082104	1
MGL	Topical External Emulsions	Topical Lotion	19082225	1
MGL	Topical External Emulsions	Topical Cream	19082224	2
MGL	Topical External Emulsions	Topical Ointment	19082227	3
MGN	Topical External Unit Dose Liquids	Injectable Suspension	19082104	2
MGN	Topical External Unit Dose Liquids	Injectable Solution	19082103	1
MGP	Topical External Metered-Dose Liquids	Topical Spray	19095912	1
MGP	Topical External Metered-Dose Liquids	Topical Solution	19082228	2
MGP	Topical External Metered-Dose Liquids	Topical Suspension	46234410	3
MGR	Topical External Spirits	Topical Solution	19082228	1
MGR	Topical External Spirits	Topical Suspension	46234410	2
MGS	Topical External Lotions	Topical Cream	19082224	2
MGS	Topical External Lotions	Topical Lotion	19082225	1
MGS	Topical External Lotions	Topical Ointment	19082227	4
MGS	Topical External Lotions	Topical Suspension	46234410	3
MGT	Topical Dermatological Shaking Mixtures	Topical Solution	19082228	1
MGT	Topical Dermatological Shaking Mixtures	Topical Suspension	46234410	2
MGW	Topical External Liquid Soaps/Washes	Medicated Bar Soap	19082108	1
MGW	Topical External Liquid Soaps/Washes	Medicated Liquid Soap	19082109	2
MGW	Topical External Liquid Soaps/Washes	Medicated Shampoo	19008697	3
MGX	Topical External Enema Liquids	Injectable Suspension	19082104	2
MGX	Topical External Enema Liquids	Injectable Solution	19082103	1
MGZ	Topical External Combination Pack Liquids	Topical Solution	19082228	1
MGZ	Topical External Combination Pack Liquids	Topical Suspension	46234410	2
MHA	Topical External Pressurised Aerosols	Topical Solution	19082228	3
MHA	Topical External Pressurised Aerosols	Topical Spray	19095912	2
MHA	Topical External Pressurised Aerosols	Spray	19095899	1
MHC	Topical External Pressurised Powders	Topical Powder	19082286	2
MHC	Topical External Pressurised Powders	Topical Spray	19095912	1
MHP	Topical External Metered-Dose Pressurised Aerosols	Metered Dose Inhaler	19126918	2
MHP	Topical External Metered-Dose Pressurised Aerosols	Inhalant Solution	19095898	1
MHS	Topical External Pressurised Ointments And Creams	Topical Ointment	19082227	2
MHS	Topical External Pressurised Ointments And Creams	Topical Spray	19095912	1
MHT	Topical External Pressurised Foams	Topical Gel	19095973	2
MHT	Topical External Pressurised Foams	Topical Spray	19095912	1
MHZ	Topical External Combination Pack Pressurised Aerosols	Topical Spray	19095912	1
MHZ	Topical External Combination Pack Pressurised Aerosols	Topical Solution	19082228	2
MHZ	Topical External Combination Pack Pressurised Aerosols	Topical Suspension	46234410	3
MJA	Topical External Bath Preparations	Medicated Liquid Soap	19082109	1
MJA	Topical External Bath Preparations	Medicated Bar Soap	19082108	2
MJA	Topical External Bath Preparations	Medicated Shampoo	19008697	3
MJB	Topical External Solid Substances For Baths	Medicated Shampoo	19008697	2
MJB	Topical External Solid Substances For Baths	Medicated Bar Soap	19082108	1
MJB	Topical External Solid Substances For Baths	Medicated Liquid Soap	19082109	3
MJH	Topical External Bath Oils	Topical Oil	19082226	1
MJL	Topical External Bath Emulsions	Topical Suspension	46234410	1
MJL	Topical External Bath Emulsions	Topical Solution	19082228	2
MJP	Topical External Partial Baths	Topical Suspension	46234410	2
MJP	Topical External Partial Baths	Topical Solution	19082228	1
MJS	Topical External Foot Baths	Topical Suspension	46234410	2
MJS	Topical External Foot Baths	Medicated Liquid Soap	19082109	1
MJS	Topical External Foot Baths	Topical Solution	19082228	3
MJT	Topical External Foam Baths	Topical Foam	19095972	1
MJT	Topical External Foam Baths	Topical Solution	19082228	2
MJY	Topical External Other Baths	Topical Suspension	46234410	2
MJY	Topical External Other Baths	Topical Solution	19082228	1
MJZ	Topical External Combination Pack Baths	Topical Suspension	46234410	2
MJZ	Topical External Combination Pack Baths	Medicated Liquid Soap	19082109	1
MJZ	Topical External Combination Pack Baths	Topical Solution	19082228	3
MLA	Topical External Suppositories	Vaginal Suppository	19093368	2
MLA	Topical External Suppositories	Rectal Suppository	19082200	1
MLB	Topical External Adult Suppositories	Vaginal Suppository	19093368	2
MLB	Topical External Adult Suppositories	Rectal Suppository	19082200	1
MLC	Topical External Paediatric Suppositories	Rectal Suppository	19082200	1
MLC	Topical External Paediatric Suppositories	Vaginal Suppository	19093368	2
MLX	Topical External Micro-Enemas	Enema	19082627	1
MLX	Topical External Micro-Enemas	Topical Gel	19095973	2
MLZ	Topical External Combination Pack Suppositories	Vaginal Suppository	19093368	1
MLZ	Topical External Combination Pack Suppositories	Rectal Suppository	19082200	2
MLZ	Topical External Combination Pack Suppositories	Urethral Suppository	19082575	3
MMA	Topical External Ampoules	Injectable Suspension	19082104	2
MMA	Topical External Ampoules	Injectable Solution	19082103	1
MMS	Topical External Instillation Ampoules	Topical Solution	19082228	1
MMS	Topical External Instillation Ampoules	Topical Suspension	46234410	2
MMS	Topical External Instillation Ampoules	Medicated Pad	19130307	3
MNA	Topical External Pre-Filled Syringes	Injection	46234469	2
MNA	Topical External Pre-Filled Syringes	Prefilled Syringe	19126920	1
MNA	Topical External Pre-Filled Syringes	Injectable Solution	19082103	3
MNA	Topical External Pre-Filled Syringes	Injectable Solution	19082103	3
MNF	Topical External Intradermal Pre-filled Syringes	Injection	46234469	2
MNF	Topical External Intradermal Pre-filled Syringes	Prefilled Syringe	19126920	1
MNF	Topical External Intradermal Pre-filled Syringes	Injectable Solution	19082103	3
MNS	Topical External Instillation Pre-Filled Syringes	Topical Solution	19082228	1
MNS	Topical External Instillation Pre-Filled Syringes	Topical Suspension	46234410	2
MNS	Topical External Instillation Pre-Filled Syringes	Medicated Pad	19130307	3
MNY	Topical External Other Pre-Filled Syringes	Injection	46234469	2
MNY	Topical External Other Pre-Filled Syringes	Prefilled Syringe	19126920	1
MNY	Topical External Other Pre-Filled Syringes	Injectable Solution	19082103	3
MPA	Topical External Vials	Topical Solution	19082228	1
MPA	Topical External Vials	Topical Suspension	46234410	2
MPB	Topical External Dry Vials	Injectable Solution	19082103	1
MPB	Topical External Dry Vials	Injectable Suspension	19082104	2
MPS	Topical External Instillation Vials	Topical Solution	19082228	1
MPS	Topical External Instillation Vials	Topical Suspension	46234410	2
MPS	Topical External Instillation Vials	Medicated Pad	19130307	3
MPY	Topical External Other Vials	Injectable Solution	19082103	1
MPY	Topical External Other Vials	Injectable Suspension	19082104	2
MQS	Dialysis Irrigation Perfusion Solutions	Injectable Solution	19082103	1
MQS	Dialysis Irrigation Perfusion Solutions	Injectable Suspension	19082104	2
MQS	Dialysis Irrigation Perfusion Solutions	Injection	46234469	3
MSA	Topical External Ointments	Topical Cream	19082224	2
MSA	Topical External Ointments	Topical Ointment	19082227	1
MSB	Topical External Pastes	Topical Ointment	19082227	2
MSB	Topical External Pastes	Topical Cream	19082224	1
MSL	Topical External Emulsion Ointments	Topical Cream	19082224	2
MSL	Topical External Emulsion Ointments	Topical Ointment	19082227	4
MSL	Topical External Emulsion Ointments	Topical Suspension	46234410	3
MSL	Topical External Emulsion Ointments	Topical Lotion	19082225	1
MSN	Topical External Unit Dose Ointments And Pastes	Topical Ointment	19082227	2
MSN	Topical External Unit Dose Ointments And Pastes	Topical Cream	19082224	1
MSW	Topical External Soap Pastes	Topical Cream	19082224	2
MSW	Topical External Soap Pastes	Topical Ointment	19082227	1
MSW	Topical External Soap Pastes	Topical Gel	19095973	3
MSY	Topical External Other Ointments	Topical Cream	19082224	2
MSY	Topical External Other Ointments	Topical Ointment	19082227	1
MSY	Topical External Other Ointments	Topical Gel	19095973	3
MSZ	Topical External Combination Pack Ointments	Topical Cream	19082224	2
MSZ	Topical External Combination Pack Ointments	Topical Ointment	19082227	1
MSZ	Topical External Combination Pack Ointments	Topical Gel	19095973	3
MTA	Topical External Creams	Topical Cream	19082224	1
MTA	Topical External Creams	Topical Ointment	19082227	2
MTL	Topical External Emulsion Creams	Topical Ointment	19082227	2
MTL	Topical External Emulsion Creams	Topical Cream	19082224	1
MTN	Topical External Unit Dose Creams	Topical Cream	19082224	1
MTN	Topical External Unit Dose Creams	Topical Ointment	19082227	2
MTP	Topical External Metered-Dose Creams	1	19082224	1
MTP	Topical External Metered-Dose Creams	1	19082227	2
MTW	Topical External Cream Soaps/Washes	Topical Cream	19082224	4
MTW	Topical External Cream Soaps/Washes	Medicated Liquid Soap	19082109	1
MTW	Topical External Cream Soaps/Washes	Medicated Bar Soap	19082108	2
MTW	Topical External Cream Soaps/Washes	Medicated Shampoo	19008697	3
MTY	Topical External Other Creams	1	19082224	1
MTY	Topical External Other Creams	1	19082227	2
MTZ	Topical External Combination Pack Creams	Topical Ointment	19082227	2
MTZ	Topical External Combination Pack Creams	Topical Cream	19082224	1
MVA	Topical External Gels And Sols	Topical Gel	19095973	1
MVA	Topical External Gels And Sols	Topical Suspension	46234410	3
MVA	Topical External Gels And Sols	Topical Lotion	19082225	2
MVL	Topical External Emulsion Gels	Topical Gel	19095973	1
MVL	Topical External Emulsion Gels	Topical Lotion	19082225	2
MVL	Topical External Emulsion Gels	Topical Suspension	46234410	3
MVN	Topical External Unit Dose Gels/Sols	Topical Gel	19095973	2
MVN	Topical External Unit Dose Gels/Sols	Topical Solution	19082228	1
MVP	Topical External Metered- Dose Gels/Sols	1	19095973	1
MVP	Topical External Metered- Dose Gels/Sols	1	19082228	2
MVP	Topical External Metered- Dose Gels/Sols	1	46234410	3
MVP	Topical External Metered- Dose Gels/Sols	1	19082225	4
MVW	Topical External Wash/Shower Gels	Topical Suspension	46234410	3
MVW	Topical External Wash/Shower Gels	Topical Gel	19095973	1
MVW	Topical External Wash/Shower Gels	Topical Lotion	19082225	2
MVY	Topical External Other Gels/Sols	Topical Gel	19095973	1
MVY	Topical External Other Gels/Sols	Topical Solution	19082228	2
MVY	Topical External Other Gels/Sols	Topical Suspension	46234410	3
MVZ	Topical External Combination Pack Gels/Sols	Topical Gel	19095973	1
MVZ	Topical External Combination Pack Gels/Sols	Topical Solution	19082228	2
MVZ	Topical External Combination Pack Gels/Sols	Topical Suspension	46234410	3
MWA	Topical External Plasters With Substance	Transdermal Patch	19082229	1
MWA	Topical External Plasters With Substance	Medicated Pad	19130307	2
MWB	Topical External Cotton with Substance	Medicated Pad	19130307	1
MWB	Topical External Cotton with Substance	Prefilled Applicator	19129139	5
MWB	Topical External Cotton with Substance	Topical Solution	19082228	2
MWB	Topical External Cotton with Substance	Topical Suspension	46234410	3
MWB	Topical External Cotton with Substance	Topical Cream	19082224	4
MWC	Topical External Gauze Or Fleece With Substance	Transdermal Patch	19082229	2
MWC	Topical External Gauze Or Fleece With Substance	Medicated Pad	19130307	1
MWD	Topical External Pads With Substance	Topical Cream	19082224	3
MWD	Topical External Pads With Substance	Transdermal Patch	19082229	2
MWD	Topical External Pads With Substance	Medicated Pad	19130307	1
MWE	Topical External Tampons With Substance	Topical Solution	19082228	1
MWG	Topical External Bandages With Substance	Topical Solution	19082228	1
MWG	Topical External Bandages With Substance	Topical Suspension	46234410	2
MWG	Topical External Bandages With Substance	Transdermal Patch	19082229	3
MWH	Topical External Sponges With Substance	Transdermal Patch	19082229	2
MWH	Topical External Sponges With Substance	Medicated Pad	19130307	1
MWS	Topical External Poultices	Medicated Pad	19130307	1
MWS	Topical External Poultices	Transdermal Patch	19082229	2
MWY	Topical External Other Medicated Dressings	Medicated Pad	19130307	2
MWY	Topical External Other Medicated Dressings	Transdermal Patch	19082229	1
MYK	Topical External Styli And Cones Non-Rectal	Urethral Suppository	19082575	1
MYM	Topical External Sticks And Roll-Ons	Stick	21014170	1
MYP	Topical External Bone Cement With Substance	Cement	19124967	1
MYT	Topical External Foams	Topical Solution	19082228	3
MYT	Topical External Foams	Topical Foam	19095972	2
MYT	Topical External Foams	Topical Gel	19095973	1
MYW	Topical External Solid Soaps/Bars	Medicated Bar Soap	19082108	1
MYW	Topical External Solid Soaps/Bars	Medicated Liquid Soap	19082109	3
MYW	Topical External Solid Soaps/Bars	Medicated Shampoo	19008697	2
MZA	Topical External Plasters without Substance	Topical Gel	19095973	1
MZA	Topical External Plasters without Substance	Topical Cream	19082224	2
MZA	Topical External Plasters without Substance	Topical Ointment	19082227	3
MZC	Topical External Gauze or Fleece without Substance	Topical Gel	19095973	1
MZC	Topical External Gauze or Fleece without Substance	Topical Cream	19082224	2
MZC	Topical External Gauze or Fleece without Substance	Topical Ointment	19082227	3
MZD	Topical External Pads Without Substance	Topical Ointment	19082227	3
MZD	Topical External Pads Without Substance	Topical Cream	19082224	2
