Drug_code	drug_form	form_code	ingredient	dosage	volume	ingr_nature	comp_number
60011371	gélule	3902	FÉNOFIBRATE	200 mg	une gélule	SA	1
60014894	comprimé	258	NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES	5 mg (4 DH)	un comprimé	SA	6
60014894	comprimé	900	BORAX	5 mg (4 DH)	un comprimé	SA	5
60014894	comprimé	1851	ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	5 mg (6 DH)	un comprimé	SA	3
60014894	comprimé	7987	TABACUM POUR PRÉPARATIONS HOMÉOPATHIQUES	5 mg (8 DH)	un comprimé	SA	2
60014894	comprimé	8172	SEPIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	5 mg (6 DH)	un comprimé	SA	4
60014894	comprimé	25643	COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES	5 mg (8 DH)	un comprimé	SA	1
60015448	comprimé	5495	GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	17
60015448	granules	5495	GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	19
60015448	pommade	5495	GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES	"2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %)"	un comprimé	SA	25
60015448	poudre orale	5495	GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	18
60015448	solution buvable en ampoules	5495	GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	23
60015448	solution buvable en gouttes	5495	GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	20
60016308	comprimé	27222	CARVÉDILOL	25 mg	un comprimé	SA	1
60016500	comprimé	73594	CANDÉSARTAN CILEXÉTIL	32 mg	un comprimé	SA	1
60016589	solution	8152	LÉVOCARNITINE	1000 mg	5 ml	SA	1
60017367	comprimé	49212	CASCARA (ÉCORCE DE) (EXTRAIT SEC DE)	"40,0 mg soit 6,4 mg au minimum quantité exprimée en cascaroside A"	un comprimé	SA	10
60017367	comprimé	52488	"SÉNÉ (FEUILLE DE), EXTRAIT SEC TITRÉ DE"	"30,0 mg soit 2,1 mg au minimum quantité exprimée en sennosides B"	un comprimé	SA	9
60017367	comprimé	84423	ANIS VERT (FRUIT D') (POUDRE DE)	"30,0 mg"	un comprimé	SA	7
60017367	comprimé	97193	BOLDO (FEUILLE DE) (POUDRE DE)	"50,0 mg"	un comprimé	SA	8
60018088	gélule	39422	PRÉGABALINE	300 mg	une gélule	SA	26
60018896	comprimé	46744	TOSILATE DE PÉRINDOPRIL	10 mg	un comprimé	SA	1
60018896	comprimé	52431	PÉRINDOPRIL	"6,816 mg"	un comprimé	FT	1
60019101	collyre	473	SODIUM (CROMOGLICATE DE)	2 g	100 ml	SA	1
60019350	gel	4587	ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES	7 g (Teinture mère)	100 g de gel	SA	1
60019927	comprimé	9231	AMISULPRIDE	100 mg	un comprimé	SA	1
60021127	comprimé	977	SPIRONOLACTONE	"75,00 mg"	un comprimé	SA	1
60021216	comprimé	1743	DIPYRIDAMOLE	75 mg	un comprimé	SA	1
60021312	mousse	614	PROPIONATE DE CLOBÉTASOL	500 microgrammes	1 g de mousse	SA	1
60021472	solution	2667	MIDAZOLAM	1 mg	1 ml de solution injectable	SA	1
60021771	solution	5558	TÉTRADÉCYL SULFATE DE SODIUM	30 mg	1 ml de solution injectable	SA	1
60022275	dispositif	4458	TRINITRINE	"15,70 mg"	un dispositif	SA	1
60022738	dispositif	17477	FENTANYL	"15,5 mg"	un dispositif	SA	1
60025054	comprimé	82922	RIOCIGUAT	"1,50 mg"	un comprimé	SA	1
60025403	comprimé	2202	PARACÉTAMOL	1000 mg	un comprimé	SA	1
60026957	comprimé	1976	GLIBENCLAMIDE	5 mg	un comprimé	SA	1
60028050	gélule	16849	GABAPENTINE	400 mg	une gélule	SA	1
60028495	comprimé jour	2202	PARACÉTAMOL	500 mg	un comprimé	SA	5
60028495	comprimé jour	2278	CHLORHYDRATE DE PSEUDOÉPHÉDRINE	30 mg	un comprimé	SA	7
60028495	comprimé nuit	2202	PARACÉTAMOL	500 mg	un comprimé	SA	8
60028495	comprimé nuit	3225	HYDROGÉNOSUCCINATE DE DOXYLAMINE	"7,5 mg"	un comprimé	SA	9
60028552	solution	6492	BÉSILATE D'ATRACURIUM	25 mg	une ampoule	SA	1
60028680	granules	4191	CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	une ampoule	SA	14
60028680	poudre orale	4191	CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	une ampoule	SA	21
60028680	solution buvable en gouttes	4191	CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	une ampoule	SA	15
60030980	mélange de plantes	213	SÉNÉ (FEUILLE DE)	"0,72 g"	"un sachet-dose de 1,8 g"	SA	1
60031527	comprimé	38524	PANTOPRAZOLE	20 mg	un comprimé	FT	1
60031527	comprimé	67373	PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ	"22,6 mg"	un comprimé	SA	1
60031954	comprimé	9586	PÉRINDOPRIL TERT-BUTYLAMINE	8 mg	un comprimé	SA	1
60031954	comprimé	52431	PÉRINDOPRIL	"6,68 mg"	un comprimé	FT	1
60033510	poudre	10157	CHLORHYDRATE DE VANCOMYCINE	"128,25 mg"	un lyophilisat	SA	1
60033510	poudre	28416	VANCOMYCINE BASE	125 mg	un lyophilisat	FT	1
60034085	solution	2667	MIDAZOLAM	10 mg	2 ml de solution	FT	1
60034085	solution	51868	CHLORHYDRATE DE MIDAZOLAM			SA	1
60034644	suspension	928	ZINC (CHLORURE DE)	"2,50 mg"	1 ml de suspension injectable I.M.	SA	3
60034644	suspension	1836	TÉTRACOSACTIDE	"1,00 mg"	1 ml de suspension injectable I.M.	SA	2
60034936	gel	22692	KÉTOCONAZOLE	120 mg	un sachet-dose 6 g	SA	1
60035461	pastille	24245	CHLORHYDRATE D'AMBROXOL	20 mg	une pastille	SA	1
60035714	solution	16648	GOLIMUMAB 	50 mg	une seringue préremplie	SA	1
60035924	solution	2543	OXOMÉMAZINE	"0,033 g"	100 ml de solution buvable	SA	1
60037327	solution	3437	SULFATE DE PROTAMINE	1 000 Unités Antihéparine	1 ml de solution injectable	SA	1
60038468	comprimé	37011	LAMOTRIGINE	200 mg	un comprimé	SA	1
60040145	pommade	929	OXYDE DE ZINC	"5,00 g"	100 g de pommade	SA	1
60040145	pommade	3777	BENZOATE DE CHOLÉSTÉROL	"1,00 g"	100 g de pommade	SA	2
60040469	collyre	1379	CÉTHEXONIUM (BROMURE DE)	"0,1 mg"	un récipient unidose	SA	1
60040572	solution	51742	ALBUMINE HUMAINE 	200 mg	1 ml de solution	SA	1
60040608	comprimé	47018	CHLORHYDRATE DE PAROXÉTINE ANHYDRE	"22,2 mg"	un comprimé	SA	1
60040608	comprimé	51891	PAROXÉTINE BASE	20 mg	un comprimé	FT	1
60041165	granules	6427	GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	14
60041165	poudre orale	6427	GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	21
60041165	solution buvable en gouttes	6427	GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	15
60041560	comprimé	86571	CHLORHYDRATE DE TRAMADOL	150 mg	un comprimé	SA	1
60042395	comprimé	4595	CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	17
60042395	granules	4595	CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	19
60042395	pommade	4595	CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES	"2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %)"	un comprimé	SA	25
60042395	poudre orale	4595	CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	18
60042395	solution buvable en ampoules	4595	CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	23
60042395	solution buvable en gouttes	4595	CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	20
60043077	comprimé	62004	OXCARBAZÉPINE	300 mg	un comprimé	SA	1
60043248	poudre	85085	"VIRUS DE LA ROUGEOLE, SOUCHE SCHWARTZ, VIVANT, ATTÉNUÉ "	"pas moins de 3,0 log  DICC50"	"une dose de 0,5 ml de vaccin reconstitué"	SA	1
60044492	comprimé	33803	CHLORHYDRATE DE DONÉPÉZIL	5 mg	un comprimé	SA	1
60044784	comprimé	95609	LÉVÉTIRACÉTAM	250 mg	un comprimé	SA	1
60044987	comprimé	91877	CAPÉCITABINE	500 mg	un comprimé	SA	1
60047143	lyophilisat	731	ALMITRINE (MÉSILATE D')	"0,015 g"	un flacon	SA	1
60047182	comprimé	5407	CHLORHYDRATE DE MÉTHYLPHÉNIDATE	54 mg	un comprimé	SA	1
60047271	collyre	33474	LATANOPROST	"0,005 g"	100 ml	SA	1
60048672	comprimé	1257	DICHLORHYDRATE DE BÉTAHISTINE	24 mg	un comprimé	SA	1
60049895	comprimé	11532	RAMIPRIL	10 mg	un comprimé	SA	1
60049991	capsule	3790	DIHYDROERGOTAMINE (MÉSILATE DE)	3 mg	une capsule	SA	1
60050762	comprimé	48528	LOSARTAN POTASSIQUE	"50,00 mg"	un comprimé	SA	1
60051234	capsule	36065	DUTASTÉRIDE	"0,5 mg"	une capsule	SA	1
60052254	granulés	3048	SODIUM (PHÉNYLBUTYRATE DE)	940 mg	1 g de granulés	SA	1
60052973	poudre	38050	GEMCITABINE	200 mg	un flacon	FT	1
60052973	poudre	40424	CHLORHYDRATE DE GEMCITABINE			SA	1
60053064	comprimé	4813	COBALT (GLUCONATE DE)	"0,240 mg"	un comprimé	SA	1
60053064	comprimé	51332	COBALT	"0,029 mg"	un comprimé	FT	1
60053694	comprimé	52431	PÉRINDOPRIL	"6,79 mg"	un comprimé	FT	1
60053694	comprimé	69916	PÉRINDOPRIL ARGININE	10 mg	un comprimé	SA	1
60056815	comprimé	769	DIOSMINE	600 mg	un comprimé	SA	1
60058008	comprimé	15734	VALSARTAN	160 mg	un comprimé	SA	2
60058008	comprimé	39727	AMLODIPINE	10 mg	un comprimé	FT	1
60058008	comprimé	93748	BÉSILATE D'AMLODIPINE			SA	1
60058378	comprimé	977	SPIRONOLACTONE	75 mg	un comprimé	SA	1
60058517	comprimé	40435	TIAGABINE (CHLORHYDRATE DE) MONOHYDRATÉ			SA	1
60058517	comprimé	83209	TIAGABINE ANHYDRE	10 mg	un comprimé	FT	1
60059081	comprimé	5407	CHLORHYDRATE DE MÉTHYLPHÉNIDATE	10 mg	un comprimé	SA	1
60060009	comprimé	90670	CHLORHYDRATE DE NÉBIVOLOL	"5,45 mg"	un comprimé	SA	1
60060009	comprimé	96027	NÉBIVOLOL BASE	5 mg	un comprimé	FT	1
60060379	comprimé	7560	CHLORHYDRATE DE FLUOXÉTINE			SA	1
60060379	comprimé	48800	FLUOXÉTINE BASE	20 mg	un comprimé	FT	1
60060450	crème	2024	HÉPARINE SODIQUE	5000 UI	100 g	SA	4
60060450	crème	2986	MÉLILOT (EXTRAIT DE)	"0,100 g quantité exprimée en dérivés coumariniques"	100 g	SA	5
60061171	gélule	2742	LYMÉCYCLINE	226 mg	une gélule	SA	1
60061449	gaz	44570	OXYGÈNE	"q.s. (sous une pression de 10 à 12 bar, à -150 °C)"	une gélule	SA	1
60061602	gélule	39422	PRÉGABALINE	200 mg	une gélule	SA	1
60064324	comprimé	4235	MILLEPERTUIS (SOMMITÉ FLEURIE) (EXTRAIT SEC DE)	500 mg	un comprimé	SA	1
60064527	comprimé	33609	FRACTION FLAVONOÏQUE PURIFIÉE MICRONISÉE	500 mg dont 450 mg de diosmine et 50 mg de flavonoïdes exprimés en hespéridine	un comprimé	SA	1
60064872	gélule	28886	BROMHYDRATE DE GALANTAMINE			SA	1
60064872	gélule	32833	GALANTAMINE	8 mg	une gélule	FT	1
60065198	comprimé	7958	CHLORHYDRATE DE CÉLIPROLOL	200 mg	un comprimé	SA	1
60065216	comprimé	11532	RAMIPRIL	10 mg	un comprimé	SA	1
60065294	comprimé	38524	PANTOPRAZOLE	20 mg	un comprimé	FT	1
60065294	comprimé	67373	PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ	"22,56 mg"	un comprimé	SA	1
60067562	solution	952	KETOTIFÈNE (FUMARATE DE)	"0,0276 g"	100 ml	SA	2
60067562	solution	15401	KETOTIFÈNE BASE	"0,02 g"	100 ml	FT	2
60069339	granulés	80102	MONTÉLUKAST	4 mg	un sachet-dose	FT	1
60069339	granulés	86162	MONTÉLUKAST SODIQUE			SA	1
60070195	comprimé	5773	CHLORHYDRATE DE BAMIFYLLINE	300 mg	un comprimé	SA	1
60070195	comprimé	95386	BAMIFYLLINE BASE	274 mg	un comprimé	FT	1
60070665	solution	29076	MÉTHOXY POLYÉTHYLÈNE GLYCOL-ÉPOÉTINE BÊTA 	200 microgrammes	une seringue préremplie	SA	1
60071190	comprimé	10171	SIMVASTATINE	"10,0 mg"	un comprimé	SA	1
60071379	comprimé	1786	BÊTA-ESTRADIOL	"2,00 mg"	un comprimé	FT	1
60071379	comprimé	71064	BÊTA-ESTRADIOL HÉMIHYDRATÉ	"2,06 mg"	un comprimé	SA	1
60071952	comprimé	38524	PANTOPRAZOLE	"40,00 mg"	un comprimé	FT	1
60071952	comprimé	67373	PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ	"45,10 mg"	un comprimé	SA	1
60072050	comprimé	2143	THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	17
60072050	granules	2143	THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	19
60072050	pommade	2143	THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	"2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %)"	un comprimé	SA	25
60072050	poudre orale	2143	THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	18
60072050	solution buvable en ampoules	2143	THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	23
60072050	solution buvable en gouttes	2143	THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	20
60072310	comprimé	1807	ÉTHINYLESTRADIOL	"0,020 mg"	un comprimé	SA	1
60072310	comprimé	8237	GESTODÈNE	"0,075 mg"	un comprimé	SA	2
60072506	solution	18851	CHLORHYDRATE DE MITOXANTRONE	"29,10 mg"	"un flacon de 12,5 ml"	SA	1
60072506	solution	50405	MITOXANTRONE BASE	25 mg	"un flacon de 12,5 ml"	FT	1
60073451	comprimé	2423	NAFTAZONE	"30,00 mg"	un comprimé	SA	1
60073608	comprimé	37849	DICHLORHYDRATE DE LÉVOCÉTIRIZINE	5 mg	un comprimé	SA	1
60073907	comprimé	33803	CHLORHYDRATE DE DONÉPÉZIL	10 mg	un comprimé	SA	1
60073907	comprimé	70320	DONÉPÉZIL BASE	"9,12 mg"	un comprimé	FT	1
60073914	comprimé	2092	IBUPROFÈNE	400 mg	un comprimé	SA	1
60074432	gélule	24519	PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE)	160 mg	une gélule	SA	1
60074934	solution	1802	CHLORHYDRATE D'ÉTHAMBUTOL	1000 mg	une ampoule	SA	1
60075064	pâte	663	DIOXYDE DE TITANE	"0,20 g"	100 g de pâte pour application cutanée	SA	3
60075064	pâte	929	OXYDE DE ZINC	"28,30 g"	100 g de pâte pour application cutanée	SA	1
60075064	pâte	930	PEROXYDE DE ZINC	"7,70 g"	100 g de pâte pour application cutanée	SA	2
60075192	gélule	20256	CHLORHYDRATE DE VENLAFAXINE			SA	1
60075192	gélule	26322	VENLAFAXINE	"37,5 mg"	une gélule	FT	1
60075452	gélule	39422	PRÉGABALINE	100 mg	une gélule	SA	1
60076102	collyre	2452	NICOTINAMIDE	"0,500 g"	100 ml	SA	4
60076102	collyre	3087	SULFORUTOSIDE SODIQUE	"0,200 g"	100 ml	SA	5
60077026	comprimé	199	BROMURE DE PINAVÉRIUM	100 mg	un comprimé	SA	1
60077460	comprimé	15075	ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	18
60077460	granules	15075	ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	17
60077460	pommade	15075	ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH (pommade à 4 %)	un comprimé	SA	24
60077460	poudre orale	15075	ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	23
60077460	solution buvable en ampoules	15075	ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	25
60077460	solution buvable en gouttes	15075	ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	19
60077574	comprimé	7436	BISOPROLOL (HÉMIFUMARATE DE)	"2,5 mg"	un comprimé	SA	1
60079155	comprimé	9301	MÉSILATE DE DOXAZOSINE	"9,7 mg"	un comprimé	SA	1
60079155	comprimé	55340	DOXAZOSINE	8 mg	un comprimé	FT	1
60080218	suppositoire	2640	MÉSALAZINE	500 mg	un suppositoire	SA	1
60080232	solution	21962	FERRIQUE (OXYDE) SACCHAROSE	540 mg	1 ml de solution injectable	SA	3
60080232	solution	34855	FER	20 mg	1 ml de solution injectable	FT	3
60083132	comprimé	17723	OLANZAPINE	10 mg	un comprimé	SA	1
60084049	poudre	99868	GLUCAGON HUMAIN BIOGÉNÉTIQUE	1 mg	un flacon	SA	1
60085578	comprimé	14129	PÉFLOXACINE	"400,00 mg"	un comprimé	FT	1
60085578	comprimé	25282	PÉFLOXACINE (MÉSILATE DE) DIHYDRATÉ	"558,50 mg"	un comprimé	SA	1
60085610	gélule	20256	CHLORHYDRATE DE VENLAFAXINE			SA	1
60085610	gélule	26322	VENLAFAXINE	"37,5 mg"	une gélule	FT	1
60089217	solution	47903	AFLIBERCEPT 	25 mg	1 ml de solution	SA	1
60091086	gélule	2202	PARACÉTAMOL	500 mg	une gélule	SA	1
60092590	comprimé	3885	LÉVODOPA	250 mg	un comprimé	SA	2
60092590	comprimé	4090	CARBIDOPA ANHYDRE	25 mg	un comprimé	FT	3
60092590	comprimé	11448	CARBIDOPA MONOHYDRATÉE	27 mg	un comprimé	SA	3
60093639	comprimé	35876	CHLORHYDRATE DE ROPINIROLE	"9,121 mg"	un comprimé	SA	1
60093639	comprimé	62155	ROPINIROLE	8 mg	un comprimé	FT	1
60094125	gélule	70833	TRANDOLAPRIL	"0,5 mg"	une gélule	SA	1
60095056	pâte	2045	HEXÉTIDINE	"0,100 g"	100 g de pâte	SA	1
60095095	capsule	1	CHLORHYDRATE DE LOPÉRAMIDE	2 mg	une capsule	SA	1
60095526	comprimé	39196	FOSINOPRIL SODIQUE	"10,0 mg"	un comprimé	SA	1
60095729	comprimé	38315	ALFA-AMYLASE 	3000 U.CEIP	un comprimé	SA	1
60097203	comprimé	73208	PRAVASTATINE SODIQUE	10 mg	un comprimé	SA	1
60097833	gel	614	CLOBÉTASOL (PROPIONATE DE)	"0,05 g"	100 g	SA	1
60098376	comprimé	355	TRIMÉBUTINE (MALÉATE DE)	100 mg	un comprimé	SA	1
60098472	solution	51742	ALBUMINE HUMAINE PLASMATIQUE 	200 g	1 l de solution	SA	1
60099738	comprimé	5248	AMOXICILLINE ANHYDRE	500 mg	un comprimé	FT	1
60099738	comprimé	28165	AMOXICILLINE TRIHYDRATÉE			SA	1
60099738	comprimé	29442	CLAVULANATE DE POTASSIUM			SA	2
60099738	comprimé	93286	CLAVULANIQUE (ACIDE)	"62,5 mg"	un comprimé	FT	2
60100667	comprimé	32925	CHLORHYDRATE DE TERBINAFINE			SA	1
60100667	comprimé	72481	TERBINAFINE	250 mg	un comprimé	FT	1
60100877	collyre	22466	BÉTAXOLOL (CHLORHYDRATE DE)	"0,56 g"	100 ml	SA	2
60100877	collyre	36349	BÉTAXOLOL BASE	"0,50 g"	100 ml	FT	2
60102426	comprimé	2064	HYDROCHLOROTHIAZIDE	"6,25 mg"	un comprimé	SA	2
60102426	comprimé	7436	FUMARATE DE BISOPROLOL	"10,0 mg"	un comprimé	SA	1
60102974	comprimé	915	CHLORHYDRATE DE DILTIAZEM	60 mg	un comprimé	SA	1
60105162	comprimé	16849	GABAPENTINE	600 mg	un comprimé	SA	1
60106606	poudre	80439	MOROCTOCOG ALFA 	250 UI	une seringue préremplie	SA	1
60106848	comprimé	1807	ÉTHINYLESTRADIOL	"0,02 mg"	un comprimé	SA	1
60106848	comprimé	18867	DROSPIRÉNONE	3 mg	un comprimé	SA	2
60107747	solution	688	ACIDE LACTIQUE	"16,7 g"	100 g	SA	1
60107747	solution	690	ACIDE SALICYLIQUE	"16,7 g"	100 g	SA	2
60107932	gélule	4204	CHARBON ACTIVÉ	162 mg	une gélule	SA	1
60108678	comprimé	32925	CHLORHYDRATE DE TERBINAFINE			SA	1
60108678	comprimé	72481	TERBINAFINE	250 mg	un comprimé	FT	1
60108870	comprimé	21053	CAPTOPRIL	50 mg	un comprimé	SA	1
60109100	gélule	915	DILTIAZEM (CHLORHYDRATE DE)	200 mg	une gélule	SA	1
60110031	solution	4401	EAU POUR PRÉPARATIONS INJECTABLES	100 ml	100 ml de solution pour préparation injectable	SA	1
60110490	comprimé	25783	RANITIDINE (CHLORHYDRATE DE)			SA	1
60110490	comprimé	49632	RANITIDINE BASE	150 mg	un comprimé	FT	1
60110782	comprimé	15372	NORFLOXACINE	400 mg	un comprimé	SA	1
60111101	comprimé	3984	CHLORHYDRATE DE PYRIDOXINE	5 mg	un comprimé	SA	2
60111101	comprimé	20879	LACTATE DE MAGNÉSIUM DIHYDRATÉ	470 mg	un comprimé	SA	1
60111101	comprimé	94881	MAGNÉSIUM	48 mg	un comprimé	FT	1
60111197	comprimé	25715	ACICLOVIR	800 mg	un comprimé	SA	1
60111813	comprimé	3682	MALÉATE D'ÉNALAPRIL	20 mg	un comprimé	SA	1
60112192	comprimé	79600	CÉFUROXIME AXÉTIL			SA	1
60112192	comprimé	82384	CÉFUROXIME	250 mg	un comprimé	FT	1
60116447	comprimé	71861	GLIMÉPIRIDE	1 mg	un comprimé	SA	1
60116810	comprimé	819	INDAPAMIDE	"0,625 mg"	un comprimé	SA	2
60116810	comprimé	52431	PÉRINDOPRIL	"1,6975 mg"	un comprimé	FT	1
60116810	comprimé	69916	PÉRINDOPRIL ARGININE	"2,50 mg"	un comprimé	SA	1
60117638	comprimé	3613	PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	17
60117638	granules	3613	PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	19
60117638	pommade	3613	PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES	"3CH à 30CH et 6DH à 60DH (pommade à 1 %, 4 % ou 10 %)"	un comprimé	SA	25
60117638	poudre orale	3613	PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	18
60117638	solution buvable en ampoules	3613	PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	23
60117638	solution buvable en gouttes	3613	PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	20
60117855	solution	44842	PAMIDRONIQUE (ACIDE)	"12,6 mg"	1 ml	FT	1
