generic_group	generic_desc	drug_code	generic_type	serial_number
9	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent."	69128963	1	5
9	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent."	63245447	1	6
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	61541821	0	1
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	63771461	0	2
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	67516508	1	3
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	60002504	1	4
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	62349845	1	5
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	61765417	1	6
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	67897596	1	7
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	60110490	1	8
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	69595244	1	9
10	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent."	64940633	1	10
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	66293778	0	1
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	69194575	0	2
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	60476630	1	3
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	69737836	1	4
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	62803066	1	5
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	69619243	1	6
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	60813713	1	7
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	65108237	1	8
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	60009616	1	9
11	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent."	65102309	1	10
12	"FAMOTIDINE 20 mg - PEPDINE 20 mg, comprimé pelliculé"	67942333	0	1
12	"FAMOTIDINE 20 mg - PEPDINE 20 mg, comprimé pelliculé"	60005856	1	2
12	"FAMOTIDINE 20 mg - PEPDINE 20 mg, comprimé pelliculé"	68572075	1	3
13	"FAMOTIDINE 40 mg - PEPDINE 40 mg, comprimé pelliculé"	68121033	0	1
13	"FAMOTIDINE 40 mg - PEPDINE 40 mg, comprimé pelliculé"	67557907	1	2
13	"FAMOTIDINE 40 mg - PEPDINE 40 mg, comprimé pelliculé"	62737673	1	3
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	64103828	0	1
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	63404013	0	2
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61788063	1	3
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61274368	1	4
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	65080193	1	5
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	60806188	1	6
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	62639492	1	7
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61565950	1	8
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61207914	1	9
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	60670215	1	10
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	69335481	1	11
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	67995040	1	12
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61193553	1	13
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	62112248	1	14
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	63373386	1	15
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	66772497	1	16
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	60356346	1	17
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	69792010	1	18
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	63704427	1	19
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	66060546	1	20
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	66443612	1	21
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61581456	1	22
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	68720499	1	23
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	63524201	1	24
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	69036504	1	25
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61955719	1	26
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	69291960	1	27
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61624263	1	28
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	64702984	1	29
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	69619581	1	30
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	61490953	1	31
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	63777845	1	32
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	64823562	1	33
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	62943125	1	34
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	68995940	1	35
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	63847628	1	36
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	65231460	1	37
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	65692233	1	38
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	67293756	1	39
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	63244391	1	40
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	63115051	1	41
14	"OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante"	62238446	1	42
15	"SUCRALFATE 1 g - ULCAR 1 g, suspension buvable en sachet"	64577534	0	1
15	"SUCRALFATE 1 g - ULCAR 1 g, suspension buvable en sachet"	68928009	1	2
16	"SUCRALFATE 1 g - ULCAR 1 g, comprimé"	68619201	0	1
16	"SUCRALFATE 1 g - ULCAR 1 g, comprimé"	69428971	1	2
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	62944693	0	1
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	66105571	1	2
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	63591125	1	3
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	61861910	1	4
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	67235518	1	5
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	60399956	1	6
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	63324243	1	7
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	66852267	1	8
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	65632624	1	9
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	69765814	1	10
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	67462494	1	11
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	68097340	1	12
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	64052764	1	13
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	68694175	1	14
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	65560185	1	15
17	"PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral"	67294573	1	16
18	"MEBEVERINE (CHLORHYDRATE DE) 100 mg - DUSPATALIN 100 mg, comprimé enrobé"	69882714	0	1
18	"MEBEVERINE (CHLORHYDRATE DE) 100 mg - DUSPATALIN 100 mg, comprimé enrobé"	63284005	1	2
19	"MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule"	61703401	0	1
19	"MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule"	61570367	1	2
19	"MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule"	68808650	1	3
19	"MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule"	61644013	1	4
19	"MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule"	66985118	1	5
19	"MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule"	62615776	1	6
19	"MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule"	60250930	1	7
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	60246750	0	1
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	63288046	1	2
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	66906619	1	3
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	65554104	1	4
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	65820028	1	5
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	62198667	1	6
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	68650944	1	7
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	60955940	1	8
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	62867108	1	9
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	66079938	1	10
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	64536295	1	11
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	62068232	1	12
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	65444540	1	13
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	69125020	1	14
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	60508697	1	15
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	69021139	1	16
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	63480915	1	17
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	64320632	1	18
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	64869766	1	19
21	"TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé"	64911877	1	20
22	"METOCLOPRAMIDE (CHLORHYDRATE DE) 10 mg - PRIMPERAN 10 mg, comprimé sécable"	62684103	0	1
22	"METOCLOPRAMIDE (CHLORHYDRATE DE) 10 mg - PRIMPERAN 10 mg, comprimé sécable"	63076709	1	2
22	"METOCLOPRAMIDE (CHLORHYDRATE DE) 10 mg - PRIMPERAN 10 mg, comprimé sécable"	63177843	1	3
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	63679194	0	1
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	61339905	0	2
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	63630635	1	3
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	68427304	1	4
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	63394334	1	5
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	65938724	1	6
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	67116396	1	7
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	66398576	1	8
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	65601290	1	9
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	60639091	1	10
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	66585953	1	11
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	62417552	1	12
23	"DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé."	68054595	1	13
25	"LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon."	62729121	0	1
25	"LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon."	66952196	1	2
25	"LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon."	62608575	1	3
25	"LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon."	69828759	1	4
25	"LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon."	61486474	1	5
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	60155329	0	1
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	61118159	1	2
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	64405125	1	3
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	66632634	1	4
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	60337036	1	5
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	65533971	1	6
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	63925817	1	7
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	62270586	1	8
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	63260577	1	9
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	61208902	1	10
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	68528367	1	11
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	65512799	1	12
26	"LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet."	64834085	1	13
27	"NIFUROXAZIDE 4 % - ERCEFURYL 4 POUR CENT, suspension buvable."	61321095	0	1
27	"NIFUROXAZIDE 4 % - ERCEFURYL 4 POUR CENT, suspension buvable."	65811424	1	2
27	"NIFUROXAZIDE 4 % - ERCEFURYL 4 POUR CENT, suspension buvable."	60640147	1	3
27	"NIFUROXAZIDE 4 % - ERCEFURYL 4 POUR CENT, suspension buvable."	61972227	1	4
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	61145672	0	1
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	68053582	0	2
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	68949569	1	3
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	60300408	1	4
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	65615023	1	5
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	67738754	1	6
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	65306564	1	7
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	62982893	1	8
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	61360123	1	9
28	"NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule"	69554799	1	10
