"source_code"	"source_name"	"concept_id"	"concept_name"	"concept_class_id"	"vocabulary_id"
"mpp1272665"	"Twinrix 720/20 inj. susp. [voorgev. spuit] 1x1ml"	36781738	"1 ML Hepatitis A Vaccine, Inactivated 720 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension [Twinrix] Box of 1 by GSK"	"Marketed Product"	"RxNorm Extension"
"mpp1327485"	"Twinrix 720/20 inj. susp. Paediatric [voorgev. spuit] 1x0,5ml"	36781839	"0.5 ML Hepatitis A Vaccine, Inactivated 720 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension [Twinrix] Box of 1 by GSK"	"Marketed Product"	"RxNorm Extension"
"mpp2231934"	"Typhim Vi inj. oploss. [voorgev. spuit] 1x 25µg/0,5ml"	36781827	"0.5 ML Salmonella Typhi Inactivated Antigen 0.05 MG/ML Injectable Solution [Typhim VI] Box of 1 by Sanofi"	"Marketed Product"	"RxNorm Extension"
"mpp1789718"	"Uro-Vaxom harde caps. 30x 6mg"	41073583	"Escherichia coli 6 MG Oral Capsule [Uro Vaxom] Box of 30 by Vifor"	"Marketed Product"	"RxNorm Extension"
"mpp1789726"	"Uro-Vaxom harde caps. 90x 6mg"	41230145	"Escherichia coli 6 MG Oral Capsule [Uro Vaxom] Box of 90 by Vifor"	"Marketed Product"	"RxNorm Extension"
"mpp2231967"	"Vaccin Tegen Rabiës Merieux HDCV inj. susp. (pdr.+solv.) i.m. [flac.+voorgev. spuit] 2,5IE"	36781700	"1 ML Rabies virus 2.5 UNT/ML Prefilled Syringe [Merieux Inactivated Rabies Vaccine] Box of 1 by Sanofi"	"Marketed Product"	"RxNorm Extension"
"mpp3019601"	"Vaqta inj. susp. [voorgev. spuit] 1x 50E/1ml"	36781671	"1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injectable Suspension [Vaqta] Box of 1 by MSD"	"Marketed Product"	"RxNorm Extension"
"mpp3020278"	"Vaqta inj. susp. Junior [voorgev. spuit] 1x 25E/0,5ml"	36781824	"0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injectable Suspension [Vaqta] Box of 1 by MSD"	"Marketed Product"	"RxNorm Extension"
"mpp0320879"	"Act-Hib inj. oploss. (pdr.+solv.) i.m. [flac.+voorgev. spuit] 1dos."	36789586	"Haemophilus influenzae type b Injectable Solution [Act Hib]"	"Branded Drug Form"	"RxNorm Extension"
"mpp3032513"	"Bexsero inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	45892099	"0.5 ML meningococcal group B vaccine 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup"	"Quant Branded Drug"	"RxNorm"
"mpp1734094"	"Boostrix inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	42800267	"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.005 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML / diphtheria toxoid vaccine, inactivate"	"Quant Branded Drug"	"RxNorm"
"mpp2374429"	"Boostrix Polio inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	40213289	"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated"	"CVX"	"CVX"
"mpp2170439"	"Broncho-Vaxom (Impexeco) harde caps. Kind 30x"				
"mpp2170447"	"Broncho-Vaxom (Impexeco) harde caps. Volw. 30x"				
"mpp2680189"	"Broncho-Vaxom (PIP) harde caps. Volw. 30x"				
"mpp0609529"	"Broncho-Vaxom harde caps. Kind 30x"				
"mpp0609537"	"Broncho-Vaxom harde caps. Volw. 30x"				
"mpp2285575"	"Dukoral susp. (susp.+bruisgran.) 2x1dos."	40213276	"cholera, WC-rBS"	"CVX"	"CVX"
"mpp3308277"	"FSME Immun inj. susp. i.m. [voorgev. spuit] 1x 0,5ml"	40213235	"tick-borne encephalitis vaccine"	"CVX"	"CVX"
"mpp3308285"	"FSME Immun inj. susp. i.m. Junior [voorgev. spuit] 1x 0,25ml"	40213235	"tick-borne encephalitis vaccine"	"CVX"	"CVX"
"mpp3402799"	"Gardasil 9 inj. susp. i.m. [voorgev. spuit] 1x 0,5ml"	45892514	"0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.12 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 31 Vaccine 0.04 MG/ML /"	"Quant Branded Drug"	"RxNorm"
"mpp3050176"	"Hexyon inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	40213284	"Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine."	"CVX"	"CVX"
"mpp0083063"	"Imovax Polio inj. susp. [voorgev. spuit] 1x0,5ml"				
"mpp2765469"	"Ixiaro inj. susp. [voorgev. spuit] 1x 0,5ml"	42873439	"0.5 ML Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated 0.012 MG/ML Prefilled Syringe [Ixiaro]"	"Quant Branded Drug"	"RxNorm"
"mpp2324911"	"M.M.R. VaxPro inj. susp. (pdr.+solv.) [flac.+voorgev. spuit] 1dos."	40213183	"measles, mumps and rubella virus vaccine"	"CVX"	"CVX"
"mpp3435138"	"Mencevax ACWY inj. oploss. (pdr.+solv.) s.c. [2x flac.] 50x10dos."	40213172	"meningococcal ACWY vaccine, unspecified formulation"	"CVX"	"CVX"
"mpp2473809"	"Mencevax ACWY inj. oploss. (pdr.+solv.) s.c. [flac.+voorgev. spuit] 1dos."	40213172	"meningococcal ACWY vaccine, unspecified formulation"	"CVX"	"CVX"
"mpp3062411"	"Menveo inj. oploss. (pdr.+solv.) i.m. [2x flac.] 1dos."	40213172	"meningococcal ACWY vaccine, unspecified formulation"	"CVX"	"CVX"
"mpp1696392"	"Neisvac-C inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	40213176	"meningococcal C conjugate vaccine"	"CVX"	"CVX"
"mpp2950996"	"Nimenrix inj. oploss. (pdr.+solv.) i.m. [flac.+voorgev. spuit] 1dos."	40213172	"meningococcal ACWY vaccine, unspecified formulation"	"CVX"	"CVX"
"mpp2657088"	"Prevenar 13 inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	40213198	"pneumococcal conjugate vaccine, 13 valent"	"CVX"	"CVX"
"mpp1358167"	"Priorix inj. oploss. (pdr.+solv.) s.c. [flac.+voorgev. spuit] 1dos."	40213183	"measles, mumps and rubella virus vaccine"	"CVX"	"CVX"
"mpp2232221"	"Provarivax inj. susp. (pdr.+solv.) s.c. [flac.+voorgev. spuit] 1dos."	40213251	"varicella virus vaccine"	"CVX"	"CVX"
"mpp2231900"	"Revaxis inj. susp. i.m. [voorgev. spuit] 1x0,5ml"				
"mpp2663532"	"Rotarix susp. (pdr.+solv.) 1x1,5ml"	19131940	"Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain 1000000 UNT/ML Oral Suspension [Rotarix]"	"Branded Drug"	"RxNorm"
"mpp2322436"	"Rotateq oploss. (unidose) 1x2ml"	19130404	"Human-Bovine Reassortant Rotavirus Strain G1 Vaccine 1100000 UNT/ML / Human-Bovine Reassortant Rotavirus Strain G2 Vaccine 1400000 UNT/ML / Human-Bovine Reassortant Rotavirus Strain G3 Vaccine 1100000 UNT/ML / Human-Bovine Reassortant Rotavirus Strain G4"	"Branded Drug"	"RxNorm"
"mpp1152743"	"Stamaril inj. susp. (pdr.+solv.) [flac.+voorgev. spuit] 1dos."	1593658	"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection [Stamaril]"	"Quant Branded Drug"	"RxNorm"
"mpp2231868"	"Tetravac inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	40213289	"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated"	"CVX"	"CVX"
"mpp3707767"	"Triaxis inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	40213281	"diphtheria, tetanus toxoids and acellular pertussis vaccine"	"CVX"	"CVX"
"mpp0064527"	"Varilrix inj. susp. (pdr.+solv.) s.c. [flac.+voorgev. spuit] 1dos."	40213251	"varicella virus vaccine"	"CVX"	"CVX"
"mpp0069914"	"Vivotif Berna harde maagsapresist. caps. EC 3x"	19129379	"Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule [Vivotif]"	"Branded Drug"	"RxNorm"
"mpp2324937"	"Zostavax inj. susp. (pdr.+solv.) s.c. [flac.+voorgev. spuit] 1dos."	40213251	"varicella virus vaccine"	"CVX"	"CVX"
"mpp3813805"	"Prevenar 13 inj. susp. i.m. [flac.] 50x2ml"	40213198	"pneumococcal conjugate vaccine, 13 valent"	"CVX"	"CVX"
