"CONCEPT_CODE"	"CONCEPT_NAME"	"MAPPED_ID"	"MAPPED_NAME"	"Supplier_name"
"mp729-1735"	"Akineton"	19020262	"Akineton"	"SIT"
"mp737-1800"	"Akton"	36256550	"Akton"	"Takeda"
"mp33084-1958"	"Akynzeo"	45774970	"Akynzeo"	"Vifor"
"mp745-2097"	"Albicort"	36256135	"Albicort"	"Sanofi Belgium"
"mp752-1347"	"Alcaine"	19047959	"Alcaine"	"Novartis Pharma"
"mp786-497"	"Aldactazine"	36256753	"Aldactazine"	"Continental Pharma"
"mp794-497"	"Aldactone"	19020268	"Aldactone"	"Continental Pharma"
"mp794-1529"	"Aldactone"	19020268	"Aldactone"	"PI-Pharma"
"mp802-1115"	"Aldara"	19053103	"Aldara"	"Meda Pharma"
"mp810-505"	"Aldomet"	19020292	"Aldomet"	"Cophana"
"mp828-2097"	"Aldurazyme"	19045742	"Aldurazyme"	"Sanofi Belgium"
"mp37440-1628"	"Alecensa"	35604661	"Alecensa"	"Roche"
"mp869-1636"	"Alendronate Sandoz"	40799714	"Alendron Sandoz"	"Sandoz"
"mp30932-1636"	"Alendronaat + Calcium/Vitamine D Combi Sandoz"	36256559	"Alendronaat + Calcium/Vitamine D Combi Sandoz"	"Sandoz"
"mp37473-1636"	"Alendronaat + Vitamine D Sandoz"	36256155	"Alendronaat + Vitamine D Sandoz"	"Sandoz"
"mp844-1529"	"Alendronate EG"	36256765	"Alendronate EG"	"PI-Pharma"
"mp844-612"	"Alendronate EG"	36256765	"Alendronate EG"	"Eurogenerics"
"mp877-1818"	"Alendronate Teva"	43127156	"ALENDRONATE TEVA"	"Teva"
"mp836-1800"	"AlenSteo"	36256561	"AlenSteo"	"Takeda"
"mp885-299"	"Aleve"	19053148	"Aleve"	"Bayer"
"mp901-1636"	"Alfuzosine Sandoz"	40800425	"Alfuzosin Sandoz"	"Sandoz"
"mp919-1602"	"Algipan"	36256621	"Algipan"	"Qualiphar"
"mp927-1602"	"Algis-Spray"	36256188	"Algis-Spray"	"Qualiphar"
"mp943-1743"	"Algocod"	36256356	"Algocod"	"SMB"
"mp968-1743"	"Algostase"	36256568	"Algostase"	"SMB"
"mp976-1743"	"Algostase Mono"	36256569	"Algostase Mono"	"SMB"
"mp992-1743"	"Algotra"	36256560	"Algotra"	"SMB"
"mp1000-570"	"Alimta"	19016297	"Alimta"	"Eli Lilly"
"mp1016-299"	"Alka Seltzer"	44013134	"Alka Seltzer"	"Bayer"
"mp1024-232"	"Alkeran"	19020297	"Alkeran"	"Aspen"
"mp34314-2097"	"Allegra Nasal"	19016452	"Allegra"	"Sanofi Belgium"
"mp1032-2097"	"Allegratab"	36256237	"Allegratab"	"Sanofi Belgium"
"mp32599-2097"	"Alleophta"	36256206	"Alleophta"	"Sanofi Belgium"
"mp1040-1925"	"Allergo-COMOD"	43564013	"Allergo-Comod"	"Ursapharm"
"mp1057-1115"	"Allergodil"	43127197	"ALLERGODIL"	"Meda Pharma"
"mp1081-612"	"Allopurinol EG"	43127202	"ALLOPURINOL EG"	"Eurogenerics"
"mp1123-1818"	"Allopurinol-Ratiopharm"	43127207	"ALLOPURINOL RATIOPHARM"	"Teva"
"mp1107-1636"	"Allopurinol Sandoz"	43127208	"ALLOPURINOL SANDOZ"	"Sandoz"
"mp1115-1818"	"Allopurinol Teva"	43127210	"ALLOPURINOL TEVA"	"Teva"
"mp1131-174"	"Almogran"	21015266	"Almogran"	"Almirall"
"mp1149-1636"	"Almotriptan Sandoz"	43127219	"ALMOTRIPTAN SANDOZ"	"Sandoz"
"mp1156-1347"	"Alomide"	19012891	"Alomide"	"Novartis Pharma"
"mp1164-968"	"Alopate"	36256410	"Alopate"	"Kela"
"mp1172-1537"	"Alopexy"	43127223	"ALOPEXY"	"Pierre Fabre"
"mp1180-1958"	"Aloxi"	19043676	"Aloxi"	"Vifor"
"mp31047-828"	"α-RIX-Tetra 2018-2019"	36256864	"Alpha RIX Tetra"	"GSK"
"mp1198-166"	"Alphagan"	19023499	"Alphagan"	"Allergan"
"mp1214-1743"	"Alpraz"	36256196	"Alpraz"	"SMB"
"mp1222-612"	"Alprazolam EG"	43127233	"ALPRAZOLAM EG"	"Eurogenerics"
"mp1248-1636"	"Alprazolam Sandoz"	43127238	"ALPRAZOLAM SANDOZ"	"Sandoz"
"mp1255-1818"	"Alprazolam Teva"	43127239	"ALPRAZOLAM TEVA"	"Teva"
"mp37374-1792"	"Alprolix"	44817871	"Alprolix"	"Swedish Orphan"
"mp1263-1826"	"Altriabak"	36256161	"Altriabak"	"Thea"
"mp1313-2097"	"Amarylle"	19023584	"Amaryl"	"Sanofi Belgium"
"mp1321-794"	"Ambisome"	19020329	"AmBisome"	"Gilead Sciences"
"mp31021-2212"	"Ameluz"	40221162	"Ameluz"	"Biofrontera"
"mp39875-190"	"Amgevita"	994489	"Amgevita"	"Amgen"
"mp1347-265"	"Amikacine B. Braun"	43564039	"Amikacin B. Braun"	"B. Braun"
"mp5900-1818"	"Co-Amiloride Teva"	43127360	"AMILORIDE HYDROCHLOROTHIAZIDE TEVA"	"Teva"
"mp1354-612"	"Amiodarone EG"	43127372	"AMIODARONE EG"	"Eurogenerics"
"mp1388-612"	"Amisulpride EG"	43127386	"AMISULPRIDE EG"	"Eurogenerics"
"mp25452-612"	"Sulpiride EG"	43127386	"AMISULPRIDE EG"	"Eurogenerics"
"mp1420-216"	"Amlodipine Apotex"	36256766	"Amlodipine Apotex"	"Apotex"
"mp1438-612"	"Amlodipine EG"	43127402	"AMLODIPINE EG"	"Eurogenerics"
"mp1438-1529"	"Amlodipine EG"	43127402	"AMLODIPINE EG"	"PI-Pharma"
"mp33753-2303"	"Amlodipine Krka"	36256238	"Amlodipine Krka"	"KRKA"
"mp1446-1289"	"Amlodipine Mylan"	43127405	"AMLODIPINE MYLAN"	"Mylan"
"mp1412-885"	"Amlodipin Sandoz"	43127412	"AMLODIPINE SANDOZ"	"Impexeco"
"mp1412-1636"	"Amlodipin Sandoz"	43127412	"AMLODIPINE SANDOZ"	"Sandoz"
"mp1453-1818"	"Amlodipine Teva"	43127413	"AMLODIPINE TEVA"	"Teva"
"mp1461-1743"	"Amlogal"	36256512	"Amlogal"	"SMB"
"mp1479-1446"	"Amlor"	43127416	"AMLOR"	"Pfizer"
"mp33506-1792"	"Ammonaps"	21014931	"Ammonaps"	"Swedish Orphan"
"mp1487-612"	"AmoclaneEG"	36256481	"AmoclaneEG"	"Eurogenerics"
"mp1495-1818"	"Amorolfine Teva"	43127433	"AMOROLFINE TEVA"	"Teva"
"mp37838-2485"	"Amoxicillin / Clavulanic Acid AB"	40799982	"Amoxi Clavulan Aurobindo"	"Aurobindo"
"mp1560-1636"	"Amoxiclav Sandoz"	43127441	"AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ"	"Sandoz"
"mp1511-612"	"Amoxicilline EG"	43127448	"AMOXICILLINE EG"	"Eurogenerics"
"mp1537-1636"	"Amoxicilline Sandoz"	43127457	"AMOXICILLINE SANDOZ"	"Sandoz"
"mp1578-1818"	"Amoxiclav Teva"	43127479	"AMOXICILLINE/ACIDE CLAVULANIQUE TEVA"	"Teva"
"mp1602-1313"	"Ampres"	21016164	"Ampres"	"Nordic Pharma"
"mp33340-2519"	"Amsidine"	19013537	"Amsidine"	"NordMedica"
"mp1610-406"	"Amukin"	43127489	"AMUKINE"	"Bristol-Myers Squibb"
"mp1628-885"	"Anafranil"	19022204	"Anafranil"	"Impexeco"
"mp1628-1248"	"Anafranil"	19022204	"Anafranil"	"Sigma-tau"
"mp1644-2485"	"Anastrozol Actavis"	43564225	"Anastrozol Aurobindo"	"Aurobindo"
"mp1677-612"	"Anastrozole EG"	43127501	"ANASTROZOLE EG"	"Eurogenerics"
"mp1651-1636"	"Anastrozol Sandoz"	43127509	"ANASTROZOLE SANDOZ"	"Sandoz"
"mp1685-1818"	"Anastrozole Teva"	43127510	"ANASTROZOLE TEVA"	"Teva"
"mp1693-299"	"Androcur"	21018407	"Androcur"	"Bayer"
"mp1701-315"	"Androgel"	19099224	"Androgel"	"Besins"
"mp1719-1628"	"Anexate"	21017849	"Anexate"	"Roche"
"mp1727-299"	"Angeliq"	19058478	"Angeliq"	"Bayer"
"mp37804-1222"	"Annaïs 20"	36256850	"Annais"	"Mithra"
"mp37812-1222"	"Annaïs 30"	36256850	"Annais"	"Mithra"
"mp32441-1222"	"Annaïs Continu"	36256850	"Annais"	"Mithra"
"mp30551-828"	"Anoro"	44785563	"Anoro"	"GSK"
"mp1800-2097"	"Antabuse"	19020354	"Antabuse"	"Sanofi Belgium"
"mp1818-968"	"Antebor"	36256193	"Antebor"	"Kela"
"mp31633-1867"	"Anticold"	36256138	"Anticold"	"Tilman"
"mp1826-1396"	"Antigriphine"	36256845	"Antigriphine"	"Omega"
"mp1834-2097"	"Antistax"	43127533	"ANTISTAX"	"Sanofi Belgium"
"mp1842-2204"	"Antitrombine III-Concentraat Baxalta"	36256754	"Antitrombine III-Concentraat Baxalta"	"Baxalta"
"mp1867-2097"	"Apidra"	19084603	"Apidra"	"Sanofi Belgium"
"mp38836-216"	"Ezetimibe Apotex"	44013635	"Apo-Ezetimibe"	"Apotex"
"mp31583-612"	"APO-GO-AMP"	43565782	"Apo-Go Ampullen"	"Eurogenerics"
"mp31187-612"	"APO-GO-PEN"	43565782	"Apo-Go Ampullen"	"Eurogenerics"
"mp38299-216"	"Rosuvastatine Apotex"	44013812	"Apo-Rosuvastatin"	"Apotex"
"mp1875-1115"	"Apocard"	40800893	"Apocard"	"Meda Pharma"
"mp1883-1784"	"Apomorphine HCl Sterop"	36256268	"Apomorphine HCl Sterop"	"Sterop"
"mp1891-1602"	"Aporil"	43252258	"Aporyl Anti-Fungal Nail Treatment"	"Qualiphar"
"mp1909-885"	"Apranax"	43127546	"APRANAX"	"Impexeco"
"mp1909-521"	"Apranax"	43127546	"APRANAX"	"CSP Benelux"
"mp1917-1826"	"Aprokam"	21014543	"Aprokam"	"Thea"
"mp1925-2097"	"Aprovel"	21016918	"Aprovel"	"Sanofi Belgium"
"mp1933-372"	"Aptivus"	19086123	"Aptivus"	"Boehringer Ingelheim"
"mp1966-190"	"Aranesp"	19025156	"Aranesp"	"Amgen"
"mp1974-2097"	"Arava"	19054960	"Arava"	"Sanofi Belgium"
"mp1982-1263"	"Arcoxia"	21017513	"Arcoxia"	"MSD"
"mp1990-1529"	"Aricept"	19016002	"Aricept"	"PI-Pharma"
"mp1990-1446"	"Aricept"	19016002	"Aricept"	"Pfizer"
"mp2006-257"	"Arimidex"	19100842	"Arimidex"	"AstraZeneca"
"mp2006-885"	"Arimidex"	19100842	"Arimidex"	"Impexeco"
"mp31856-2303"	"Aripiprazol Krka"	43565715	"Aripiprazol Krka"	"KRKA"
"mp32268-612"	"Aripiprazole EG"	35406509	"ARIPIPRAZOLE EG"	"Eurogenerics"
"mp32268-1529"	"Aripiprazole EG"	35406509	"ARIPIPRAZOLE EG"	"PI-Pharma"
"mp32623-1636"	"Aripiprazol Sandoz"	43127559	"ARIPIPRAZOLE SANDOZ"	"Sandoz"
"mp32219-1636"	"Aripiprazole Sandoz"	43127559	"ARIPIPRAZOLE SANDOZ"	"Sandoz"
"mp32276-1818"	"Aripiprazole Teva"	43127560	"ARIPIPRAZOLE TEVA"	"Teva"
"mp2014-232"	"Arixtra"	19016011	"Arixtra"	"Aspen"
"mp31781-224"	"ArkoFlex"	36256844	"ArkoFlex"	"Arkopharma"
"mp2022-968"	"Arlevertan"	36256572	"Arlevertan"	"Kela"
"mp2030-1636"	"Armunia 20"	36256767	"Armunia 20"	"Sandoz"
"mp2048-1636"	"Armunia 30"	36256842	"Armunia 30"	"Sandoz"
"mp2063-1446"	"Aromasin"	19100386	"Aromasin"	"Pfizer"
"mp2063-1529"	"Aromasin"	19100386	"Aromasin"	"PI-Pharma"
"mp2071-1453"	"Artane"	19020403	"Artane"	"Pharma Logistics"
"mp2089-273"	"Arteoptic"	43565591	"Arteoptic"	"Bausch & Lomb"
"mp2089-1529"	"Arteoptic"	43565591	"Arteoptic"	"PI-Pharma"
"mp2097-497"	"Arthrotec"	19125399	"Arthrotec"	"Continental Pharma"
"mp2113-281"	"Artiss"	19027456	"Artiss"	"Baxter"
"mp2121-612"	"Asa EG"	36256405	"Asa EG"	"Eurogenerics"
"mp2147-1800"	"Asaflow"	36256492	"Asaflow"	"Takeda"
"mp2162-1487"	"Aseptiderm"	36256284	"Aseptiderm"	"Pharmacobel"
"mp2212-2097"	"Aspegic"	21015470	"Aspegic"	"Sanofi Belgium"
"mp2246-299"	"Aspirine-C"	40800538	"Aspirin C"	"Bayer"
"mp2238-299"	"Aspirine Cafeine"	43565742	"Aspirin Coffein"	"Bayer"
"mp2253-1552"	"Astrexine"	36256832	"Astrexine"	"Pierre Fabre Sante"
"mp2261-257"	"Atacand"	19055329	"Atacand"	"AstraZeneca"
"mp2279-257"	"Atacand Plus"	43565884	"Atacand Plus"	"AstraZeneca"
"mp2287-1909"	"Atarax"	19039137	"Atarax"	"UCB"
"mp2295-612"	"Atenolol / Chlortalidone EG"	36256228	"Atenolol / Chlortalidone EG"	"Eurogenerics"
"mp2329-612"	"Atenolol EG"	43127643	"ATENOLOL EG"	"Eurogenerics"
"mp2337-1289"	"Atenolol Mylan"	43127645	"ATENOLOL MYLAN"	"Mylan"
"mp2345-1636"	"Atenolol Sandoz"	43127648	"ATENOLOL SANDOZ"	"Sandoz"
"mp2352-1818"	"Atenolol Teva"	43127650	"ATENOLOL TEVA"	"Teva"
"mp2386-1636"	"Atorasat"	36256407	"Atorasat"	"Sandoz"
"mp2428-216"	"Atorvastatin Apotex"	36256513	"Atorvastatin Apotex"	"Apotex"
"mp2410-2485"	"Atorvastatin Actavis"	43565070	"Atorvastatin Aurobindo"	"Aurobindo"
"mp2394-885"	"Atorstatineg"	43127664	"ATORVASTATINE EG"	"Impexeco"
"mp2394-612"	"Atorstatineg"	43127664	"ATORVASTATINE EG"	"Eurogenerics"
"mp32201-2303"	"Atorvastatin Krka"	43127668	"ATORVASTATINE KRKA"	"KRKA"
"mp2444-1289"	"Atorvastatine Mylan"	43127669	"ATORVASTATINE MYLAN"	"Mylan"
"mp2436-1636"	"Atorvastatin Sandoz"	43127676	"ATORVASTATINE SANDOZ"	"Sandoz"
"mp2451-1818"	"Atorvastatine Teva"	43127677	"ATORVASTATINE TEVA SANTE"	"Teva"
"mp2451-885"	"Atorvastatine Teva"	43127677	"ATORVASTATINE TEVA SANTE"	"Impexeco"
"mp2469-1289"	"Atovaquone / Proguanil Mylan"	43127683	"ATOVAQUONE/PROGUANIL MYLAN"	"Mylan"
"mp2477-1818"	"Atovaquone / Proguanil Teva"	43127686	"ATOVAQUONE/PROGUANIL TEVA"	"Teva"
"mp32227-1263"	"Atozet"	43252293	"Atozet"	"MSD"
"mp39081-1818"	"Atremia"	36777146	"Atremia"	"Teva"
"mp2485-1347"	"Atriance"	21017187	"Atriance"	"Novartis Pharma"
"mp2493-794"	"Atripla"	19091076	"Atripla"	"Gilead Sciences"
"mp2501-2097"	"Atronase"	36256477	"Atronase"	"Sanofi Belgium"
"mp2519-117"	"Atropine Sulfate Aguettant"	43126089	"ATROPINE SULFATE AGUETTANT"	"Aguettant"
"mp2527-1784"	"Atropine Sulfate Sterop"	36256217	"Atropine Sulfate Sterop"	"Sterop"
"mp33548-2055"	"A.Vogel AtrosanMed"	36256877	"AtrosanMed"	"Biohorma"
"mp2535-372"	"Atrovent"	19020409	"Atrovent"	"Boehringer Ingelheim"
"mp2543-2097"	"Aubagio"	42898635	"Aubagio"	"Sanofi Belgium"
"mp2550-224"	"Aubeline"	43126095	"AUBELINE ARKOGELULES"	"Arkopharma"
"mp2568-828"	"Augmentin"	19020435	"Augmentin"	"GSK"
"mp2568-1529"	"Augmentin"	19020435	"Augmentin"	"PI-Pharma"
"mp39339-125"	"Augverz"	36777137	"Augverz"	"Alcon"
"mp2576-2162"	"Aureomycin"	19087117	"Aureomycin"	"BePharBel"
"mp2592-828"	"Avamys"	21015270	"Avamys"	"GSK"
"mp2600-1628"	"Avastin"	19025346	"Avastin"	"Roche"
"mp37796-2097"	"Avaxim"	43252310	"Avaxim"	"Sanofi Belgium"
"mp2618-299"	"Avelox"	19099247	"Avelox"	"Bayer"
"mp2626-1347"	"Avessaron"	36256504	"Avessaron"	"Novartis Pharma"
"mp2634-885"	"Avodart"	19031908	"Avodart"	"Impexeco"
"mp2634-828"	"Avodart"	19031908	"Avodart"	"GSK"
"mp2634-1529"	"Avodart"	19031908	"Avodart"	"PI-Pharma"
"mp2642-331"	"Avonex"	19023492	"Avonex"	"Biogen"
"mp2659-406"	"Azactam"	19042986	"Azactam"	"Bristol-Myers Squibb"
"mp2667-1347"	"Azarga"	21015581	"Azarga"	"Novartis Pharma"
"mp2683-1636"	"Azathioprin Sandoz"	40801366	"Azathioprine Sandoz"	"Sandoz"
"mp2691-1636"	"Azathioprine Sandoz"	40801366	"Azathioprine Sandoz"	"Sandoz"
"mp30882-1925"	"Azelastin-COMOD"	40801368	"Azelastin Comod"	"Ursapharm"
"mp2725-1818"	"Azilect"	19089083	"Azilect"	"Teva"
"mp2725-1529"	"Azilect"	19089083	"Azilect"	"PI-Pharma"
"mp2741-216"	"Azithromycin Apotex"	36256156	"Azithromycin Apotex"	"Apotex"
"mp2758-612"	"Azithromycine EG"	43126117	"AZITHROMYCINE EG"	"Eurogenerics"
"mp2774-1636"	"Azithromycine Sandoz"	43126127	"AZITHROMYCINE SANDOZ"	"Sandoz"
"mp2782-1818"	"Azithromycine Teva"	43126128	"AZITHROMYCINE TEVA"	"Teva"
"mp2790-1347"	"Azopt"	19038057	"Azopt"	"Novartis Pharma"
"mp2808-927"	"Azzalure"	21017093	"Azzalure"	"Ipsen"
"mp2824-1289"	"Baclofen Mylan"	36256846	"Baclofen Mylan"	"Mylan"
"mp2816-117"	"Baclofen Aguettant"	43126134	"BACLOFENE AGUETTANT"	"Aguettant"
"mp2840-1628"	"Bactrim"	19020462	"Bactrim"	"Roche"
"mp2857-828"	"Bactroban"	19088920	"Bactroban"	"GSK"
"mp37465-1636"	"Balcoga"	36256562	"Balcoga"	"Sandoz"
"mp2873-1552"	"Balsoclase Dextromethorphan"	36256669	"Balsoclase Dextromethorphan"	"Pierre Fabre Sante"
"mp2881-1552"	"Balsoclase Mucolyticum"	36256232	"Balsoclase Mucolyticum"	"Pierre Fabre Sante"
"mp2899-406"	"Baraclude"	19080288	"Baraclude"	"Bristol-Myers Squibb"
"mp39149-1180"	"Bavencio"	1593278	"Bavencio"	"Merck"
"mp2915-2162"	"Baxil"	36256758	"Baxil"	"BePharBel"
"mp2220-299"	"Aspirine"	19055970	"Bayer Aspirin"	"Bayer"
"mp2931-1024"	"BCG Medac"	40801545	"Bcg Medac"	"Lamepro"
"mp2956-1636"	"Beclophar"	36256733	"Beclophar"	"Sandoz"
"mp2964-299"	"Becozyme"	43126163	"BECOZYME"	"Bayer"
"mp31757-1743"	"Befact"	36256241	"Befact"	"SMB"
"mp2998-760"	"Bellina"	36256524	"Bellina"	"Gedeon Richter"
"mp3004-1172"	"Bellozal"	36256239	"Bellozal"	"Menarini"
"mp3012-1172"	"Belsar"	40801271	"Belsar"	"Menarini"
"mp3020-1172"	"Belsar Plus"	40801271	"Belsar"	"Menarini"
"mp30825-760"	"Bemfola"	21015406	"Bemfola"	"Gedeon Richter"
"mp32979-67"	"Bendamustine Accord"	35406636	"BENDAMUSTINE ACCORD"	"Accord"
"mp3038-1446"	"Benefix"	19000470	"BeneFIX"	"Pfizer"
"mp34066-331"	"Benepali"	21016452	"Benepali"	"Biogen"
"mp3046-1453"	"Benerva"	19013637	"Benerva"	"Pharma Logistics"
"mp3053-828"	"Benlysta"	40236747	"Benlysta"	"GSK"
"mp3061-745"	"Benzac"	19056269	"Benzac"	"Galderma"
"mp3079-1891"	"Benzadermine"	36256146	"Benzadermine"	"Trenker"
"mp3087-513"	"Berinert"	40166914	"Berinert"	"CSL Behring"
"mp3095-3012"	"Beromun"	21015137	"Beromun"	"Belpharma"
"mp28324-1818"	"Bespres"	36256719	"Bespres"	"Teva"
"mp3103-299"	"Betaferon"	19016049	"Betaferon"	"Bayer"
"mp3111-166"	"Betagan"	19021084	"Betagan"	"Allergan"
"mp3129-216"	"Betahistine Apotex"	36256242	"Betahistine Apotex"	"Apotex"
"mp3137-612"	"Betahistine EG"	43126196	"BETAHISTINE EG"	"Eurogenerics"
"mp3145-1289"	"Betahistine Mylan"	43126197	"BETAHISTINE MYLAN"	"Mylan"
"mp3152-1636"	"Betahistine Sandoz"	43126202	"BETAHISTINE SANDOZ"	"Sandoz"
"mp3160-1818"	"Betahistine Teva"	43126203	"BETAHISTINE TEVA"	"Teva"
"mp3194-2386"	"Betaserc"	43126213	"BETASERC"	"Mylan EPD"
"mp3194-1529"	"Betaserc"	43126213	"BETASERC"	"PI-Pharma"
"mp3202-240"	"Betmiga"	21019070	"Betmiga"	"Astellas"
"mp3210-828"	"Betnelan V"	19013667	"Betnelan"	"GSK"
"mp3228-1248"	"Betnesol"	19112543	"Betnesol"	"Sigma-tau"
"mp3236-1347"	"Betoptic"	19042027	"Betoptic"	"Novartis Pharma"
"mp33910-828"	"Bexsero"	45892096	"Bexsero"	"GSK"
"mp3277-612"	"Bicalutamide EG"	43126235	"BICALUTAMIDE EG"	"Eurogenerics"
