source_concept_code	source_concept_name	source_concept_desc	source_concept_class_id	target_concept_id	target_concept_name	precedence	conversion_factor	invalid_indicator
"gal00733"	"filmomh. tabl. + bruistabl."	"compr. pellic. + compr. efferv."	"Dose Form"	"19082168"	"Oral Capsule"	"1"		
"gal00165"	"oploss."	"sol."	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00470"	"urethr. gel"	"gel urétr."	"Dose Form"	"19095974"	"Urethral Gel"	"1"		
"gal00668"	"zetpil Kind"	"supp. Enfant"	"Dose Form"	"19082200"	"Rectal Suppository"	"1"		
"gal00095"	"inj. oploss. (pdr.) i.v. [flac.]"	"sol. inj. (pdr) i.v. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00269"	"gingiv./oromuc. geïmpr. wattenschijfjes Pellets"	"tampon impr. gingiv./oromuq. Pellets"	"Dose Form"	"19082652"	"Oral Pellet"	"1"		
"gal00264"	"gingiv./oromuc. spray oploss."	"sol. spray gingiv./oromuq."	"Dose Form"	"19095900"	"Mucosal Spray"	"1"		
"gal00044"	"inj. oploss. i.v. [flac.]"	"sol. inj. i.v. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00062"	"bruistabl. (deelb.) Forte"	"compr. efferv. (séc.) Forte"	"Dose Form"	"1592486"	"Tablet for Oral Suspension"	"1"		
"gal00211"	"inj. oploss. i.v. [voorgev. spuit]"	"sol. inj. i.v. [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00299"	"inj./instill. oploss. i.v./i.artic./i.arter./i.card./i.uter. [flac.]"	"sol. inj./instill. i.v./i.artic./i.artér./i.card./i.utér. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00112"	"inj. susp. i.m. [voorgev. spuit]"	"susp. inj. i.m. [ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00033"	"verband"	"pansement"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00285"	"inj./instill. oploss. i.v./i.arter./i.card./i.duct. [flac.]"	"sol. inj./instill. i.v./i.artér./i.canal./i.card. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00461"	"tabl. verl. afgifte (deelb.) 200"	"compr. lib. prol. (séc.) 200"	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"1"		
"gal00784"	"inj./instill. oploss. (pdr.) i.vesic. [flac.]"	"sol. inj./instill. (pdr) i.vésic. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00408"	"orofar. zuigtabl. Vit. C Sinaasappel"	"past. orophar. Vit. C Orange"	"Dose Form"	"19082253"	"Oral Lozenge"	"1"		
"gal00472"	"tabl. geregul. afgifte (deelb.)"	"compr. lib. modif. (séc.)"	"Dose Form"	"19082255"	"Delayed Release Oral Capsule"	"1"		
"gal00721"	"dosisaerosol oploss. HFA [inhalator]"	"sol. inhal. (flacon press.) HFA [inhalateur]"	"Dose Form"	"19095898"	"Inhalation Solution"	"1"		
"gal00662"	"orofar. spray oploss. Menthol"	"sol. spray orophar. Menthol"	"Dose Form"	"19082228"	"Topical Solution"	"3"		
"gal00679"	"ocul. gel (unidose) [zonder bew.]"	"gel (unidose) opht. [sans cons.]"	"Dose Form"	"19082166"	"Ophthalmic Gel"	"1"		
"gal00649"	"cut. oploss. Dermaal"	"sol. cut. Dermique"	"Dose Form"	"19082228"	"Topical Solution"	"1"		
"gal00053"	"inj. oploss. s.c. [patr.] voor Ovaleap Pen"	"sol. inj. s.c. [cart.] pour Ovaleap Pen"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00416"	"inj. oploss. (pdr. + solv.) i.m. [2x flac.]"	"sol. inj. (pdr + solv.) i.m. [2x flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00535"	"inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"sol. perf. (pdr + solv.) i.v. [flac. + amp.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00339"	"oploss. (pdr., zakjes)"	"sol. (pdr, sachet)"	"Dose Form"	"45775491"	"Powder for Oral Solution"	"2"		
"gal00726"	"tabl. + zachte caps."	"compr. + caps. molle"	"Dose Form"	"19082573"	"Oral Tablet"	"1"		
"gal00020"	"zalf Balsem"	"pommade Baume"	"Dose Form"	"19082227"	"Topical Ointment"	"1"		
"gal00610"	"verband Life Sacrum"	"pansement Life Sacrum"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00137"	"dosisaerosol susp. [inhalator]"	"susp. inhal. (flacon press.) [inhalateur]"	"Dose Form"	"19095898"	"Inhalation Solution"	"1"		
"gal00155"	"orofar. zuigtabl. Lemon"	"compr. à sucer orophar. Lemon"	"Dose Form"	"19082253"	"Oral Lozenge"	"1"		
"gal00432"	"tabl. verl. afgifte (deelb.) Chrono 300"	"compr. lib. prol. (séc.) Chrono 300"	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"1"		
"gal00512"	"ocul. druppels oploss. Ocumeter Plus"	"collyre sol. Ocumeter Plus"	"Dose Form"	"19129634"	"Ophthalmic Solution"	"1"		
"gal00360"	"inj. oploss. s.c. Kwikpen [voorgev. pen]"	"sol. inj. s.c. Kwikpen [stylo prérempli]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00237"	"verband Rol"	"pansement Rouleau"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00455"	"inf./instill. oploss. (conc.) i.v./i.vesic. [flac.]"	"sol. perf./instill. à diluer i.v./i.vésic. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00738"	"cut. oploss. (unidose) (alc.)"	"sol. (unidose) cut. (alc.)"	"Dose Form"	"19082228"	"Topical Solution"	"1"		
"gal00370"	"susp. (zakjes)"	"susp. (sachet)"	"Dose Form"	"19082191"	"Oral Suspension"	"1"		
"gal00107"	"inj. susp. (pdr. + solv.) s.c. [flac. + amp.]"	"susp. inj. (pdr + solv.) s.c. [flac. + amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00750"	"verband Signal Hiel"	"pansement Signal Talon"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00200"	"inj. oploss. s.c. [patr.] voor Genotonorm Pen 5,3"	"sol. inj. (pdr + solv.) s.c. [cart.] pour Genotonorm Pen 5,3"	"Dose Form"	"46234467"	"Pen Injector"	"1"		
"gal00111"	"omh. tabl."	"compr. enr."	"Dose Form"	"19001949"	"Delayed Release Oral Tablet"	"3"		
"ir01990"	"Warner Chilcott"		"Supplier"	"21019424"	"Warner Chilcott"			
"gal00175"	"inj. susp. i.m./s.c. Junior [voorgev. spuit]"	"susp. inj. i.m./s.c. Junior [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00652"	"inj. oploss. s.c. [patr.] voor Genotonorm Pen 12"	"sol. inj. (pdr + solv.) s.c. [cart.] pour Genotonorm Pen 12"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00351"	"oploss. (pdr.)"	"sol. (pdr)"	"Dose Form"	"19095976"	"Oral Powder"	"1"		
"gal00250"	"inj. oploss. i.m. [voorgev. pen]"	"sol. inj. i.m. [stylo prérempli]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00157"	"inj. oploss. i.v./s.c. [amp.]"	"sol. inj. i.v./s.c. [amp.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00805"	"inj./inf./verneveloploss. (pdr.) i.m./i.v./inhal. [flac.]"	"sol. inj./perf./inhal. nébul. (pdr) i.m./i.v./inhal. [flac.]"	"Dose Form"	"19095898"	"Inhalation Solution"	"2"		
"gal00701"	"inj. oploss. i.thec. [flac.]"	"sol. inj. i.théc. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00557"	"zuigtabl. (deelb.)"	"compr. à sucer (séc.)"	"Dose Form"	"19082253"	"Oral Lozenge"	"1"		
"gal00772"	"susp. (pdr. + solv.)"	"susp. (pdr + solv.)"	"Dose Form"	"46234410"	"Topical Suspension"	"3"		
"gal00696"	"inj. susp. verl. afgifte (pdr. + solv.) i.m. Maintena [2x flac.]"	"susp. inj. lib. prol. (pdr + solv.) i.m. Maintena [2x flac.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"3"		
"gal00748"	"geïmpr. verbandgaas Tule"	"compresse impr. Tulle"	"Dose Form"	"19082228"	"Topical Solution"	"1"		
"gal00015"	"verband Conformable"	"pansement Conformable"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00436"	"inj. susp. verl. afgifte (pdr. + solv.) i.m. SR [flac. + amp.]"	"susp. inj. lib. prol. (pdr + solv.) i.m. SR [flac. + amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
