COUNT	PRD_ID	PRD_NAME	CONCEPT_ID	CONCEPT_NAME	amount_value	amount_unit	denominator_value	denominator_unit	box_size		
25276	117967	AUGMENTIN RETARD C 1000MG 62 5 MG 28 COMPRIMES LIBERATION MODIFIEE	1713332	Amoxicillin	1000	mg			28		
25276	117967	AUGMENTIN RETARD C 1000MG 62 5 MG 28 COMPRIMES LIBERATION MODIFIEE	1759842	Clavulanate	62.5	mg			28		
24846	117968	AUGMENTIN RETARD C 1000MG 62 5 MG 40 COMPRIMES LIBERATION MODIFIEE	1713332	Amoxicillin	1000	mg			40		
24846	117968	AUGMENTIN RETARD C 1000MG 62 5 MG 40 COMPRIMES LIBERATION MODIFIEE	1759842	Clavulanate	62.5	mg			40		
15148	40238	BAREXAL C 16 SACHETS	985247	Aluminum Hydroxide	0.125	g			16		
15148	40238	BAREXAL C 16 SACHETS	42903830	diosmetin	3	g			16		
14905	98140	BAUME PULMONAIRE C 1 SIROP	1163944	Guaifenesin	1665	mg	250	ml			
14905	98140	BAUME PULMONAIRE C 1 SIROP	19050414	Ethylmorphine	170	mg	250	ml			
20369	93619	BEFACT FORTE B1 B2 B6 B12 C 30 COMPRIMES ENROBES	19005046	pyridoxine							
20369	93619	BEFACT FORTE B1 B2 B6 B12 C 30 COMPRIMES ENROBES	19062817	Riboflavin							
20369	93619	BEFACT FORTE B1 B2 B6 B12 C 30 COMPRIMES ENROBES	19135931	Cyanocobalamin Co57							
20369	93619	BEFACT FORTE B1 B2 B6 B12 C 30 COMPRIMES ENROBES	19137312	Thiamine							
14871	152639	BELSAR C 20MG 98 COMPRIMES PELLICULES	40226742	olmesartan	20	mg			98		
5309	175128	BELSAR PLUS C 20MG 12 5MG 98 COMPRIMES PELLICULES	974166	Hydrochlorothiazide	12.5	mg			98		
5309	175128	BELSAR PLUS C 20MG 12 5MG 98 COMPRIMES PELLICULES	40226742	olmesartan	20	mg			98		
20118	3849	BETNELAN V C 0 1 1 CREME	920458	Betamethasone	1	mg	1	ml			
5019	3851	BETNELAN V C 0 1 1 POMMADE	920458	Betamethasone							
4686	110346	BISOPROLOL TEVA C 10MG 100 COMPRIMES PELLICULES	1338005	Bisoprolol	10	mg			100		
5279	110344	BISOPROLOL TEVA C 5MG 100 COMPRIMES PELLICULES	1338005	Bisoprolol	5	mg			100		
5773	36471	BRONCHO VAXOM ENFANTS C 30 GELULES	40798908	Klebsiella Ozaenae							
5773	36471	BRONCHO VAXOM ENFANTS C 30 GELULES	42899432	Klebsiella pneumoniae							
5773	36471	BRONCHO VAXOM ENFANTS C 30 GELULES	42900111	Staphylococcus aureus							
5773	36471	BRONCHO VAXOM ENFANTS C 30 GELULES	42900203	Streptococcus pyogenes							
5773	36471	BRONCHO VAXOM ENFANTS C 30 GELULES	43012408	Streptococcus pneumoniae							
5773	36471	BRONCHO VAXOM ENFANTS C 30 GELULES	43012410	Streptococcus Viridans Group							
5773	36471	BRONCHO VAXOM ENFANTS C 30 GELULES	43012721	Haemophilus influenzae							
5773	36471	BRONCHO VAXOM ENFANTS C 30 GELULES	45775445	MORAXELLA CATARRHALIS SUBSP. CATARRHALIS							
13876	39676	CILEST C 63 COMPRIMES EMBALL CALENDRIER	1515774	norgestimate	0.25	mg			63		
13876	39676	CILEST C 63 COMPRIMES EMBALL CALENDRIER	1549786	Ethinyl Estradiol	0.035	mg			63		
11775	29896	CIPROXINE C 250 MG 10 COMPRIMES PELLICULES	1797513	Ciprofloxacin	250	mg			10		
29259	80370	CIPROXINE C 500 MG 20 COMPRIMES PELLICULES	1797513	Ciprofloxacin	500	mg			20		
12304	66769	CIRRUS C 14 GELULES	1149196	Cetirizine	5	mg			14		
12304	66769	CIRRUS C 14 GELULES	1154332	Pseudoephedrine	120	mg			14		
125977	108651	CIRRUS C 5MG 120MG 14 COMPRIMES LIBERATION MODIFIEE	1149196	Cetirizine	5	mg			14		
125977	108651	CIRRUS C 5MG 120MG 14 COMPRIMES LIBERATION MODIFIEE	1154332	Pseudoephedrine	120	mg			14		
25774	4022	CLAMOXYL C 250MG 5ML 1 POUDRE POUR SUSPENSION ORALE	1713332	Amoxicillin	250	mg					
4609	45533	CLAMOXYL C 500MG 16 COMPRIMES DISPERSIBLES	1713332	Amoxicillin	500	mg			16		
4609	45533	CLAMOXYL C 500MG 16 COMPRIMES DISPERSIBLES	1759842	Clavulanate	125	mg			16		
13761	4014	CLAMOXYL C 500MG 16 GELULES	1713332	Amoxicillin	500	mg			16		
24689	72762	CLARINASE ONCE DAILY C 10MG 240MG 7 COMPRIMES LIBERATION MODIFIEE	1107830	Loratadine	10	mg			7		
24689	72762	CLARINASE ONCE DAILY C 10MG 240MG 7 COMPRIMES LIBERATION MODIFIEE	1154332	Pseudoephedrine	240	mg			7		
24592	34587	CLARINASE REPETABS C 5MG 120MG 14 COMPRIMES LIBERATION MODIFIEE	1107830	Loratadine	5	mg			14		
24592	34587	CLARINASE REPETABS C 5MG 120MG 14 COMPRIMES LIBERATION MODIFIEE	1154332	Pseudoephedrine	120	mg			14		
49853	117165	CLAVUCID SOLUTAB C 875MG 125MG 20 COMPRIMES DISPERSIBLES	1713332	Amoxicillin	875	mg			20		
49853	117165	CLAVUCID SOLUTAB C 875MG 125MG 20 COMPRIMES DISPERSIBLES	1759842	Clavulanate	125	mg			20		
15570	15458	CLEXANE C 4000 UI 40 MG 0 4 ML 10 SERINGUE PRETE A L EMPLOI	1301025	Enoxaparin	40	mg	0.4	ml			
12741	146604	CO BISOPROLOL EG C 10MG 25MG 56 COMPRIMES PELLICULES	974166	Hydrochlorothiazide	25	mg			56		
12741	146604	CO BISOPROLOL EG C 10MG 25MG 56 COMPRIMES PELLICULES	1338005	Bisoprolol	10	mg			56		
11507	193334	CO BISOPROLOL EG C 10MG 25MG 98 COMPRIMES PELLICULES	974166	Hydrochlorothiazide	25	mg			98		
11507	193334	CO BISOPROLOL EG C 10MG 25MG 98 COMPRIMES PELLICULES	1338005	Bisoprolol	10	mg			98		
12432	149547	CO BISOPROLOL MYLAN C 10MG 25MG 56 COMPRIMES PELLICULES	974166	Hydrochlorothiazide	25	mg			56		
12432	149547	CO BISOPROLOL MYLAN C 10MG 25MG 56 COMPRIMES PELLICULES	1338005	Bisoprolol	10	mg			56		
13988	150544	CO DIOVANE C 160MG 12 5MG 98 COMPRIMES PELLICULES	974166	Hydrochlorothiazide	12.5	mg			98		
13988	150544	CO DIOVANE C 160MG 12 5MG 98 COMPRIMES PELLICULES	1308842	valsartan	160	mg			98		
32784	100487	COAPROVEL C 300MG 12 5MG 98 COMPRIMES	974166	Hydrochlorothiazide	12.5	mg			98		
32784	100487	COAPROVEL C 300MG 12 5MG 98 COMPRIMES	1347384	irbesartan	300	mg			98		
11335	173927	COAPROVEL C 300MG 25MG 98 COMPRIMES PELLICULES	974166	Hydrochlorothiazide	25	mg			98		
11335	173927	COAPROVEL C 300MG 25MG 98 COMPRIMES PELLICULES	1347384	irbesartan	300	mg			98		
33567	45246	COLLUDOL C 1 MG 2 MG 1 SPRAY BUCCAL	989878	Lidocaine	2	mg					
33567	45246	COLLUDOL C 1 MG 2 MG 1 SPRAY BUCCAL	19001599	hexamidine	1	mg					
5046	87735	COMBIVENT C 1 AEROSOL DOSEUR	1112921	Ipratropium							
5046	87735	COMBIVENT C 1 AEROSOL DOSEUR	1154343	Albuterol							
12562	112005	COMBIVENT C SOLUTION POUR INHALATION 60 SOLUTION POUR INHALATION	1112921	Ipratropium							
12562	112005	COMBIVENT C SOLUTION POUR INHALATION 60 SOLUTION POUR INHALATION	1154343	Albuterol							
5957	1273092	COMBODART C 0 5MG 0 4MG 90 GELULES LIBERATION MODIFIEE	924566	tamsulosin	0.4	mg			90		
5957	1273092	COMBODART C 0 5MG 0 4MG 90 GELULES LIBERATION MODIFIEE	989482	Dutasteride	0.5	mg			90		
12583	202841	COVERAM C 10MG 10MG 90 COMPRIMES	1332418	Amlodipine	10	mg			90		
12583	202841	COVERAM C 10MG 10MG 90 COMPRIMES	1373225	Perindopril	10	mg			90		
13203	115869	COVERSYL PLUS C 4MG 1 25MG 30 COMPRIMES	978555	Indapamide	1.25	mg			30		
13203	115869	COVERSYL PLUS C 4MG 1 25MG 30 COMPRIMES	1373225	Perindopril	4	mg			30		
13955	1272358	COVERSYL PLUS C 5MG 1 25MG 90 COMPRIMES PELLICULES	978555	Indapamide	1.25	mg			90		
13955	1272358	COVERSYL PLUS C 5MG 1 25MG 90 COMPRIMES PELLICULES	1373225	Perindopril	5	mg			90		
22861	1203	DAFALGAN C 500MG 30 COMPRIMES	1125315	Acetaminophen	500	mg					
22090	1451	DAFALGAN C 500MG 32 COMPRIMES EFFERVESCENTS	1125315	Acetaminophen	500	mg			32		
47185	187038	DAFALGAN CODEINE C 500MG 30MG 30 COMPRIMES PELLICULES	1125315	Acetaminophen	500	mg			30		
47185	187038	DAFALGAN CODEINE C 500MG 30MG 30 COMPRIMES PELLICULES	1201620	Codeine	30	mg			30		
92080	3747	DAFALGAN CODEINE C 500MG 30MG 32 COMPRIMES EFFERVESCENTS	1125315	Acetaminophen	500	mg			32		
92080	3747	DAFALGAN CODEINE C 500MG 30MG 32 COMPRIMES EFFERVESCENTS	1201620	Codeine	30	mg			32		
56376	187036	DAFALGAN FORTE C 1G 32 COMPRIMES EFFERVESCENTS	1125315	Acetaminophen	1000	mg			32		
31077	187002	DAFALGAN FORTE C 1G 32 COMPRIMES PELLICULES	1125315	Acetaminophen	1	g			32		
87136	187001	DAFALGAN FORTE C 1G 50 COMPRIMES PELLICULES	1125315	Acetaminophen	1	g			50		
4936	104328	DAFALGAN ODIS C 500MG 16 COMPRIMES ORODISPERSIBLES	1125315	Acetaminophen	500	mg			16		
5257	11524902	DAFLON C 500MG 120 COMPRIMES PELLICULES	19029488	Diosmin	450	mg			120		
5257	11524902	DAFLON C 500MG 120 COMPRIMES PELLICULES	19068688	Hesperidin	50	mg			120		
14478	31861	DAFLON C 500MG 30 COMPRIMES PELLICULES	19029488	Diosmin	450	mg			30		
14478	31861	DAFLON C 500MG 30 COMPRIMES PELLICULES	19068688	Hesperidin	50	mg			30		
32970	104177	DAFLON C 500MG 60 COMPRIMES PELLICULES	19029488	Diosmin	450	mg			60		
32970	104177	DAFLON C 500MG 60 COMPRIMES PELLICULES	19068688	Hesperidin	50	mg			60		
12313	187866	DAFLON C 500MG 90 COMPRIMES PELLICULES	19029488	Diosmin	450	mg			90		
12313	187866	DAFLON C 500MG 90 COMPRIMES PELLICULES	19068688	Hesperidin	50	mg			90		
32242	3813	DAKTACORT C 20 MG 10 MG 1 CREME	907879	Miconazole	20	mg					
13625	967	DAKTACORT C 20 MG 10 MG 1 CREME	907879	Miconazole							
32242	3813	DAKTACORT C 20 MG 10 MG 1 CREME	975125	Hydrocortisone	10	mg					
13625	967	DAKTACORT C 20 MG 10 MG 1 CREME	975125	Hydrocortisone							
11091	13643910	DEANXIT C 30 COMPRIMES PELLICULES	19055982	Flupenthixol	0.5	mg			30		
11091	13643910	DEANXIT C 30 COMPRIMES PELLICULES	19110751	MELITRACEN	10	mg			30		
94567	43682	DEANXIT C 30 DRAGEES	19055982	Flupenthixol	0.5	mg			30		
94567	43682	DEANXIT C 30 DRAGEES	19110751	MELITRACEN	10	mg					
13308	57434	DEPAKINE CHRONO C 300MG 50 COMPRIMES LIBERATION MODIFIEE	745466	Valproate	300	mg			50		
49066	57433	DEPAKINE CHRONO C 500MG 50 COMPRIMES LIBERATION MODIFIEE	745466	Valproate	500	mg			50		
5580	200830	DESO 20 C 126 COMPRIMES EMBALL CALENDRIER	1549786	Ethinyl Estradiol							
5580	200830	DESO 20 C 126 COMPRIMES EMBALL CALENDRIER	1588000	Desogestrel							
14941	200824	DESO 20 C 273 COMPRIMES EMBALL CALENDRIER	1549786	Ethinyl Estradiol							
14941	200824	DESO 20 C 273 COMPRIMES EMBALL CALENDRIER	1588000	Desogestrel							
115682	72759	DEXA RHINOSPRAY C 17 17MG 2 86MG 10 ML 1 SPRAY MICRODOSEUR NASAL	1518254	Dexamethasone	2.86	mg	10	ml			
115682	72759	DEXA RHINOSPRAY C 17 17MG 2 86MG 10 ML 1 SPRAY MICRODOSEUR NASAL	19042445	tramazoline	17.17	mg	10	ml			
4952	97839	DICLOFENAC SANDOZ C 50MG 50 COMPRIMES GASTRO RESISTANTS	1124300	Diclofenac	50	mg			50		
20877	107798	DICLOFENAC SANDOZ RETARD C 75MG 60 COMPRIMES LIBERATION MODIFIEE	1124300	Diclofenac	75	mg					
40732	4946	DIPROPHOS C DISPOSABLE SYRINGE 2 ML 1 SERINGUE PRETE A L EMPLOI	920458	Betamethasone	14	mg	2	ml			
4549	42706	DIPROSALIC C 0 5 MG G 20 MG G 1 LOTION	920458	Betamethasone	0.5	mg			1		
4549	42706	DIPROSALIC C 0 5 MG G 20 MG G 1 LOTION	964407	Salicylic Acid	20	mg			1		
5672	4101	DIPROSONE C 0 5MG G 1 POMMADE	920458	Betamethasone	0.5	mg	1	g			
12187	119169	DOVOBET C 50 MCG 0 5 MG G 1 POMMADE	908921	calcipotriene	50	mcg	1	g			
12187	119169	DOVOBET C 50 MCG 0 5 MG G 1 POMMADE	920458	Betamethasone	0.5	mg	1	g			
33307	72742	DUOVENT C 0 5MG 1 25MG 4ML 20 SOLUTION POUR INHALATION	1112921	Ipratropium	0.5	mg	4	ml	20		
33307	72742	DUOVENT C 0 5MG 1 25MG 4ML 20 SOLUTION POUR INHALATION	19053979	Fenoterol	1.25	mg	4	ml	20		
12596	42743	DUOVENT C 1 AEROSOL DOSEUR	1112921	Ipratropium	0.5	mg	4	ml			
12596	42743	DUOVENT C 1 AEROSOL DOSEUR	19053979	Fenoterol	1.25	mg	4	ml			
123093	110937	DUOVENT C HFA 1 AEROSOL DOSEUR	1112921	Ipratropium	0.5	mg	4	ml	20		
123093	110937	DUOVENT C HFA 1 AEROSOL DOSEUR	19053979	Fenoterol	1.25	mg	4	ml	20		
51699	60185	EMCORETIC C 10MG 25MG 56 COMPRIMES PELLICULES	974166	Hydrochlorothiazide	25	mg			56		
51699	60185	EMCORETIC C 10MG 25MG 56 COMPRIMES PELLICULES	1338005	Bisoprolol	10	mg			56		
26838	60236	EMCORETIC MITIS C 5MG 12 5MG 56 COMPRIMES PELLICULES	974166	Hydrochlorothiazide	12.5	mg			56		
26838	60236	EMCORETIC MITIS C 5MG 12 5MG 56 COMPRIMES PELLICULES	1338005	Bisoprolol	5	mg			56		
11938	29720	EMLA C 25MG 25MG G 1 CREME	951279	Prilocaine	25	mg	1	g			
11938	29720	EMLA C 25MG 25MG G 1 CREME	989878	Lidocaine	25	mg	1	g			
4796	53808	EUCALYTUX C 1 SIROP	1201620	Codeine							
4796	53808	EUCALYTUX C 1 SIROP	36878789	Sulfogaiacol							
4664	120356	EVRA C 9 DISPOSITIFS TRANSDERMIQUES	1518198	norelgestromin							
4664	120356	EVRA C 9 DISPOSITIFS TRANSDERMIQUES	1549786	Ethinyl Estradiol							
5440	177450	EXFORGE C 10MG 160MG 98 COMPRIMES PELLICULES	1308842	valsartan	160	mg			98		
5440	177450	EXFORGE C 10MG 160MG 98 COMPRIMES PELLICULES	1332418	Amlodipine	10	mg			98		
5200	37044	FEMODENE C 126 COMPRIMES ENROB EMBAL CALENDR	1549786	Ethinyl Estradiol							
5200	37044	FEMODENE C 126 COMPRIMES ENROB EMBAL CALENDR	19097684	Gestodene							
15512	37043	FEMODENE C 63 COMPRIMES ENROB EMBAL CALENDR	1549786	Ethinyl Estradiol	30	mcg			63		
15512	37043	FEMODENE C 63 COMPRIMES ENROB EMBAL CALENDR	19097684	Gestodene	75	mcg			63		
4651	104178	FEMOSTON CONTI C 1 MG 5MG 84 COMPRIMES ENROB EMBAL CALENDR	1548195	Estradiol	1	mg			84		
4651	104178	FEMOSTON CONTI C 1 MG 5MG 84 COMPRIMES ENROB EMBAL CALENDR	19040060	Dydrogesterone	5	mg			84		
15402	4242	FEROGRAD C 500MG 60 COMPRIMES ENROBES	1396131	ferrous sulfate	525	mg			60		
15402	4242	FEROGRAD C 500MG 60 COMPRIMES ENROBES	19011773	Ascorbic Acid	500	mg			60		
4983	4258	FLEET ENEMA C VOLW AD CFR 3391315 1 LAVEMENTS RECTIOLES	990499	Sodium Phosphate, Monobasic							
4983	4258	FLEET ENEMA C VOLW AD CFR 3391315 1 LAVEMENTS RECTIOLES	991710	Sodium Phosphate, Dibasic							
68655	79365	FLIXONASE AQUA C 50MCG DOS 1 SPRAY MICRODOSEUR NASAL	1149380	fluticasone	50	mcg					
22722	98405	FLIXOTIDE C 50MCG DOS 1 AEROSOL DOSEUR	1149380	fluticasone	6000	mcg	120	actuat			
14721	42950	FLUIMUCIL ANTIBIOTIC C 405MG 4ML 1 AMPOULES CONTENANT PDRE SECHE	1139042	Acetylcysteine	114	mg					
14721	42950	FLUIMUCIL ANTIBIOTIC C 405MG 4ML 1 AMPOULES CONTENANT PDRE SECHE	19137362	Thiamphenicol	250	mg					
10152	187398	FOSAVANCE C 70MG 5600UI 12 COMPRIMES	1557272	Alendronate	70	mg			12		
10152	187398	FOSAVANCE C 70MG 5600UI 12 COMPRIMES	44012758	Vitamin D3 (Cholecalciferol)	5600	IU			12		
5268	19348	FRAXIPARINE C 3800 UI ANTI XA 0 4ML 10 SERINGUE PRETE A L EMPLOI	19001014	Nadroparin	3800	IU	0.4	ml	10		
5874	102144	FRAXODI C 15 200 UI ANTI XA 0 8ML 10 SERINGUE PRETE A L EMPLOI	19001014	Nadroparin	15200	IU	0.8	ml	10		
4584	39308	FRUSAMIL C 40MG 5MG 56 COMPRIMES	956874	Furosemide	40	mg			56		
4584	39308	FRUSAMIL C 40MG 5MG 56 COMPRIMES	991382	Amiloride	5	mg			56		
31114	40860	FUCICORT C 1 CREME	920458	Betamethasone	1	mg					
31114	40860	FUCICORT C 1 CREME	19010400	Fusidate	20	mg					
11519	172110	GARDASIL C 1 SERINGUE PRETE A L EMPLOI	529076	L1 protein, Human papillomavirus type 11 Vaccine	40	mcg					
11519	172110	GARDASIL C 1 SERINGUE PRETE A L EMPLOI	529112	L1 protein, Human papillomavirus type 16 Vaccine	40	mcg					
11519	172110	GARDASIL C 1 SERINGUE PRETE A L EMPLOI	529114	L1 protein, Human papillomavirus type 18 Vaccine	20	mcg					
11519	172110	GARDASIL C 1 SERINGUE PRETE A L EMPLOI	529116	L1 protein, Human papillomavirus type 6 Vaccine	20	mcg					
94325	19350	GLUCOPHAGE C 500 MG 60 COMPRIMES PELLICULES	1503297	Metformin	500	mg			60		
170068	1436	GLUCOPHAGE C 850 MG 100 COMPRIMES PELLICULES	1503297	Metformin	850	mg			100		
4942	114985	GLUCOVANCE C 500 2 5 120 COMPRIMES PELLICULES	1503297	Metformin	500	mg			120		
4942	114985	GLUCOVANCE C 500 2 5 120 COMPRIMES PELLICULES	1559684	Glyburide	2.5	mg			120		
5081	114984	GLUCOVANCE C 500 5 0 120 COMPRIMES PELLICULES	1503297	Metformin	500	mg			120		
5081	114984	GLUCOVANCE C 500 5 0 120 COMPRIMES PELLICULES	1559684	Glyburide	5	mg			120		
5362	4356	HIRUDOID C 300MG 100G 1 GEL	19113045	Heparinoids	3	mg	1	g	1		
4747	43006	HIRUDOID C 300MG 100G 1 GEL	19113045	Heparinoids	300	mg	100	g			
5493	83301	HUMULINE 30 70 C 100UI ML 5 CARTOUCHES	1596977	Regular Insulin, Human	30	IU			5		
5493	83301	HUMULINE 30 70 C 100UI ML 5 CARTOUCHES	46221581	insulin, isophane	70	IU			5		
4563	74932	HYDERGINE FAS C 4 5MG 60 COMPRIMES	745268	ergoloid mesylates, USP	4.5	mg			60		
4579	178334	IMUTIS GEL 20	987153	Lactobacillus acidophilus							
4579	178334	IMUTIS GEL 20	991855	Saccharomyces boulardii							
4579	178334	IMUTIS GEL 20	19000811	Lactobacillus casei rhamnosus							
4579	178334	IMUTIS GEL 20	40242573	Bifidobacterium longum							
11464	176025	INEGY C 10MG 40MG 98 COMPRIMES	1526475	ezetimibe	10	mg			98		
11464	176025	INEGY C 10MG 40MG 98 COMPRIMES	1539403	Simvastatin	40	mg			98		
6101	16350	INHIBACE C 5MG 28 COMPRIMES PELLICULES	19050216	Cilazapril	5	mg			28		
11974	52955	INSULATARD PENFILL C 100UI ML 5 CARTOUCHES	46221581	insulin, isophane	300	IU	3	ml	5		
36176	187736	INUVAIR C 100MCG 6MCG 1 AEROSOL DOSEUR	1115572	Beclomethasone	100	mcg					
36176	187736	INUVAIR C 100MCG 6MCG 1 AEROSOL DOSEUR	1196677	formoterol	6	mcg					
13898	10541262	INUVAIR NEXTHALER C 100MCG 6MCG 1 POUDRE POUR INHALATION	1115572	Beclomethasone	100	mcg					
13898	10541262	INUVAIR NEXTHALER C 100MCG 6MCG 1 POUDRE POUR INHALATION	1196677	formoterol	6	mcg					
12308	56337	ISO BETADINE DERMIQUE C 10 1 SOLUTION U E	1750087	Povidone-Iodine	12.5	ml	125	ml			
5578	1680	ISO BETADINE SAVON GERMICIDE C 7 5 1 SAVON LIQUIDE	1750087	Povidone-Iodine	75	mg	10	ml	1		
5798	122458	KINZALKOMB C 80 MG 12 5 MG 98 COMPRIMES	974166	Hydrochlorothiazide	12.5	mg			98		
5798	122458	KINZALKOMB C 80 MG 12 5 MG 98 COMPRIMES	1317640	telmisartan	80	mg			98		
21482	13644053	L THYROXINE CHRISTIAENS NF C 100 MCG 112 COMPRIMES EMBALL CALENDRIER	1501700	levothyroxine	100	mcg			112		
12189	13644055	L THYROXINE CHRISTIAENS NF C 125 MCG 112 COMPRIMES EMBALL CALENDRIER	1501700	levothyroxine	125	mcg			112		
12782	13644047	L THYROXINE CHRISTIAENS NF C 25 MCG 112 COMPRIMES EMBALL CALENDRIER	1501700	levothyroxine	25	mcg			112		
5642	70801	LAMISIL C 1 1 CREME	1741309	terbinafine							
13700	187699	LANTUS C 100 U ML SOLOSTAR 5 STYLO	1502905	Insulin Glargine	100	U	1	ml	5		
20214	54421	LEDERTREXATE C 2 5MG 30 COMPRIMES	1305058	Methotrexate	2.5	mg			30		
