concept_name	concept_class_id	concept_id	precedence	conversion_factor
"or./rect. susp."	"Dose Form"	"19082221"	"2"	
"inj. susp. i.m./s.c. Paediatric [voorgev. spuit]"	"Dose Form"	"19082104"	"1"	
"zetpil Zuigel."	"Dose Form"	"19082200"	"1"	
"verband Gentle Border"	"Dose Form"	"19082228"	"2"	
"gel (doseerpomp) Forte"	"Dose Form"	"19095973"	"1"	
"verband Tracheostomy"	"Dose Form"	"19082228"	"2"	
"harde caps. Lidose"	"Dose Form"	"19082168"	"1"	
"inj. oploss. (pdr. + solv.) i.m./i.v./s.c. Hypokit [flac. + voorgev. spuit]"	"Dose Form"	"46234469"	"2"	
"inj. oploss. s.c. FlexTouch [voorgev. pen]"	"Dose Form"	"19082103"	"1"	
"inf. oploss. conc. (pdr. + solv.) i.v. [flac. + amp.]"	"Dose Form"	"19082103"	"1"	
"oplosb. tabl. (deelb.) Solutab"	"Dose Form"	"1592486"	"1"	
"tabl. (deelb.) Besilaat"	"Dose Form"	"19082573"	"1"	
"oploss. (unidose) Junior"	"Dose Form"	"19082170"	"1"	
"cut. oploss. (pdr. + solv.)"	"Dose Form"	"19082286"	"1"	
"kauw-/disp. tabl."	"Dose Form"	"19082076"	"1"	
"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [2x flac.]"	"Dose Form"	"46234469"	"2"	
"inj. susp. s.c. Kwikpen [voorgev. pen]"	"Dose Form"	"19126920"	"2"	
"inhalatiepdr. (harde caps.) [inhalator]"	"Dose Form"	"19082259"	"1"	
"inj./instill. susp. verl. afgifte i.m./i.artic./i.laes./i.burs./p.artic./rect. [voorgev. spuit]"	"Dose Form"	"46234469"	"3"	
"inj. oploss. i.v./s.c. [voorgev. spuit]"	"Dose Form"	"19082103"	"1"	
"ocul. druppels oploss. (unidose) Unidosis [zonder bew.]"	"Dose Form"	"19129634"	"1"	
"inj. oploss. s.c. Nordiflex [voorgev. pen]"	"Dose Form"	"46234469"	"3"	
"inj. susp. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit]"	"Dose Form"	"19082104"	"1"	
"inj. oploss. i.ocul. [flac.]"	"Dose Form"	"19082103"	"1"	
"inj. susp. verl. afgifte i.m. [flac.]"	"Dose Form"	"46234469"	"2"	
"ocul. zalf"	"Dose Form"	"19135925"	"1"	
"gran."	"Dose Form"	"45775489"	"1"	
"inj./instill. oploss. i.v./i.arter./i.card./i.duct./i.uter. [flac.]"	"Dose Form"	"19082103"	"1"	
"zalf"	"Dose Form"	"46234410"	"2"	
"inj. oploss. s.c. SimpleXx [patr.] voor NordiPen 5"	"Dose Form"	"46234469"	"2"	
"inj. oploss. (pdr.) i.m./s.c./i.derm. [flac.]"	"Dose Form"	"19082103"	"1"	
"auric. druppels oploss."	"Dose Form"	"19082195"	"1"	
"kauwtabl. (zonder suiker) Suikervrij"	"Dose Form"	"19135866"	"1"	
"inj. susp. verl. afgifte i.m. [flac.]"	"Dose Form"	"19082104"	"3"	
"siroop susp."	"Dose Form"	"19082223"	"2"	
"geïmpr. verbandgaas Intertulle"	"Dose Form"	"19082228"	"1"	
"inj. susp. i.m./s.c. Paediatric [voorgev. spuit]"	"Dose Form"	"19126920"	"2"	
"inj./inf. oploss. i.m./i.v./s.c. [voorgev. spuit]"	"Dose Form"	"19082103"	"1"	
"siroop oploss. (zakjes) Fruit"	"Dose Form"	"19082223"	"2"	
"inf. oploss. conc. (pdr. + solv.) i.v. [2x flac.]"	"Dose Form"	"19082103"	"1"	
"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [flac. + amp.]"	"Dose Form"	"46234469"	"2"	
"ocul. druppels oploss. (unidose) [zonder bew.]"	"Dose Form"	"19129634"	"1"	
"ocul. druppels oploss. [zonder bew.]"	"Dose Form"	"19129634"	"1"	
"verband Border [Driehoekig]"	"Dose Form"	"19082228"	"2"	
"inj. oploss. s.c. Daily [voorgev. spuit]"	"Dose Form"	"19082103"	"1"	
"inj. susp. (pdr. + solv.) i.m. [flac. + voorgev. spuit]"	"Dose Form"	"46234469"	"2"	
"inj. oploss. (pdr. + solv.) s.c. [flac. + amp.]"	"Dose Form"	"46234469"	"2"	
"oploss. (unidose) Forte"	"Dose Form"	"19082228"	"2"	
"harde caps. verl. afgifte"	"Dose Form"	"19082077"	"1"	
"inj./inf. oploss. (pdr. + solv.) i.m./i.v. SAB [flac., Act-O-Vial]"	"Dose Form"	"46234469"	"2"	
"siroop oploss. Honing"	"Dose Form"	"19082170"	"1"	
"harde caps. verl. afgifte Retard"	"Dose Form"	"19082077"	"1"	
"harde caps. geregul. afgifte"	"Dose Form"	"19082255"	"1"	
"nas. druppels oploss."	"Dose Form"	"19082165"	"1"	
"zetpil GE"	"Dose Form"	"19082200"	"1"	
"inj. oploss. s.c. ACTPen [voorgev. pen]"	"Dose Form"	"19126920"	"2"	
"inj. susp. s.c. [flac.]"	"Dose Form"	"19082104"	"1"	
"inj. susp. verl. afgifte i.m. Depot [flac.]"	"Dose Form"	"19082104"	"3"	
"i.vesic. susp. (pdr.) [flac.]"	"Dose Form"	"19082104"	"1"	
"inhalatiepdr. (harde caps.) [Aerolizer]"	"Dose Form"	"19082259"	"1"	
"epilaes. medic. spons"	"Dose Form"	"19095972"	"1"	
"inj. oploss. (pdr.) i.m./i.v. [flac.]"	"Dose Form"	"46234469"	"2"	
"tabl. verl. afgifte (deelb.) 500"	"Dose Form"	"19082077"	"1"	
"inj. susp. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit]"	"Dose Form"	"19082103"	"3"	
"inj./inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"Dose Form"	"46234469"	"2"	
"siroop susp. (pdr.)"	"Dose Form"	"19082191"	"1"	
"verband [Ovaal]"	"Dose Form"	"19082228"	"2"	
"inj. oploss. i.thec. Hyperbar [amp.]"	"Dose Form"	"19082104"	"1"	
"inj./inf./instill./verneveloploss. i.m./i.v./auric./endotrach./inhal./nas. [amp.]"	"Dose Form"	"19082103"	"1"	
"inj. oploss. i.v./i.arter. [flac.]"	"Dose Form"	"19082103"	"1"	
"cut./or./oromuc. oploss."	"Dose Form"	"19082170"	"1"	
"filmomh. tabl. + bruistabl."	"Dose Form"	"19082168"	"1"	
"tabl. geregul. afgifte (deelb.) CR"	"Dose Form"	"19082255"	"1"	
"inj./drinkb. oploss. i.m./i.v./s.c./or. [amp.]"	"Dose Form"	"19082170"	"1"	
"oploss."	"Dose Form"	"19082228"	"2"	
"urethr. gel"	"Dose Form"	"19095974"	"1"	
"zetpil Kind"	"Dose Form"	"19082200"	"1"	
"gingiv./oromuc. spray oploss."	"Dose Form"	"19095900"	"1"	
"gingiv./oromuc. geïmpr. wattenschijfjes Pellets"	"Dose Form"	"19082652"	"1"	
"inj. oploss. (pdr.) i.v. [flac.]"	"Dose Form"	"46234469"	"2"	
"bruistabl. (deelb.) Forte"	"Dose Form"	"1592486"	"1"	
"inj. oploss. i.v. [flac.]"	"Dose Form"	"46234469"	"2"	
"inj./instill. oploss. i.v./i.artic./i.arter./i.card./i.uter. [flac.]"	"Dose Form"	"46234469"	"2"	
"inj. oploss. i.v. [voorgev. spuit]"	"Dose Form"	"19126920"	"2"	
"verband"	"Dose Form"	"19082228"	"2"	
"inj. susp. i.m. [voorgev. spuit]"	"Dose Form"	"46234469"	"3"	
"inj./instill. oploss. i.v./i.arter./i.card./i.duct. [flac.]"	"Dose Form"	"19082103"	"1"	
"tabl. verl. afgifte (deelb.) 200"	"Dose Form"	"19082077"	"1"	
"inj./instill. oploss. (pdr.) i.vesic. [flac.]"	"Dose Form"	"46234469"	"2"	
"orofar. zuigtabl. Vit. C Sinaasappel"	"Dose Form"	"19082253"	"1"	
"tabl. geregul. afgifte (deelb.)"	"Dose Form"	"19082255"	"1"	
"dosisaerosol oploss. HFA [inhalator]"	"Dose Form"	"19095898"	"1"	
"orofar. spray oploss. Menthol"	"Dose Form"	"19082228"	"3"	
"ocul. gel (unidose) [zonder bew.]"	"Dose Form"	"19082166"	"1"	
"inj. oploss. s.c. [patr.] voor Ovaleap Pen"	"Dose Form"	"46234469"	"2"	
"cut. oploss. Dermaal"	"Dose Form"	"19082228"	"1"	
"tabl. + zachte caps."	"Dose Form"	"19082573"	"1"	
"oploss. (pdr., zakjes)"	"Dose Form"	"45775491"	"2"	
"inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"Dose Form"	"19082103"	"1"	
"inj. oploss. (pdr. + solv.) i.m. [2x flac.]"	"Dose Form"	"19082103"	"1"	
"verband Life Sacrum"	"Dose Form"	"46234410"	"1"	
"zalf Balsem"	"Dose Form"	"19082227"	"1"	
"tabl. verl. afgifte (deelb.) Chrono 300"	"Dose Form"	"19082077"	"1"	
"orofar. zuigtabl. Lemon"	"Dose Form"	"19082253"	"1"	
"dosisaerosol susp. [inhalator]"	"Dose Form"	"19095898"	"1"	
"inj. oploss. s.c. Kwikpen [voorgev. pen]"	"Dose Form"	"19082103"	"1"	
"ocul. druppels oploss. Ocumeter Plus"	"Dose Form"	"19129634"	"1"	
"verband Rol"	"Dose Form"	"19082228"	"2"	
"susp. (zakjes)"	"Dose Form"	"19082191"	"1"	
"cut. oploss. (unidose) (alc.)"	"Dose Form"	"19082228"	"1"	
"inf./instill. oploss. (conc.) i.v./i.vesic. [flac.]"	"Dose Form"	"19082103"	"1"	
"inj. susp. (pdr. + solv.) s.c. [flac. + amp.]"	"Dose Form"	"46234469"	"2"	
"verband Signal Hiel"	"Dose Form"	"19082228"	"2"	
"inj. oploss. s.c. [patr.] voor Genotonorm Pen 5,3"	"Dose Form"	"46234467"	"1"	
"inj. susp. i.m./s.c. Junior [voorgev. spuit]"	"Dose Form"	"19126920"	"2"	
"omh. tabl."	"Dose Form"	"19001949"	"3"	
"inj. oploss. s.c. [patr.] voor Genotonorm Pen 12"	"Dose Form"	"46234469"	"2"	
"inj. oploss. i.m. [voorgev. pen]"	"Dose Form"	"46234469"	"3"	
"oploss. (pdr.)"	"Dose Form"	"19095976"	"1"	
"inj./inf./verneveloploss. (pdr.) i.m./i.v./inhal. [flac.]"	"Dose Form"	"19095898"	"2"	
"inj. oploss. i.v./s.c. [amp.]"	"Dose Form"	"19082103"	"1"	
"zuigtabl. (deelb.)"	"Dose Form"	"19082253"	"1"	
"inj. oploss. i.thec. [flac.]"	"Dose Form"	"19082103"	"1"	
"inj. susp. verl. afgifte (pdr. + solv.) i.m. Maintena [2x flac.]"	"Dose Form"	"19082104"	"3"	
"susp. (pdr. + solv.)"	"Dose Form"	"46234410"	"3"	
"geïmpr. verbandgaas Tule"	"Dose Form"	"19082228"	"1"	
"verband Conformable"	"Dose Form"	"46234410"	"1"	
"inj. susp. verl. afgifte (pdr. + solv.) i.m. SR [flac. + amp.]"	"Dose Form"	"46234469"	"2"	
"filmomh. tabl."	"Dose Form"	"19082573"	"1"	
"inj. oploss. i.m./i.v./endotrach./i.oss. [voorgev. spuit]"	"Dose Form"	"19082103"	"1"	
"ocul. druppels susp. Forte"	"Dose Form"	"19082167"	"1"	
"cut. medic. pleister Patch"	"Dose Form"	"19082229"	"1"	
"inj. oploss. i.v./i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"Dose Form"	"19082103"	"1"	
"orofar. zuigtabl."	"Dose Form"	"19082253"	"1"	
"inj. oploss. i.v./s.c. Penfill [patr.]"	"Dose Form"	"19082103"	"1"	
"omh. tabl. Relax"	"Dose Form"	"19082168"	"3"	
"inj./inf. oploss. i.m./i.v./i.artic./i.burs./s.conj. [amp.]"	"Dose Form"	"46234469"	"2"	
"druppels oploss. (druppelfl.)"	"Dose Form"	"19082228"	"1"	
"harde caps. Volw."	"Dose Form"	"19082077"	"3"	
"filmomh. tabl. Conti"	"Dose Form"	"19082077"	"1"	
"orofar. zuigtabl. Aardbei"	"Dose Form"	"19082253"	"1"	
"inj./inf. oploss. (conc.) i.m./i.v./i.thec./i.arter./i.ventr. Concentrate [flac.]"	"Dose Form"	"19082103"	"1"	
"oploss. (pdr.)"	"Dose Form"	"19082103"	"3"	
"disp. maagsapresist. tabl. Mups"	"Dose Form"	"19082255"	"2"	
"inj. oploss. (pdr. + solv.) s.c. GoQuick [voorgev. pen]"	"Dose Form"	"19126920"	"2"	
"inj. oploss. verl. afgifte i.m. Decanoas [amp.]"	"Dose Form"	"19082103"	"1"	
"inj. oploss. s.c. Autogel [voorgev. spuit]"	"Dose Form"	"46234469"	"3"	
"zetpil Volw."	"Dose Form"	"19082575"	"2"	
"inj./inf. oploss. (pdr.) i.m./i.v./s.c./i.arter./i.perit./i.pleur./i.tumor. [flac.]"	"Dose Form"	"19082103"	"1"	
"filmomh. tabl. (deelb.) Mitis"	"Dose Form"	"19082168"	"1"	
"inj. oploss. s.c. Sureclick [voorgev. pen]"	"Dose Form"	"19126920"	"2"	
"inj./inf./instill. oploss. i.v./i.uter. [flac.]"	"Dose Form"	"19082103"	"1"	
"oromuc. spray oploss. Fruit & Mint"	"Dose Form"	"19082228"	"3"	
"ocul. spoeloploss. [zonder bew.]"	"Dose Form"	"19016586"	"1"	
"tabl. Besilate"	"Dose Form"	"19082573"	"1"	
"inj./inf. oploss. s.c. [amp.]"	"Dose Form"	"46234469"	"2"	
"inf. oploss. (conc.) i.v. [voorgev. spuit]"	"Dose Form"	"19126920"	"2"	
"inj./inf. oploss. (conc.) i.m./i.v./i.thec./i.arter./i.ventr. Concentrate [flac.]"	"Dose Form"	"46234469"	"2"	
"bruispdr. (zakjes)"	"Dose Form"	"45775492"	"2"	
"inj. oploss. i.v./s.c. [flac.]"	"Dose Form"	"46234469"	"2"	
"filmomh. tabl. (deelb.) Forte"	"Dose Form"	"19082168"	"1"	
"inj./inf. emuls. i.v. [flac.]"	"Dose Form"	"46234469"	"2"	
"inj. oploss. i.v./s.c. [voorgev. spuit]"	"Dose Form"	"19126920"	"2"	
"dosisaerosol oploss. Autohaler [ademgest.]"	"Dose Form"	"19095898"	"1"	
"inj. oploss. s.c. [voorgev. spuit, kit Onpro]"	"Dose Form"	"19126920"	"2"	
"tabl. Minor"	"Dose Form"	"19082079"	"2"	
"inj. oploss. i.v. [voorgev. spuit]"	"Dose Form"	"46234469"	"3"	
"p.odont. gel [patr.]"	"Dose Form"	"19095916"	"1"	
"tabl. (deelb.) Besilate"	"Dose Form"	"19082573"	"1"	
"wiek Zink"	"Dose Form"	"19082228"	"1"	
"siroop susp. (zakjes)"	"Dose Form"	"19082191"	"1"	
"2/125 tabl."	"Dose Form"	"19001949"	"3"	
"inj. oploss. i.artic. [voorgev. spuit]"	"Dose Form"	"19082103"	"1"	
"omh. tabl. Relax"	"Dose Form"	"19082077"	"2"	
"tabl. (deelb. in 4) PAK"	"Dose Form"	"19001949"	"3"	
"orofar. spray oploss."	"Dose Form"	"19082228"	"3"	
"wiek T"	"Dose Form"	"19082228"	"1"	
"inj. susp. i.vitr. [flac.]"	"Dose Form"	"46234469"	"2"	
"inf. susp. (pdr.) i.v. [flac.]"	"Dose Form"	"19095915"	"1"	
"verband Tracheo"	"Dose Form"	"46234410"	"1"	
"cut./rect. zalf"	"Dose Form"	"19082282"	"1"	
"verband Life Sacrum"	"Dose Form"	"19082228"	"2"	
"siroop oploss. Menthol"	"Dose Form"	"19082170"	"1"	
"inj. susp. s.c. Solostar [voorgev. pen]"	"Dose Form"	"46234469"	"3"	
"gompastille"	"Dose Form"	"19102296"	"1"	
"ocul. druppels oploss. (unidose) Unit Dose [zonder bew.]"	"Dose Form"	"19129634"	"1"	
"gel Forte"	"Dose Form"	"19095973"	"1"	
"verband Hydro"	"Dose Form"	"19082228"	"2"	
"inhal. verneveloploss. (pdr. + solv.) [flac. + amp.]"	"Dose Form"	"19082259"	"1"	
"40 + 10 mg / 1 ml inj. susp. verl. afgifte i.artic./i.laes./i.burs./p.artic. [flac.]"	"Dose Form"	"19082103"	"1"	
"verband Heel"	"Dose Form"	"46234410"	"1"	
"inj. susp. i.m./s.c. Junior [voorgev. spuit]"	"Dose Form"	"46234469"	"3"	
"verband Life"	"Dose Form"	"46234410"	"1"	
"inj./inf. oploss. i.m./i.v./s.c. [voorgev. spuit]"	"Dose Form"	"46234469"	"2"	
"inj. oploss. i.m./i.v./epidur./p.neur. [amp., locoregionale infiltr.]"	"Dose Form"	"19082103"	"1"	
"inj. susp. verl. afgifte s.c. Press [voorgev. spuit]"	"Dose Form"	"19082104"	"1"	
"inj. oploss. i.camer. [amp.]"	"Dose Form"	"46234469"	"2"	
"verband Gentle Border Heel"	"Dose Form"	"19082228"	"2"	
"verband [geïmpregneerd]"	"Dose Form"	"46234410"	"1"	
"tabl. (deelb. in 4)"	"Dose Form"	"19082079"	"2"	
"transderm. lok. gel (doseerpomp)"	"Dose Form"	"19095973"	"1"	
"inj./inf. oploss. (conc.) i.v. [amp.]"	"Dose Form"	"19082103"	"1"	
"verband Rol"	"Dose Form"	"46234410"	"1"	
"zuigtabl. Pastille"	"Dose Form"	"19082253"	"1"	
"tabl. (deelb.) Besilate"	"Dose Form"	"19082079"	"2"	
"ocul. druppels oploss."	"Dose Form"	"19129634"	"1"	
"verband Hydro"	"Dose Form"	"46234410"	"1"	
"verband Non-adhesive"	"Dose Form"	"46234410"	"1"	
"susp. (susp. + bruisgran.)"	"Dose Form"	"19082651"	"2"	
"filmomh. tabl. (deelb.)"	"Dose Form"	"19001949"	"3"	
"inj. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"Dose Form"	"19082103"	"1"	
"verband Hiel"	"Dose Form"	"19082228"	"2"	
"inj. oploss. (pdr. + solv.) i.m./i.v. [flac. + amp.]"	"Dose Form"	"19082103"	"1"	
"inf. oploss. (conc.) i.v. (alc.) [amp.]"	"Dose Form"	"19082103"	"1"	
"inf. oploss. epidur./p.neur. [zak, locoregionale infiltr.]"	"Dose Form"	"19082104"	"1"	
"disp. tabl. (deelb.)"	"Dose Form"	"19082076"	"1"	
"inj./inf. emuls. i.v. [amp.]"	"Dose Form"	"46234469"	"2"	
"inj. oploss. s.c. SmartJect [voorgev. pen]"	"Dose Form"	"46234469"	"3"	
"inj./inf./instill. oploss. i.v./i.arter./i.uter. [flac.]"	"Dose Form"	"46234469"	"2"	
"inj./inf./instill. oploss. i.m./i.v./rect. [amp.]"	"Dose Form"	"46234469"	"2"	
"inj. oploss. i.v./s.c. [voorgev. spuit]"	"Dose Form"	"46234469"	"3"	
"gorgeldrank/mondspoeling Mondwater"	"Dose Form"	"19126590"	"1"	
"siroop oploss. Forte"	"Dose Form"	"19082170"	"1"	
"inj./inf. oploss. (pdr.) i.m./i.v. [flac.]"	"Dose Form"	"19082103"	"1"	
"inj. oploss. i.m. [voorgev. pen]"	"Dose Form"	"46234467"	"2"	
"inj. oploss. s.c. Solostar [voorgev. pen]"	"Dose Form"	"19082103"	"1"	
"inj./inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"Dose Form"	"19082103"	"1"	
"inj. oploss. i.uter. Hystero [flac.]"	"Dose Form"	"46234469"	"2"	
"siroop oploss. (zonder suiker) Kind"	"Dose Form"	"19082170"	"1"	
"dent./gingiv./oromuc. gel"	"Dose Form"	"19095916"	"1"	
"inj. oploss. s.mucos. [patr.]"	"Dose Form"	"19082103"	"1"	
"inhalatiepdr. (harde caps.) Turbospin"	"Dose Form"	"19082259"	"1"	
"inj. susp. (pdr. + solv.) i.m. [flac. + voorgev. spuit]"	"Dose Form"	"19126920"	"4"	
"verband Border Lite"	"Dose Form"	"19082228"	"2"	
"inj./inf./instill./verneveloploss. i.m./i.v./auric./endotrach./inhal./nas. [amp.]"	"Dose Form"	"46234469"	"3"	
"inj./inf. oploss. i.v./i.arter. [amp.]"	"Dose Form"	"46234469"	"2"	
"oploss. (conc.) Vloeibaar Sinaasappelsmaak"	"Dose Form"	"19082170"	"1"	
"tabl. D"	"Dose Form"	"19082573"	"1"	
"omh. tabl. (deelb.)"	"Dose Form"	"19001949"	"2"	
"susp. (gran., zakjes) Baby"	"Dose Form"	"19082651"	"1"	
"verband Adhesive hiel [Rond]"	"Dose Form"	"46234410"	"1"	
"auric./cut./nas./ocul. druppels susp. (pdr. + solv.)"	"Dose Form"	"46234410"	"1"	
"inhalatiepdr. (voorverdeeld) [Elpenhaler]"	"Dose Form"	"19082259"	"1"	
"cut. oploss. (pdr.)"	"Dose Form"	"19082286"	"1"	
"verband Concave"	"Dose Form"	"46234410"	"1"	
"inj./inf. oploss. i.v./s.c. [flac.]"	"Dose Form"	"46234469"	"2"	
"tabl. (deelb.) Forte"	"Dose Form"	"19082573"	"1"	
"inj. oploss. i.m. [flac.]"	"Dose Form"	"19082103"	"1"	
"verband Border [Driehoekig]"	"Dose Form"	"46234410"	"1"	
"tabl. geregul. afgifte"	"Dose Form"	"19082255"	"1"	
"nas. spray oploss. Aloe"	"Dose Form"	"19011167"	"1"	
"inj./inf./instill. oploss. i.v./i.arter./i.uter. [flac.]"	"Dose Form"	"19082103"	"1"	
"inf./instill. oploss. i.v./i.vesic. [flac.]"	"Dose Form"	"19082103"	"1"	
"40 + 10 mg / 1 ml inj. susp. verl. afgifte i.artic./i.laes./i.burs./p.artic. [flac.]"	"Dose Form"	"19082104"	"3"	
"inj. oploss. s.c. Kwikpen [voorgev. pen]"	"Dose Form"	"46234469"	"3"	
"inj./inf. oploss. (pdr.) i.m./i.v./s.c. [flac.]"	"Dose Form"	"46234469"	"2"	
"inj. susp. verl. afgifte (pdr. + solv.) i.m. Consta [flac. + voorgev. spuit]"	"Dose Form"	"46234469"	"2"	
"gran. (zakjes)"	"Dose Form"	"19082651"	"1"	
"siroop susp. (gran.)"	"Dose Form"	"19082223"	"2"	
"inj. oploss. i.thec. Hyperbar [amp.]"	"Dose Form"	"46234469"	"2"	
"susp. (conc.) Scanner"	"Dose Form"	"19082221"	"1"	
"siroop oploss. Volw."	"Dose Form"	"19082223"	"2"	
"2% - 1/200 000 inj. oploss. i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"Dose Form"	"19082103"	"1"	
"inj. oploss. (pdr. + solv.) i.m./i.v./s.c. Hypokit [flac. + voorgev. spuit]"	"Dose Form"	"19082103"	"1"	
"maagsapresist. tabl. Enteric Coated"	"Dose Form"	"19082077"	"1"	
"inj./inf. oploss. (pdr. + solv.) i.v. [2x flac.]"	"Dose Form"	"19082103"	"1"	
"oploss. (conc.)"	"Dose Form"	"19082228"	"2"	
"inj. oploss. i.v. [voorgev. spuit]"	"Dose Form"	"19082103"	"1"	
"inj./inf. oploss. i.v./i.arter. [flac.]"	"Dose Form"	"46234469"	"2"	
"cut. schuim"	"Dose Form"	"19095972"	"1"	
"inj./inf. oploss. s.c. [flac.]"	"Dose Form"	"19082103"	"1"	
"inj. oploss. i.vitr. [flac.]"	"Dose Form"	"19082103"	"1"	
"verband Zink"	"Dose Form"	"46234410"	"1"	
"gel Forte"	"Dose Form"	"19095916"	"2"	
"inj. oploss. i.m./s.c. [amp.]"	"Dose Form"	"46234469"	"2"	
"inj. susp. (pdr.) i.m. [flac.] + inj. susp. i.m. [voorgev. spuit]"	"Dose Form"	"19082104"	"3"	
"susp. (gran., zakjes) Junior"	"Dose Form"	"19082651"	"1"	
"oploss. (gran.)"	"Dose Form"	"19082103"	"4"	
"vernevelsusp. (unidose) Nebules"	"Dose Form"	"19095898"	"1"	
"inj. oploss. i.v./s.c. Cartridge [patr.]"	"Dose Form"	"46234469"	"2"	
"i.vitr. implantaat [implantaatinjector]"	"Dose Form"	"19124968"	"1"	
"tabl. (deelb.) Besilaat"	"Dose Form"	"19001949"	"3"	
"inj. oploss. verl. afgifte i.m. Depot [amp.]"	"Dose Form"	"19082103"	"1"	
"oploss. (pdr., zakjes) Neutral"	"Dose Form"	"19095976"	"1"	
"gran. (zakjes) Instant Forte"	"Dose Form"	"19082651"	"1"	
"gran. (zakjes) Instant Aardbei/Vanille"	"Dose Form"	"19082651"	"1"	
