concept_code,note
A54.8,"Gonococcal myocarditis+ (I41.0*)"
A54.8,"Gonococcal pericarditis+ (I32.0*)"
A54.8,"Gonococcal peritonitis+ (K67.1*)"
A54.8,"Gonococcal pneumonia+ (J17.0*)"
A54.8,"Gonococcal septicaemia"
A54.8,"Gonococcal skin lesions"
A55,"Climatic or tropical bubo"
A55,"Durand-Nicolas-Favre disease"
A55,"Esthiomene"
A55,"Lymphogranuloma inguinale"
A56.0,"Chlamydial cervicitis"
A56.0,"Chlamydial cystitis"
A56.0,"Chlamydial urethritis"
A56.0,"Chlamydial vulvovaginitis"
A56.1,"Chlamydial epididymitis+ (N51.1*)"
A56.1,"Chlamydial female pelvic inflammatory disease+ (N74.4*)"
A56.1,"Chlamydial orchitis+ (N51.1*)"
A57,"Ulcus molle"
A58,"Donovanosis"
A60.0,"Herpesviral infection of genital tract female+ (N77.0-N77.1*)"
A60.0,"Herpesviral infection of genital tract male+ (N51.-*)"
A64,"Venereal disease NOS"
,"leptospirosis (A27.-)"
,"syphilis (A50-A53)"
A65,"Bejel"
A65,"Endemic syphilis"
A65,"Njovera"
A66.0,"Chancre of yaws"
A66.0,"Framboesia, initial or primary"
A66.0,"Initial framboesial ulcer"
A66.0,"Mother yaw"
A66.1,"Framboesioma"
A66.1,"Pianoma"
A66.1,"Plantar or palmar papilloma of yaws"
A66.2,"Cutaneous yaws, less than five years after infection"
A66.2,"Early yaws (cutaneous) (macular) (maculopapular) (micropapular) (papular)"
A66.2,"Framboeside of early yaws"
A66.3,"Ghoul hand"
A66.3,"Hyperkeratosis, palmar or plantar (early)(late) due to yaws"
A66.3,"Worm-eaten soles"
A66.4,"Gummatous framboeside"
A66.4,"Nodular late yaws (ulcerated)"
A66.5,"Rhinopharyngitis mutilans"
A66.7,"Juxta-articular nodules of yaws"
A66.7,"Mucosal yaws"
A66.8,"Yaws without clinical manifestations, with positive serology"
A67.1,"Pintids"
A67.2,"Cardiovascular lesions+ (I98.1*)"
A67.3,"Achromic with hyperchromic skin lesions of pinta [carate]"
A68.0,"Relapsing fever due to Borrelia recurrentis"
A68.1,"Relapsing fever due to any Borrelia species other than Borrelia recurrentis"
A69.0,"Cancrum oris"
A69.0,"Fusospirochaetal gangrene"
A69.0,"Noma"
A69.0,"Stomatitis gangrenosa"
A69.1,"Fusospirochaetal pharyngitis"
A69.1,"Necrotizing ulcerative (acute) gingivitis"
A69.1,"Necrotizing ulcerative (acute) gingivostomatitis"
A69.1,"Spirochaetal stomatitis"
A69.1,"Trench mouth"
A69.1,"Vincent's angina"
A69.1,"Vincent's gingivitis"
A69.2,"Erythema chronicum migrans due to Borrelia burgdorferi"
A70,"Ornithosis"
A70,"Parrot fever"
A70,"Psittacosis"
A71.0,"Trachoma dubium"
A71.1,"Granular conjunctivitis (trachomatous)"
A71.1,"Trachomatous follicular conjunctivitis"
A71.1,"Trachomatous pannus"
A74.0,"Paratrachoma"
A74.8,"Chlamydial peritonitis+ (K67.0*)"
A74.9,"Chlamydiosis NOS"
A75.0,"Classical typhus (fever)"
A75.0,"Epidemic (louse-borne) typhus"
A75.1,"Brill-Zinsser disease"
A75.2,"Murine (flea-borne) typhus"
A75.3,"Scrub (mite-borne) typhus"
A75.3,"Tsutsugamushi fever"
A75.9,"Typhus (fever) NOS"
A77.0,"Rocky Mountain spotted fever"
A77.0,"Sao Paulo fever"
A77.1,"African tick typhus"
A77.1,"Boutonneuse fever"
A77.1,"India tick typhus"
A77.1,"Kenya tick typhus"
A77.1,"Marseilles fever"
A77.1,"Mediterranean tick fever"
A77.2,"North Asian tick fever"
A77.2,"Siberian tick typhus"
A77.3,"Queensland tick typhus"
A77.9,"Tick-borne typhus NOS"
A78,"Infection due to Coxiella burnetii"
A78,"Nine Mile fever"
A78,"Quadrilateral fever"
A79.0,"Quintan fever"
A79.0,"Wolhynian fever"
A79.1,"Kew Garden fever"
A79.1,"Vesicular rickettsiosis"
A79.8,"Rickettsiosis due to Ehrlichia sennetsu"
A79.9,"Rickettsial infection NOS"
,"sequelae of poliomyelitis (B91)"
,"sequelae of viral encephalitis (B94.1)"
A81.0,"Subacute spongiform encephalopathy"
A81.1,"Dawson's inclusion body encephalitis"
A81.1,"Van Bogaert's sclerosing leukoencephalopathy"
A81.2,"Multifocal leukoencephalopathy NOS"
A81.8,"Kuru"
A81.9,"Prion disease of central nervous system NOS"
A83.4,"Kunjin virus disease"
A83.5,"California meningoencephalitis"
A83.5,"La Crosse encephalitis"
A84.8,"Louping ill"
A84.8,"Powassan virus disease"
A85.0,"Enteroviral encephalomyelitis"
A85.1,"Adenoviral meningoencephalitis"
A85.8,"Encephalitis lethargica"
A85.8,"Von Economo-Cruchet disease"
A86,"Viral encephalomyelitis NOS"
A86,"Viral meningoencephalitis NOS"
A87.0,"Coxsackievirus meningitis"
A87.0,"Echovirus meningitis"
A87.2,"Lymphocytic meningoencephalitis"
A92.0,"Chikungunya (haemorrhagic) fever"
A92.2,"Venezuelan equine encephalitis"
A92.2,"Venezuelan equine encephalomyelitis virus disease"
A93.0,"Oropouche fever"
A93.1,"Pappataci fever"
A93.1,"Phlebotomus fever"
A93.8,"Piry virus disease"
A93.8,"Vesicular stomatitis virus disease [Indiana fever]"
A94,"Arboviral fever NOS"
A94,"Arbovirus infection NOS"
A95.0,"Jungle yellow fever"
A96.0,"Argentinian haemorrhagic fever"
A96.1,"Bolivian haemorrhagic fever"
A98.0,"Central Asian haemorrhagic fever"
A98.5,"Haemorrhagic fever epidemic"
A98.5,"Haemorrhagic fever Korean"
A98.5,"Haemorrhagic fever Russian"
A98.5,"Hantaan virus disease"
A98.5,"Nephropathia epidemica"
B00.0,"Kaposi's varicelliform eruption"
B00.1,"Herpes simplex facialis"
B00.1,"Herpes simplex labialis"
B00.2,"Herpesviral pharyngitis"
B00.4,"Herpesviral meningoencephalitis"
B00.4,"Simian B disease"
B00.5,"Herpesviral conjunctivitis+ (H13.1*)"
B00.5,"Herpesviral dermatitis of eyelid+ (H03.1*)"
B00.5,"Herpesviral iridocyclitis+ (H22.0*)"
B00.5,"Herpesviral iritis+ (H22.0*)"
B00.5,"Herpesviral keratitis+ (H19.1*)"
B00.5,"Herpesviral keratoconjunctivitis+ (H19.1*)"
B00.5,"Herpesviral uveitis, anterior+ (H22.0*)"
B00.7,"Herpesviral septicaemia"
B00.8,"Herpesviral hepatitis+ (K77.0*)"
B00.8,"Herpesviral whitlow"
B00.9,"Herpes simplex infection NOS"
B01.1,"Postchickenpox encephalitis"
B01.1,"Varicella encephalomyelitis"
B01.9,"Varicella NOS"
B02.0,"Zoster meningoencephalitis"
B02.2,"Postherpetic geniculate ganglionitis (G53.0*)"
B02.2,"Postherpetic polyneuropathy (G63.0*)"
B02.2,"Postherpetic trigeminal neuralgia (G53.0*)"
B02.3,"Zoster blepharitis+ (H03.1*)"
B02.3,"Zoster conjunctivitis+ (H13.1*)"
B02.3,"Zoster iridocyclitis+ (H22.0*)"
B02.3,"Zoster iritis+ (H22.0*)"
B02.3,"Zoster keratitis+ (H19.2*)"
B02.3,"Zoster keratoconjunctivitis+ (H19.2*)"
B02.3,"Zoster scleritis+ (H19.0*)"
B02.9,"Zoster NOS"
B05.0,"Postmeasles encephalitis"
B05.1,"Postmeasles meningitis"
B05.2,"Postmeasles pneumonia"
B05.3,"Postmeasles otitis media"
B05.8,"Measles keratitis and keratoconjunctivitis+ (H19.2*)"
B05.9,"Measles NOS"
B06.0,"Rubella encephalitis (G05.1*)"
B06.0,"Rubella meningitis (G02.0*)"
B06.0,"Rubella meningoencephalitis (G05.1*)"
B06.8,"Rubella arthritis+ (M01.4*)"
B06.8,"Rubella pneumonia+ (J17.1*)"
B06.9,"Rubella NOS"
B07,"Verruca simplex"
B07,"Verruca vulgaris"
B08.0,"Cowpox"
B08.0,"Orf virus disease"
B08.0,"Pseudocowpox [milker's node]"
B08.0,"Vaccinia"
B08.4,"Hand, foot and mouth disease"
B08.5,"Herpangina"
B08.8,"Enteroviral lymphonodular pharyngitis"
B08.8,"Foot-and-mouth disease"
B08.8,"Tanapox virus disease"
B08.8,"Yaba pox virus disease"
B09,"Viral enanthema NOS"
B09,"Viral exanthema NOS"
,"cytomegaloviral hepatitis (B25.1)"
,"herpesviral [herpes simplex] hepatitis (B00.8)"
,"sequelae of viral hepatitis (B94.2)"
B15.9,"Hepatitis A (acute)(viral) NOS"
B16.9,"Hepatitis B (acute)(viral) NOS"
B17.8,"Hepatitis non-A non-B (acute)(viral) NEC"
B18.1,"Chronic (viral) hepatitis B"
B19.9,"Viral hepatitis NOS"
,"asymptomatic human immunodeficiency virus [HIV] infection status (Z21)"
B20.0,"HIV disease resulting in tuberculosis"
B20.9,"HIV disease resulting in infection NOS"
B22.0,"HIV dementia"
B22.2,"HIV disease resulting in failure to thrive"
B22.2,"Slim disease"
B24,"Acquired immunodeficiency syndrome [AIDS] NOS"
B24,"AIDS-related complex [ARC] NOS"
B26.8,"Mumps arthritis+ (M01.5*)"
B26.8,"Mumps myocarditis+ (I41.1*)"
B26.8,"Mumps nephritis+ (N08.0*)"
B26.8,"Mumps polyneuropathy+ (G63.0*)"
B26.9,"Mumps NOS"
B26.9,"Mumps parotitis NOS"
B27.0,"Mononucleosis due to Epstein-Barr virus"
B30.0,"Epidemic keratoconjunctivitis"
B30.0,"Shipyard eye"
B30.1,"Acute adenoviral follicular conjunctivitis"
B30.1,"Swimming-pool conjunctivitis"
B30.3,"Conjunctivitis due to coxsackievirus 24"
B30.3,"Conjunctivitis due to enterovirus 70"
B30.3,"Haemorrhagic conjunctivitis (acute)(epidemic)"
B30.8,"Newcastle conjunctivitis"
B33.0,"Bornholm disease"
B33.1,"Epidemic polyarthritis and exanthema"
B33.1,"Ross River fever"
B33.3,"Retrovirus infection NOS"
B34.1,"Coxsackievirus infection NOS"
B34.1,"Echovirus infection NOS"
B34.9,"Viraemia NOS"
,"hypersensitivity pneumonitis due to organic dust (J67.-)"
,"mycosis fungoides (C84.0)"
B35.0,"Beard ringworm"
B35.0,"Kerion"
B35.0,"Scalp ringworm"
B35.0,"Sycosis, mycotic"
B35.1,"Dermatophytic onychia"
B35.1,"Dermatophytosis of nail"
B35.1,"Onychomycosis"
B35.1,"Ringworm of nails"
B35.2,"Dermatophytosis of hand"
B35.2,"Hand ringworm"
B35.3,"Athlete's foot"
B35.3,"Dermatophytosis of foot"
B35.3,"Foot ringworm"
B35.4,"Ringworm of the body"
B35.5,"Tokelau"
B35.6,"Dhobi itch"
B35.6,"Groin ringworm"
B35.6,"Jock itch"
B35.8,"Dermatophytosis disseminated"
B35.8,"Dermatophytosis granulomatous"
B35.9,"Ringworm NOS"
B36.0,"Tinea flava"
B36.0,"Tinea versicolor"
B36.1,"Keratomycosis nigricans palmaris"
B36.1,"Microsporosis nigra"
B36.1,"Pityriasis nigra"
B36.2,"Tinea blanca"
B37.0,"Oral thrush"
B37.2,"Candidal onychia"
B37.2,"Candidal paronychia"
B37.3,"Candidal vulvovaginitis"
B37.3,"Monilial vulvovaginitis"
B37.3,"Vaginal thrush"
B37.4,"Candidal balanitis+ (N51.2*)"
B37.4,"Candidal urethritis+ (N37.0*)"
B37.8,"Candidal cheilitis"
B37.8,"Candidal enteritis"
B37.9,"Thrush NOS"
B38.7,"Generalized coccidioidomycosis"
B39.3,"Generalized histoplasmosis capsulati"
B39.4,"American histoplasmosis"
B39.5,"African histoplasmosis"
B40.7,"Generalized blastomycosis"
B41.7,"Generalized paracoccidioidomycosis"
B42.7,"Generalized sporotrichosis"
B43.0,"Dermatitis verrucosa"
B43.1,"Cerebral chromomycosis"
B44.7,"Generalized aspergillosis"
B45.1,"Cryptococcal meningitis+ (G02.1*)"
B45.1,"Cryptococcosis meningocerebralis"
B45.7,"Generalized cryptococcosis"
B46.3,"Subcutaneous mucormycosis"
B46.4,"Generalized mucormycosis"
B46.8,"Entomophthoromycosis"
B46.9,"Phycomycosis NOS"
B47.0,"Madura foot, mycotic"
B47.0,"Maduromycosis"
B47.9,"Madura foot NOS"
B48.0,"Keloidal blastomycosis"
B48.0,"Lobo's disease"
B48.2,"Infection due to Pseudallescheria boydii"
B48.3,"Geotrichum stomatitis"
B48.8,"Adiaspiromycosis"
B49,"Fungaemia NOS"
,"amoebiasis (A06.-)"
,"other protozoal intestinal diseases (A07.-)"
B50.0,"Cerebral malaria NOS"
B50.8,"Severe or complicated Plasmodium falciparum malaria NOS"
B51.9,"Plasmodium vivax malaria NOS"
B52.9,"Plasmodium malariae malaria NOS"
B53.8,"Parasitologically confirmed malaria NOS"
B54,"Clinically diagnosed malaria without parasitological confirmation"
B55.0,"Kala-azar"
B55.0,"Post-kala-azar dermal leishmaniasis"
B56.0,"Infection due to Trypanosoma brucei gambiense"
B56.0,"West African sleeping sickness"
B56.1,"East African sleeping sickness"
B56.1,"Infection due to Trypanosoma brucei rhodesiense"
B56.9,"Sleeping sickness NOS"
B56.9,"Trypanosomiasis NOS, in places where African trypanosomiasis is prevalent"
B57.0,"Acute Chagas' disease with cardiovascular involvement NEC (I98.1*)"
B57.0,"Acute Chagas' disease with myocarditis (I41.2*)"
B57.1,"Acute Chagas' disease NOS"
B57.2,"American trypanosomiasis NOS"
B57.2,"Chagas' disease (chronic) (with) NOS"
B57.2,"Chagas' disease (chronic) (with) cardiovascular involvement NEC+ (I98.1*)"
B57.2,"Chagas' disease (chronic) (with) myocarditis+ (I41.2*)"
B57.2,"Trypanosomiasis NOS, in places where Chagas' disease is prevalent"
B58.0,"Toxoplasma chorioretinitis (H32.0*)"
B58.8,"Toxoplasma myocarditis+ (I41.2*)"
B58.8,"Toxoplasma myositis+ (M63.1*)"
B59,"Pneumonia due to Pneumocystis carinii"
B60.0,"Piroplasmosis"
B60.1,"Conjunctivitis due to Acanthamoeba+ (H13.1*)"
B60.1,"Keratoconjunctivitis due to Acanthamoeba+ (H19.2*)"
B60.2,"Primary amoebic meningoencephalitis+ (G05.2*)"
B60.8,"Microsporidiosis"
B65.2,"Asiatic schistosomiasis"
B65.3,"Swimmer's itch"
B65.8,"Infection due to Schistosoma intercalatum"
B65.8,"Infection due to Schistosoma mattheei"
B65.8,"Infection due to Schistosoma mekongi"
B66.0,"Infection due to cat liver fluke"
B66.0,"Infection due to Opisthorchis (felineus)(viverrini)"
B66.1,"Chinese liver fluke disease"
B66.1,"Infection due to Clonorchis sinensis"
B66.1,"Oriental liver fluke disease"
B66.2,"Infection due to Dicrocoelium dendriticum"
B66.2,"Lancet fluke infection"
B66.3,"Infection due to Fasciola gigantica"
B66.3,"Infection due to Fasciola hepatica"
