concept_code,note
A41,"septicaemia (due to)(in) postprocedural (T81.4)"
A41,"septicaemia (due to)(in) puerperal (O85)"
A41,"septicaemia (due to)(in) streptococcal (A40.-)"
A41,"septicaemia (due to)(in) tularaemia (A21.7)"
A41,"septicaemic melioidosis (A24.1)"
A41,"septicaemic plague (A20.7)"
A41,"toxic shock syndrome (A48.3)"
A41.4,"gas gangrene (A48.0)"
A42,"actinomycetoma (B47.1)"
A46,"postpartum or puerperal erysipelas (O86.8)"
A48,"actinomycetoma (B47.1)"
A48.3,"endotoxic shock NOS (R57.8)"
A48.3,"septicaemia NOS (A41.9)"
A49,"bacterial agents as the cause of diseases classified to other chapters (B95-B96)"
A49,"chlamydial infection NOS (A74.9)"
A49,"meningococcal infection NOS (A39.9)"
A49,"rickettsial infection NOS (A79.9)"
A49,"spirochaetal infection NOS (A69.9)"
A50.3,"Hutchinson's triad (A50.5)"
A50.4,"Hutchinson's triad (A50.5)"
A53.9,"syphilis NOS causing death under two years of age (A50.2)"
A54.0,"with genitourinary gland abscess (A54.1)"
A54.0,"with periurethral abscess (A54.1)"
A54.2,"gonococcal peritonitis (A54.8)"
A54.8,"gonococcal pelviperitonitis (A54.2)"
A56,"chlamydial lymphogranuloma (A55)"
A56,"&nbsp;&nbsp;&middot; conjunctivitis (P39.1)"
A56,"&nbsp;&nbsp;&middot; pneumonia (P23.1)"
A56,"conditions classified to A74.-"
A59,"intestinal trichomoniasis (A07.8)"
A63,"molluscum contagiosum (B08.1)"
A63,"papilloma of cervix (D26.0)"
A68,"Lyme disease (A69.2)"
A71,"sequelae of trachoma (B94.0)"
A74,"chlamydial pneumonia (J16.0)"
A74,"neonatal chlamydial conjunctivitis (P39.1)"
A74,"neonatal chlamydial pneumonia (P23.1)"
A74,"sexually transmitted chlamydial diseases (A55-A56)"
A75,"rickettsiosis due to Ehrlichia sennetsu (A79.8)"
A83,"Venezuelan equine encephalitis (A92.2)"
A85,"benign myalgic encephalomyelitis (G93.3)"
A85,"encephalitis due to herpesvirus [herpes simplex] (B00.4)"
A85,"encephalitis due to measles virus (B05.0)"
A85,"encephalitis due to mumps virus (B26.2)"
A85,"encephalitis due to poliomyelitis virus (A80.-)"
A85,"encephalitis due to zoster (B02.0)"
A85,"lymphocytic choriomeningitis (A87.2)"
A87,"meningitis due to herpesvirus [herpes simplex] (B00.3)"
A87,"meningitis due to measles virus (B05.1)"
A87,"meningitis due to mumps virus (B26.1)"
A87,"meningitis due to poliomyelitis virus (A80.-)"
A87,"meningitis due to zoster (B02.1)"
A88,"viral encephalitis NOS (A86)"
A88,"viral meningitis NOS (A87.9)"
A90,"dengue haemorrhagic fever (A91)"
A92,"Ross River disease (B33.1)"
A98,"chikungunya haemorrhagic fever (A92.0)"
A98,"dengue haemorrhagic fever (A91)"
B00,"anogenital herpesviral infection (A60.-)"
B00,"congenital herpesviral infection (P35.2)"
B00,"gammaherpesviral mononucleosis (B27.0)"
B00,"herpangina (B08.5)"
B05,"subacute sclerosing panencephalitis (A81.1)"
B06,"congenital rubella (P35.0)"
B07,"anogenital (venereal) warts (A63.0)"
B07,"papilloma of bladder (D41.4)"
B07,"papilloma of cervix (D26.0)"
B07,"papilloma of larynx (D14.1)"
B08,"vesicular stomatitis virus disease (A93.8)"
B08.0,"monkeypox (B04)"
B20,"acute HIV infection syndrome (B23.0)"
B25,"congenital cytomegalovirus infection (P35.1)"
B25,"cytomegaloviral mononucleosis (B27.1)"
B30,"ocular disease herpesviral [herpes simplex] (B00.5)"
B30,"ocular disease zoster (B02.3)"
B34,"cytomegaloviral disease NOS (B25.9)"
B34,"herpesvirus [herpes simplex] infection NOS (B00.9)"
B34,"retrovirus infection NOS (B33.3)"
B34,"viral agents as the cause of diseases classified to other chapters (B97.-)"
B37,"neonatal candidiasis (P37.5)"
B37.2,"diaper [napkin] dermatitis (L22)"
B40,"Brazilian blastomycosis (B41.-)"
B40,"keloidal blastomycosis (B48.0)"
B48.2,"eumycetoma (B47.0)"
B51,"when mixed with Plasmodium falciparum (B50.-)"
B52,"when mixed with Plasmodium falciparum (B50.-)"
B52,"when mixed with Plasmodium vivax (B51.-)"
B53.0,"when mixed with Plasmodium falciparum (B50.-)"
B53.0,"when mixed with Plasmodium malariae (B52.-)"
B53.0,"when mixed with Plasmodium vivax (B51.-)"
B53.1,"when mixed with Plasmodium falciparum (B50.-)"
B53.1,"when mixed with Plasmodium malariae (B52.-)"
B53.1,"when mixed with Plasmodium ovale (B53.0)"
B53.1,"when mixed with Plasmodium vivax (B51.-)"
B58,"congenital toxoplasmosis (P37.1)"
B60,"cryptosporidiosis (A07.2)"
B60,"intestinal microsporidiosis (A07.8)"
B60,"isosporiasis (A07.3)"
B68,"cysticercosis (B69.-)"
B70.0,"larval diphyllobothriasis (B70.1)"
B74,"onchocerciasis (B73)"
B74,"tropical (pulmonary) eosinophilia NOS (J82)"
B78,"trichostrongyliasis (B81.2)"
B81,"angiostrongyliasis due to Parastrongylus cantonensis (B83.2)"
B81.1,"hepatic capillariasis (B83.8)"
B83,"capillariasis NOS (B81.1)"
B83,"capillariasis intestinal (B81.1)"
B83.2,"intestinal angiostrongyliasis (B81.3)"
B83.4,"external hirudiniasis (B88.3)"
B83.9,"intestinal helminthiasis NOS (B82.0)"
B88.0,"scabies (B86)"
B88.3,"internal hirudiniasis (B83.4)"
C00,"skin of lip (C43.0, C44.0)"
C02.0,"dorsal surface of base of tongue (C01)"
C02.4,"tonsil NOS (C09.9)"
C03,"malignant odontogenic neoplasms (C41.0-C41.1)"
C05.1,"nasopharyngeal surface of soft palate (C11.3)"
C08,"malignant neoplasms of specified minor salivary glands which are classified according to their anatomical location"
C08,"malignant neoplasms of minor salivary glands NOS (C06.9)"
C08,"parotid gland (C07)"
C09,"lingual tonsil (C02.4)"
C09,"pharyngeal tonsil (C11.1)"
C10,"tonsil (C09.-)"
C10.1,"epiglottis (suprahyoid portion) NOS (C32.1)"
C13,"pyriform sinus (C12)"
C13.1,"aryepiglottic fold, laryngeal aspect (C32.1)"
C14,"oral cavity NOS (C06.9)"
C17.2,"ileocaecal valve (C18.0)"
C18.7,"rectosigmoid junction (C19)"
C21.0,"anal margin (C43.5, C44.5)"
C21.0,"anal skin (C43.5, C44.5)"
C21.0,"perianal skin (C43.5, C44.5)"
C22,"biliary tract NOS (C24.9)"
C22,"secondary malignant neoplasm of liver (C78.7)"
C24,"intrahepatic bile duct (C22.1)"
C26,"peritoneum and retroperitoneum (C48.-)"
C26.1,"Hodgkin's disease (C81.-)"
C26.1,"non-Hodgkin's lymphoma (C82-C85)"
C26.8,"cardio-oesophageal junction (C16.0)"
C30.0,"nasal bone (C41.0)"
C30.0,"nose NOS (C76.0)"
C30.0,"olfactory bulb (C72.2)"
C30.0,"posterior margin of nasal septum and choana (C11.3)"
C30.0,"skin of nose (C43.3, C44.3)"
C30.1,"auricular canal (external) (C43.2, C44.2)"
C30.1,"bone of ear (meatus) (C41.0)"
C30.1,"cartilage of ear (C49.0)"
C30.1,"skin of (external) ear (C43.2, C44.2)"
C32.1,"anterior surface of epiglottis (C10.1)"
C32.1,"aryepiglottic fold NOS (C13.1)"
C32.1,"aryepiglottic fold hypopharyngeal aspect (C13.1)"
C32.1,"aryepiglottic fold marginal zone (C13.1)"
C38,"mesothelioma (C45.-)"
C38.0,"great vessels (C49.3)"
C39,"intrathoracic NOS (C76.1)"
C39,"thoracic NOS (C76.1)"
C41,"bones of limbs (C40.-)"
C41,"cartilage of ear (C49.0)"
C41,"cartilage of larynx (C32.3)"
C41,"cartilage of limbs (C40.-)"
C41,"cartilage of nose (C30.0)"
C41.0,"carcinoma, any type except intraosseous or odontogenic of maxillary sinus (C31.0)"
C41.0,"carcinoma, any type except intraosseous or odontogenic of upper jaw (C03.0)"
C41.0,"jaw bone (lower) (C41.1)"
C41.1,"carcinoma, any type except intraosseous or odontogenic of jaw NOS (C03.9)"
C41.1,"&nbsp;&nbsp;&middot; lower (C03.1)"
C41.1,"upper jaw bone (C41.0)"
C41.2,"sacrum and coccyx (C41.4)"
C43,"malignant melanoma of skin of genital organs (C51-C52, C60.-, C63.-)"
C43.0,"vermilion border of lip (C00.0-C00.2)"
C43.5,"anus NOS (C21.0)"
C44,"Kaposi's sarcoma (C46.-)"
C44,"malignant melanoma of skin (C43.-)"
C44,"skin of genital organs (C51-C52, C60.-, C63.-)"
C44.0,"malignant neoplasm of lip (C00.-)"
C44.1,"connective tissue of eyelid (C49.0)"
C44.2,"connective tissue of ear (C49.0)"
C44.5,"anus NOS (C21.0)"
C45.0,"other malignant neoplasms of pleura (C38.4)"
C45.1,"other malignant neoplasms of peritoneum (C48.-)"
C45.2,"other malignant neoplasms of pericardium (C38.0)"
C47.0,"peripheral nerves of orbit (C69.6)"
C48,"Kaposi's sarcoma (C46.1)"
C48,"mesothelioma (C45.-)"
C49,"cartilage (of) articular (C40-C41)"
C49,"cartilage (of) larynx (C32.3)"
C49,"cartilage (of) nose (C30.0)"
C49,"connective tissue of breast (C50.-)"
C49,"Kaposi's sarcoma (C46.-)"
C49,"mesothelioma (C45.-)"
C49,"peripheral nerves and autonomic nervous system (C47.-)"
C49,"peritoneum (C48.-)"
C49,"retroperitoneum (C48.0)"
C49.0,"connective tissue of orbit (C69.6)"
C49.3,"breast (C50.-)"
C49.3,"heart (C38.0)"
C49.3,"mediastinum (C38.1-C38.3)"
C49.3,"thymus (C37)"
C50,"skin of breast (C43.5, C44.5)"
C58,"chorioadenoma (destruens) (D39.2)"
C58,"hydatidiform mole NOS (O01.9)"
C58,"hydatidiform mole invasive (D39.2)"
C58,"hydatidiform mole malignant (D39.2)"
,"skin of male genital organs"
C64,"renal calyces (C65)"
C64,"renal pelvis (C65)"
C66,"ureteric orifice of bladder (C67.6)"
C68,"genitourinary tract NOS female (C57.9)"
C68,"genitourinary tract NOS male (C63.9)"
C68.0,"urethral orifice of bladder (C67.5)"
C69,"connective tissue of eyelid (C49.0)"
C69,"eyelid (skin) (C43.1, C44.1)"
C69,"optic nerve (C72.3)"
C69.6,"orbital bone (C41.0)"
C71,"cranial nerves (C72.2-C72.5)"
C71,"retrobulbar tissue (C69.6)"
C71.5,"fourth ventricle (C71.7)"
C72,"meninges (C70.-)"
C72,"peripheral nerves and autonomic nervous system (C47.-)"
C75,"adrenal gland (C74.-)"
C75,"endocrine pancreas (C25.4)"
C75,"ovary (C56)"
C75,"testis (C62.-)"
C75,"thymus (C37)"
C75,"thyroid gland (C73)"
C76,"&nbsp;&nbsp;&middot; female (C57.9)"
C76,"&nbsp;&nbsp;&middot; male (C63.9)"
C76,"&nbsp;&nbsp;&middot; male lymphoid, haematopoietic and related tissue (C81-C96)"
C76,"&nbsp;&nbsp;&middot; male unspecified site (C80)"
C77,"malignant neoplasm of lymph nodes, specified as primary (C81-C87, C96.-)"
C90.0,"solitary myeloma (C90.2)"
C91.0,"acute exacerbation of chronic lymphocytic leukaemia (C91.1)"
C92.0,"acute exacerbation of chronic myeloid leukaemia (C92.1)"
C93.0,"acute exacerbation of chronic monocytic leukaemia (C93.1)"
C94,"leukaemic reticuloendotheliosis (C91.4)"
C94,"plasma cell leukaemia (C90.1)"
C95.0,"acute exacerbation of unspecified chronic leukaemia (C95.1)"
C96.2,"mast cell leukaemia (C94.3)"
C96.2,"mastocytosis (cutaneous) (Q82.2)"
D00,"melanoma in situ (D03.-)"
D00.0,"aryepiglottic fold, laryngeal aspect (D02.0)"
D00.0,"epiglottis NOS (D02.0)"
D00.0,"epiglottis suprahyoid portion (D02.0)"
D00.0,"skin of lip (D03.0, D04.0)"
D01,"melanoma in situ (D03.-)"
D01.0,"rectosigmoid junction (D01.1)"
D01.3,"anal margin (D03.5, D04.5)"
D01.3,"anal skin (D03.5, D04.5)"
D01.3,"perianal skin (D03.5, D04.5)"
D01.4,"ampulla of Vater (D01.5)"
D02,"melanoma in situ (D03.-)"
D02.0,"aryepiglottic fold NOS (D00.0)"
D02.0,"aryepiglottic fold hypopharyngeal aspect (D00.0)"
D02.0,"aryepiglottic fold marginal zone (D00.0)"
D02.3,"ear (external)(skin) (D03.2, D04.2)"
D02.3,"nose NOS (D09.7)"
D02.3,"nose skin (D03.3, D04.3)"
D04,"erythroplasia of Queyrat (penis) NOS (D07.4)"
D04,"melanoma in situ (D03.-)"
D04.0,"vermilion border of lip (D00.0)"
D04.5,"anus NOS (D01.3)"
D04.5,"skin of genital organs (D07.-)"
D05,"carcinoma in situ of skin of breast (D04.5)"
D05,"melanoma in situ of breast (skin) (D03.5)"
D06,"melanoma in situ of cervix (D03.5)"
D06,"severe dysplasia of cervix NOS (N87.2)"
D07,"melanoma in situ (D03.5)"
D07.1,"severe dysplasia of vulva NOS (N90.2)"
D07.2,"severe dysplasia of vagina NOS (N89.2)"
D09,"melanoma in situ (D03.-)"
D09.2,"skin of eyelid (D04.1)"
D09.3,"endocrine pancreas (D01.7)"
D09.3,"ovary (D07.3)"
D09.3,"testis (D07.6)"
D10.0,"skin of lip (D22.0, D23.0)"
D10.3,"benign odontogenic neoplasms (D16.4-D16.5)"
D10.3,"mucosa of lip (D10.0)"
D10.3,"nasopharyngeal surface of soft palate (D10.6)"
D10.4,"lingual tonsil (D10.1)"
D10.4,"pharyngeal tonsil (D10.6)"
D10.4,"tonsillar fossa (D10.5)"
D10.4,"tonsillar pillars (D10.5)"
D10.5,"epiglottis NOS (D14.1)"
D10.5,"epiglottis suprahyoid portion (D14.1)"
D11,"benign neoplasms of specified minor salivary glands which are classified according to their anatomical location"
D11,"benign neoplasms of minor salivary glands NOS (D10.3)"
D12.9,"anal margin (D22.5, D23.5)"
D12.9,"anal skin (D22.5, D23.5)"
D12.9,"perianal skin (D22.5, D23.5)"
D13.6,"endocrine pancreas (D13.7)"
D14.0,"auricular canal (external) (D22.2, D23.2)"
D14.0,"bone of ear (D16.4)"
D14.0,"bone of nose (D16.4)"
D14.0,"cartilage of ear (D21.0)"
D14.0,"ear (external)(skin) (D22.2, D23.2)"
D14.0,"nose NOS (D36.7)"
D14.0,"nose skin (D22.3, D23.3)"
D14.0,"olfactory bulb (D33.3)"
D14.0,"polyp (of) accessory sinus (J33.8)"
D14.0,"polyp (of) ear (middle) (H74.4)"
D14.0,"polyp (of) nasal (cavity) (J33.-)"
D14.0,"posterior margin of septum and choanae (D10.6)"
D14.1,"epiglottis, anterior aspect (D10.5)"
D14.1,"polyp of vocal cord and larynx (J38.1)"
D15,"mesothelial tissue (D19.-)"
D15.1,"great vessels (D21.3)"
D16,"connective tissue of ear (D21.0)"
D16,"connective tissue of eyelid (D21.0)"
D16,"connective tissue of larynx (D14.1)"
D16,"connective tissue of nose (D14.0)"
D16,"synovia (D21.-)"
D16.4,"lower jaw bone (D16.5)"
D16.6,"sacrum and coccyx (D16.8)"
D17.5,"peritoneum and retroperitoneum (D17.7)"
D18,"blue or pigmented naevus (D22.-)"
D20,"benign lipomatous neoplasm of peritoneum and retroperitoneum (D17.7)"
D20,"mesothelial tissue (D19.-)"
D21,"cartilage articular (D16.-)"
D21,"cartilage larynx (D14.1)"
D21,"cartilage nose (D14.0)"
D21,"connective tissue of breast (D24)"
D21,"haemangioma (D18.0)"
D21,"lipomatous neoplasm (D17.-)"
D21,"lymphangioma (D18.1)"
D21,"peripheral nerves and autonomic nervous system (D36.1)"
D21,"peritoneum (D20.1)"
D21,"retroperitoneum (D20.0)"
D21,"uterine leiomyoma (D25.-)"
D21,"uterine ligament, any (D28.2)"
D21,"vascular tissue (D18.-)"
D21.0,"connective tissue of orbit (D31.6)"
D21.3,"heart (D15.1)"
D21.3,"mediastinum (D15.2)"
D21.3,"thymus (D15.0)"
D21.5,"uterine leiomyoma (D25.-)"
D21.5,"uterine ligament, any (D28.2)"
D23,"benign lipomatous neoplasms (D17.0-D17.3)"
D23,"melanocytic naevi (D22.-)"
D23.0,"vermilion border of lip (D10.0)"
D23.5,"anus NOS (D12.9)"
D23.5,"skin of genital organs (D28-D29)"
D24,"benign mammary dysplasia (N60.-)"
D24,"skin of breast (D22.5, D23.5)"
D29.1,"hyperplasia of prostate (adenomatous) (N40)"
D29.1,"prostatic adenoma (N40)"
D29.1,"prostatic enlargement (N40)"
D29.1,"prostatic hypertrophy (N40)"
D30.0,"renal calyces (D30.1)"
D30.0,"renal pelvis (D30.1)"
D30.2,"ureteric orifice of bladder (D30.3)"
D30.4,"urethral orifice of bladder (D30.3)"
D31,"connective tissue of eyelid (D21.0)"
D31,"optic nerve (D33.3)"
D31,"skin of eyelid (D22.1, D23.1)"
D31.6,"orbital bone (D16.4)"
D33,"angioma (D18.0)"
D33,"meninges (D32.-)"
D33,"peripheral nerves and autonomic nervous system (D36.1)"
D33,"retro-ocular tissue (D31.6)"
D33.0,"fourth ventricle (D33.1)"
D35,"endocrine pancreas (D13.7)"
D35,"ovary (D27)"
D35,"testis (D29.2)"
D35,"thymus (D15.0)"
D36.1,"peripheral nerves of orbit (D31.6)"
D37.0,"aryepiglottic fold, laryngeal aspect (D38.0)"
D37.0,"epiglottis NOS (D38.0)"
D37.0,"epiglottis suprahyoid portion (D38.0)"
D37.0,"skin of lip (D48.5)"
D37.7,"anal margin (D48.5)"
D37.7,"anal skin (D48.5)"
D37.7,"perianal skin (D48.5)"
D38,"heart (D48.7)"
D38.0,"aryepiglottic fold NOS (D37.0)"
D38.0,"aryepiglottic fold hypopharyngeal aspect (D37.0)"
D38.0,"aryepiglottic fold marginal zone (D37.0)"
D38.5,"ear (external)(skin) (D48.5)"
D38.5,"nose NOS (D48.7)"
D38.5,"nose skin (D48.5)"
D39.2,"hydatidiform mole NOS (O01.9)"
D41.0,"renal pelvis (D41.1)"
D43,"peripheral nerves and autonomic nervous system (D48.2)"
D43.0,"fourth ventricle (D43.1)"
D44,"endocrine pancreas (D37.7)"
D44,"ovary (D39.1)"
D44,"testis (D40.1)"
D44,"thymus (D38.4)"
D47.0,"mastocytosis (cutaneous) (Q82.2)"
D48,"neurofibromatosis (nonmalignant) (Q85.0)"
D48.0,"cartilage of ear (D48.1)"
D48.0,"cartilage of larynx (D38.0)"
D48.0,"cartilage of nose (D38.5)"
D48.0,"connective tissue of eyelid (D48.1)"
D48.0,"synovia (D48.1)"
D48.1,"cartilage (of) articular (D48.0)"
D48.1,"cartilage (of) larynx (D38.0)"
D48.1,"cartilage (of) nose (D38.5)"
D48.1,"connective tissue of breast (D48.6)"
D48.2,"peripheral nerves of orbit (D48.7)"
D48.5,"anus NOS (D37.7)"
D48.5,"skin of genital organs (D39.7, D40.7)"
D48.5,"vermilion border of lip (D37.0)"
D48.6,"skin of breast (D48.5)"
D48.7,"connective tissue (D48.1)"
D48.7,"skin of eyelid (D48.5)"
D50.0,"acute posthaemorrhagic anaemia (D62)"
D50.0,"congenital anaemia from fetal blood loss (P61.3)"
D51,"vitamin B(E53.8)"
D53.0,"Lesch-Nyhan syndrome (E79.1)"
D53.1,"Di Guglielmo's disease (C94.0)"
D53.2,"scurvy (E54)"
D53.8,"nutritional deficiencies without mention of anaemia, such as copper deficiency (E61.0)"
D53.8,"nutritional deficiencies without mention of anaemia, such as molybdenum deficiency (E61.5)"
D53.8,"nutritional deficiencies without mention of anaemia, such as zinc deficiency (E60)"
D53.9,"anaemia NOS (D64.9)"
D55,"drug-induced enzyme deficiency anaemia (D59.2)"
D56.0,"hydrops fetalis due to haemolytic disease (P56.-)"
D57,"other haemoglobinopathies (D58.-)"
D57,"sickle-cell beta thalassaemia (D56.1)"
D58.2,"familial polycythaemia (D75.0)"
D58.2,"Hb-M disease (D74.0)"
D58.2,"hereditary persistence of fetal haemoglobin [HPFH] (D56.4)"
D58.2,"high-altitude polycythaemia (D75.1)"
D58.2,"methaemoglobinaemia (D74.-)"
D59.1,"Evans' syndrome (D69.3)"
D59.1,"haemolytic disease of fetus and newborn (P55.-)"
D59.1,"paroxysmal cold haemoglobinuria (D59.6)"
D59.5,"haemoglobinuria NOS (R82.3)"
D59.6,"haemoglobinuria NOS (R82.3)"
D61,"agranulocytosis (D70)"
D62,"congenital anaemia from fetal blood loss (P61.3)"
D64,"refractory anaemia NOS (D46.4)"
D64,"refractory anaemia with excess of blasts (D46.2)"
D64,"&nbsp;&nbsp;&middot; with transformation (D46.3)"
D64,"&nbsp;&nbsp;&middot; with transformation with sideroblasts (D46.1)"
D64,"&nbsp;&nbsp;&middot; with transformation without sideroblasts (D46.0)"
D64.4,"Blackfan-Diamond syndrome (D61.0)"
D64.4,"Di Guglielmo's disease (C94.0)"
D65,"that (complicating) abortion or ectopic or molar pregnancy (O00-O07, O08.1)"
D65,"that (complicating) in newborn (P60)"
D65,"that (complicating) pregnancy, childbirth and the puerperium (O45.0, O46.0, O67.0, O72.3)"
D66,"factor VIII deficiency with vascular defect (D68.0)"
D68,"those complicating abortion or ectopic or molar pregnancy (O00-O07, O08.1)"
D68,"those complicating pregnancy, childbirth and the puerperium (O45.0, O46.0, O67.0, O72.3)"
D68.0,"capillary fragility (hereditary) (D69.8)"
D68.0,"factor VIII deficiency NOS (D66)"
D68.0,"factor VIII deficiency with functional defect (D66)"
D68.3,"long-term use of anticoagulants without haemorrhage ("
D68.4,"vitamin K deficiency of newborn (P53)"
D69,"benign hypergammaglobulinaemic purpura (D89.0)"
D69,"cryoglobulinaemic purpura (D89.1)"
D69,"essential (haemorrhagic) thrombocythaemia (D47.3)"
D69,"purpura fulminans (D65)"
D69,"thrombotic thrombocytopenic purpura (M31.1)"
D69.1,"von Willebrand's disease (D68.0)"
D69.4,"thrombocytopenia with absent radius (Q87.2)"
D69.4,"transient neonatal thrombocytopenia (P61.0)"
D69.4,"Wiskott-Aldrich syndrome (D82.0)"
D70,"transient neonatal neutropenia (P61.5)"
D72,"basophilia (D75.8)"
D72,"immunity disorders (D80-D89)"
D72,"neutropenia (D70)"
D72,"preleukaemia (syndrome) (D46.9)"
D72.0,"Chediak(-Steinbrinck)-Higashi syndrome (E70.3)"
D73.0,"asplenia (congenital) (Q89.0)"
D73.1,"splenomegaly NOS (R16.1)"
D73.1,"splenomegaly congenital (Q89.0)"
D73.5,"traumatic rupture of spleen (S36.0)"
D75,"enlarged lymph nodes (R59.-)"
D75,"hypergammaglobulinaemia NOS (D89.2)"
D75,"lymphadenitis NOS (I88.9)"
D75,"lymphadenitis acute (L04.-)"
D75,"lymphadenitis chronic (I88.1)"
D75,"lymphadenitis mesenteric (acute)(chronic) (I88.0)"
D75.0,"hereditary ovalocytosis (D58.1)"
D75.1,"polycythaemia neonatorum (P61.1)"
D75.1,"polycythaemia vera (D45)"
D75.2,"essential (haemorrhagic) thrombocythaemia (D47.3)"
D76,"Letterer-Siwe disease (C96.0)"
D76,"malignant histiocytosis (C96.1)"
D76,"reticuloendotheliosis or reticulosis histiocytic medullary (C96.1)"
D76,"reticuloendotheliosis or reticulosis leukaemic (C91.4)"
D76,"reticuloendotheliosis or reticulosis lipomelanotic (I89.8)"
D76,"reticuloendotheliosis or reticulosis malignant (C85.7)"
D76,"reticuloendotheliosis or reticulosis nonlipid (C96.0)"
D81,"autosomal recessive agammaglobulinaemia (Swiss type) (D80.0)"
D82,"ataxia telangiectasia [Louis-Bar] (G11.3)"
D89,"hyperglobulinaemia NOS (R77.1)"
D89,"monoclonal gammopathy (D47.2)"
D89,"transplant failure and rejection (T86.-)"
E00,"subclinical iodine-deficiency hypothyroidism (E02)"
E01,"congenital iodine-deficiency syndrome (E00.-)"
E01,"subclinical iodine-deficiency hypothyroidism (E02)"
E03,"iodine-deficiency-related hypothyroidism (E00-E02)"
E03,"postprocedural hypothyroidism (E89.0)"
E03.0,"transitory congenital goitre with normal function (P72.0)"
E03.4,"congenital atrophy of thyroid (E03.1)"
E04,"iodine-deficiency-related goitre (E00-E02)"
E05,"chronic thyroiditis with transient thyrotoxicosis (E06.2)"
E05,"neonatal thyrotoxicosis (P72.1)"
E06,"postpartum thyroiditis (O90.5)"
E06.1,"autoimmune thyroiditis (E06.3)"
E06.2,"autoimmune thyroiditis (E06.3)"
E07.1,"transitory congenital goitre with normal function (P72.0)"
E10,"diabetes mellitus (in) malnutrition-related (E12.-)"
E10,"diabetes mellitus (in) neonatal (P70.2)"
E10,"diabetes mellitus (in) pregnancy, childbirth and the puerperium (O24.-)"
E10,"glycosuria NOS (R81)"
E10,"glycosuria renal (E74.8)"
E10,"impaired glucose tolerance (R73.0)"
E10,"postsurgical hypoinsulinaemia (E89.1)"
E11,"diabetes mellitus (in) malnutrition-related (E12.-)"
E11,"diabetes mellitus (in) neonatal (P70.2)"
E11,"diabetes mellitus (in) pregnancy, childbirth and the puerperium (O24.-)"
E11,"glycosuria NOS (R81)"
E11,"glycosuria renal (E74.8)"
E11,"impaired glucose tolerance (R73.0)"
