MAST_PRD_NAME	CONCEPT_ID	CONCEPT_NAME	VOCABULARY_ID
ADCIRCA	19048491	Adcirca	RxNorm
ADDIGRIP	40799524	Addigrip	RxNorm Extension
ADENOCOR	21014315	Adenocor	RxNorm Extension
ADENURIC	21017137	Adenuric	RxNorm Extension
ADOPORT	21018594	Adoport	RxNorm Extension
ADRIBLASTINA	40799542	Adriblastina	RxNorm Extension
ADVAGRAF	21014378	Advagraf	RxNorm Extension
ADVANTAN	21019017	Advantan	RxNorm Extension
ADVATE	19000447	Advate	RxNorm
AERINAZE	40799583	Aerinaze	RxNorm Extension
AERIUS	43127046	AERIUS	RxNorm Extension
AERODIOL	21018733	Aerodiol	RxNorm Extension
AERRANE	43127047	AERRANE	RxNorm Extension
AETHOXYSKLEROL	21015275	Aethoxysklerol	RxNorm Extension
AGGRENOX	19088033	Aggrenox	RxNorm
AGIOLAX	40799607	AGIOLAX	RxNorm Extension
AGRIPPAL	21017653	Agrippal	RxNorm Extension
AGYRAX	43127053	AGYRAX	RxNorm Extension
AIROMIR	19013495	Airomir	RxNorm
AIROMIR AUTOHALER	43127054	AIROMIR AUTOHALER	RxNorm Extension
AKINETON	19020262	Akineton	RxNorm
AKINETON	43127055	AKINETON	RxNorm Extension
AKNEMYCIN	19012555	Aknemycin	RxNorm
AKNEROXID	40799678	Akneroxid	RxNorm Extension
ALCAINE	19047959	Alcaine	RxNorm
ALCOMICIN	44013243	Alcomicin	RxNorm Extension
ALDACTONE	19020268	Aldactone	RxNorm
ALDARA	19053103	Aldara	RxNorm
ALDOMET	19020292	Aldomet	RxNorm
ALENDROMED	43563772	Alendromed	RxNorm Extension
ALENDRONATE TEVA	43127156	ALENDRONATE TEVA	RxNorm Extension
ALEVE	19053148	Aleve	RxNorm
ALGESAL	21018690	Algesal	RxNorm Extension
ALGESAL SURACTIVE	43127179	ALGESAL SURACTIVE	RxNorm Extension
ALKA SELTZER	44013134	Alka Seltzer	RxNorm Extension
ALKERAN	19020297	Alkeran	RxNorm
ALLERGODIL	43127197	ALLERGODIL	RxNorm Extension
ALLERGODIL	43564016	Allergodil	RxNorm Extension
ALLI	19012250	Alli	RxNorm
ALLOCHRYSINE	43127198	ALLOCHRYSINE	RxNorm Extension
ALLOPURINOL EG	43127202	ALLOPURINOL EG	RxNorm Extension
ALLOPURINOL MYLAN	43127204	ALLOPURINOL MYLAN	RxNorm Extension
ALLOPURINOL RATIOPHARM	43127207	ALLOPURINOL RATIOPHARM	RxNorm Extension
ALLOPURINOL SANDOZ	43127208	ALLOPURINOL SANDOZ	RxNorm Extension
ALLOPURINOL TEVA	43127210	ALLOPURINOL TEVA	RxNorm Extension
ALMOGRAN	21015266	Almogran	RxNorm Extension
ALMOTRIPTAN SANDOZ	43127219	ALMOTRIPTAN SANDOZ	RxNorm Extension
ALOMIDE	19012891	Alomide	RxNorm
ALOPEXY	43127223	ALOPEXY	RxNorm Extension
ALOPLASTINE	43127224	ALOPLASTINE	RxNorm Extension
ALPHADERM	21017133	Alphaderm	RxNorm Extension
ALPHAGAN	19023499	Alphagan	RxNorm
ALPHOSYL	21016281	Alphosyl	RxNorm Extension
ALPRAZOLAM EG	43127233	ALPRAZOLAM EG	RxNorm Extension
ALPRAZOLAM MYLAN	43127236	ALPRAZOLAM MYLAN	RxNorm Extension
ALPRAZOLAM RATIOPHARM	40800379	Alprazolam Ratiopharm	RxNorm Extension
ALPRAZOLAM SANDOZ	43127238	ALPRAZOLAM SANDOZ	RxNorm Extension
ALPRAZOLAM TEVA	43127239	ALPRAZOLAM TEVA	RxNorm Extension
ALTARGO	21014679	Altargo	RxNorm Extension
ALVESCO	19036264	Alvesco	RxNorm
AMBROXOL RATIOPHARM	40800420	Ambroxol Ratiopharm	RxNorm Extension
AMIODARONE EG	43127372	AMIODARONE EG	RxNorm Extension
AMIODARONE MYLAN	43127374	AMIODARONE MYLAN	RxNorm Extension
AMIODARONE SANDOZ	43127378	AMIODARONE SANDOZ	RxNorm Extension
AMISULPRIDE EG	43127386	AMISULPRIDE EG	RxNorm Extension
AMISULPRIDE MYLAN	43127387	AMISULPRIDE MYLAN	RxNorm Extension
AMLODIPINE EG	43127402	AMLODIPINE EG	RxNorm Extension
AMLODIPINE MYLAN	43127405	AMLODIPINE MYLAN	RxNorm Extension
AMLODIPINE RATIOPHARM	43127411	AMLODIPINE RATIOPHARM	RxNorm Extension
AMLODIPINE SANDOZ	43127412	AMLODIPINE SANDOZ	RxNorm Extension
AMLODIPINE TEVA	43127413	AMLODIPINE TEVA	RxNorm Extension
AMLOR	43127416	AMLOR	RxNorm Extension
AMOROLFINE TEVA	43127433	AMOROLFINE TEVA	RxNorm Extension
AMOXI	19047746	AMOXI	RxNorm
AMOXICILLINE EG	43127448	AMOXICILLINE EG	RxNorm Extension
AMOXICILLINE MYLAN	43127450	AMOXICILLINE MYLAN	RxNorm Extension
AMOXICILLINE SANDOZ	43127457	AMOXICILLINE SANDOZ	RxNorm Extension
AMOXICILLINE TEVA	43127458	AMOXICILLINE TEVA	RxNorm Extension
AMOXYPEN	40799938	Amoxypen	RxNorm Extension
AMPHOCIL	19026928	Amphocil	RxNorm
ANAFRANIL	19022204	Anafranil	RxNorm
ANAFRANIL IMPEXECO	19022204	Anafranil	RxNorm
ANASTROZOLE EG	43127501	ANASTROZOLE EG	RxNorm Extension
ANASTROZOLE TEVA	43127510	ANASTROZOLE TEVA	RxNorm Extension
ANDRACTIM	21015543	Andractim	RxNorm Extension
ANDROCUR	21018407	Androcur	RxNorm Extension
ANDROGEL	19099224	Androgel	RxNorm
ANGELIQ	19058478	Angeliq	RxNorm
ANGINOL	44157753	Anginol	RxNorm Extension
ANIMINE	43252226	Animine	RxNorm Extension
ANORO	44785563	Anoro	RxNorm
ANTABUSE	19020354	Antabuse	RxNorm
ANTIGRIPPINE	43127532	ANTIGRIPPINE	RxNorm Extension
ANUSOL	19015156	Anusol	RxNorm
APIDRA	19084603	Apidra	RxNorm
APRANAX	43127546	APRANAX	RxNorm Extension
APRANAX IMPEXECO	43127546	APRANAX	RxNorm Extension
APROVEL	21016918	Aprovel	RxNorm Extension
ARANESP	19025156	Aranesp	RxNorm
ARAVA	19054960	Arava	RxNorm
ARCOXIA	21017513	Arcoxia	RxNorm Extension
AREDIA	19057748	Aredia	RxNorm
ARICEPT	19016002	Aricept	RxNorm
ARIMIDEX	19100842	Arimidex	RxNorm
ARIMIDEX IMPEXECO	19100842	Arimidex	RxNorm
ARIPIPRAZOLE EG	35406509	ARIPIPRAZOLE EG	RxNorm Extension
ARIPIPRAZOLE SANDOZ	43127559	ARIPIPRAZOLE SANDOZ	RxNorm Extension
ARIPIPRAZOLE TEVA	43127560	ARIPIPRAZOLE TEVA	RxNorm Extension
ARIXTRA	19016011	Arixtra	RxNorm
ARNICAN	43127601	ARNICAN	RxNorm Extension
AROMASIN	19100386	Aromasin	RxNorm
AROPAX	43252272	Aropax	RxNorm Extension
ARTANE	19020403	Artane	RxNorm
ARTELAC	21017419	Artelac	RxNorm Extension
ARTHROTEC	19125399	Arthrotec	RxNorm
ASACOL	19038871	Asacol	RxNorm
ASPEGIC	21015470	Aspegic	RxNorm Extension
ASPEGIC IMPEXECO	21015470	Aspegic	RxNorm Extension
ASPRO	43127635	ASPRO	RxNorm Extension
ATACAND	19055329	Atacand	RxNorm
ATACAND PLUS	43565884	Atacand Plus	RxNorm Extension
ATARAX	19039137	Atarax	RxNorm
ATENOLOL EG	43127643	ATENOLOL EG	RxNorm Extension
ATENOLOL MYLAN	43127645	ATENOLOL MYLAN	RxNorm Extension
ATENOLOL RATIOPHARM	40800721	Atenolol Ratiopharm	RxNorm Extension
ATENOLOL SANDOZ	43127648	ATENOLOL SANDOZ	RxNorm Extension
ATENOLOL TEVA	43127650	ATENOLOL TEVA	RxNorm Extension
ATORVASTATINE MYLAN	43127669	ATORVASTATINE MYLAN	RxNorm Extension
ATORVASTATINE PFIZER	35406573	ATORVASTATINE PFIZER	RxNorm Extension
ATOZET	43252293	Atozet	RxNorm Extension
ATRIPLA	19091076	Atripla	RxNorm
ATROPINE SULFATE AGUETTANT	43126089	ATROPINE SULFATE AGUETTANT	RxNorm Extension
ATROVENT	19020409	Atrovent	RxNorm
AUBAGIO	42898635	Aubagio	RxNorm
AUGMENTIN	19020435	Augmentin	RxNorm
AURORIX	43252321	Aurorix	RxNorm Extension
AVAMYS	21015270	Avamys	RxNorm Extension
AVANDAMET	19098518	Avandamet	RxNorm
AVANDIA	19099243	Avandia	RxNorm
AVELOX	19099247	Avelox	RxNorm
AVODART	19031908	Avodart	RxNorm
AVODART IMPEXECO	19031908	Avodart	RxNorm
AVONEX	19023492	Avonex	RxNorm
AZACTAM	19042986	Azactam	RxNorm
AZARGA	21015581	Azarga	RxNorm Extension
AZARON	43565908	Azaron	RxNorm Extension
AZATHIOPRINE MYLAN	43126112	AZATHIOPRINE MYLAN	RxNorm Extension
AZATHIOPRINE SANDOZ	40801366	Azathioprine Sandoz	RxNorm Extension
AZELASTIN COMOD	40801368	Azelastin Comod	RxNorm Extension
AZELASTIN POS	40801369	Azelastin Pos	RxNorm Extension
AZILECT	19089083	Azilect	RxNorm
AZITHROMYCINE EG	43126117	AZITHROMYCINE EG	RxNorm Extension
AZITHROMYCINE MYLAN	43126121	AZITHROMYCINE MYLAN	RxNorm Extension
AZITHROMYCINE SANDOZ	43126127	AZITHROMYCINE SANDOZ	RxNorm Extension
AZITHROMYCINE TEVA	43126128	AZITHROMYCINE TEVA	RxNorm Extension
AZOPT	19038057	Azopt	RxNorm
BACTISUBTIL	40801344	Bactisubtil	RxNorm Extension
BACTRIM	19020462	Bactrim	RxNorm
BACTRIM	43126138	BACTRIM	RxNorm Extension
BACTROBAN	19088920	Bactroban	RxNorm
BALDRIPARAN	40801559	Baldriparan	RxNorm Extension
BARACLUDE	19080288	Baraclude	RxNorm
BAYPRESS	43126154	BAYPRESS	RxNorm Extension
BECOTIDE	21018623	Becotide	RxNorm Extension
BECOZYME	43126163	BECOZYME	RxNorm Extension
BELSAR	40801271	Belsar	RxNorm Extension
BENEFIX	19000470	BeneFIX	RxNorm
BENEPALI	21016452	Benepali	RxNorm Extension
BENERVA	19013637	Benerva	RxNorm
BENYLIN	19021082	Benylin	RxNorm
BENZAC	19056269	Benzac	RxNorm
BENZAC	44014344	Benzac	RxNorm Extension
BENZAMYCIN	19012719	Benzamycin	RxNorm
BEPANTHENE	43126181	BEPANTHENE	RxNorm Extension
BEROTEC	21015513	Berotec	RxNorm Extension
BETAFERON	19016049	Betaferon	RxNorm
BETAGAN	19021084	Betagan	RxNorm
BETAHISTINE EG	43126196	BETAHISTINE EG	RxNorm Extension
BETAHISTINE MYLAN	43126197	BETAHISTINE MYLAN	RxNorm Extension
BETAHISTINE SANDOZ	43126202	BETAHISTINE SANDOZ	RxNorm Extension
BETAHISTINE TEVA	43126203	BETAHISTINE TEVA	RxNorm Extension
BETASERC	43126213	BETASERC	RxNorm Extension
BETMIGA	21019070	Betmiga	RxNorm Extension
BETNESOL	19112543	Betnesol	RxNorm
BETOPTIC	19042027	Betoptic	RxNorm
BEXSERO	45892096	Bexsero	RxNorm
BEXTRA	19016198	Bextra	RxNorm
BICALUTAMIDE EG	43126235	BICALUTAMIDE EG	RxNorm Extension
BICALUTAMIDE SANDOZ	43126246	BICALUTAMIDE SANDOZ	RxNorm Extension
BICLAR	40801322	Biclar	RxNorm Extension
BIFITERAL	21016189	Bifiteral	RxNorm Extension
BIOFENAC	40802211	Biofenac	RxNorm Extension
BIOFENAC IMPEXECO	40802211	Biofenac	RxNorm Extension
BIOGAZE	43126268	BIOGAZE	RxNorm Extension
BIPRETERAX	43126278	BIPRETERAX	RxNorm Extension
BISOLAX	19056785	Bisolax	RxNorm
BISOLVON	19069169	Bisolvon	RxNorm
BISOPROLOL EG	43126293	BISOPROLOL EG	RxNorm Extension
BISOPROLOL EG IMPEXECO	43126293	BISOPROLOL EG	RxNorm Extension
BISOPROLOL MYLAN	43126296	BISOPROLOL MYLAN	RxNorm Extension
BISOPROLOL RATIOPHARM	43126300	BISOPROLOL RATIOPHARM	RxNorm Extension
BISOPROLOL SANDOZ	43126302	BISOPROLOL SANDOZ	RxNorm Extension
BISOPROLOL TEVA	43126303	BISOPROLOL TEVA	RxNorm Extension
BLEOMYCINE	19114492	Bleomycine	RxNorm
BLEOMYCINE TEVA	43126320	BLEOMYCINE TEVA	RxNorm Extension
BLOCADREN	19029302	Blocadren	RxNorm
BOCOUTURE	21018529	Bocouture	RxNorm Extension
BONDRONAT	21014332	Bondronat	RxNorm Extension
BONEFOS	21014869	Bonefos	RxNorm Extension
BONVIVA	21014585	Bonviva	RxNorm Extension
BOOSTRIX	19079703	Boostrix	RxNorm
BOROSTYROL	43126332	BOROSTYROL	RxNorm Extension
BOTOX	19045570	Botox	RxNorm
BRAUNOL	43564389	Braunol	RxNorm Extension
BREVOXYL	19056868	Brevoxyl	RxNorm
BRICANYL	19021117	Bricanyl	RxNorm
BRILIQUE	21014549	Brilique	RxNorm Extension
BRIMONIDINE MYLAN	43126339	BRIMONIDINE MYLAN	RxNorm Extension
BROMAZEPAM EG	43126347	BROMAZEPAM EG	RxNorm Extension
BROMAZEPAM MYLAN	43126349	BROMAZEPAM MYLAN	RxNorm Extension
BROMAZEPAM RATIOPHARM	43126351	BROMAZEPAM RATIOPHARM	RxNorm Extension
BROMAZEPAM SANDOZ	43126352	BROMAZEPAM SANDOZ	RxNorm Extension
BROMAZEPAM TEVA	43126353	BROMAZEPAM TEVA	RxNorm Extension
BRONCHOSTOP	40801695	Bronchostop	RxNorm Extension
BRUFEN	19026302	Brufen	RxNorm
BRUFEN RETARD	19013699	Brufen Retard	RxNorm
BUCCOLAM	21015066	Buccolam	RxNorm Extension
BUDENOFALK	21017078	Budenofalk	RxNorm Extension
BUDESONIDE TEVA	43126389	BUDESONIDE TEVA	RxNorm Extension
BUSCOPAN	19026930	Buscopan	RxNorm
BUSPAR	19024100	Buspar	RxNorm
BYDUREON	42705841	Bydureon	RxNorm
BYETTA	19083252	Byetta	RxNorm
CABERGOLINE TEVA	43126479	CABERGOLINE TEVA	RxNorm Extension
CACIT	21018412	Cacit	RxNorm Extension
CAELYX	19026958	Caelyx	RxNorm
CAFERGOT	19040432	Cafergot	RxNorm
CALADRYL	19057538	Caladryl	RxNorm
CALCIPOTRIOL SANDOZ	43564648	Calcipotriol Sandoz	RxNorm Extension
CALMURID	21019052	Calmurid	RxNorm Extension
CALSYNAR	19013817	Calsynar	RxNorm
CAMCOLIT	21014955	Camcolit	RxNorm Extension
CAMPRAL	19082216	Campral	RxNorm
CANDESARTAN EG	43126521	CANDESARTAN EG	RxNorm Extension
CANDESARTAN KRKA	43126523	CANDESARTAN KRKA	RxNorm Extension
CANDESARTAN MYLAN	43126524	CANDESARTAN MYLAN	RxNorm Extension
CANDESARTAN SANDOZ	43126527	CANDESARTAN SANDOZ	RxNorm Extension
CANDESARTAN TEVA	43126528	CANDESARTAN TEVA	RxNorm Extension
CANTABILINE	43126547	CANTABILINE	RxNorm Extension
CAPOTEN	19021167	Capoten	RxNorm
CAPTAGON	40802765	Captagon	RxNorm Extension
CAPTOPRIL EG	43126748	CAPTOPRIL EG	RxNorm Extension
CAPTOPRIL MYLAN	43126751	CAPTOPRIL MYLAN	RxNorm Extension
CAPTOPRIL SANDOZ	43126753	CAPTOPRIL SANDOZ	RxNorm Extension
CAPTOPRIL TEVA	43126754	CAPTOPRIL TEVA	RxNorm Extension
CARBAMAZEPINE MYLAN	43126767	CARBAMAZEPINE MYLAN	RxNorm Extension
CARBOPLATINE HOSPIRA	43126788	CARBOPLATINE HOSPIRA	RxNorm Extension
CARTEOL	43126805	CARTEOL	RxNorm Extension
CARVEDILOL EG	43126809	CARVEDILOL EG	RxNorm Extension
CARVEDILOL MYLAN	43126810	CARVEDILOL MYLAN	RxNorm Extension
CARVEDILOL RATIOPHARM	40802620	Carvedilol Ratiopharm	RxNorm Extension
CARVEDILOL SANDOZ	43568245	Carvedilol Sandoz	RxNorm Extension
CARVEDILOL TEVA	43126812	CARVEDILOL TEVA	RxNorm Extension
CASODEX	19021244	Casodex	RxNorm
CATAFLAM	19058062	Cataflam	RxNorm
CAVERJECT	19059344	Caverject	RxNorm
CECLOR	19047376	Ceclor	RxNorm
CEDOCARD	19013263	Cedocard	RxNorm
CEDUR	43568373	Cedur	RxNorm Extension
CEFADROXIL MYLAN	43126827	CEFADROXIL MYLAN	RxNorm Extension
CEFADROXIL SANDOZ	43127241	CEFADROXIL SANDOZ	RxNorm Extension
CEFAZOLINE MYLAN	43127246	CEFAZOLINE MYLAN	RxNorm Extension
CEFOTAXIM SANDOZ	40802573	Cefotaxim Sandoz	RxNorm Extension
CEFROM	19013845	Cefrom	RxNorm
CEFTAZIDIME SANDOZ	43127308	CEFTAZIDIME SANDOZ	RxNorm Extension
CEFTRIAXONE MYLAN	43127322	CEFTRIAXONE MYLAN	RxNorm Extension
CEFTRIAXONE SANDOZ	43127326	CEFTRIAXONE SANDOZ	RxNorm Extension
CEFUROXIME EG	43127335	CEFUROXIME EG	RxNorm Extension
CELEBREX	19058153	Celebrex	RxNorm
CELECOXIB EG	43126568	CELECOXIB EG	RxNorm Extension
CELECOXIB SANDOZ	43126573	CELECOXIB SANDOZ	RxNorm Extension
CELECOXIB TEVA	43126574	CELECOXIB TEVA	RxNorm Extension
CELESTONE	19047752	Celestone	RxNorm
CELIPROLOL MYLAN	43126589	CELIPROLOL MYLAN	RxNorm Extension
CELLCEPT	19023134	Cellcept	RxNorm
CELLTOP	43126597	CELLTOP	RxNorm Extension
CELSENTRI	21015218	Celsentri	RxNorm Extension
CEPHYL	43126600	CEPHYL	RxNorm Extension
CEPOREX	21016230	Ceporex	RxNorm Extension
CERNEVIT	21017815	Cernevit	RxNorm Extension
CERTICAN	21018066	Certican	RxNorm Extension
CERUBIDINE	19047286	Cerubidine	RxNorm
CERVARIX	40167005	Cervarix	RxNorm
CETAPRED	19058229	Cetapred	RxNorm
CETAVLEX	19052991	Cetavlex	RxNorm
CETIRIZINE EG	43126615	CETIRIZINE EG	RxNorm Extension
CETIRIZINE MYLAN	43126618	CETIRIZINE MYLAN	RxNorm Extension
CETIRIZINE RATIOPHARM	43126623	CETIRIZINE RATIOPHARM	RxNorm Extension
CETIRIZINE SANDOZ	43126626	CETIRIZINE SANDOZ	RxNorm Extension
CETIRIZINE TEVA	43126628	CETIRIZINE TEVA	RxNorm Extension
CETROTIDE	19005328	Cetrotide	RxNorm
CHAMPIX	21016858	Champix	RxNorm Extension
CHENOFALK	19013850	Chenofalk	RxNorm
CHIROCAINE	19099286	Chirocaine	RxNorm
CHOLSTAT	43252478	Cholstat	RxNorm Extension
CHORAGON	19016994	Choragon	RxNorm
CIALIS	19011057	Cialis	RxNorm
CIBACEN	43566901	Cibacen	RxNorm Extension
CILEST	21015504	Cilest	RxNorm Extension
CILOXAN	19047252	Ciloxan	RxNorm
CIMETIDINE TEVA	43127069	CIMETIDINE TEVA	RxNorm Extension
CIMZIA	19027573	Cimzia	RxNorm
CIPRALAN	43127071	CIPRALAN	RxNorm Extension
CIPRAMIL	19013874	Cipramil	RxNorm
CIPRAMIL IMPEXECO	19013874	Cipramil	RxNorm
CIPROFIBRATE MYLAN	43127074	CIPROFIBRATE MYLAN	RxNorm Extension
CIPROFLOXACINE EG	43127087	CIPROFLOXACINE EG	RxNorm Extension
CIPROFLOXACINE MYLAN	43127091	CIPROFLOXACINE MYLAN	RxNorm Extension
CIPROFLOXACINE PFIZER	43127095	CIPROFLOXACINE PFIZER	RxNorm Extension
CIPROFLOXACINE RANBAXY	43127098	CIPROFLOXACINE RANBAXY	RxNorm Extension
CIPROFLOXACINE RATIOPHARM	43127099	CIPROFLOXACINE RATIOPHARM	RxNorm Extension
CIPROFLOXACINE SANDOZ	43127100	CIPROFLOXACINE SANDOZ	RxNorm Extension
CIPROFLOXACINE TEVA	43127101	CIPROFLOXACINE TEVA	RxNorm Extension
CIRCADIN	21014196	Circadin	RxNorm Extension
CIRCLET	43568117	Circlet	RxNorm Extension
CITALOPRAM ACTAVIS	43127114	CITALOPRAM ACTAVIS	RxNorm Extension
CITALOPRAM EG	43127121	CITALOPRAM EG	RxNorm Extension
CITALOPRAM MYLAN	43127126	CITALOPRAM MYLAN	RxNorm Extension
CITALOPRAM RATIOPHARM	40803046	Citalopram Ratiopharm	RxNorm Extension
CITALOPRAM SANDOZ	43127129	CITALOPRAM SANDOZ	RxNorm Extension
CITALOPRAM TEVA	43127130	CITALOPRAM TEVA	RxNorm Extension
CITANEST	19021279	Citanest	RxNorm
CITRAFLEET	21018969	CitraFleet	RxNorm Extension
CLAFORAN	19047255	Claforan	RxNorm
CLAMOXYL	43127148	CLAMOXYL	RxNorm Extension
CLARAMID	43127152	CLARAMID	RxNorm Extension
CLARELUX	21015124	Clarelux	RxNorm Extension
CLARITHROMYCINE EG	43126924	CLARITHROMYCINE EG	RxNorm Extension
CLARITHROMYCINE MYLAN	43126926	CLARITHROMYCINE MYLAN	RxNorm Extension
CLARITHROMYCINE RATIOPHARM	43126931	CLARITHROMYCINE RATIOPHARM	RxNorm Extension
CLARITHROMYCINE SANDOZ	43126932	CLARITHROMYCINE SANDOZ	RxNorm Extension
CLARITHROMYCINE TEVA	43126933	CLARITHROMYCINE TEVA	RxNorm Extension
CLARIX	35406660	CLARIX	RxNorm Extension
CLAVERSAL	43568433	Claversal	RxNorm Extension
CLEXANE	21014424	Clexane	RxNorm Extension
CLIMARA	19016299	Climara	RxNorm
CLIMEN	21014895	Climen	RxNorm Extension
CLINDAMYCIN SANDOZ	43568540	Clindamycin Sandoz	RxNorm Extension
CLINORIL	19021281	Clinoril	RxNorm
CLIPPER	21015175	Clipper	RxNorm Extension
CLOBEX	19045996	Clobex	RxNorm
CLOMID	19021284	Clomid	RxNorm
CLOPIDOGREL EG	43126965	CLOPIDOGREL EG	RxNorm Extension
CLOPIDOGREL KRKA	43126968	CLOPIDOGREL KRKA	RxNorm Extension
CLOPIDOGREL MYLAN	43126969	CLOPIDOGREL MYLAN	RxNorm Extension
CLOPIDOGREL RATIOPHARM	40804028	Clopidogrel Ratiopharm	RxNorm Extension
CLOPIDOGREL TEVA	43126977	CLOPIDOGREL TEVA	RxNorm Extension
CLOPIDOGREL ZENTIVA	43126980	CLOPIDOGREL ZENTIVA	RxNorm Extension
CLOPIXOL	19026952	Clopixol	RxNorm
CLOPIXOL	43126983	CLOPIXOL	RxNorm Extension
CO RENITEC	43126991	CO RENITEC	RxNorm Extension
COAPROVEL	21018346	CoAprovel	RxNorm Extension
COLCHICINE OPOCALCIUM	43127003	COLCHICINE OPOCALCIUM	RxNorm Extension
COLESTID	19021323	Colestid	RxNorm
COLIFOAM	21018341	Colifoam	RxNorm Extension
COLIMYCINE	43126395	COLIMYCINE	RxNorm Extension
COLLUDOL	43126397	COLLUDOL	RxNorm Extension
COLOBREATHE	21014266	Colobreathe	RxNorm Extension
COLOPEG	43126402	COLOPEG	RxNorm Extension
COMBIGAN	19020934	Combigan	RxNorm
COMBIVENT	19021326	Combivent	RxNorm
COMBIVIR	19037444	Combivir	RxNorm
COMBIZYM	40803940	Combizym	RxNorm Extension
COMBODART	21015958	Combodart	RxNorm Extension
COMPLAMIN	44016656	Complamin	RxNorm Extension
COMTAN	19100401	Comtan	RxNorm
CONCERTA	19005361	Concerta	RxNorm
CONSTELLA	21016526	Constella	RxNorm Extension
CONTRAMAL	43126416	CONTRAMAL	RxNorm Extension
CONTRAMAL IMPEXECO	43126416	CONTRAMAL	RxNorm Extension
CONVULEX	19013902	Convulex	RxNorm
COPAXONE	19016114	Copaxone	RxNorm
COPEGUS	19032373	Copegus	RxNorm
CORBILTA	35406589	CORBILTA	RxNorm Extension
CORDARONE	19047290	Cordarone	RxNorm
CORGARD	19021328	Corgard	RxNorm
CORSODYL	19013904	Corsodyl	RxNorm
CORVATON	43568559	Corvaton	RxNorm Extension
COSENTYX	45892887	Cosentyx	RxNorm
COSOPT	19059723	Cosopt	RxNorm
COVERAM	43126443	COVERAM	RxNorm Extension
COVERAM IMPEXECO	43126443	COVERAM	RxNorm Extension
COVERSYL	19018706	Coversyl	RxNorm
COVERSYL IMPEXECO	19018706	Coversyl	RxNorm
COZAAR	19021364	Cozaar	RxNorm
COZAAR IMPEXECO	19021364	Cozaar	RxNorm
CREON	19060531	Creon	RxNorm
CRESTOR	19015844	Crestor	RxNorm
CRESTOR IMPEXECO	19015844	Crestor	RxNorm
CRINONE	19023581	Crinone	RxNorm
CRIXIVAN	19047348	Crixivan	RxNorm
CROMABAK	43126452	CROMABAK	RxNorm Extension
CRYSTACIDE	19016731	Crystacide	RxNorm
CURATODERM	19053303	Curatoderm	RxNorm
CUTIVATE	19011750	Cutivate	RxNorm
CYCLOGYL	19009720	Cyclogyl	RxNorm
CYCLOSPASMOL	19097142	Cyclospasmol	RxNorm
CYMBALTA	19060281	Cymbalta	RxNorm
CYMEVENE	19013942	Cymevene	RxNorm
CYTOSAR	19021391	Cytosar	RxNorm
CYTOTEC	19021395	Cytotec	RxNorm
