concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
"Therapeutic percutaneous puncture of a joint ankle"		"OPS"			"8-158.k"			
"Removal of diseased tissue of skin and subcutaneous tissue without anesthesia (as part of a dressing change) in the presence of a wound other"		"OPS"			"8-192.x"			
"Revision of a stapedectomy, With implantation of an autogenous prosthesis (e.g. according to Schuknecht)"		"OPS"			"5-192.11"			
"Corneal transplantation and keratoprosthetics other"		"OPS"			"5-125.x"			
"Tympanoplasty with creation of an ear radical cavity"		"OPS"			"5-195.c"			
"Biopsy of bone by incision"		"OPS"			"1-503"			
"Excision and destruction of diseased tissue of the outer ear, NOS"		"OPS"			"5-181.y"			
"Biopsy in other male sex organs by incision spermatic cord"		"OPS"			"1-569.3"			
"Fenestration of the promotorium other"		"OPS"			"5-198.x"			
"Olfactometry and Gustometrie"		"OPS"			"1-247"			
"Closed reduction of joint dislocation without internal fixationtemporomandibular joint"		"OPS"			"8-201.s"			
"Other operations on the cornea not otherwise specified"		"OPS"			"5-129.y"			
"Foreign body removal without incision perianal"		"OPS"			"8-101.a"			
"Foreign body removal from the skin without incision"		"OPS"			"8-102"			
"Excision and destruction of diseased tissue of the iris, ciliary body and sclera other"		"OPS"			"5-135.x"			
"orbitotomy Lateral transosseous access"		"OPS"			"5-160.0"			
"neurography"		"OPS"			"1-206"			
"Biopsy of gallbladder and bile ducts by incision bile ducts"		"OPS"			"1-552.1"			
"Endoscopic biopsy at the lower digestive tract Not otherwise specified"		"OPS"			"1-444.y"			
"diagnostic arthroscopy wrist"		"OPS"			"1-697.3"			
"Biopsy of lymph nodes by incision other"		"OPS"			"1-586.x"			
"Therapeutic percutaneous puncture of male sex organs spermatocele"		"OPS"			"8-156.1"			
"Removal of the eyeball [enucleation], Bulb placeholder made of non-resorbable, microporous material, with fibrovascular integration, with titanium mesh"		"OPS"			"5-163.14"			
"Removal of a foreign body from orbit and eyeball not otherwise specified"		"OPS"			"5-161"			
"Therapeutic lavage (lavage) of the lung and the pleural cavity 8 to 14 rinses"		"OPS"			"8-173.11"			
"Destruction of diseased tissue in the retina and choroid Gamma bright"		"OPS"			"5-155.81"			
"Biopsy without incision of conjunctiva and cornea conjunctiva"		"OPS"			"1-413.0"			
"Electroencephalography [EEG] Video-EEG (10/20 electrodes)"		"OPS"			"1-207.2"			
"diagnostic ureterorenoscopy"		"OPS"			"1-665"			
"Therapeutic percutaneous puncture of a joint carpometacarpal joint"		"OPS"			"8-158.b"			
"Foreign body removal from the skin without incision lip"		"OPS"			"8-102.0"			
"Biopsy on joints and bursae by incision elbow joint"		"OPS"			"1-504.2"			
"Biopsy of other female sex organs by incision"		"OPS"			"1-579"			
"Other therapeutic catheterization and insert cannula other"		"OPS"			"8-149.x"			
"Biopsy without incision on pharynx"		"OPS"			"1-422"			
"Production and adaptation of facial prostheses with implant fixation Orbita"		"OPS"			"8-221.1"			
"Instrumental 3D function analysis of the spine"		"OPS"			"1-799"			
"Video head impulse test"		"OPS"			"1-20a.31"			
"Preparation and adjustment of facial prostheses with adhesive or glasses fixation other"		"OPS"			"8-220.x"			
"Surgical removal of a foreign body from the conjunctiva"		"OPS"			"5-110"			
"Excision and destruction of (diseased) tissue of the cornea other"		"OPS"			"5-123.x"			
"Revision, bills and removal of a cerclage or seal that has been created for the fixation of the retina revision"		"OPS"			"5-153.0"			
"Other operations on the straight eye muscles Operation with adjustable threads"		"OPS"			"5-10e.4"			
"Removal of the eyeball [enucleation]"		"OPS"			"5-163"			
"Biopsy of other urinary organs by incision bladder"		"OPS"			"1-562.2"			
"Electrophysiological examination of the heart catheter-based, In intraventricular conduction disorders (fascicular blocks)"		"OPS"			"1-265.3"			
"Therapeutic lavage of the abdominal cavity in case of laying drainage and temporary abdominal closure"		"OPS"			"8-176"			
"Lowering of intraocular pressure by filtering operations trabeculotomy"		"OPS"			"5-131.7"			
"Removal of the eyeball [enucleation], Bulb placeholder made of non-resorbable, microporous material, with fibrovascular integration, without titanium mesh"		"OPS"			"5-163.13"			
"Operations for pterygium other"		"OPS"			"5-122.x"			
"Revision of a stapedectomy, With implantation of an alloplastic prosthesis (e.g. Piston)"		"OPS"			"5-192.12"			
"Biopsy of bone by incision Tarsal, metatarsal and phalanges foot"		"OPS"			"1-503.8"			
"Other diagnostic catheterization to heart and blood vessels Densitometry of the ventricle"		"OPS"			"1-279.2"			
"Corneal transplantation and keratoprosthetics Without biological coating, not individual patient"		"OPS"			"5-125.40"			
"Extracorporeal shock wave lithotripsy [ESWL] of stones in the gallbladder and bile ducts gallbladder"		"OPS"			"8-111.0"			
"Biopsy on joints and bursae by incision wrist"		"OPS"			"1-504.3"			
"Conjunctivoplasty"		"OPS"			"5-113"			
"Transseptal left heart catheterization other"		"OPS"			"1-274.x"			
"Biopsy of muscles and soft tissues by incision not otherwise specified"		"OPS"			"1-502.y"			
"Preparation and adjustment of facial prostheses with adhesive or glasses fixation nose"		"OPS"			"8-220.2"			
"Biopsy without incision of the mouth and oral cavity palate"		"OPS"			"1-420.2"			
"Percutaneous (needle) biopsy of urinary organs and male sex organs scrotum"		"OPS"			"1-463.8"			
"diagnostic esophagogastroduodenoscopy other"		"OPS"			"1-632.x"			
"Closed reduction of fracture without internal fixation Scapula and clavicle"		"OPS"			"8-200.0"			
"Chromoendoscopy the upper digestive tract"		"OPS"			"1-63b"			
"diagnostic Tracheobronchoscopy Without further measures,"		"OPS"			"1-620.10"			
"Endosonographic biopsy of endocrine organs"		"OPS"			"1-408"			
"Therapeutic percutaneous puncture of urinary organs bladder"		"OPS"			"8-155.2"			
"Reduce intraocular pressure by operations on the ciliary body by cyclophotocoagulation, endoscopically"		"OPS"			"5-132.21"			
"diagnostic Tracheobronchoscopy With bronchoalveolar lavage"		"OPS"			"1-620.01"			
"Therapeutic drainage of organs of the abdominal cavity other"		"OPS"			"8-146.x"			
"Revision of a stapedectomy, With reopening of the oval window"		"OPS"			"5-192.1"			
"Evaluation of swallowing with flexible endoscope"		"OPS"			"1-613"			
"Therapeutic lavage of the abdominal cavity in case of laying drainage and temporary abdominal closure At the open abdomen (dorsoventral lavage)"		"OPS"			"8-176.2"			
"Association for large-scale and serious skin diseases 4,500 cm² or more of the body surface"		"OPS"			"8-191.79"			
"Percutaneous biopsy on respiratory organs with control by imaging techniques by fine needle aspiration"		"OPS"			"1-432.00"			
"Percutaneous biopsy on endocrine organs with control by imaging techniques parathyroid"		"OPS"			"1-407.3"			
"Pars plana vitrectomy Without surgical manipulation of the retina"		"OPS"			"5-158.1"			
"Foreign body removal by endoscopy other"		"OPS"			"8-100.3x"			
"Biopsy of breast, bone and muscle by incision"		"OPS"			"1-50"			
"Percutaneous (needle) biopsy of endocrine organs thyroid"		"OPS"			"1-406.2"			
"Angiokardiographie as an independent measure other"		"OPS"			"1-276.x"			
"Biopsy on joints and bursae by incision hip joint"		"OPS"			"1-504.6"			
"Therapeutic percutaneous puncture of a joint Ulnokarpalgelenk"		"OPS"			"8-158.9"			
"Secondary insertion of an orbital implant outside the Tenon capsule, Bulb placeholder made of non-absorbable, microporous material with fibrovascular integration without titanium mesh"		"OPS"			"5-165.13"			
"Biopsy on peripheral nerves by incision nervous shoulder"		"OPS"			"1-513.2"			
"Percutaneous (needle) biopsy of respiratory organs other"		"OPS"			"1-431.x"			
"Therapeutic percutaneous puncture of organs of thorax not otherwise specified"		"OPS"			"8-152.y"			
"Registration of evoked potentials Early-acoustic [ABR / ABR]"		"OPS"			"1-208.1"			
"Reduce intraocular pressure by operations on the ciliary body, Cyclocryotherapy"		"OPS"			"5-132.1"			
"Electrophysiological examination of the heart, not catheter-based Tilt table examination for evaluation of syncope"		"OPS"			"1-266.2"			
"urodynamic investigation Urodynamic investigation with simultaneous application of electrophysiological methods"		"OPS"			"1-334.0"			
"Therapeutic drainage of other organs and tissues peritoneal"		"OPS"			"8-148.0"			
"Plastic reconstruction of the entire auricle, With galea flap"		"OPS"			"5-187.1"			
"Excision and destruction of (diseased) tissues of the conjunctiva Excision without plastic"		"OPS"			"5-112.1"			
"provocation testing"		"OPS"			"1-70"			
"(Percutaneous) (needle) biopsy of female sex organs Not otherwise specified"		"OPS"			"1-470.y"			
"Biopsy of the small intestine by incision"		"OPS"			"1-555"			
"Secondary insertion of an orbital implant outside the Tenon capsule, other"		"OPS"			"5-165.1x"			
"Transseptal left heart catheterization Pressure measurement with measurement of the shunt flow"		"OPS"			"1-274.2"			
"Metabolic function examination"		"OPS"			"1-76"			
"Invasive diagnostics of the nervous system other"		"OPS"			"1-203.x"			
"Transurethral biopsy of urinary organs and prostate"		"OPS"			"1-460"			
"Biopsy of muscles and soft tissues by incision foot"		"OPS"			"1-502.7"			
"Construction and reconstruction of the external auditory canal"		"OPS"			"5-185"			
"Special dressing techniques 15 to 21 days"		"OPS"			"8-190.32"			
"Tympanoplasty with atticotomy or atticoantrotomy, other"		"OPS"			"5-195.ax"			
"Transseptal left heart catheterization Not otherwise specified"		"OPS"			"1-274.y"			
"Other diagnostic endoscopy by puncture, incision and intraoperatively Amnioscopy"		"OPS"			"1-699.2"			
"Other operations on the oblique muscles not otherwise specified"		"OPS"			"5-10j.y"			
"Biopsy the diaphragm by incision"		"OPS"			"1-550"			
"Foreign body removal without incision other"		"OPS"			"8-101.x"			
"Special dressing techniques 15 to 21 days"		"OPS"			"8-190.22"			
"Biopsy without incision on the nose Nose interior"		"OPS"			"1-414.0"			
"Endoscopic biopsy of the upper digestive tract, bile ducts and pancreas pancreas"		"OPS"			"1-440.8"			
"Biopsy of intracranial tissue through the incision and trepanation of the skull bones Intracranial parts of cranial nerves and ganglia"		"OPS"			"1-510.4"			
"Reconstruction of the orbital wall, With microvascular flap"		"OPS"			"5-167.4"			
"Removal of diseased tissue of skin and subcutaneous tissue without anesthesia (as part of a dressing change) in the presence of a wound Closed reduction of fracture and joint dislocation without internal fixation"		"OPS"			"8-20"			
"Lowering of intraocular pressure by filtering operations other"		"OPS"			"5-131.0x"			
"Closed reduction of joint dislocation without internal fixation distal radio-ulnar joint"		"OPS"			"8-201.6"			
"diagnostic Tracheobronchoscopy With flexible instrument"		"OPS"			"1-620.0"			
"Diagnostic direct endoscopy of the pancreatic duct [ductal endoscopy] [POPS]"		"OPS"			"1-644"			
"(Percutaneous) biopsy of lymph nodes, spleen and thymus with control by imaging techniques Biopsy without incision of the respiratory organs"		"OPS"			"1-43"			
"Closed reduction of joint dislocation without internal fixation, other"		"OPS"			"8-201.x"			
"Lowering of intraocular pressure by filtering operations Covered goniotrepanation or trabeculectomy"		"OPS"			"5-131.0"			
"Invasive intraoperative diagnosis of epilepsy other"		"OPS"			"1-212.x"			
"Foreign body removal by endoscopy by urethrocystoscopy"		"OPS"			"8-100.b"			
"Other operations on the cornea"		"OPS"			"5-129"			
"Excision and destruction of (diseased) tissue of the cornea by laser photocoagulation"		"OPS"			"5-123.01"			
"Percutaneous (needle) biopsy system, and pancreas hepatobiliärem gallbladder"		"OPS"			"1-441.1"			
"Therapeutic lavage (lavage) of the eye lacrimal"		"OPS"			"8-170.1"			
"Endoscopic biopsy at the lower digestive tract stages biopsy"		"OPS"			"1-444.6"			
"Exenteration of the orbita with preservation of the eyelid skin, With Transplantation / transposition of other tissues"		"OPS"			"5-164.32"			
"Stereotactic biopsy of pituitary and pineal"		"OPS"			"1-515"			
"Diagnostic endoscopy of the lacrimal ducts"		"OPS"			"1-681"			
"Revision and removal of a lens alloplastic Removal of an anterior chamber lens"		"OPS"			"5-147.2"			
"Therapeutic purging of a joint Thorakoskapulargelenk (space)"		"OPS"			"8-178.2"			
"High-resolution electroencephalography [hdEEG] Not otherwise specified"		"OPS"			"1-20d.y"			
"Operations on the sclera other"		"OPS"			"5-138.1x"			
"Other diagnostic catheterization to heart and blood vessels In the three-dimensional system"		"OPS"			"1-279.50"			
"Insert, change and removal of a ureteral stent [Ureteral] About a stoma"		"OPS"			"8-137.12"			
"Electrophysiological examination of the heart catheter-based, In state after cardiovascular arrest"		"OPS"			"1-265.9"			
"Tympanoplasty with atticotomy or atticoantrotomy, With implantation of an alloplastic prosthesis"		"OPS"			"5-195.a2"			
"Revision, bills and removal of a cerclage or seal that has been created for the fixation of the retina change"		"OPS"			"5-153.1"			
"diagnostic Tracheobronchoscopy with Alveoloscopy"		"OPS"			"1-620.02"			
"Foreign body removal without incision From the cervix uteri"		"OPS"			"8-101.6"			
"Trans Arterial left heart catheterization Not otherwise specified"		"OPS"			"1-275.y"			
"Other operations on sclera, anterior chamber of the eye, the iris and ciliary body Excision of epithelial ingrowth"		"OPS"			"5-139.3"			
"Percutaneous biopsy on urinary organs and male sex organs with control by imaging techniques prostate"		"OPS"			"1-465.1"			
"Angiokardiographie as an independent measure right ventricle"		"OPS"			"1-276.20"			
"Investigation of cerebro spinal fluid system Measurement of the lumbar cerebrospinal fluid pressure"		"OPS"			"1-204.1"			
"Other operations on the choroid subretinal drainage"		"OPS"			"5-157.0"			
"Endoscopic biopsy respiratory organs Kryobiopsie"		"OPS"			"1-430.21"			
"Biopsy of intracranial tissue through the incision and trepanation of the skull bones dome"		"OPS"			"1-510.7"			
"Lowering of intraocular pressure by filtering operations other"		"OPS"			"5-131.x"			
"Biopsy of thyroid and parathyroid glands by incision parathyroid"		"OPS"			"1-582.1"			
"Therapeutic purging of a joint tarsometatarsal joint"		"OPS"			"8-178.p"			
"Biopsy in other parts of the eye through the incision Orbita"		"OPS"			"1-529.7"			
"Foreign body removal without incision On the surface, from the sclera"		"OPS"			"8-101.0"			
"Other outer ear surgery"		"OPS"			"5-189"			
"Tympanoplasty with antrotomy or mastoidectomy, other"		"OPS"			"5-195.bx"			
"urodynamic investigation Video urodynamics"		"OPS"			"1-334.2"			
"Transurethral biopsy of urinary organs and prostate other"		"OPS"			"1-460.x"			
"Therapeutic percutaneous puncture of urinary organs not otherwise specified"		"OPS"			"8-155.y"			
"Measurement of the functional residual capacity [FRC] with the helium dilution method"		"OPS"			"1-713"			
"Resection of the auricle, Total"		"OPS"			"5-182.2"			
"retroequatorial myopexia (Fadenoperation)"		"OPS"			"5-10c"			
"Corneal transplantation and keratoprosthetics Corneal transplant, perforating"		"OPS"			"5-125.1"			
"Biopsy of other intra-abdominal organs by incision spleen"		"OPS"			"1-585.0"			
"Endoscopic biopsy respiratory organs Biopsy snare resection"		"OPS"			"1-430.12"			
"Therapeutic percutaneous puncture of organs of the abdominal cavity spleen"		"OPS"			"8-154.0"			
"Biopsy of bone by incision Scapula, clavicle, sternum, ribs, and"		"OPS"			"1-503.0"			
"Stereotactic biopsy of intracranial tissue 1 to 5 sampling points"		"OPS"			"1-511.00"			
"diagnostic laryngoscopy microlaryngoscopy"		"OPS"			"1-610.2"			
"Electrophysiological examination of the heart, not catheter-based Not otherwise specified"		"OPS"			"1-266.y"			
"Diagnostic endoscopy by puncture, incision and intra-operatively to the central nervous system, others"		"OPS"			"1-698.x"			
"Other operations on the lens toric intraocular lens"		"OPS"			"5-149.21"			
"Other reconstruction of the outer ear"		"OPS"			"5-188"			
"diagnostic colonoscopy Total, with Ileoscopy"		"OPS"			"1-650.2"			
"Plastic reconstruction of the entire auricle"		"OPS"			"5-187"			
"Secondary reconstruction of the eyeball"		"OPS"			"5-166.2"			
"Diagnostic thoracoscopy and mediastinoscopy thoracoscopy"		"OPS"			"1-691.0"			
"Closed reduction of fracture or joint dislocation of the spine without internal fixation, other"		"OPS"			"8-202.x"			
"Operations on the sclera Removing a foreign body"		"OPS"			"5-138.0"			
"diagnostic Tracheobronchoscopy not otherwise specified"		"OPS"			"1-620.y"			
"Other operations on the cornea Coverage of the cornea by an amniotic membrane"		"OPS"			"5-129.2"			
"Multidimensional geriatric screening and minimum assessment"		"OPS"			"1-770"			
"Revision of a stapedectomy, Without re-opening the oval window"		"OPS"			"5-192.0"			
"Plastic reconstruction of the entire auricle, With microvascular flap"		"OPS"			"5-187.3"			
"Tympanoplasty Type II bis V, With implantation of an alloplastic prosthesis"		"OPS"			"5-195.92"			
"Other iridectomy and iridotomy Iridotomy with laser"		"OPS"			"5-136.1"			
"Debilitating operations on a straight eye muscle other"		"OPS"			"5-10b.x"			
"Biopsy on other parts of the ear by incision inner ear"		"OPS"			"1-532.1"			
"Plastic reconstruction of the entire auricle NOS"		"OPS"			"5-187.y"			
"Excision and destruction of (diseased) tissues of the conjunctiva other"		"OPS"			"5-112.x"			
"Plastic correction of protruding ears, By excision of soft tissue"		"OPS"			"5-184.1"			
"Special dressing techniques Continuous Sogbehandlung with pump system with a vacuum therapy after surgical wound closure (for the prophylaxis of complications)"		"OPS"			"8-190.4"			
"Reduce intraocular pressure by operations on the ciliary body by cyclophotocoagulation"		"OPS"			"5-132.2"			
"Electrophysiological examination of the heart catheter-based, Not otherwise specified"		"OPS"			"1-265.y"			
"Biopsy of intracranial tissue through the incision and trepanation of the skull bones Basal ganglia"		"OPS"			"1-510.1"			
"Other operations on the lens other"		"OPS"			"5-149.x"			
"Biopsy without incision on the larynx supraglottis"		"OPS"			"1-421.0"			
"(Percutaneous) (needle) biopsy of female sex organs ovary"		"OPS"			"1-470.0"			
"Other operations on conjunctiva not otherwise specified"		"OPS"			"5-119.y"			
"Diagnostic endoscopy of urinary diversion other"		"OPS"			"1-666.x"			
"Biopsy ovary, tuba (s) uterine (e), and ligaments of the uterus through incision ovary"		"OPS"			"1-570.0"			
"Endosonographic biopsy of endocrine organs Not otherwise specified"		"OPS"			"1-408.y"			
"Corneal transplantation and keratoprosthetics Exchange keratoplasty"		"OPS"			"5-125.3"			
"Registration of evoked potentials Motorized [MEP]"		"OPS"			"1-208.4"			
"Operations on the optic nerve, other"		"OPS"			"5-168.x"			
"Vitrectomy with other access and other operations on vitreous Removal of a Glaskörperprolapses"		"OPS"			"5-159.1"			
"Percutaneous biopsy on urinary organs and male sex organs with control by imaging techniques penis"		"OPS"			"1-465.3"			
"Transrectal biopsy at the male sex organs Suction biopsy of the prostate"		"OPS"			"1-464.1"			
"Biopsy ovary, tuba (s) uterine (e), and ligaments of the uterus through incision Ligaments of the uterus"		"OPS"			"1-570.2"			
"Registration of evoked potentials Cognitive [CEP]"		"OPS"			"1-208.7"			
"Syndrome diagnosis in complicated epilepsies"		"OPS"			"1-213"			
"Diagnostic endoscopy of urinary diversion Conduit"		"OPS"			"1-666.2"			
"Other operations on the lens Special type of intraocular lens"		"OPS"			"5-149.2"			
"Tympanoplasty Type II bis V, With implantation of an autogenous prosthesis (e.g. auto-ossicle)"		"OPS"			"5-195.91"			
"Foreign body removal from the skin without incision lower leg"		"OPS"			"8-102.9"			
"Revision and reconstruction of the orbita and eyeball, other"		"OPS"			"5-166.x"			
"Removal of a foreign body from orbit and eyeball not otherwise specified Eyeball, not otherwise specified, By incision"		"OPS"			"5-161.3"			
"Biopsy without incision on the facial skin"		"OPS"			"1-415"			
"Closed reduction of fracture without internal fixation"		"OPS"			"8-200"			
"pH-metry of the stomach Simple"		"OPS"			"1-317.0"			
"Percutaneous (needle) biopsy of peripheral nerves nervous leg"		"OPS"			"1-405.8"			
"Excision and destruction of (diseased) tissues of the conjunctiva Periektomie"		"OPS"			"5-112.4"			
"Biopsy of intracranial tissue through the incision and trepanation of the skull bones meninges"		"OPS"			"1-510.6"			
"Revision and removal of a lens alloplastic Removal of a posterior chamber lens"		"OPS"			"5-147.3"			
"Revision of a stapedectomy NOS"		"OPS"			"5-192.y"			
"Enhancing operations on a straight eye muscle other"		"OPS"			"5-10a.x"			
"diagnostic arthroscopy other"		"OPS"			"1-697.x"			
"Foreign body removal by endoscopy with cryoprobe"		"OPS"			"8-100.51"			
"Exchange and removal of a suprapubic catheter other"		"OPS"			"8-133.x"			
"Biopsy ovary, tuba (s) uterine (e), and ligaments of the uterus through incision Tuba (s) uterine (e)"		"OPS"			"1-570.1"			
"Incision of the cornea other"		"OPS"			"5-121.x"			
"Foreign body removal from the skin without incision Groin and genital region"		"OPS"			"8-102.4"			
"Pars plana vitrectomy netzhautabhebender with removal membranes"		"OPS"			"5-158.4"			
"Association for large-scale and serious skin diseases Occlusive dressing with an enzymatic debridement of burns"		"OPS"			"8-191.7"			
"Surgical removal of a foreign body from the anterior chamber"		"OPS"			"5-130"			
"Diagnostic intestinoscopy (endoscopy of the deep jejunum and ileum) By push-and-pull-back technique"		"OPS"			"1-636.1"			
"Biopsy in other male sex organs by incision Seminal vesicles"		"OPS"			"1-569.2"			
"Balloon Occlusion test of an artery"		"OPS"			"1-79a"			
"Extracorporeal shock wave lithotripsy [ESWL] of stones in the gallbladder and bile ducts not otherwise specified"		"OPS"			"8-111.y"			
"Destruction of diseased tissue in the retina and choroid by cryocoagulation"		"OPS"			"5-155.1"			
"Exchange and removal of a suprapubic catheter"		"OPS"			"8-133"			
"Change and removal of a Jejunostomiekatheters change"		"OPS"			"8-124.0"			
"Debilitating operations on a straight eye muscle Simple return transfer"		"OPS"			"5-10b.0"			
"Invasive diagnostics of the nervous system With stimulation electrodes, spinal"		"OPS"			"1-203.1"			
"Biopsy of other female sex organs by incision other"		"OPS"			"1-579.x"			
"Other operations on the retina Transplantation of the retina or retinal cells"		"OPS"			"5-156.2"			
"diagnostic Tracheobronchoscopy other"		"OPS"			"1-620.0x"			
"Therapeutic drainage of urinary organs other"		"OPS"			"8-147.x"			
"Therapeutic percutaneous puncture of a joint Joints spine and ribs"		"OPS"			"8-158.t"			
"Change and removal of a Nephrostomiekatheters not otherwise specified"		"OPS"			"8-138.y"			
"Resection of the auricle"		"OPS"			"5-182"			
"Clinical examination under general anesthesia"		"OPS"			"1-100"			
"Removal of the eye contents [evisceration] Without introducing a Orbitaimplantates"		"OPS"			"5-162.0"			
"Investigation of cerebro spinal fluid system"		"OPS"			"1-204"			
"Corneal transplantation and keratoprosthetics anterior"		"OPS"			"5-125.00"			
"Intracapsular extraction of the lens"		"OPS"			"5-143"			
"Conjunctivoplasty Transplantation of oral mucosa"		"OPS"			"5-113.2"			
"Lowering of intraocular pressure by filtering operations filtration surgery"		"OPS"			"5-131.6"			
"(Percutaneous) biopsy of lymph nodes, spleen and thymus with control by imaging techniques Lymph nodes, cervical"		"OPS"			"1-426.0"			
"Endoscopic biopsy of the upper digestive tract, bile ducts and pancreas Stages biopsy at the upper digestive tract"		"OPS"			"1-440.9"			
"Corneal transplantation and keratoprosthetics Corneal retransplantation during the same hospital stay"		"OPS"			"5-125.5"			
"Diagnostic endoscopy of the urinary tract through a stoma diagnostic urethroscopy"		"OPS"			"1-668.0"			
"Foreign body removal without incision From the vagina"		"OPS"			"8-101.7"			
"Foreign body removal by endoscopy By Rhinoscopy"		"OPS"			"8-100.1"			
"diagnostic arthroscopy hip joint"		"OPS"			"1-697.6"			
"Removal of the eyeball [enucleation], Not otherwise specified"		"OPS"			"5-163.y"			
"Transurethral biopsy of urinary organs and prostate Not otherwise specified"		"OPS"			"1-460.y"			
"Reduce intraocular pressure by operations on the ciliary body other"		"OPS"			"5-132.x"			
"Exenteration of the orbita with preservation of the eyelid skin"		"OPS"			"5-164.3"			
"Removal of the eye contents [evisceration]"		"OPS"			"5-162"			
"Tympanoplasty with antrotomy or mastoidectomy, With implantation of an alloplastic prosthesis"		"OPS"			"5-195.b2"			
"Therapeutic purging of a joint subtalar"		"OPS"			"8-178.m"			
"Biopsy of other organs and tissues by incision"		"OPS"			"1-589"			
"Biopsy in other parts of the eye through the incision retina"		"OPS"			"1-529.4"			
"Biopsy without incision of the mouth and oral cavity alveolar"		"OPS"			"1-420.4"			
"Navigated transcranial magnetic stimulation [NTMs] In order to identify areas of the brain for the language (Speech Mapping)"		"OPS"			"1-20c.1"			
"Other operations on sclera, anterior chamber of the eye, the iris and ciliary body Introducing gas into the anterior chamber"		"OPS"			"5-139.2"			
"Closed reduction of fracture without internal fixation carpal"		"OPS"			"8-200.a"			
"Therapeutic purging of a joint wrist"		"OPS"			"8-178.7"			
"diagnostic esophagoscopy not otherwise specified"		"OPS"			"1-630.y"			
"Transrectal biopsy at the male sex organs with control by imaging techniques other"		"OPS"			"1-466.x"			
"Plastic reconstruction of parts of the auricle, With microvascular flap"		"OPS"			"5-186.3"			
"Plastic reconstruction of the orbita, With skin graft"		"OPS"			"5-166.02"			
"Percutaneous biopsy on urinary organs and male sex organs with control by imaging techniques other"		"OPS"			"1-465.x"			
"Foreign body removal from the skin without incision not otherwise specified"		"OPS"			"8-102.y"			
"Percutaneous biopsy on hepatobiliärem system, and pancreas with control by imaging techniques other"		"OPS"			"1-442.x"			
"Exenteration of the orbita with preservation of the eyelid skin, other"		"OPS"			"5-164.3x"			
"Biopsy on other parts of the ear by incision other"		"OPS"			"1-532.x"			
"Percutaneous biopsy on urinary organs and male sex organs with control by imaging techniques kidney"		"OPS"			"1-465.0"			
"Transurethral biopsy of urinary organs and prostate renal pelvis"		"OPS"			"1-460.0"			
"Debilitating interventions at an oblique eye muscle Simple return transfer"		"OPS"			"5-10g.0"			
"Lowering of intraocular pressure by not filtering operations depth sclerectomy"		"OPS"			"5-134.1"			
"Other outer ear surgery, NOS"		"OPS"			"5-189.y"			
"Other operations on the choroid"		"OPS"			"5-157"			
